"","top_hit","gene_id","length.x","evalue","bitscore","simMean","uniprotkb_entry","status","protein_names","gene_names","organism","kegg","GO.ID","GO_terms"
"17","ADV03024.1","TRINITY_DN45739_c0_g1_i1",108,2.4e-50,209.1,96.3,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003735; C:GO:0005840;NA","P:translation; F:structural constituent of ribosome; C:ribosome;NA"
"18","AEN94498.1","TRINITY_DN20200_c0_g1_i1",150,1.1e-77,300.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"19","AFO84294.1","TRINITY_DN22539_c0_g1_i1",100,1.6e-48,202.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"20","AGG19296.1","TRINITY_DN47911_c0_g1_i1",389,6.6e-178,634.4,78.66,NA,NA,NA,NA,NA,NA,"P:GO:0015979; P:GO:0018298; F:GO:0016168; F:GO:0016491; F:GO:0046872; F:GO:0051539; C:GO:0009507; C:GO:0009522; C:GO:0016021;NA","P:photosynthesis; P:protein-chromophore linkage; F:chlorophyll binding; F:oxidoreductase activity; F:metal ion binding; F:4 iron, 4 sulfur cluster binding; C:chloroplast; C:photosystem I; C:integral component of membrane;NA"
"21","AGG19299.1","TRINITY_DN57805_c0_g1_i1",190,8.6e-59,237.7,66.32,NA,NA,NA,NA,NA,NA,"F:GO:0005488; C:GO:0005622; C:GO:0016020;NA","F:binding; C:intracellular anatomical structure; C:membrane;NA"
"22","AGG19302.1","TRINITY_DN16140_c0_g1_i1",488,9.8e-248,866.7,86.27,NA,NA,NA,NA,NA,NA,"P:GO:0009767; P:GO:0018298; F:GO:0016168; C:GO:0009507; C:GO:0009521; C:GO:0016021;NA","P:photosynthetic electron transport chain; P:protein-chromophore linkage; F:chlorophyll binding; C:chloroplast; C:photosystem; C:integral component of membrane;NA"
"23","AGU69478.1","TRINITY_DN12190_c0_g2_i1",1230,0,1339.7,61.22,NA,NA,NA,NA,NA,NA,"P:GO:0051276; F:GO:0000166; F:GO:0005524; C:GO:0005634; C:GO:0005694;NA","P:chromosome organization; F:nucleotide binding; F:ATP binding; C:nucleus; C:chromosome;NA"
"24","ALS04934.1","TRINITY_DN73793_c0_g1_i1",127,3.8e-50,208.4,81.89,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003735; C:GO:0005840;NA","P:translation; F:structural constituent of ribosome; C:ribosome;NA"
"25","ALS05084.1","TRINITY_DN29928_c0_g2_i1",103,7.4e-42,180.6,92.23,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003735; F:GO:0019843; C:GO:0015935;NA","P:translation; F:structural constituent of ribosome; F:rRNA binding; C:small ribosomal subunit;NA"
"26","AMX23290.1","TRINITY_DN25738_c0_g1_i1",650,0,1264.6,100,NA,NA,NA,NA,NA,NA,"F:GO:0005524;NA","F:ATP binding;NA"
"27","AMZ03552.1","TRINITY_DN57670_c0_g1_i1",348,1.4e-193,686.8,96.84,NA,NA,NA,NA,NA,NA,"P:GO:0006508; F:GO:0004197;NA","P:proteolysis; F:cysteine-type endopeptidase activity;NA"
"28","AMZ03553.1","TRINITY_DN12131_c0_g1_i1",235,8.7e-139,504.2,98.72,NA,NA,NA,NA,NA,NA,"F:GO:0030246;NA","F:carbohydrate binding;NA"
"29","ANJ59776.1","TRINITY_DN60657_c0_g1_i1",290,1.8e-136,496.5,81.03,NA,NA,NA,NA,NA,NA,"F:GO:0004089; F:GO:0008270;NA","F:carbonate dehydratase activity; F:zinc ion binding;NA"
"30","AQS22814.1","TRINITY_DN17247_c0_g2_i1",178,1.4e-80,310.1,85.39,NA,NA,NA,NA,NA,NA,"P:GO:0006412; F:GO:0003735; C:GO:0022627;NA","P:translation; F:structural constituent of ribosome; C:cytosolic small ribosomal subunit;NA"
"31","AQS99288.1","TRINITY_DN51381_c0_g1_i1",307,4.9e-126,462.2,78.5,NA,NA,NA,NA,NA,NA,"F:GO:0016419;NA","F:S-malonyltransferase activity;NA"
"32","ATI09483.1","TRINITY_DN48199_c0_g1_i1",91,1.1e-47,200.7,100,NA,NA,NA,NA,NA,NA,"P:GO:0009190; P:GO:0035556; F:GO:0016829;NA","P:cyclic nucleotide biosynthetic process; P:intracellular signal transduction; F:lyase activity;NA"
"33","AYE66860.1","TRINITY_DN38718_c0_g1_i1",69,1.8e-09,73.2,59.42,NA,NA,NA,NA,NA,NA,"C:GO:0009507; C:GO:0009536;NA","C:chloroplast; C:plastid;NA"
"34","AYV75405.1","TRINITY_DN68912_c0_g1_i1",191,7.8e-10,75.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"35","AZG02838.1","TRINITY_DN17335_c0_g1_i3",461,1.8e-255,892.5,95.66,NA,NA,NA,NA,NA,NA,"P:GO:0006414; F:GO:0003746; F:GO:0003924; F:GO:0005525; C:GO:0005737;NA","P:translational elongation; F:translation elongation factor activity; F:GTPase activity; F:GTP binding; C:cytoplasm;NA"
"36","BAB63219.1","TRINITY_DN28653_c1_g1_i1",373,5e-183,651.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"37","BAS21363.1","TRINITY_DN64365_c0_g1_i1",110,3.4e-47,198.4,91.82,NA,NA,NA,NA,NA,NA,"P:GO:0019646; P:GO:1902600; F:GO:0004129; C:GO:0005739; C:GO:0016021;NA","P:aerobic electron transport chain; P:proton transmembrane transport; F:cytochrome-c oxidase activity; C:mitochondrion; C:integral component of membrane;NA"
"38","CAA76100.1","TRINITY_DN48443_c0_g1_i1",202,6.3e-90,341.3,79.7,NA,NA,NA,NA,NA,NA,"P:GO:0007010; P:GO:0007017; F:GO:0003924; F:GO:0005200; F:GO:0005525; C:GO:0005874;NA","P:cytoskeleton organization; P:microtubule-based process; F:GTPase activity; F:structural constituent of cytoskeleton; F:GTP binding; C:microtubule;NA"
"39","CAB3258470.1","TRINITY_DN21800_c0_g1_i1",164,5.3e-28,135.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"40","CAB3258886.1","TRINITY_DN43348_c0_g1_i1",101,7.7e-07,64.7,37.62,NA,NA,NA,NA,NA,NA,"P:GO:0016310; F:GO:0016301;NA","P:phosphorylation; F:kinase activity;NA"
"41","CAC5411920.1","TRINITY_DN11523_c0_g2_i1",66,4.8e-15,92,63.64,NA,NA,NA,NA,NA,NA,"F:GO:0003677; F:GO:0046872;NA","F:DNA binding; F:metal ion binding;NA"
"42","CAC5420012.1","TRINITY_DN37975_c0_g2_i1",646,7.7e-112,416,38.54,NA,NA,NA,NA,NA,NA,"P:GO:0015074; F:GO:0003676; F:GO:0008270;NA","P:DNA integration; F:nucleic acid binding; F:zinc ion binding;NA"
"43","CAD5234178.1","TRINITY_DN17123_c0_g3_i1",69,7.6e-25,124,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"44","CAD7249821.1","TRINITY_DN31627_c0_g4_i1",53,1.9e-19,106.7,94.34,NA,NA,NA,NA,NA,NA,"P:GO:0006468; F:GO:0004674; F:GO:0005524;NA","P:protein phosphorylation; F:protein serine/threonine kinase activity; F:ATP binding;NA"
"45","CAD7696919.1","TRINITY_DN51525_c0_g1_i1",297,5e-99,372.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"46","CAD7924637.1","TRINITY_DN61039_c0_g1_i1",87,1.8e-29,139.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"47","CAD7942507.1","TRINITY_DN69758_c0_g1_i1",91,2e-10,77,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"48","CAD7943204.1","TRINITY_DN63405_c0_g1_i1",82,1.4e-24,123.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"49","CAD7948268.1","TRINITY_DN46114_c0_g1_i1",124,2.3e-32,150.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"50","CAD7972897.1","TRINITY_DN49243_c0_g1_i1",638,2.6e-187,666.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"51","CAD8062472.1","TRINITY_DN19289_c0_g1_i1",104,3.9e-45,191.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"52","CAD8090962.1","TRINITY_DN46725_c0_g1_i1",436,3.2e-221,778.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"53","CAD8184034.1","TRINITY_DN17335_c0_g2_i1",112,1.2e-47,199.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"54","CAD8200783.1","TRINITY_DN57338_c0_g1_i1",252,2.3e-99,372.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"55","CAE6909759.1","TRINITY_DN49360_c0_g1_i1",339,2.1e-189,672.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"56","CAE6909827.1","TRINITY_DN70919_c0_g1_i1",600,6.6e-249,871.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"57","CAE6910774.1","TRINITY_DN73830_c0_g1_i1",238,1.5e-124,456.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"58","CAE6911359.1","TRINITY_DN59931_c0_g1_i1",391,5.9e-182,648.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"59","CAE6912409.1","TRINITY_DN59836_c0_g1_i1",280,5.1e-147,531.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"60","CAE6912524.1","TRINITY_DN71375_c0_g1_i1",437,1.3e-209,740,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"61","CAE6912588.1","TRINITY_DN48459_c0_g1_i1",795,0,1366.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"62","CAE6913171.1","TRINITY_DN61226_c0_g1_i1",1123,0,2155.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"63","CAE6913233.1","TRINITY_DN20911_c0_g1_i1",152,1.5e-66,263.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"64","CAE6913415.1","TRINITY_DN31719_c0_g1_i1",672,0,1094.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"65","CAE6913807.1","TRINITY_DN45610_c0_g1_i1",482,2.5e-272,948.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"66","CAE6913902.1","TRINITY_DN29907_c0_g1_i1",385,3.5e-179,638.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"67","CAE6914180.1","TRINITY_DN11849_c0_g6_i1",541,1.2e-280,976.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"68","CAE6914369.1","TRINITY_DN59628_c0_g1_i1",736,0,1481.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"69","CAE6914487.1","TRINITY_DN54943_c0_g1_i1",233,2.3e-102,384,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"70","CAE6915762.1","TRINITY_DN12370_c0_g1_i3",158,5.8e-81,311.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"71","CAE6916175.1","TRINITY_DN46436_c0_g1_i1",788,3.1e-240,842.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"72","CAE6916402.1","TRINITY_DN19219_c0_g2_i1",349,2.2e-149,539.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"73","CAE6916852.1","TRINITY_DN14054_c0_g5_i1",198,4.9e-27,132.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"74","CAE6917281.1","TRINITY_DN59906_c0_g1_i1",355,2.2e-167,599.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"75","CAE6919092.1","TRINITY_DN29131_c0_g2_i1",504,2e-259,906.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"76","CAE6919785.1","TRINITY_DN66451_c0_g1_i1",1291,0,2580.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"77","CAE6919934.1","TRINITY_DN14318_c0_g1_i1",844,6.7e-198,701,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"78","CAE6919941.1","TRINITY_DN29752_c0_g1_i1",513,1.7e-269,939.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"79","CAE6919941.1","TRINITY_DN54510_c0_g1_i1",940,8.7e-197,697.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"80","CAE6919980.1","TRINITY_DN14820_c0_g1_i2",130,3.3e-50,209.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"81","CAE6921037.1","TRINITY_DN58204_c0_g1_i1",480,9.7e-254,886.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"82","CAE6921446.1","TRINITY_DN61016_c0_g1_i1",684,0,1213,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"83","CAE6921487.1","TRINITY_DN24746_c0_g1_i1",199,2.7e-96,362.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"84","CAE6923320.1","TRINITY_DN71480_c0_g1_i1",329,1.4e-179,640.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"85","CAE6923403.1","TRINITY_DN59336_c0_g1_i1",759,0,1415.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"86","CAE6924315.1","TRINITY_DN64638_c0_g1_i1",444,4e-208,735.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"87","CAE6924552.1","TRINITY_DN25988_c0_g1_i1",1142,0,1986.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"88","CAE6925282.1","TRINITY_DN18308_c0_g1_i1",121,2.8e-63,252.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"89","CAE6926905.1","TRINITY_DN28604_c0_g1_i1",50,7.2e-16,94.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"90","CAE6928260.1","TRINITY_DN35696_c0_g1_i1",82,6.9e-36,161,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"91","CAE6928646.1","TRINITY_DN28462_c0_g2_i1",476,4e-153,552.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"92","CAE6928694.1","TRINITY_DN38905_c0_g2_i1",287,4.5e-152,548.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"93","CAE6929075.1","TRINITY_DN57798_c0_g1_i1",526,4.8e-222,781.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"94","CAE6929854.1","TRINITY_DN38274_c0_g1_i1",148,9.1e-80,307,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"95","CAE6929854.1","TRINITY_DN63947_c0_g1_i1",100,2e-47,199.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"96","CAE6930315.1","TRINITY_DN68916_c0_g1_i1",162,3.3e-59,238.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"97","CAE6931110.1","TRINITY_DN68582_c0_g1_i1",191,6.2e-99,371.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"98","CAE6931502.1","TRINITY_DN32193_c0_g1_i1",473,1.7e-274,955.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"99","CAE6931521.1","TRINITY_DN11358_c0_g1_i1",1411,0,2245.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"100","CAE6932824.1","TRINITY_DN56214_c0_g1_i1",1021,0,1404.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"101","CAE6933184.1","TRINITY_DN58073_c0_g1_i1",328,1.2e-188,669.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"102","CAE6933509.1","TRINITY_DN42979_c0_g2_i1",1242,0,2226.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"103","CAE6933633.1","TRINITY_DN30190_c0_g1_i1",562,0,1095.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"104","CAE6933772.1","TRINITY_DN55261_c0_g1_i1",329,9.3e-152,548.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"105","CAE6935369.1","TRINITY_DN61241_c0_g1_i1",260,2.4e-100,376.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"106","CAE6935615.1","TRINITY_DN52870_c0_g1_i1",316,9.4e-151,543.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"107","CAE6935651.1","TRINITY_DN44020_c0_g1_i1",680,0,1410.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"108","CAE6936197.1","TRINITY_DN47906_c0_g1_i1",272,1.1e-118,437.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"109","CAE6937836.1","TRINITY_DN61807_c0_g1_i1",286,1.4e-156,563.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"110","CAE6939713.1","TRINITY_DN26689_c0_g2_i1",906,0,1503.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"111","CAE6939767.1","TRINITY_DN11157_c0_g2_i1",1986,0,4120.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"112","CAE6939854.1","TRINITY_DN45817_c0_g1_i1",326,1.5e-166,596.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"113","CAE6939870.1","TRINITY_DN60184_c0_g1_i1",527,6.6e-267,931.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"114","CAE6941108.1","TRINITY_DN59637_c0_g1_i1",471,2.6e-260,908.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"115","CAE6941684.1","TRINITY_DN41870_c0_g2_i1",453,7.2e-264,920.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"116","CAE6941849.1","TRINITY_DN47293_c0_g1_i1",198,5.6e-85,325.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"117","CAE6942289.1","TRINITY_DN68190_c0_g1_i1",154,2.6e-77,298.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"118","CAE6942521.1","TRINITY_DN70290_c0_g1_i1",568,3.5e-292,1014.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"119","CAE6942606.1","TRINITY_DN56889_c0_g1_i1",117,1.1e-30,144.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"120","CAE6942953.1","TRINITY_DN55902_c0_g1_i1",199,3.7e-110,409.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"121","CAE6942976.1","TRINITY_DN60744_c0_g1_i1",444,7.9e-230,807.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"122","CAE6943443.1","TRINITY_DN61495_c0_g1_i1",134,9.9e-62,248.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"123","CAE6943701.1","TRINITY_DN57976_c0_g1_i1",72,1e-24,125.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"124","CAE6943792.1","TRINITY_DN66523_c0_g1_i1",828,0,1544.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"125","CAE6944268.1","TRINITY_DN29799_c0_g2_i1",182,7.1e-10,75.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"126","CAE6944354.1","TRINITY_DN11442_c0_g1_i1",145,3.1e-74,288.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"127","CAE6945496.1","TRINITY_DN67909_c0_g1_i1",390,2.1e-161,579.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"128","CAE6946211.1","TRINITY_DN30998_c0_g1_i2",521,4.3e-306,1074.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"129","CAE6946464.1","TRINITY_DN53477_c0_g1_i1",451,4.1e-108,402.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"130","CAE6946893.1","TRINITY_DN61081_c0_g1_i1",285,1.5e-143,520,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"131","CAE6947432.1","TRINITY_DN35289_c0_g1_i1",186,3e-34,156,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"132","CAE6947685.1","TRINITY_DN66432_c0_g1_i1",760,0,1303.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"133","CAE6949020.1","TRINITY_DN56952_c0_g1_i1",372,2.3e-213,752.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"134","CAE6950827.1","TRINITY_DN57248_c0_g1_i1",149,1e-73,287.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"135","CAE6951494.1","TRINITY_DN70162_c0_g1_i1",860,0,1755,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"136","CAE6951796.1","TRINITY_DN54211_c0_g1_i1",185,4.5e-82,315.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"137","CAE6951872.1","TRINITY_DN14794_c0_g2_i1",439,8.2e-212,747.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"138","CAE6952149.1","TRINITY_DN29626_c0_g1_i1",330,1.4e-147,533.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"139","CAE6952936.1","TRINITY_DN47684_c0_g1_i1",78,1e-18,103.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"140","CAE6953687.1","TRINITY_DN50621_c0_g1_i1",184,1.8e-92,350.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"141","CAE6954163.1","TRINITY_DN55910_c0_g1_i1",1311,3.5e-174,622.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"142","CAE6954586.1","TRINITY_DN40833_c0_g1_i1",168,3.5e-80,308.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"143","CAE6954624.1","TRINITY_DN56771_c0_g1_i1",453,7.4e-144,521.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"144","CAE6954785.1","TRINITY_DN48575_c0_g1_i1",815,2.9e-306,1062,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"145","CAE6956068.1","TRINITY_DN41425_c0_g1_i1",220,4.3e-126,461.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
