NAD-specific glutamate dehydrogenase (GDH),Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
NAD-specific glutamate dehydrogenase (GDHB),Glutamate dehydrogenase (NAD+) activity,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
Glutamate synthase (GLNA),Glutamine biosynthetic process,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (GLNE),Glutamine synthetase,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
Glutamine synthetase (GLUL),Glutamine synthetase,Nutrient metabolism,(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)
Glutathione-specific gamma-glutamylcyclotransferase 1 (CHAC1),Glutathione biosynthetic process,Nutrient metabolism,(Ganot et al. 2011)
"Sulfide:quinone oxidoreductase, mitochondrial (SQOR)",Glutathione biosynthetic process,Nutrient metabolism,(Rädecker et al. 2021) (Azevedo-martins et al. 2014)
Glutathione gamma-glutamylcysteinyltransferase (SPAC3H1.10),"Glutathione biosynthetic process, response to nutrient levels",Nutrient metabolism,(Ganot et al. 2011)
Glutathione S-transferase (GSS),"Glutathione biosynthetic process, response to nutrient levels",Nutrient metabolism,(Ganot et al. 2011)
Putative glutathione-specific gamma-glutamylcyclotransferase 2 (CHAC1),Glutathione catabolic process,Nutrient metabolism,(Ganot et al. 2011)
Glutathione reductase (GOR),Glutathione metabolic process,Nutrient metabolism,(Ganot et al. 2011)
"Glutathione reductase, mitochondrial (GSR)",Glutathione metabolic process,Nutrient metabolism,(Ganot et al. 2011)
Glutathione peroxidase (GPX1),Glutathione peroxidase activity,Nutrient metabolism,(Ganot et al. 2011)
Glutathione-disulfide reductase (pdam_00015501),Glutathione-disulfide reductase (NADPH) activity,Nutrient metabolism,(Ganot et al. 2011)
Mitochondrial glycine transporter (SLC25A38),Glycine transporter,Nutrient metabolism,(Lehnert et al. 2014)
Vesicular inhibitory amino acid transporter (SLC32A1),Glycine transporter,Nutrient metabolism,(Lehnert et al. 2014)
Proton-coupled amino acid transporter (SLC36A1),Glycine transporter,Nutrient metabolism,(Lehnert et al. 2014)
Glucose-1-phosphate adenylyltransferase 1,Glycogen biosynthetic process,Nutrient metabolism,(Lehnert et al. 2014; Matthews et al. 2017)
Ras-related protein Rab-23 (RAB23),"GTPase activity, exocytosis",Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018) (Rivera et al. 2021)
Protein arginine N-methyltransferase,Histone methyltransferase activity ,NA,(Li et al. 2018)
Serine/threonine-protein kinase pim-2 (PIM2),Histone phosphorylation,NA,(Rodriguez-Casariego et al. 2018)
Ash2 histone methyltransferase complex (ASH2I),Histone phosphorylation,NA,(Rodriguez-Casariego et al. 2018)
Autophagy protein 5 (ATG5),Immune system process,Symbiotic maintenance,(Li et al. 2018)
Antiviral innate immune response receptor RIG-I (DDX58),Innate immune response,Symbiotic maintenance,(Kvennefors et al. 2010)
Protein Wnt-10a (WNT10A),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)  (Tivey et al. 2020)
Protein Wnt-7b (WNT7B),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)  (Tivey et al. 2020)
Protein Wnt-8a (WNT8A),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)  (Tivey et al. 2020)
Protein Wnt-8b (WNT8B),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)  (Tivey et al. 2020)
Proto-oncogene Wnt-3 (WNT3),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)  (Tivey et al. 2020)
Wnt inhibitory factor 1 (WIF1),Involved in Wnt signaling pathway,Symbiotic nutrient exchange and signaling pathways,(Khalturin et al.2019)
Isocitrate dehydrogenase ,Isocitrate dehydrogenase (NADP+) activity,Nutrient metabolism,(Timmins-Schiffman et al. 2024)
Lysosomal-associated transmembrane protein 4A (LAPTM4A),Lysosomal membrane nutrient uptake,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
Methionine synthase (METH),Methionine biosynthetic process,Nutrient metabolism,(Lehnert et al. 2014)  (Matthews et al. 2017)
Tubulin alpha chain (TUBA),Microtubule cytoskeleton organization,Symbiotic maintenance,(Li et al. 2018)
Apoptosis regulator Bcl-2 (BCL2),Mitochondrion organization,Nutrient metabolism,(Li et al. 2018)
Monocarboxylate transporter-10 (SLC16A10),Monocarboxylic acid transport,Nutrient metabolism,(Li et al. 2018)
Monocarboxylate transporter-4 (SLC16A3),Monocarboxylic acid transport,Nutrient metabolism,(Li et al. 2018)
NADPH--cytochrome P450 reductase (POR),Nitrate catabolic activity ,Nutrient metabolism,(Rädecker et al. 2021)
Peroxynitrite isomerase (THAP4),Nitrate metabolic activity ,Nutrient metabolism,(Rädecker et al. 2021)
Mitochondrial amidoxime reducing component 2 (MTARC2),Nitrate metabolic process,Nutrient metabolism,(Rädecker et al. 2021) (Cui et al. 2022)
Mitochondrial amidoxime reducing component 2 (MTARC2),Nitrate metabolic process,Nutrient metabolism,(Rädecker et al. 2021)
Nitric oxide synthase (NOS),Nitric oxide mediated signal transduction,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
Uridine diphosphate glucose pyrophosphatase (NUDT14),Nitrogen compound metabolic process,Nutrient metabolism,(Lehnert et al. 2014; Matthews et al. 2017)
NADP-dependent oxidoreductase  (YFMJ),Oxidoreductase activity,Nutrient metabolism,(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)
Quinone oxidoreductase PIG3 (TP53I3),Oxidoreductase activity,Nutrient metabolism,(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)
Glutathione import ATP-binding protein (GSIA),Peptide transport,Nutrient metabolism,(Ganot et al. 2011)
Low-affinity phosphate transporter (PHO91),Phosphate transporter,Nutrient metabolism,(Lehnert et al. 2014)
Sodium-dependent phosphate transporter (SLC20A),Phosphate transporter,Nutrient metabolism,(Lehnert et al. 2014)
Phosphatidylinositol 4-phosphate 5-kinase (PIP5K1A),Phosphatidylinositol biosynthetic process,Nutrient metabolism,(Li et al. 2018)
Glucose-induced degradation protein 8 homolog,Proteasome-mediated ubiquitin-dependent protein catabolic process,Symbiotic maintenance,(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)
Heat shock 70 kDa protein 12A (HSPA12A),Protein binding,Symbiotic maintenance,(Rädecker et al. 2021)
UDP-glucose:glycoprotein glucosyltransferase 1 (UGGT1),Protein glycosylation,Nutrient metabolism,(Lehnert et al. 2014; Matthews et al. 2017)
Serine/threonine-protein kinase H1 (PSKH1),Protein phosphorylation,Symbiotic maintenance,(Li et al. 2018)
Rho-associated protein kinase 2 (ROCK2),Protein phosphorylation,Symbiotic maintenance,(Li et al. 2018)
Ras-related protein (RAB7),Protein to membrane docking,Symbiotic maintenance,(Li et al. 2018)
Syntaxin-12 (STX12),Protein transport,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
Glucose-induced degradation protein 4 homolog,Protein ubiquitination,Symbiotic maintenance,(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)
UDP-galactose/UDP-glucose transporter 7 (UTR7),Pyrimidine nucleotide-sugar transmembrane transport,Symbiotic nutrient exchange and signaling pathways,(Lehnert et al. 2014; Matthews et al. 2017)
Uridine diphosphate glucose pyrophosphatase (NUDT22),Pyrophosphatase activity,Nutrient metabolism,(Lehnert et al. 2014; Matthews et al. 2017)
"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial  (NDUFS1)",Reactive oxygen species metabolic process,Symbiotic maintenance,(Rädecker et al. 2021) (Azevedo-martins et al. 2014) (Li et al. 2018)
Caspase-8 (CASP8),"Regulation of apoptotic process, regulation of immune system process",Symbiotic maintenance,(Li et al. 2018) (Kvennefors et al. 2010)
Glutathione hydrolase 1 proenzyme (GTG1),Regulation of immune system process,Symbiotic maintenance,(Kvennefors et al. 2010)
Cystathionine beta-synthase (CBS),Regulation of nitric oxide mediated signal transduction,Symbiotic nutrient exchange and signaling pathways,(Rädecker et al. 2021) (Ganot et al. 2011)
Bifunctional apoptosis regulator (BFAR),Regulation of response to stress,Symbiotic maintenance,(Li et al. 2018)
Stress response protein nst1 (NST1),Regulation of stress-activated MAPK cascade,Symbiotic maintenance,(Rädecker et al. 2021)  (Matthews et al. 2017)
Caspase-7 (CASP7),"Response to abiotic stimulus, response to stress",Symbiotic maintenance,(Li et al. 2018)
Carbonic anhydrase (CA),"Response to abiotic stimulus, response to stress",Symbiotic maintenance,(Li et al. 2018)
Acyl-coenzyme A thioesterase 3 (ACOT3),Response to nutrient levels,Nutrient metabolism,(Juarez et al. 2024)
Acyl-coenzyme A thioesterase 5 (ACOT5),Response to nutrient levels,Nutrient metabolism,(Juarez et al. 2024)
Transmembrane GTPase Marf (MARF),Response to nutrient levels,Nutrient metabolism,(Rosic et al. 2014)
Apoptosis regulator R1,Response to oxidative stress,Symbiotic maintenance,(Li et al. 2018)
Rho guanine nucleotide exchange factor 17 (ARHGEF17),Response to oxidative stress,Symbiotic maintenance,(Li et al. 2018)
Rho GTPase-activating protein 6 (ARHGAP6),Rho protein signal transduction,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
S-adenosylmethionine synthase (MAT),S-adenosylmethionine biosynthetic process,Nutrient metabolism,(Lehnert et al. 2014)  (Matthews et al. 2017)
5-methylcytosine rRNA methyltransferase (NSUN4),S-adenosylmethionine-dependent methyltransferase activity,Nutrient metabolism,(Lehnert et al. 2014)
Mitochondrial nicotinamide adenine dinucleotide transporter (SLC25A51),Short-chain fatty acid transport,Nutrient metabolism,(Li et al. 2018) 
Ras GTPase-activating protein 1 (RASA1),Signal transduction,Symbiotic nutrient exchange and signaling pathways,(Rädecker et al. 2021)  (Matthews et al. 2017)
Sodium-dependent glucose transporter 1 (MFSD4B),Transmembrane transporter activity,Symbiotic nutrient exchange and signaling pathways,(Lehnert et al. 2014; Matthews et al. 2017)
Sugar transporter (SWT),Transmembrane transporter activity,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
Tubulin beta chain (TUBB),Tubulin beta chain,Symbiotic maintenance,(Li et al. 2018)
Tyrosine aminotransferase (TAT),Tyrosine catabolic process,Nutrient metabolism,(Zhang et al. 2024)
Fumarylacetoacetase (FAH),Tyrosine catabolic process,Nutrient metabolism,(Zhang et al. 2024)
Homogentisate (HGO),Tyrosine catabolic process,Nutrient metabolism,(Zhang et al. 2024)
4-hydroxyphenylpyruvate dioxygenase (HPD),Tyrosine catabolic process,Nutrient metabolism,(Zhang et al. 2024)
Probable UDP-sugar transporter (SLC35A4),UDP-sugar diphosphatase activity,Nutrient metabolism,(Lehnert et al. 2014)
Urease accesory protein  (UREG),Urease activity,Nutrient metabolism,(Timmins-Schiffman et al. 2024)
Ras-related protein 5 (RAB5),Vesicle-mediated transport,Symbiotic nutrient exchange and signaling pathways,(Li et al. 2018)
