"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0072196",0.00774997408931348,1,1,1,"proximal/distal pattern formation involved in pronephric nephron development","BP"
"GO:0051596",0.00776092131747622,1,1,1,"methylglyoxal catabolic process","BP"
"GO:0032099",0.00777637712518027,1,1,1,"negative regulation of appetite","BP"
"GO:0019761",0.00778366277572357,1,1,1,"glucosinolate biosynthetic process","BP"
"GO:0032915",0.0077898566458649,1,1,1,"positive regulation of transforming growth factor beta2 production","BP"
"GO:0110024",0.0077898566458649,1,1,1,"positive regulation of cardiac muscle myoblast proliferation","BP"
"GO:0035094",0.00779325358358787,0.999275377301877,3,52,"response to nicotine","BP"
"GO:0009630",0.00779484459416444,1,1,1,"gravitropism","BP"
"GO:0010540",0.00779484459416444,1,1,1,"basipetal auxin transport","BP"
"GO:0080167",0.00779484459416444,1,1,1,"response to karrikin","BP"
"GO:0072738",0.0077997512778015,1,1,1,"cellular response to diamide","BP"
"GO:1904843",0.0077997512778015,1,1,1,"cellular response to nitroglycerin","BP"
"GO:1990911",0.0077997512778015,1,1,1,"response to psychosocial stress","BP"
"GO:0035193",0.00780053840720486,1,1,1,"larval central nervous system remodeling","BP"
"GO:0045476",0.00780053840720486,1,1,1,"nurse cell apoptotic process","BP"
"GO:0045477",0.00780053840720486,1,1,1,"regulation of nurse cell apoptotic process","BP"
"GO:0021688",0.00782216729188405,1,1,1,"cerebellar molecular layer formation","BP"
"GO:0045605",0.00782216729188405,1,1,1,"negative regulation of epidermal cell differentiation","BP"
"GO:0048630",0.00782216729188405,1,1,1,"skeletal muscle tissue growth","BP"
"GO:0048631",0.00782216729188405,1,1,1,"regulation of skeletal muscle tissue growth","BP"
"GO:0097102",0.00782216729188405,1,1,1,"endothelial tip cell fate specification","BP"
"GO:2001301",0.00782435430219593,1,1,1,"lipoxin biosynthetic process","BP"
"GO:0006592",0.00783423006627672,1,1,1,"ornithine biosynthetic process","BP"
"GO:0035001",0.00783888405514284,1,1,1,"dorsal trunk growth, open tracheal system","BP"
"GO:0030036",0.0109301377121283,0.998261960140422,4,110,"actin cytoskeleton organization","BP"
"GO:0006691",0.0115557611388008,0.999437530440734,2,21,"leukotriene metabolic process","BP"
"GO:0019233",0.0132402355722748,0.998495632440879,3,63,"sensory perception of pain","BP"
"GO:0030178",0.0148958608390647,0.999163889672734,2,24,"negative regulation of Wnt signaling pathway","BP"
"GO:0032436",0.0149586480892367,0.998219388185528,3,66,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"GO:1903645",0.0153596678878013,0.999940848576447,1,2,"negative regulation of chaperone-mediated protein folding","BP"
"GO:0009691",0.0153773760229987,0.999940711573038,1,2,"cytokinin biosynthetic process","BP"
"GO:0044375",0.0154051207858746,0.999940496597594,1,2,"regulation of peroxisome size","BP"
"GO:0016557",0.0154160471638133,0.999940411828855,1,2,"peroxisome membrane biogenesis","BP"
"GO:2001033",0.0154485077521824,0.999940159635279,1,2,"negative regulation of double-strand break repair via nonhomologous end joining","BP"
"GO:1902110",0.0154602577301882,0.999940068214763,1,2,"positive regulation of mitochondrial membrane permeability involved in apoptotic process","BP"
"GO:1900365",0.0154676314550176,0.9999400108077,1,2,"positive regulation of mRNA polyadenylation","BP"
"GO:0043067",0.0154889167274898,0.999939844938928,1,2,"regulation of programmed cell death","BP"
"GO:0043326",0.0154965310930851,0.99993978554676,1,2,"chemotaxis to folate","BP"
"GO:0045654",0.0155023348773872,0.999939740257317,1,2,"positive regulation of megakaryocyte differentiation","BP"
"GO:2000726",0.0155034036971238,0.999939731914982,1,2,"negative regulation of cardiac muscle cell differentiation","BP"
"GO:0032693",0.0155120940271138,0.999939664063757,1,2,"negative regulation of interleukin-10 production","BP"
"GO:0035655",0.0155122619491403,0.999939662752299,1,2,"interleukin-18-mediated signaling pathway","BP"
"GO:0035795",0.0155212786607784,0.999939592311354,1,2,"negative regulation of mitochondrial membrane permeability","BP"
"GO:0072655",0.0155212786607784,0.999939592311354,1,2,"establishment of protein localization to mitochondrion","BP"
"GO:0090261",0.0155236931911015,0.999939573441372,1,2,"positive regulation of inclusion body assembly","BP"
"GO:0019240",0.0155444233124843,0.999939411309582,1,2,"citrulline biosynthetic process","BP"
"GO:0006551",0.0155572907881018,0.999939310561993,1,2,"leucine metabolic process","BP"
"GO:1903936",0.0155731677769997,0.999939186134769,1,2,"cellular response to sodium arsenite","BP"
"GO:0060853",0.0155775070927399,0.999939152105405,1,2,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP"
"GO:0006560",0.0155951899016601,0.999939013335785,1,2,"proline metabolic process","BP"
"GO:0019470",0.0155951899016601,0.999939013335785,1,2,"4-hydroxyproline catabolic process","BP"
"GO:0098773",0.015597924922952,0.999938991857895,1,2,"skin epidermis development","BP"
"GO:0007498",0.017303307887857,0.998943750855703,2,26,"mesoderm development","BP"
"GO:0071364",0.0174015644517214,0.998934576181907,2,26,"cellular response to epidermal growth factor stimulus","BP"
"GO:1990830",0.0180778711935611,0.997686095042036,3,71,"cellular response to leukemia inhibitory factor","BP"
"GO:0044179",0.0200050935337982,0.99867586033295,2,28,"hemolysis in another organism","BP"
"GO:0002931",0.0227625761038979,0.998380567969602,2,30,"response to ischemia","BP"
"GO:0030239",0.0230338376679441,0.999822169147099,1,3,"myofibril assembly","BP"
"GO:0072656",0.0231111119153417,0.999820967683451,1,3,"maintenance of protein location in mitochondrion","BP"
"GO:0048646",0.023121620078245,0.999820803986323,1,3,"anatomical structure formation involved in morphogenesis","BP"
"GO:0051006",0.0231283386280839,0.999820699284521,1,3,"positive regulation of lipoprotein lipase activity","BP"
"GO:0043983",0.023132535199863,0.999820633869517,1,3,"histone H4-K12 acetylation","BP"
"GO:0009447",0.0231512380398907,0.999820342188206,1,3,"putrescine catabolic process","BP"
"GO:0021681",0.0231546569320317,0.999820288842772,1,3,"cerebellar granular layer development","BP"
"GO:0035701",0.0232099392770837,0.99981942515408,1,3,"hematopoietic stem cell migration","BP"
"GO:0021693",0.0232169230473039,0.999819315896189,1,3,"cerebellar Purkinje cell layer structural organization","BP"
"GO:0035011",0.0232210968193342,0.999819250583493,1,3,"melanotic encapsulation of foreign target","BP"
"GO:0046903",0.0232335075645981,0.999819056305196,1,3,"secretion","BP"
"GO:0006561",0.0232346530255047,0.99981903836879,1,3,"proline biosynthetic process","BP"
"GO:0097186",0.0232533982828147,0.999818744715158,1,3,"amelogenesis","BP"
"GO:0006562",0.0232535459578177,0.999818742400802,1,3,"proline catabolic process","BP"
"GO:0032849",0.0232577674990646,0.999818676234674,1,3,"positive regulation of cellular pH reduction","BP"
"GO:2000987",0.0232739979214193,0.999818421734272,1,3,"positive regulation of behavioral fear response","BP"
"GO:1904528",0.0232951371012629,0.999818089991876,1,3,"positive regulation of microtubule binding","BP"
"GO:0009266",0.0232999983063512,0.999818013660506,1,3,"response to temperature stimulus","BP"
"GO:0016567",0.0233809040585323,0.991759397039863,8,443,"protein ubiquitination","BP"
"GO:0007219",0.0241357859184135,0.995125923179616,4,140,"Notch signaling pathway","BP"
"GO:0019216",0.0242866627596397,0.998208560094478,2,31,"regulation of lipid metabolic process","BP"
"GO:0022604",0.0272212774759589,0.99785969520796,2,33,"regulation of cell morphogenesis","BP"
"GO:0050877",0.0280879703134513,0.995736160047303,3,84,"nervous system process","BP"
"GO:0007585",0.0287067978896796,0.997674646093642,2,34,"respiratory gaseous exchange by respiratory system","BP"
"GO:0045924",0.0306106120388172,0.999645763530367,1,4,"regulation of female receptivity","BP"
"GO:0110094",0.030649504689249,0.999644856888791,1,4,"polyphosphate-mediated signaling","BP"
"GO:0019372",0.0307464403094245,0.999642592075562,1,4,"lipoxygenase pathway","BP"
"GO:1904385",0.0307469571992303,0.999642579979349,1,4,"cellular response to angiotensin","BP"
"GO:1902512",0.0307507344112786,0.999642491579048,1,4,"positive regulation of apoptotic DNA fragmentation","BP"
"GO:0038166",0.0307821551922614,0.999641755790909,1,4,"angiotensin-activated signaling pathway","BP"
"GO:0044070",0.0307821551922614,0.999641755790909,1,4,"regulation of anion transport","BP"
"GO:2001150",0.0307821551922614,0.999641755790909,1,4,"positive regulation of dipeptide transmembrane transport","BP"
"GO:1904845",0.0308095480965042,0.999641113699241,1,4,"cellular response to L-glutamine","BP"
"GO:0035965",0.0308289896065494,0.999640657635416,1,4,"cardiolipin acyl-chain remodeling","BP"
"GO:0012501",0.0308292425622716,0.999640651699584,1,4,"programmed cell death","BP"
"GO:0010762",0.0309069614593497,0.99963882560382,1,4,"regulation of fibroblast migration","BP"
"GO:0060136",0.0309198852684087,0.99963852148918,1,4,"embryonic process involved in female pregnancy","BP"
"GO:0010133",0.0309307836657976,0.999638264934419,1,4,"proline catabolic process to glutamate","BP"
"GO:0009299",0.0309422627839048,0.999637994609427,1,4,"mRNA transcription","BP"
"GO:0008088",0.0309462508965519,0.999637900668291,1,4,"axo-dendritic transport","BP"
"GO:0072070",0.0309487062061735,0.999637842826627,1,4,"loop of Henle development","BP"
"GO:0051091",0.03242392497635,0.994792952082345,3,89,"positive regulation of DNA-binding transcription factor activity","BP"
"GO:0070301",0.0352984740788055,0.996789596287913,2,38,"cellular response to hydrogen peroxide","BP"
"GO:0050767",0.0370152351651425,0.996542448331241,2,39,"regulation of neurogenesis","BP"
"GO:0014059",0.0370990979545937,0.99653036801649,2,39,"regulation of dopamine secretion","BP"
"GO:0021549",0.0371434161929767,0.996523977893156,2,39,"cerebellum development","BP"
"GO:0007165",0.0371498150544002,0.984768433778915,9,575,"signal transduction","BP"
"GO:0070836",0.0380155661893984,0.999415748758503,1,5,"caveola assembly","BP"
"GO:0048210",0.0380851021043014,0.999413592605835,1,5,"Golgi vesicle fusion to target membrane","BP"
"GO:0061408",0.0382145784838564,0.999409567084944,1,5,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP"
"GO:0015670",0.0382588537290285,0.999408187323853,1,5,"carbon dioxide transport","BP"
"GO:0006646",0.0382739379913897,0.999407716875441,1,5,"phosphatidylethanolamine biosynthetic process","BP"
"GO:0048633",0.0382814724967402,0.999407481817963,1,5,"positive regulation of skeletal muscle tissue growth","BP"
"GO:1904925",0.0382870961804872,0.999407306342403,1,5,"positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization","BP"
"GO:0021702",0.038291910784715,0.999407156091547,1,5,"cerebellar Purkinje cell differentiation","BP"
"GO:0036149",0.0383026941595151,0.999406819501224,1,5,"phosphatidylinositol acyl-chain remodeling","BP"
"GO:0046324",0.0383201140057848,0.999406275556277,1,5,"regulation of glucose import","BP"
"GO:1990910",0.038320789172989,0.999406254468687,1,5,"response to hypobaric hypoxia","BP"
"GO:1902916",0.038329378424576,0.999405986166197,1,5,"positive regulation of protein polyubiquitination","BP"
"GO:0008345",0.0383428767700416,0.999405564393914,1,5,"larval locomotory behavior","BP"
"GO:0060215",0.0383773164949883,0.999404487593739,1,5,"primitive hemopoiesis","BP"
"GO:0051156",0.0383981201974974,0.999403836660926,1,5,"glucose 6-phosphate metabolic process","BP"
"GO:0006431",0.0384010991518448,0.999403743422033,1,5,"methionyl-tRNA aminoacylation","BP"
"GO:0006556",0.0384030659298987,0.999403681859391,1,5,"S-adenosylmethionine biosynthetic process","BP"
"GO:0030091",0.0384092765868024,0.999403487436775,1,5,"protein repair","BP"
"GO:0015801",0.0384486869797853,0.999402252956796,1,5,"aromatic amino acid transport","BP"
"GO:1902857",0.0384608977937677,0.999401870205662,1,5,"positive regulation of non-motile cilium assembly","BP"
"GO:0015936",0.0384689447850226,0.999401617902601,1,5,"coenzyme A metabolic process","BP"
"GO:0035915",0.0384730395606319,0.999401489495429,1,5,"pore formation in membrane of another organism","BP"
"GO:2001225",0.0385128853259721,0.999400239250077,1,5,"regulation of chloride transport","BP"
"GO:0051775",0.0385184375876808,0.999400064930896,1,5,"response to redox state","BP"
"GO:0045746",0.0388297975934799,0.996274163432114,2,40,"negative regulation of Notch signaling pathway","BP"
"GO:0007188",0.0423200899591011,0.995737397629072,2,42,"adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP"
"GO:0016559",0.045641995480437,0.999120409787097,1,6,"peroxisome fission","BP"
"GO:0097320",0.0456459469306762,0.999120256076561,1,6,"plasma membrane tubulation","BP"
"GO:0030857",0.0457013707909864,0.999118098659324,1,6,"negative regulation of epithelial cell differentiation","BP"
"GO:1900746",0.0457183420112631,0.999117437503104,1,6,"regulation of vascular endothelial growth factor signaling pathway","BP"
"GO:0016188",0.0457537864544217,0.999116055862607,1,6,"synaptic vesicle maturation","BP"
"GO:0010955",0.0457968156020989,0.999114377087739,1,6,"negative regulation of protein processing","BP"
"GO:0010954",0.0458034385079279,0.999114118552142,1,6,"positive regulation of protein processing","BP"
"GO:0055129",0.0458389393774922,0.999112732064463,1,6,"L-proline biosynthetic process","BP"
"GO:0031152",0.0459026525497917,0.999110240975003,1,6,"aggregation involved in sorocarp development","BP"
"GO:0031529",0.0459841336102449,0.999107050004407,1,6,"ruffle organization","BP"
"GO:0051302",0.0459970111288286,0.999106545161142,1,6,"regulation of cell division","BP"
"GO:0033327",0.0460038441782912,0.999106277222956,1,6,"Leydig cell differentiation","BP"
"GO:0035640",0.0460425564323342,0.999104758461765,1,6,"exploration behavior","BP"
"GO:0002540",0.0460488187197127,0.999104512655961,1,6,"leukotriene production involved in inflammatory response","BP"
"GO:0090333",0.0460668907022131,0.999103803106117,1,6,"regulation of stomatal closure","BP"
"GO:0030659",0.00180109060532244,0.999760581826689,5,111,"cytoplasmic vesicle membrane","CC"
"GO:0005892",0.00322617809836582,0.999784460193276,3,38,"acetylcholine-gated channel complex","CC"
"GO:0005887",0.00495027433334283,0.997777190645153,19,1265,"integral component of plasma membrane","CC"
"GO:1990467",0.00770956060552849,1,1,1,"NuA3a histone acetyltransferase complex","CC"
"GO:1990468",0.00770956060552849,1,1,1,"NuA3b histone acetyltransferase complex","CC"
"GO:0009705",0.00779484459416444,1,1,1,"plant-type vacuole membrane","CC"
"GO:0036062",0.00783888405514284,1,1,1,"presynaptic periactive zone","CC"
"GO:0005811",0.0154183396347354,0.998143125560921,3,67,"lipid droplet","CC"
"GO:0033557",0.015520873222502,0.999939595479635,1,2,"Slx1-Slx4 complex","CC"
"GO:0030891",0.0229512651280365,0.999823448471675,1,3,"VCB complex","CC"
"GO:0000808",0.0231375190224089,0.999820556167404,1,3,"origin recognition complex","CC"
"GO:0097224",0.0231458270321233,0.999820426600534,1,3,"sperm connecting piece","CC"
"GO:0048269",0.0231818839141546,0.999819863730893,1,3,"methionine adenosyltransferase complex","CC"
"GO:0005927",0.0232228188380862,0.999819223633244,1,3,"muscle tendon junction","CC"
"GO:0042151",0.0286112853055894,0.997686517313139,2,34,"nematocyst","CC"
"GO:0012505",0.0287697821167401,0.997666805932696,2,34,"endomembrane system","CC"
"GO:0045211",0.0296285052219467,0.992169127107996,5,220,"postsynaptic membrane","CC"
"GO:0097165",0.0308462426336606,0.999640252663837,1,4,"nuclear stress granule","CC"
"GO:0097381",0.0309589718577762,0.999637600939885,1,4,"photoreceptor disc membrane","CC"
"GO:0005834",0.0381580568172529,0.999411326107562,1,5,"heterotrimeric G-protein complex","CC"
"GO:0070776",0.038334014678395,0.999405841317931,1,5,"MOZ/MORF histone acetyltransferase complex","CC"
"GO:0042622",0.0384730168261793,0.999401490208392,1,5,"photoreceptor outer segment membrane","CC"
"GO:0032982",0.0385876000878666,0.999397891343606,1,5,"myosin filament","CC"
"GO:0036464",0.0388684343216608,0.996268444145071,2,40,"cytoplasmic ribonucleoprotein granule","CC"
"GO:0005743",0.0415517183713618,0.987980145441166,5,243,"mitochondrial inner membrane","CC"
"GO:0001534",0.0457217776658346,0.999117303627899,1,6,"radial spoke","CC"
"GO:0045169",0.0458494141381921,0.999112322761349,1,6,"fusome","CC"
"GO:0032587",0.0463159417071179,0.995091817118581,2,44,"ruffle membrane","CC"
"GO:0070224",6.05562350523305e-05,1,2,2,"sulfide:quinone oxidoreductase activity","MF"
"GO:0071949",0.000624904407466804,0.999956219418012,4,50,"FAD binding","MF"
"GO:0004601",0.000834715577180838,0.999936555532598,4,54,"peroxidase activity","MF"
"GO:0005351",0.000890188182895116,0.999990797551771,2,6,"carbohydrate:proton symporter activity","MF"
"GO:0005353",0.000890188182895116,0.999990797551771,2,6,"fructose transmembrane transporter activity","MF"
"GO:1901981",0.000890697942663182,0.999990789609475,2,6,"phosphatidylinositol phosphate binding","MF"
"GO:0033300",0.00123968744010462,0.999983991841592,2,7,"dehydroascorbic acid transmembrane transporter activity","MF"
"GO:0015464",0.00214902182965306,0.999876660571343,3,33,"acetylcholine receptor activity","MF"
"GO:0003841",0.00316357422253523,0.999926854374325,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF"
"GO:0005536",0.00317192354389867,0.999926562302721,2,11,"glucose binding","MF"
"GO:0020037",0.00355104243271644,0.999315978364956,6,187,"heme binding","MF"
"GO:0015173",0.00373881923538716,0.99973605654337,3,40,"aromatic amino acid transmembrane transporter activity","MF"
"GO:0015349",0.00430375747569265,0.999679765295504,3,42,"thyroid hormone transmembrane transporter activity","MF"
"GO:0022848",0.00459182241062866,0.999649934063985,3,43,"acetylcholine-gated cation-selective channel activity","MF"
"GO:0005355",0.00518692944100358,0.999839882371025,2,14,"glucose transmembrane transporter activity","MF"
"GO:0004089",0.00671334518147788,0.999759579902544,2,16,"carbonate dehydratase activity","MF"
"GO:0019809",0.00770341643983888,1,1,1,"spermidine binding","MF"
"GO:0010856",0.00771785781823877,1,1,1,"adenylate cyclase activator activity","MF"
"GO:0030250",0.00771785781823877,1,1,1,"guanylate cyclase activator activity","MF"
"GO:0102389",0.00772817695027694,1,1,1,"polyprenol reductase activity","MF"
"GO:0031752",0.00776605200485297,1,1,1,"D5 dopamine receptor binding","MF"
"GO:0004307",0.00777958461146552,1,1,1,"ethanolaminephosphotransferase activity","MF"
"GO:0080103",0.00778366277572357,1,1,1,"4-methylthiopropyl glucosinolate S-oxygenase activity","MF"
"GO:0080107",0.00778366277572357,1,1,1,"8-methylthiopropyl glucosinolate S-oxygenase activity","MF"
"GO:0022821",0.00779484459416444,1,1,1,"solute:potassium antiporter activity","MF"
"GO:0047253",0.00779505521966518,1,1,1,"alpha-1,6-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity","MF"
"GO:0061770",0.0077997512778015,1,1,1,"translation elongation factor binding","MF"
"GO:0098847",0.0077997512778015,1,1,1,"sequence-specific single stranded DNA binding","MF"
"GO:0004463",0.00781964567659159,1,1,1,"leukotriene-A4 hydrolase activity","MF"
"GO:0004350",0.00783423006627672,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF"
"GO:0050111",0.00783888405514745,1,1,1,"mycocerosate synthase activity","MF"
"GO:0008028",0.00823379358374593,0.99921841840414,3,53,"monocarboxylic acid transmembrane transporter activity","MF"
"GO:0048038",0.00943938563563189,0.999589890918946,2,19,"quinone binding","MF"
"GO:0061928",0.015382346325907,0.999940673090343,1,2,"glutathione specific gamma-glutamylcyclotransferase activity","MF"
"GO:0010698",0.0154639392739252,0.999940039556101,1,2,"acetyltransferase activator activity","MF"
"GO:0004145",0.015477868684309,0.999939931061318,1,2,"diamine N-acetyltransferase activity","MF"
"GO:0003963",0.015499034312126,0.999939766015162,1,2,"RNA-3'-phosphate cyclase activity","MF"
"GO:0030957",0.0155977482210059,0.999938993245636,1,2,"Tat protein binding","MF"
"GO:0004349",0.0156119954301146,0.999938881303157,1,2,"glutamate 5-kinase activity","MF"
"GO:0005009",0.0156166131094133,0.99993884499916,1,2,"insulin receptor activity","MF"
"GO:0051425",0.0156166131094133,0.99993884499916,1,2,"PTB domain binding","MF"
"GO:0000978",0.021567306714983,0.994752105299316,5,203,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"GO:0016799",0.0230962914357203,0.999821198429762,1,3,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF"
"GO:1904841",0.0231055441476967,0.999821054388011,1,3,"TORC2 complex binding","MF"
"GO:0008466",0.0231448560554589,0.999820441745758,1,3,"glycogenin glucosyltransferase activity","MF"
"GO:0102751",0.0231448560554589,0.999820441745758,1,3,"UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity","MF"
"GO:0033743",0.0231544157810703,0.999820292605745,1,3,"peptide-methionine (R)-S-oxide reductase activity","MF"
"GO:0016716",0.0231808586724771,0.999819879747827,1,3,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF"
"GO:0009034",0.0231890439347489,0.99981975185274,1,3,"tryptophanase activity","MF"
"GO:0004396",0.0231931834835529,0.999819687154641,1,3,"hexokinase activity","MF"
"GO:0019158",0.0231931834835529,0.999819687154641,1,3,"mannokinase activity","MF"
"GO:0008470",0.0232194397541383,0.999819276515277,1,3,"isovaleryl-CoA dehydrogenase activity","MF"
"GO:0004301",0.0232386780941758,0.999818975334402,1,3,"epoxide hydrolase activity","MF"
"GO:0004420",0.0232424619031344,0.999818916068135,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF"
"GO:0010997",0.0232584378664961,0.999818665726578,1,3,"anaphase-promoting complex binding","MF"
"GO:0004478",0.0232671644117075,0.999818528908794,1,3,"methionine adenosyltransferase activity","MF"
"GO:0004657",0.0232734742339729,0.999818429948745,1,3,"proline dehydrogenase activity","MF"
"GO:0043565",0.0235979953269501,0.992361270769905,7,362,"sequence-specific DNA binding","MF"
"GO:0000977",0.0240173208693261,0.995157067119279,4,140,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"GO:0015171",0.0304348609280207,0.997452927378976,2,35,"amino acid transmembrane transporter activity","MF"
"GO:0003865",0.0306669298532255,0.999644450303251,1,4,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF"
"GO:0004340",0.0307228925411788,0.999643142918571,1,4,"glucokinase activity","MF"
"GO:0008865",0.0307676079599029,0.999642096542289,1,4,"fructokinase activity","MF"
"GO:0008140",0.0308095169176135,0.999641114430408,1,4,"cAMP response element binding protein binding","MF"
"GO:0016780",0.0308522492010707,0.999640111620488,1,4,"phosphotransferase activity, for other substituted phosphate groups","MF"
"GO:0032027",0.0308875170835926,0.999639282911862,1,4,"myosin light chain binding","MF"
"GO:0044547",0.0309436411362806,0.999637962143338,1,4,"DNA topoisomerase binding","MF"
"GO:0043559",0.0309905018012375,0.999636857496843,1,4,"insulin binding","MF"
"GO:1990841",0.0353395991126101,0.996783834004574,2,38,"promoter-specific chromatin binding","MF"
"GO:0051879",0.0371573028379166,0.996521974742674,2,39,"Hsp90 protein binding","MF"
"GO:0003839",0.0381263865098932,0.999412310560602,1,5,"gamma-glutamylcyclotransferase activity","MF"
"GO:0004064",0.0383434656820241,0.999405545989178,1,5,"arylesterase activity","MF"
"GO:0004825",0.0384010991518448,0.999403743422033,1,5,"methionine-tRNA ligase activity","MF"
"GO:0050129",0.038471511195921,0.99940153742472,1,5,"N-formylglutamate deformylase activity","MF"
"GO:0000981",0.0399495780633546,0.988565754014421,5,240,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"GO:0097677",0.0459026581458453,0.99911024075605,1,6,"STAT family protein binding","MF"
"GO:0004051",0.0460488187197127,0.999104512655961,1,6,"arachidonate 5-lipoxygenase activity","MF"
"GO:0005506",0.0460709320170782,0.988603498744654,4,172,"iron ion binding","MF"
"GO:0031276",0.00771785781823877,1,1,1,NA,NA
"GO:0055114",0.0144965710951737,0.997492196184571,4,120,NA,NA
"GO:0030423",0.0460571693889384,0.999104184824015,1,6,NA,NA
