"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes"
"11","anatomical structure development","GO:0048856","GO:0009954",0.020739225857413,0.998630252983755,2,20,"proximal/distal pattern formation","BP",1,"Pver_g1739, Pver_g2058, Pver_g3560, Pver_g3838, Pver_g4375, Pver_g5178, Pver_g5208, Pver_g5234, Pver_g9182, Pver_g9469, Pver_g11054, Pver_g11055, Pver_g15186, Pver_g15740, Pver_g15923, Pver_g16086, Pver_g19080, Pver_g23321, Pver_g25664, Pver_g26166"
"12","anatomical structure development","GO:0048856","GO:0010222",0.0359738767369185,0.999563282267243,1,3,"stem vascular tissue pattern formation","BP",1,"Pver_g5052, Pver_g13279, Pver_g18735"
"13","anatomical structure development","GO:0048856","GO:0010588",0.0476771360121092,0.999133542287892,1,4,"cotyledon vascular tissue pattern formation","BP",1,"Pver_g5052, Pver_g13279, Pver_g14176, Pver_g18735"
"14","anatomical structure development","GO:0048856","GO:0014032",0.0236591638546465,0.998311824039007,2,22,"neural crest cell development","BP",1,"Pver_g764, Pver_g1156, Pver_g1610, Pver_g4120, Pver_g5865, Pver_g6015, Pver_g6121, Pver_g7253, Pver_g7471, Pver_g9326, Pver_g9522, Pver_g10921, Pver_g12127, Pver_g12262, Pver_g13368, Pver_g14140, Pver_g14844, Pver_g15186, Pver_g15240, Pver_g16544, Pver_g25625, Pver_g25716"
"15","anatomical structure development","GO:0048856","GO:0014037",0.00984921588222467,0.999579702494483,2,13,"Schwann cell differentiation","BP",1,"Pver_g1050, Pver_g5102, Pver_g6955, Pver_g6957, Pver_g7274, Pver_g7717, Pver_g9200, Pver_g12989, Pver_g14598, Pver_g14710, Pver_g15427, Pver_g15428, Pver_g18647"
"16","anatomical structure development","GO:0048856","GO:0021513",0.033805303029382,0.999614730270984,1,3,"spinal cord dorsal/ventral patterning","BP",1,"Pver_g71, Pver_g7018, Pver_g8997"
"17","anatomical structure development","GO:0048856","GO:0021537",0.00803646683432793,0.999253820994456,3,38,"telencephalon development","BP",1,"Pver_g488, Pver_g629, Pver_g1156, Pver_g1157, Pver_g1198, Pver_g3163, Pver_g3544, Pver_g4180, Pver_g4448, Pver_g4449, Pver_g4723, Pver_g4726, Pver_g4727, Pver_g4729, Pver_g5118, Pver_g5929, Pver_g6609, Pver_g6862, Pver_g7018, Pver_g9902, Pver_g10763, Pver_g10921, Pver_g12961, Pver_g13864, Pver_g14115, Pver_g14243, Pver_g14315, Pver_g14903, Pver_g15960, Pver_g17233, Pver_g17602, Pver_g20439, Pver_g23646, Pver_g25621, Pver_g25622, Pver_g26260, Pver_g26751, Pver_g26789, Pver_novel_model_252_5de57afd"
"18","anatomical structure development","GO:0048856","GO:0021544",0.017412978628415,0.999923828682389,1,2,"subpallium development","BP",1,"Pver_g3838, Pver_g8295"
"19","anatomical structure development","GO:0048856","GO:0021688",0.0241297469911859,0.999853229646851,1,2,"cerebellar molecular layer formation","BP",1,"Pver_g15186, Pver_g15740"
"20","anatomical structure development","GO:0048856","GO:0021693",0.0440412231221807,0.999261818786898,1,4,"cerebellar Purkinje cell layer structural organization","BP",1,"Pver_g1462, Pver_g13350, Pver_g15186, Pver_g15740"
"21","anatomical structure development","GO:0048856","GO:0021695",0.0469833005429179,0.999158830229374,1,4,"cerebellar cortex development","BP",1,"Pver_g8065, Pver_g13301, Pver_g16144, Pver_g25700"
"22","anatomical structure development","GO:0048856","GO:0021858",0.0102949611327681,1,1,1,"GABAergic neuron differentiation in basal ganglia","BP",1,"Pver_g8642"
"23","anatomical structure development","GO:0048856","GO:0021879",0.0300013745080256,0.999697083473231,1,3,"forebrain neuron differentiation","BP",1,"Pver_g3037, Pver_g3409, Pver_g3838"
"24","anatomical structure development","GO:0048856","GO:0021893",0.00603818639889422,1,1,1,"cerebral cortex GABAergic interneuron fate commitment","BP",1,"Pver_g3838"
"25","anatomical structure development","GO:0048856","GO:0021903",0.0447763412375798,0.999236727956057,1,4,"rostrocaudal neural tube patterning","BP",1,"Pver_g6262, Pver_g6263, Pver_g6264, Pver_g6266"
"26","anatomical structure development","GO:0048856","GO:0033092",0.0447763412375798,0.999236727956057,1,4,"positive regulation of immature T cell proliferation in thymus","BP",1,"Pver_g6262, Pver_g6263, Pver_g6264, Pver_g6266"
"27","anatomical structure development","GO:0048856","GO:0033504",0.00537869865886291,0.999829194346269,2,15,"floor plate development","BP",1,"Pver_g1546, Pver_g4013, Pver_g4140, Pver_g5921, Pver_g5925, Pver_g5928, Pver_g7711, Pver_g11801, Pver_g13405, Pver_g14844, Pver_g15186, Pver_g16278, Pver_g16722, Pver_g17601, Pver_g17602, Pver_novel_model_639_5de57afd"
"28","anatomical structure development","GO:0048856","GO:0035469",0.0204883086965827,0.998630715848638,2,26,"determination of pancreatic left/right asymmetry","BP",1,"Pver_g1936, Pver_g5307, Pver_g5699, Pver_g6350, Pver_g7201, Pver_g8046, Pver_g12247, Pver_g12384, Pver_g12504, Pver_g15186, Pver_g15696, Pver_g15740, Pver_g16369, Pver_g17472, Pver_g18789, Pver_g20274, Pver_g20413, Pver_g20582, Pver_g21150, Pver_g22252, Pver_g22360, Pver_g22394, Pver_g22482, Pver_g22536, Pver_g22638, Pver_g23729"
"29","anatomical structure development","GO:0048856","GO:0045654",0.023200393712959,0.999864382027952,1,2,"positive regulation of megakaryocyte differentiation","BP",1,"Pver_g15639, Pver_g26231"
"30","anatomical structure development","GO:0048856","GO:0045682",0.0227050895240287,0.999870143676751,1,2,"regulation of epidermis development","BP",1,"Pver_g7717, Pver_g13954"
"31","anatomical structure development","GO:0048856","GO:0045886",0.0119666443459679,0.999413695772393,2,18,"negative regulation of synaptic assembly at neuromuscular junction","BP",1,"Pver_g1210, Pver_g2043, Pver_g5236, Pver_g5857, Pver_g5869, Pver_g6559, Pver_g11065, Pver_g11647, Pver_g12301, Pver_g12814, Pver_g13168, Pver_g14017, Pver_g14188, Pver_g15216, Pver_g15885, Pver_g18905, Pver_g19813, Pver_g21228"
"32","anatomical structure development","GO:0048856","GO:0048581",0.0241273615494165,0.999853258843499,1,2,"negative regulation of post-embryonic development","BP",1,"Pver_g13279, Pver_g18735"
"33","anatomical structure development","GO:0048856","GO:0048633",0.0469700674721281,0.99915930881618,1,4,"positive regulation of skeletal muscle tissue growth","BP",1,"Pver_g316, Pver_g11463, Pver_g15186, Pver_g15740"
"34","anatomical structure development","GO:0048856","GO:0048646",0.0479936732462712,0.988007513954289,4,123,"anatomical structure formation involved in morphogenesis","BP",1,"Pver_g18, Pver_g425, Pver_g718, Pver_g1156, Pver_g1157, Pver_g1260, Pver_g1487, Pver_g2130, Pver_g2132, Pver_g2145, Pver_g2462, Pver_g2535, Pver_g2537, Pver_g2591, Pver_g2647, Pver_g2746, Pver_g3038, Pver_g3039, Pver_g3040, Pver_g3044, Pver_g3526, Pver_g3783, Pver_g3838, Pver_g3860, Pver_g3918, Pver_g3953, Pver_g4019, Pver_g4448, Pver_g4449, Pver_g5098, Pver_g5099, Pver_g5102, Pver_g5118, Pver_g5376, Pver_g5410, Pver_g5445, Pver_g5495, Pver_g5497, Pver_g5767, Pver_g5768, Pver_g5926, Pver_g5976, Pver_g6352, Pver_g6404, Pver_g6442, Pver_g6955, Pver_g6957, Pver_g7357, Pver_g7819, Pver_g8082, Pver_g8478, Pver_g8548, Pver_g8550, Pver_g8667, Pver_g8796, Pver_g8889, Pver_g8915, Pver_g9159, Pver_g9162, Pver_g9163, Pver_g9173, Pver_g9200, Pver_g9383, Pver_g9722, Pver_g9748, Pver_g10536, Pver_g10653, Pver_g10921, Pver_g10988, Pver_g11034, Pver_g11362, Pver_g11453, Pver_g11570, Pver_g12178, Pver_g12267, Pver_g12635, Pver_g12989, Pver_g13153, Pver_g14057, Pver_g14296, Pver_g14425, Pver_g14502, Pver_g14534, Pver_g14598, Pver_g14710, Pver_g14787, Pver_g14903, Pver_g15010, Pver_g15156, Pver_g15206, Pver_g15209, Pver_g15210, Pver_g15271, Pver_g15302, Pver_g15903, Pver_g16405, Pver_g16559, Pver_g16827, Pver_g17086, Pver_g17472, Pver_g17978, Pver_g18143, Pver_g18647, Pver_g18761, Pver_g18890, Pver_g19021, Pver_g19080, Pver_g20106, Pver_g20211, Pver_g20256, Pver_g20484, Pver_g20842, Pver_g21198, Pver_g22882, Pver_g23244, Pver_g23269, Pver_g23729, Pver_g24551, Pver_g24820, Pver_g25613, Pver_g25768, Pver_g25912, Pver_g26443, Pver_novel_model_133_5de57afd, Pver_novel_model_269_5de57afd"
"35","anatomical structure development","GO:0048856","GO:0048814",0.0212695115604595,0.998576272810737,2,20,"regulation of dendrite morphogenesis","BP",1,"Pver_g816, Pver_g1252, Pver_g1498, Pver_g1864, Pver_g1866, Pver_g2884, Pver_g3868, Pver_g4020, Pver_g4724, Pver_g5236, Pver_g6559, Pver_g10876, Pver_g10911, Pver_g12511, Pver_g12881, Pver_g14525, Pver_g18094, Pver_g23024, Pver_g25796, Pver_g25909"
"36","anatomical structure development","GO:0048856","GO:0048857",0.0120330028019449,1,1,1,"neural nucleus development","BP",1,"Pver_g16873"
"37","anatomical structure development","GO:0048856","GO:0050773",0.00510968166510577,0.999851232102068,2,10,"regulation of dendrite development","BP",1,"Pver_g630, Pver_g2182, Pver_g3261, Pver_g7972, Pver_g10782, Pver_g15655, Pver_g17156, Pver_g20559, Pver_g20618, Pver_g25603, Pver_novel_model_662_5de57afd"
"38","anatomical structure development","GO:0048856","GO:0060034",0.0348497591556249,0.999590360018261,1,3,"notochord cell differentiation","BP",1,"Pver_g14844, Pver_g15186, Pver_g22890"
"39","anatomical structure development","GO:0048856","GO:0060217",0.0245985996429616,0.99979686096816,1,3,"hemangioblast cell differentiation","BP",1,"Pver_g2540, Pver_g14589, Pver_g22809, Pver_novel_model_111_5de57afd, Pver_novel_model_751_5de57afd"
"40","anatomical structure development","GO:0048856","GO:0060509",0.0348039306375569,0.99959144525912,1,3,"type I pneumocyte differentiation","BP",1,"Pver_g14243, Pver_g16312, Pver_g25935"
"41","anatomical structure development","GO:0048856","GO:0060853",0.0359762333326238,0.999563224576339,1,3,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP",1,"Pver_g10963, Pver_g15186, Pver_g15740"
"42","anatomical structure development","GO:0048856","GO:0071910",0.0226571677281584,0.998399148692318,2,27,"determination of liver left/right asymmetry","BP",1,"Pver_g1936, Pver_g5307, Pver_g5699, Pver_g6350, Pver_g7201, Pver_g8046, Pver_g8527, Pver_g12247, Pver_g12384, Pver_g12504, Pver_g15186, Pver_g15696, Pver_g15740, Pver_g16369, Pver_g17472, Pver_g18789, Pver_g20274, Pver_g20413, Pver_g20582, Pver_g21150, Pver_g22252, Pver_g22360, Pver_g22394, Pver_g22482, Pver_g22536, Pver_g22638, Pver_g23729"
"43","anatomical structure development","GO:0048856","GO:0072013",0.0403801166842746,0.999380425276886,1,4,"glomus development","BP",1,"Pver_g1504, Pver_g4013, Pver_g10298, Pver_g17174"
"44","anatomical structure development","GO:0048856","GO:0072080",0.0160922043267882,0.999078951656932,2,18,"nephron tubule development","BP",1,"Pver_g2536, Pver_g2700, Pver_g5131, Pver_g10943, Pver_g11574, Pver_g12237, Pver_g13359, Pver_g14534, Pver_g16001, Pver_g16510, Pver_g18411, Pver_g19502, Pver_g19872, Pver_g22982, Pver_g23173, Pver_g23334, Pver_g23567, Pver_g26220"
"45","anatomical structure development","GO:0048856","GO:0072082",0.00642574295250061,1,1,1,"specification of proximal tubule identity","BP",1,"Pver_g4013"
"46","anatomical structure development","GO:0048856","GO:0072196",0.0184166348776645,0.999914751318438,1,2,"proximal/distal pattern formation involved in pronephric nephron development","BP",1,"Pver_g1279, Pver_g4013"
"47","anatomical structure development","GO:0048856","GO:0090129",0.0475803285504332,0.999137093535578,1,4,"positive regulation of synapse maturation","BP",1,"Pver_g10, Pver_g630, Pver_g939, Pver_g4304, Pver_novel_model_662_5de57afd"
"48","anatomical structure development","GO:0048856","GO:0097094",0.0310915459143382,0.999634142668631,1,4,"craniofacial suture morphogenesis","BP",1,"Pver_g71, Pver_g381, Pver_g7846, Pver_g13894, Pver_novel_model_90_5de57afd"
"49","anatomical structure development","GO:0048856","GO:0097102",0.0241297469911859,0.999853229646851,1,2,"endothelial tip cell fate specification","BP",1,"Pver_g15186, Pver_g15740"
"50","anatomical structure development","GO:0048856","GO:0098773",0.0356652208769486,0.999570804881806,1,3,"skin epidermis development","BP",1,"Pver_g4223, Pver_g15186, Pver_g15740"
"51","anatomical structure development","GO:0048856","GO:1902871",0.00603818639889422,1,1,1,"positive regulation of amacrine cell differentiation","BP",1,"Pver_g3838"
"52","anatomical structure development","GO:0048856","GO:1904146",0.0120354377573889,1,1,1,"positive regulation of meiotic cell cycle process involved in oocyte maturation","BP",1,"Pver_g630, Pver_novel_model_662_5de57afd"
"53","anatomical structure development","GO:0048856","GO:1990402",0.0338788886125202,0.999613038151908,1,3,"embryonic liver development","BP",1,"Pver_g13135, Pver_g19246, Pver_g23091"
"54","anatomical structure development","GO:0048856","GO:2000194",0.012138258484023,1,1,1,"regulation of female gonad development","BP",1,"Pver_g19246"
"55","anatomical structure development","GO:0048856","GO:2000726",0.046841575966099,0.999163948610889,1,4,"negative regulation of cardiac muscle cell differentiation","BP",1,"Pver_g11430, Pver_g14557, Pver_g15186, Pver_g15740"
"56","anatomical structure development","GO:0048856","GO:2000820",0.00642574295250061,1,1,1,"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation","BP",1,"Pver_g4013"
"57","carbohydrate derivative metabolic process","GO:1901135","GO:0010560",0.0241297469911859,0.999853229646851,1,2,"positive regulation of glycoprotein biosynthetic process","BP",1,"Pver_g13135, Pver_g19246"
"58","carbohydrate derivative metabolic process","GO:1901135","GO:0051156",0.0474694602753975,0.999084638307988,1,5,"glucose 6-phosphate metabolic process","BP",1,"Pver_g542, Pver_g849, Pver_g15167, Pver_g18012, Pver_g20305"
"59","carbohydrate metabolic process","GO:0005975","GO:0045725",0.045415061857558,0.999214580191625,1,4,"positive regulation of glycogen biosynthetic process","BP",1,"Pver_g849, Pver_g12449, Pver_g16142, Pver_g19246"
"60","catalytic activity","GO:0003824","GO:0000254",0.0111975299621082,1,1,1,"C-4 methylsterol oxidase activity","MF",1,"Pver_g15639"
"61","catalytic activity","GO:0003824","GO:0003839",0.0453189734621469,0.999166440558546,1,5,"gamma-glutamylcyclotransferase activity","MF",1,"Pver_g2049, Pver_g11755, Pver_g14756, Pver_novel_model_470_5de57afd, Pver_g12098, Pver_g10665"
"62","catalytic activity","GO:0003824","GO:0003841",0.00592341728807093,0.999810677632677,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF",1,"Pver_g7166, Pver_g11748, Pver_g11749, Pver_g14589, Pver_g14810, Pver_g14862, Pver_g15169, Pver_g15783, Pver_g15784, Pver_g16737, Pver_g22809, Pver_novel_model_751_5de57afd"
"63","catalytic activity","GO:0003824","GO:0003865",0.0149059845003271,0.99994425403639,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1,"Pver_g2055, Pver_g13043"
"64","catalytic activity","GO:0003824","GO:0003963",0.0241112827727401,0.99985345556322,1,2,"RNA-3'-phosphate cyclase activity","MF",1,"Pver_g16339, Pver_g15241"
"65","catalytic activity","GO:0003824","GO:0004085",0.0297160104631478,0.999702857242314,1,3,"butyryl-CoA dehydrogenase activity","MF",1,"Pver_g778, Pver_g24733, Pver_g26142"
"66","catalytic activity","GO:0003824","GO:0004089",0.0182699192351686,0.998876500689723,2,19,"carbonate dehydratase activity","MF",1,"Pver_g1323, Pver_g1324, Pver_g2951, Pver_g6748, Pver_g8579, Pver_g14124, Pver_g17210, Pver_g26051, Pver_g1325, Pver_g5371, Pver_g6302, Pver_g7331, Pver_g8578, Pver_g14123, Pver_g14125, Pver_g14126, Pver_g14127, Pver_g18337, Pver_g25586, Pver_novel_model_553_5de57afd"
"67","catalytic activity","GO:0003824","GO:0004307",0.0112363420446187,1,1,1,"ethanolaminephosphotransferase activity","MF",1,"Pver_g5863"
"68","catalytic activity","GO:0003824","GO:0004340",0.0239174562788422,0.999808014584699,1,3,"glucokinase activity","MF",1,"Pver_g542, Pver_g849, Pver_g20305"
"69","catalytic activity","GO:0003824","GO:0004349",0.0241297466144361,0.999853229651462,1,2,"glutamate 5-kinase activity","MF",1,"Pver_g23763, Pver_g26149"
"70","catalytic activity","GO:0003824","GO:0004350",0.012138258484023,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF",1,"Pver_g26149"
"71","catalytic activity","GO:0003824","GO:0004396",0.0295908076541564,0.999705372698314,1,3,"hexokinase activity","MF",1,"Pver_g541, Pver_g542, Pver_g849"
"72","catalytic activity","GO:0003824","GO:0004420",0.0350193293586195,0.999586331798639,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF",1,"Pver_g4188, Pver_g4796, Pver_g10560"
"73","catalytic activity","GO:0003824","GO:0004463",0.012138258484023,1,1,1,"leukotriene-A4 hydrolase activity","MF",1,"Pver_g16312"
"74","catalytic activity","GO:0003824","GO:0004478",0.0332251321594218,0.999627939613511,1,3,"methionine adenosyltransferase activity","MF",1,"Pver_g846, Pver_g14739, Pver_g18546"
"75","catalytic activity","GO:0003824","GO:0004497",0.0412715476473527,0.990160322613657,4,129,"monooxygenase activity","MF",1,"Pver_g54, Pver_g2377, Pver_g2953, Pver_g3245, Pver_g3639, Pver_g5770, Pver_g5774, Pver_g6324, Pver_g8083, Pver_g8430, Pver_g8431, Pver_g8974, Pver_g9203, Pver_g9424, Pver_g10126, Pver_g10127, Pver_g11046, Pver_g11178, Pver_g11179, Pver_g12036, Pver_g12037, Pver_g12064, Pver_g12174, Pver_g12312, Pver_g12515, Pver_g13271, Pver_g15709, Pver_g16761, Pver_g17640, Pver_g17641, Pver_g17642, Pver_g17806, Pver_g18926, Pver_g19092, Pver_g19539, Pver_g21037, Pver_g23502, Pver_g25985, Pver_g26687, Pver_g507, Pver_g1099, Pver_g1877, Pver_g2683, Pver_g2878, Pver_g3133, Pver_g3638, Pver_g3640, Pver_g3641, Pver_g3872, Pver_g4231, Pver_g4630, Pver_g4631, Pver_g4632, Pver_g4761, Pver_g4762, Pver_g5027, Pver_g5068, Pver_g5576, Pver_g5661, Pver_g5679, Pver_g5771, Pver_g5772, Pver_g6214, Pver_g6596, Pver_g6767, Pver_g6769, Pver_g7555, Pver_g7889, Pver_g9488, Pver_g9489, Pver_g9614, Pver_g9733, Pver_g10021, Pver_g10024, Pver_g10125, Pver_g10671, Pver_g10672, Pver_g10691, Pver_g10692, Pver_g11670, Pver_g13154, Pver_g13375, Pver_g13462, Pver_g13618, Pver_g13619, Pver_g14135, Pver_g14434, Pver_g14456, Pver_g14457, Pver_g14493, Pver_g16049, Pver_g16050, Pver_g16147, Pver_g16205, Pver_g17321, Pver_g17822, Pver_g17952, Pver_g19430, Pver_g19937, Pver_g20107, Pver_g21348, Pver_g22975, Pver_g23616, Pver_g23906, Pver_g25107, Pver_g25760, Pver_g25924, Pver_g25983, Pver_g26491, Pver_g26492, Pver_g26534, Pver_g26544, Pver_novel_model_50_5de57afd, Pver_g1644, Pver_g1645, Pver_g1650, Pver_g1682, Pver_g4082, Pver_g5525, Pver_g5526, Pver_g19794, Pver_g9004, Pver_g11247, Pver_g11835, Pver_g20735, Pver_g20943, Pver_g22145, Pver_g22190, Pver_g22604, Pver_g24030"
"76","catalytic activity","GO:0003824","GO:0004657",0.0325083983975035,0.999643935340596,1,3,"proline dehydrogenase activity","MF",1,"Pver_g8101, Pver_g23871, Pver_g15293"
"77","catalytic activity","GO:0003824","GO:0004825",0.0381900266846582,0.999446332318814,1,4,"methionine-tRNA ligase activity","MF",1,"Pver_g12577, Pver_g14740, Pver_g25471, Pver_g23926"
"78","catalytic activity","GO:0003824","GO:0005009",0.0359762333326238,0.999563224576339,1,3,"insulin receptor activity","MF",1,"Pver_g13135, Pver_g14771, Pver_g19246"
"79","catalytic activity","GO:0003824","GO:0008470",0.0193018054805442,0.999906317445602,1,2,"isovaleryl-CoA dehydrogenase activity","MF",1,"Pver_g24733, Pver_g26142"
"80","catalytic activity","GO:0003824","GO:0008865",0.0261106724809928,0.999770962175442,1,3,"fructokinase activity","MF",1,"Pver_g542, Pver_g849, Pver_g8963"
"81","catalytic activity","GO:0003824","GO:0016034",0.0116949569821957,1,1,1,"maleylacetoacetate isomerase activity","MF",1,"Pver_g9166"
