"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"245","GO:0071910",0.0226571677282371,0.998399148692309,2,27,"determination of liver left/right asymmetry","BP",1
"248","GO:0072080",0.0160922043267535,0.999078951656935,2,18,"nephron tubule development","BP",1
"265","GO:0098691",0.00129069100569948,0.999985168093224,2,5,"dopaminergic synapse","CC",1
"269","GO:0098849",0.000910510560717547,0.999991236657742,2,5,"cellular detoxification of cadmium ion","BP",1
"271","GO:0098981",0.0235719294825515,0.998327116399158,2,21,"cholinergic synapse","CC",1
"295","GO:1904659",0.00999323112066485,0.999566172056246,2,14,"glucose transmembrane transport","BP",1
"1","GO:0000254",0.0111975299619265,1,1,1,"C-4 methylsterol oxidase activity","MF",1
"2","GO:0000755",0.00649223644734455,1,1,1,"cytogamy","BP",1
"3","GO:0000808",0.0460312362700501,0.999192908058534,1,4,"origin recognition complex","CC",1
"5","GO:0001162",0.0480722352974363,0.99906100872031,1,5,"RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","MF",1
"8","GO:0002412",0.0430988139914198,0.999215806347023,1,6,"antigen transcytosis by M cells in mucosal-associated lymphoid tissue","BP",1
"9","GO:0002523",0.0355032216792378,0.999574726576727,1,3,"leukocyte migration involved in inflammatory response","BP",1
"10","GO:0002688",0.0121280959281503,1,1,1,"regulation of leukocyte chemotaxis","BP",1
"11","GO:0003428",0.0231484707708271,0.999864991961286,1,2,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP",1
"12","GO:0003839",0.0453189734621718,0.999166440558545,1,5,"gamma-glutamylcyclotransferase activity","MF",1
"14","GO:0003865",0.0149059845004369,0.999944254036389,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1
"15","GO:0003963",0.0241112827726999,0.999853455563221,1,2,"RNA-3'-phosphate cyclase activity","MF",1
"16","GO:0004085",0.0297160104631908,0.999702857242313,1,3,"butyryl-CoA dehydrogenase activity","MF",1
"18","GO:0004307",0.0112363420444325,1,1,1,"ethanolaminephosphotransferase activity","MF",1
"19","GO:0004340",0.0239174562785992,0.999808014584703,1,3,"glucokinase activity","MF",1
"20","GO:0004349",0.0241297466146009,0.99985322965146,1,2,"glutamate 5-kinase activity","MF",1
"21","GO:0004350",0.0121382584841913,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF",1
"22","GO:0004396",0.0295908076539343,0.999705372698318,1,3,"hexokinase activity","MF",1
"23","GO:0004420",0.0350193293582598,0.999586331798647,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF",1
"24","GO:0004463",0.012138258484189,1,1,1,"leukotriene-A4 hydrolase activity","MF",1
"25","GO:0004478",0.0332251321597466,0.999627939613504,1,3,"methionine adenosyltransferase activity","MF",1
"27","GO:0004657",0.0325083983974804,0.999643935340596,1,3,"proline dehydrogenase activity","MF",1
"28","GO:0004825",0.0381900266849673,0.999446332318805,1,4,"methionine-tRNA ligase activity","MF",1
"29","GO:0005009",0.0359762333330685,0.999563224576328,1,3,"insulin receptor activity","MF",1
"30","GO:0005222",0.0349666652978194,0.999587585001918,1,3,"intracellular cAMP-activated cation channel activity","MF",1
"34","GO:0005483",0.0223261280229698,0.999874466553873,1,2,"soluble NSF attachment protein activity","MF",1
"37","GO:0005602",0.0101279921056328,1,1,1,"complement component C1 complex","CC",1
"38","GO:0005640",0.0416082735344343,0.999341815333061,1,4,"nuclear outer membrane","CC",1
"44","GO:0005899",0.0121382584841913,1,1,1,"insulin receptor complex","CC",1
"46","GO:0006431",0.0381900266849673,0.999446332318805,1,4,"methionyl-tRNA aminoacylation","BP",1
"47","GO:0006562",0.0359744275443556,0.999563268783487,1,3,"proline catabolic process","BP",1
"48","GO:0006592",0.0121382584841913,1,1,1,"ornithine biosynthetic process","BP",1
"55","GO:0006958",0.03565170767687,0.999518011847617,1,4,"complement activation, classical pathway","BP",1
"56","GO:0006968",0.0239542846009911,0.999855369376493,1,2,"cellular defense response","BP",1
"58","GO:0007171",0.0219926359145332,0.999878209541138,1,2,"activation of transmembrane receptor protein tyrosine kinase activity","BP",1
"59","GO:0007185",0.0352093224578259,0.999529988394434,1,4,"transmembrane receptor protein tyrosine phosphatase signaling pathway","BP",1
"61","GO:0007310",0.0189099011284262,0.999910101034952,1,2,"oocyte dorsal/ventral axis specification","BP",1
"62","GO:0007350",0.0256638723726091,0.999778778549551,1,3,"blastoderm segmentation","BP",1
"64","GO:0008470",0.0193018054807001,0.999906317445601,1,2,"isovaleryl-CoA dehydrogenase activity","MF",1
"65","GO:0008612",0.0233890474533853,0.999862154223183,1,2,"peptidyl-lysine modification to peptidyl-hypusine","BP",1
"66","GO:0008865",0.0261106724807792,0.999770962175445,1,3,"fructokinase activity","MF",1
"68","GO:0009087",0.0213449709715619,0.99988531508233,1,2,"methionine catabolic process","BP",1
"71","GO:0009682",0.0121382584841913,1,1,1,"induced systemic resistance","BP",1
"72","GO:0009738",0.0241273615494213,0.999853258843499,1,2,"abscisic acid-activated signaling pathway","BP",1
"75","GO:0010148",0.0359738767370871,0.999563282267239,1,3,"transpiration","BP",1
"76","GO:0010184",0.0359738767370871,0.999563282267239,1,3,"cytokinin transport","BP",1
"77","GO:0010222",0.0359738767370871,0.999563282267239,1,3,"stem vascular tissue pattern formation","BP",1
"78","GO:0010310",0.0455712895323377,0.999209113801549,1,4,"regulation of hydrogen peroxide metabolic process","BP",1
"79","GO:0010496",0.0241273615494213,0.999853258843499,1,2,"intercellular transport","BP",1
"80","GO:0010560",0.0241297469914702,0.999853229646847,1,2,"positive regulation of glycoprotein biosynthetic process","BP",1
"81","GO:0010588",0.047677136012431,0.99913354228788,1,4,"cotyledon vascular tissue pattern formation","BP",1
"82","GO:0010597",0.0121382579911181,1,1,1,"green leaf volatile biosynthetic process","BP",1
"84","GO:0010856",0.0241297469913603,0.999853229646849,1,2,"adenylate cyclase activator activity","MF",1
"88","GO:0014056",0.0115289498196992,1,1,1,"regulation of acetylcholine secretion, neurotransmission","BP",1
"89","GO:0014728",0.0121382584841913,1,1,1,"regulation of the force of skeletal muscle contraction","BP",1
"91","GO:0015574",0.0452638671172904,0.999219852075563,1,4,"trehalose transmembrane transporter activity","MF",1
"93","GO:0015771",0.0452638671172904,0.999219852075563,1,4,"trehalose transport","BP",1
"95","GO:0016034",0.0116949569819701,1,1,1,"maleylacetoacetate isomerase activity","MF",1
"98","GO:0016671",0.0499604316039891,0.998984999272324,1,5,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF",1
"101","GO:0016803",0.0155299883740475,0.999939469820379,1,2,"ether hydrolase activity","MF",1
"104","GO:0018117",0.0487701861332394,0.999033264275474,1,5,"protein adenylylation","BP",1
"105","GO:0018996",0.0478027452163076,0.999071611051527,1,5,"molting cycle, collagen and cuticulin-based cuticle","BP",1
"106","GO:0019087",0.0241297469914802,0.999853229646847,1,2,"transformation of host cell by virus","BP",1
"107","GO:0019240",0.0354588380984859,0.999575797827229,1,3,"citrulline biosynthetic process","BP",1
"109","GO:0019470",0.0359744390987388,0.999563268500634,1,3,"4-hydroxyproline catabolic process","BP",1
"110","GO:0019761",0.0146140705556063,0.999946424017319,1,2,"glucosinolate biosynthetic process","BP",1
"114","GO:0019954",0.0241297469913463,0.999853229646849,1,2,"asexual reproduction","BP",1
"115","GO:0021513",0.0338053030292868,0.999614730270987,1,3,"spinal cord dorsal/ventral patterning","BP",1
"117","GO:0021544",0.0174129786282686,0.99992382868239,1,2,"subpallium development","BP",1
"118","GO:0021688",0.0241297469915183,0.999853229646847,1,2,"cerebellar molecular layer formation","BP",1
"119","GO:0021693",0.044041223122705,0.99926181878688,1,4,"cerebellar Purkinje cell layer structural organization","BP",1
"120","GO:0021695",0.0469833005429214,0.999158830229374,1,4,"cerebellar cortex development","BP",1
"121","GO:0021858",0.0102949611326878,1,1,1,"GABAergic neuron differentiation in basal ganglia","BP",1
"122","GO:0021879",0.0300013745081409,0.999697083473228,1,3,"forebrain neuron differentiation","BP",1
"123","GO:0021893",0.00603818639895644,1,1,1,"cerebral cortex GABAergic interneuron fate commitment","BP",1
"124","GO:0021903",0.0447763412370386,0.999236727956075,1,4,"rostrocaudal neural tube patterning","BP",1
"128","GO:0030049",0.0243423268628116,0.999801094755694,1,3,"muscle filament sliding","BP",1
"129","GO:0030091",0.0447972123794467,0.999185699965523,1,5,"protein repair","BP",1
"134","GO:0030250",0.0241297469913603,0.999853229646849,1,2,"guanylate cyclase activator activity","MF",1
"137","GO:0030595",0.0339391405152978,0.999563526017336,1,4,"leukocyte chemotaxis","BP",1
"138","GO:0031097",0.0181318186508313,0.999917379675856,1,2,"medial cortex","CC",1
"142","GO:0031405",0.049166473291715,0.999017327878343,1,5,"lipoic acid binding","MF",1
"143","GO:0031449",0.0121382584841913,1,1,1,"regulation of slow-twitch skeletal muscle fiber contraction","BP",1
"144","GO:0031584",0.0225329658126731,0.999872116295368,1,2,"activation of phospholipase D activity","BP",1
"146","GO:0031752",0.0116025849615976,1,1,1,"D5 dopamine receptor binding","MF",1
"147","GO:0031915",0.0475803285506871,0.999137093535568,1,4,"positive regulation of synaptic plasticity","BP",1
"148","GO:0031994",0.0241297469914713,0.999853229646847,1,2,"insulin-like growth factor I binding","MF",1
"149","GO:0031995",0.0121382584841913,1,1,1,"insulin-like growth factor II binding","MF",1
"151","GO:0032099",0.0170586610733573,0.999926910168414,1,2,"negative regulation of appetite","BP",1
"153","GO:0032410",0.0359762333330684,0.999563224576328,1,3,"negative regulation of transporter activity","BP",1
"156","GO:0032693",0.0461975470620008,0.999187007003285,1,4,"negative regulation of interleukin-10 production","BP",1
"157","GO:0032875",0.0359447257618116,0.999563995580668,1,3,"regulation of DNA endoreduplication","BP",1
"158","GO:0032982",0.0359762333330921,0.999563224576328,1,3,"myosin filament","CC",1
"159","GO:0033003",0.0449213475877174,0.99918113863609,1,5,"regulation of mast cell activation","BP",1
"160","GO:0033092",0.0447763412370386,0.999236727956075,1,4,"positive regulation of immature T cell proliferation in thymus","BP",1
"163","GO:0033743",0.0348591709280271,0.999539359501092,1,4,"peptide-methionine (R)-S-oxide reductase activity","MF",1
"164","GO:0034038",0.0114522561004971,1,1,1,"deoxyhypusine synthase activity","MF",1
"165","GO:0034219",0.0283048389090812,0.999730582254964,1,3,"carbohydrate transmembrane transport","BP",1
"168","GO:0034455",0.0241233277693529,0.999853308208319,1,2,"t-UTP complex","CC",1
"171","GO:0035246",0.0205561579326117,0.999893677702992,1,2,"peptidyl-arginine N-methylation","BP",1
"173","GO:0035507",0.0167058982128337,0.999929914390877,1,2,"regulation of myosin-light-chain-phosphatase activity","BP",1
"174","GO:0035701",0.0448385143619076,0.999234586276365,1,4,"hematopoietic stem cell migration","BP",1
"175","GO:0035915",0.0252049692620979,0.999786663771769,1,3,"pore formation in membrane of another organism","BP",1
"176","GO:0035965",0.0442543106198614,0.999254589732538,1,4,"cardiolipin acyl-chain remodeling","BP",1
"177","GO:0036003",0.0350456453107894,0.999585704855803,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP",1
"179","GO:0040020",0.0461637069225307,0.999188209498983,1,4,"regulation of meiotic nuclear division","BP",1
"187","GO:0042816",0.00651051406799908,1,1,1,"vitamin B6 metabolic process","BP",1
"189","GO:0043243",0.0241297469914702,0.999853229646847,1,2,"positive regulation of protein-containing complex disassembly","BP",1
"192","GO:0043326",0.021767722670873,0.999880701539727,1,2,"chemotaxis to folate","BP",1
"193","GO:0043423",0.0241297469914702,0.999853229646847,1,2,"3-phosphoinositide-dependent protein kinase binding","MF",1
"195","GO:0044396",0.0181318186508313,0.999917379675856,1,2,"actin cortical patch organization","BP",1
"196","GO:0045654",0.0232003937129344,0.999864382027952,1,2,"positive regulation of megakaryocyte differentiation","BP",1
"197","GO:0045682",0.0227050895236205,0.999870143676755,1,2,"regulation of epidermis development","BP",1
"198","GO:0045725",0.0454150618576576,0.999214580191621,1,4,"positive regulation of glycogen biosynthetic process","BP",1
"201","GO:0046321",0.0236440389698374,0.999859113845185,1,2,"positive regulation of fatty acid oxidation","BP",1
"203","GO:0048269",0.0440265753974339,0.999262314396593,1,4,"methionine adenosyltransferase complex","CC",1
"204","GO:0048581",0.0241273615494213,0.999853258843499,1,2,"negative regulation of post-embryonic development","BP",1
"206","GO:0048633",0.046970067472398,0.99915930881617,1,4,"positive regulation of skeletal muscle tissue growth","BP",1
"209","GO:0048857",0.0120330028017644,1,1,1,"neural nucleus development","BP",1
"213","GO:0051156",0.0474694602751762,0.999084638307997,1,5,"glucose 6-phosphate metabolic process","BP",1
"214","GO:0051285",0.0304659305649072,0.999687563620887,1,3,"cell cortex of cell tip","CC",1
"216","GO:0051425",0.0241297469915183,0.999853229646847,1,2,"PTB domain binding","MF",1
"217","GO:0051446",0.0276757613159445,0.999742498625635,1,3,"positive regulation of meiotic cell cycle","BP",1
"221","GO:0051899",0.041373805270711,0.999306386228328,1,5,"membrane depolarization","BP",1
"222","GO:0052745",0.0417818619659523,0.999336262357904,1,4,"inositol phosphate phosphatase activity","MF",1
"223","GO:0055056",0.0345276494418215,0.999597956748968,1,3,"D-glucose transmembrane transporter activity","MF",1
"224","GO:0060034",0.0348497591553606,0.999590360018267,1,3,"notochord cell differentiation","BP",1
"226","GO:0060193",0.0329445153860428,0.999634244780196,1,3,"positive regulation of lipase activity","BP",1
"227","GO:0060217",0.0245985996430639,0.999796860968158,1,3,"hemangioblast cell differentiation","BP",1
"228","GO:0060267",0.0241297469915183,0.999853229646847,1,2,"positive regulation of respiratory burst","BP",1
"229","GO:0060417",0.0241297469914702,0.999853229646847,1,2,"yolk","CC",1
"230","GO:0060509",0.0348039306377369,0.999591445259116,1,3,"type I pneumocyte differentiation","BP",1
"231","GO:0060853",0.0359762333330797,0.999563224576328,1,3,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP",1
"232","GO:0061122",0.0226354358707259,0.999870943779983,1,2,"positive regulation of positive chemotaxis to cAMP","BP",1
"233","GO:0061408",0.0269197130752827,0.999756459164359,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP",1
"234","GO:0061770",0.0121382473051431,1,1,1,"translation elongation factor binding","MF",1
"235","GO:0062197",0.0300947065260696,0.99969518286473,1,3,"cellular response to chemical stress","BP",1
"236","GO:0070093",0.0116466054122513,1,1,1,"negative regulation of glucagon secretion","BP",1
"241","GO:0070733",0.0487701861332394,0.999033264275474,1,5,"protein adenylyltransferase activity","MF",1
"247","GO:0072013",0.0403801166845624,0.999380425276877,1,4,"glomus development","BP",1
"249","GO:0072082",0.0064257429525631,1,1,1,"specification of proximal tubule identity","BP",1
"250","GO:0072196",0.0184166348775659,0.999914751318439,1,2,"proximal/distal pattern formation involved in pronephric nephron development","BP",1
"251","GO:0072718",0.0241297469913902,0.999853229646848,1,2,"response to cisplatin","BP",1
"252","GO:0072738",0.0121382473051431,1,1,1,"cellular response to diamide","BP",1
"253","GO:0080103",0.00972283023679191,1,1,1,"4-methylthiopropyl glucosinolate S-oxygenase activity","MF",1
"254","GO:0080107",0.00972283023679191,1,1,1,"8-methylthiopropyl glucosinolate S-oxygenase activity","MF",1
"255","GO:0080168",0.0241273615494213,0.999853258843499,1,2,"abscisic acid transport","BP",1
"256","GO:0086012",0.0476764460011511,0.999133567626326,1,4,"membrane depolarization during cardiac muscle cell action potential","BP",1
"257","GO:0090129",0.0475803285507244,0.999137093535567,1,4,"positive regulation of synapse maturation","BP",1
"259","GO:0097094",0.031091545914075,0.999634142668637,1,4,"craniofacial suture morphogenesis","BP",1
"260","GO:0097102",0.0241297469915183,0.999853229646847,1,2,"endothelial tip cell fate specification","BP",1
"261","GO:0097211",0.0121382584840315,1,1,1,"cellular response to gonadotropin-releasing hormone","BP",1
"264","GO:0098674",0.0359762333331165,0.999563224576327,1,3,"extrinsic component of neuronal dense core vesicle membrane","CC",1
"266","GO:0098773",0.0356652208770586,0.999570804881804,1,3,"skin epidermis development","BP",1
"268","GO:0098840",0.0401828751884683,0.999386515379223,1,4,"protein transport along microtubule","BP",1
"270","GO:0098855",0.0121382584840616,1,1,1,"HCN channel complex","CC",1
"272","GO:0106070",0.0121382584840315,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",1
"273","GO:0110094",0.0354106187975946,0.999576960101451,1,3,"polyphosphate-mediated signaling","BP",1
"274","GO:1900365",0.0446163739251347,0.999242224297481,1,4,"positive regulation of mRNA polyadenylation","BP",1
"275","GO:1901299",0.0118321080683149,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP",1
"276","GO:1901570",0.0241131109676585,0.999853433202453,1,2,"fatty acid derivative biosynthetic process","BP",1
