"","seqid","source","type","start","end","score","strand","phase","gene_id","length"
"51","Pver_Sc0000000_size2095917","AUGUSTUS","gene",786528,792417,".","+",".","Pver_g51",5889
"52","Pver_Sc0000000_size2095917",".","gene",796608,800889,".","+",".","Pver_g52",4281
"53","Pver_Sc0000000_size2095917","AUGUSTUS","gene",802498,810703,".","+",".","Pver_g53",8205
"54","Pver_Sc0000000_size2095917",".","gene",817951,828600,".","-",".","Pver_g54",10649
"55","Pver_Sc0000000_size2095917","AUGUSTUS","gene",838561,866100,".","-",".","Pver_g55",27539
"56","Pver_Sc0000000_size2095917","AUGUSTUS","gene",872651,889880,".","-",".","Pver_g56",17229
"57","Pver_Sc0000000_size2095917","AUGUSTUS","gene",901189,904294,".","-",".","Pver_g57",3105
"58","Pver_Sc0000000_size2095917",".","gene",907572,922633,".","+",".","Pver_g58",15061
"59","Pver_Sc0000000_size2095917","AUGUSTUS","gene",925682,928556,".","+",".","Pver_g59",2874
"60","Pver_Sc0000000_size2095917",".","gene",933669,976844,".","-",".","Pver_g60",43175
"61","Pver_Sc0000000_size2095917","AUGUSTUS","gene",986920,998644,".","-",".","Pver_g61",11724
"62","Pver_Sc0000000_size2095917",".","gene",1004638,1011274,".","-",".","Pver_g62",6636
"63","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1012112,1018227,".","+",".","Pver_g63",6115
"64","Pver_Sc0000000_size2095917",".","gene",1037380,1041428,".","+",".","Pver_g64",4048
"65","Pver_Sc0000000_size2095917",".","gene",1067307,1068944,".","+",".","Pver_g65",1637
"66","Pver_Sc0000000_size2095917",".","gene",1069882,1080573,".","+",".","Pver_g66",10691
"67","Pver_Sc0000000_size2095917",".","gene",1085612,1088904,".","+",".","Pver_g67",3292
"68","Pver_Sc0000000_size2095917",".","gene",1115572,1126966,".","+",".","Pver_g68",11394
"69","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1140522,1142383,".","+",".","Pver_g69",1861
"70","Pver_Sc0000000_size2095917",".","gene",1182892,1185012,".","-",".","Pver_g70",2120
"71","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1188322,1195816,".","+",".","Pver_g71",7494
"72","Pver_Sc0000000_size2095917",".","gene",1198006,1204829,".","+",".","Pver_g72",6823
"73","Pver_Sc0000000_size2095917",".","gene",1218990,1257449,".","+",".","Pver_g73",38459
"74","Pver_Sc0000000_size2095917",".","gene",1276385,1300904,".","-",".","Pver_g74",24519
"75","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1311936,1323962,".","-",".","Pver_g75",12026
"76","Pver_Sc0000000_size2095917",".","gene",1324818,1335891,".","+",".","Pver_g76",11073
"77","Pver_Sc0000000_size2095917",".","gene",1336009,1338492,".","-",".","Pver_g77",2483
"78","Pver_Sc0000000_size2095917",".","gene",1338612,1342768,".","+",".","Pver_g78",4156
"79","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1345234,1368562,".","-",".","Pver_g79",23328
"80","Pver_Sc0000000_size2095917",".","gene",1368760,1372311,".","+",".","Pver_g80",3551
"81","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1374342,1386952,".","-",".","Pver_g81",12610
"82","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1389864,1449562,".","-",".","Pver_g82",59698
"83","Pver_Sc0000000_size2095917",".","gene",1449700,1455620,".","+",".","Pver_g83",5920
"84","Pver_Sc0000000_size2095917",".","gene",1455629,1472272,".","-",".","Pver_g84",16643
"85","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1482006,1490752,".","-",".","Pver_g85",8746
"86","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1492380,1497229,".","+",".","Pver_g86",4849
"87","Pver_Sc0000000_size2095917",".","gene",1497440,1501242,".","-",".","Pver_g87",3802
"88","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1505130,1509077,".","+",".","Pver_g88",3947
"89","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1511562,1519382,".","-",".","Pver_g89",7820
"90","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1523030,1537775,".","+",".","Pver_g90",14745
"91","Pver_Sc0000000_size2095917",".","gene",1540974,1578209,".","+",".","Pver_g91",37235
"92","Pver_Sc0000000_size2095917",".","gene",1586500,1593528,".","+",".","Pver_g92",7028
"93","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1596310,1598734,".","+",".","Pver_g93",2424
"94","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1600120,1610619,".","+",".","Pver_g94",10499
"95","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1648420,1665870,".","+",".","Pver_g95",17450
"96","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1666699,1668032,".","-",".","Pver_g96",1333
"97","Pver_Sc0000000_size2095917",".","gene",1671490,1674718,".","+",".","Pver_g97",3228
"98","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1689620,1691800,".","+",".","Pver_g98",2180
"99","Pver_Sc0000000_size2095917",".","gene",1691804,1704830,".","-",".","Pver_g99",13026
"100","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1705850,1714872,".","+",".","Pver_g100",9022
"101","Pver_Sc0000000_size2095917",".","gene",1716460,1728923,".","+",".","Pver_g101",12463
"102","Pver_Sc0000000_size2095917",".","gene",1728337,1733842,".","-",".","Pver_g102",5505
"103","Pver_Sc0000000_size2095917",".","gene",1734860,1743725,".","+",".","Pver_g103",8865
"104","Pver_Sc0000000_size2095917",".","gene",1746380,1759770,".","+",".","Pver_g104",13390
"105","Pver_Sc0000000_size2095917",".","gene",1760404,1773389,".","+",".","Pver_g105",12985
"106","Pver_Sc0000000_size2095917",".","gene",1773635,1790362,".","-",".","Pver_g106",16727
"107","Pver_Sc0000000_size2095917",".","gene",1792220,1795510,".","+",".","Pver_g107",3290
"108","Pver_Sc0000000_size2095917",".","gene",1802596,1804681,".","-",".","Pver_g108",2085
"109","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1805405,1812521,".","-",".","Pver_g109",7116
"110","Pver_Sc0000000_size2095917",".","gene",1812589,1829044,".","+",".","Pver_g110",16455
"111","Pver_Sc0000000_size2095917",".","gene",1836359,1839529,".","+",".","Pver_g111",3170
"112","Pver_Sc0000000_size2095917",".","gene",1848103,1850821,".","-",".","Pver_g112",2718
"113","Pver_Sc0000000_size2095917",".","gene",1851255,1857631,".","-",".","Pver_g113",6376
"114","Pver_Sc0000000_size2095917",".","gene",1857746,1858951,".","-",".","Pver_g114",1205
"115","Pver_Sc0000000_size2095917",".","gene",1858996,1863646,".","+",".","Pver_g115",4650
"116","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1863803,1866991,".","-",".","Pver_g116",3188
"117","Pver_Sc0000000_size2095917",".","gene",1868098,1875201,".","-",".","Pver_g117",7103
"118","Pver_Sc0000000_size2095917",".","gene",1876949,1880727,".","+",".","Pver_g118",3778
"119","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1881041,1885361,".","-",".","Pver_g119",4320
"120","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1886739,1888317,".","+",".","Pver_g120",1578
"121","Pver_Sc0000000_size2095917",".","gene",1888438,1891071,".","-",".","Pver_g121",2633
"122","Pver_Sc0000000_size2095917",".","gene",1891521,1894301,".","-",".","Pver_g122",2780
"123","Pver_Sc0000000_size2095917",".","gene",1902059,1909888,".","+",".","Pver_g123",7829
"124","Pver_Sc0000000_size2095917",".","gene",1911759,1918471,".","+",".","Pver_g124",6712
"125","Pver_Sc0000000_size2095917",".","gene",1919159,1926299,".","+",".","Pver_g125",7140
"126","Pver_Sc0000000_size2095917",".","gene",1927129,1959773,".","+",".","Pver_g126",32644
"127","Pver_Sc0000000_size2095917",".","gene",1960946,1962353,".","-",".","Pver_g127",1407
"128","Pver_Sc0000000_size2095917",".","gene",1966479,1971027,".","+",".","Pver_g128",4548
"129","Pver_Sc0000000_size2095917",".","gene",1974919,1982410,".","+",".","Pver_g129",7491
"130","Pver_Sc0000000_size2095917",".","gene",1985995,1990745,".","+",".","Pver_g130",4750
"131","Pver_Sc0000000_size2095917","AUGUSTUS","gene",1993483,1997401,".","-",".","Pver_g131",3918
"132","Pver_Sc0000000_size2095917","AUGUSTUS","gene",2002739,2005594,".","+",".","Pver_g132",2855
"133","Pver_Sc0000000_size2095917",".","gene",2005646,2020816,".","-",".","Pver_g133",15170
"134","Pver_Sc0000000_size2095917","AUGUSTUS","gene",2022109,2029817,".","+",".","Pver_g134",7708
"135","Pver_Sc0000000_size2095917",".","gene",2029899,2032210,".","-",".","Pver_g135",2311
"136","Pver_Sc0000000_size2095917",".","gene",2035359,2040729,".","+",".","Pver_g136",5370
"137","Pver_Sc0000000_size2095917",".","gene",2041412,2045101,".","-",".","Pver_g137",3689
"138","Pver_Sc0000000_size2095917",".","gene",2045112,2052662,".","+",".","Pver_g138",7550
"139","Pver_Sc0000000_size2095917","AUGUSTUS","gene",2053009,2067735,".","+",".","Pver_g139",14726
"140","Pver_Sc0000000_size2095917",".","gene",2067735,2069837,".","-",".","Pver_g140",2102
"141","Pver_Sc0000000_size2095917",".","gene",2070479,2076019,".","+",".","Pver_g141",5540
"142","Pver_Sc0000000_size2095917",".","gene",2076675,2084022,".","-",".","Pver_g142",7347
"143","Pver_Sc0000001_size2081954","AUGUSTUS","gene",7601,10798,".","-",".","Pver_g143",3197
"144","Pver_Sc0000001_size2081954",".","gene",18866,28470,".","+",".","Pver_g144",9604
"145","Pver_Sc0000001_size2081954","AUGUSTUS","gene",29733,34838,".","-",".","Pver_g145",5105
"146","Pver_Sc0000001_size2081954",".","gene",46846,53411,".","+",".","Pver_g146",6565
"147","Pver_Sc0000001_size2081954","AUGUSTUS","gene",60086,63600,".","+",".","Pver_g147",3514
"148","Pver_Sc0000001_size2081954",".","gene",71576,76758,".","+",".","Pver_g148",5182
"149","Pver_Sc0000001_size2081954","AUGUSTUS","gene",76857,78558,".","-",".","Pver_g149",1701
"150","Pver_Sc0000001_size2081954",".","gene",81046,82790,".","+",".","Pver_g150",1744
"151","Pver_Sc0000001_size2081954",".","gene",85263,87459,".","+",".","Pver_g151",2196
"152","Pver_Sc0000001_size2081954",".","gene",91980,96808,".","+",".","Pver_g152",4828
"153","Pver_Sc0000001_size2081954","AUGUSTUS","gene",105443,108098,".","-",".","Pver_g153",2655
"154","Pver_Sc0000001_size2081954",".","gene",109196,127424,".","+",".","Pver_g154",18228
"155","Pver_Sc0000001_size2081954",".","gene",127652,130218,".","-",".","Pver_g155",2566
"156","Pver_Sc0000001_size2081954",".","gene",155306,157665,".","+",".","Pver_g156",2359
"157","Pver_Sc0000001_size2081954","AUGUSTUS","gene",159686,161866,".","+",".","Pver_g157",2180
"158","Pver_Sc0000001_size2081954",".","gene",165450,181433,".","+",".","Pver_g158",15983
"159","Pver_Sc0000001_size2081954",".","gene",189351,197538,".","-",".","Pver_g159",8187
"160","Pver_Sc0000001_size2081954",".","gene",198772,202718,".","-",".","Pver_g160",3946
"161","Pver_Sc0000001_size2081954",".","gene",202956,204302,".","+",".","Pver_g161",1346
"162","Pver_Sc0000001_size2081954",".","gene",204205,222930,".","-",".","Pver_g162_g164",18725
"163","Pver_Sc0000001_size2081954",".","gene",208276,210244,".","+",".","Pver_g163",1968
"164","Pver_Sc0000001_size2081954",".","gene",230039,235433,".","+",".","Pver_g165",5394
"165","Pver_Sc0000001_size2081954",".","gene",237834,242093,".","-",".","Pver_g166",4259
"166","Pver_Sc0000001_size2081954",".","gene",245719,250723,".","+",".","Pver_g167",5004
"167","Pver_Sc0000001_size2081954","AUGUSTUS","gene",251407,256898,".","-",".","Pver_g168",5491
"168","Pver_Sc0000001_size2081954","AUGUSTUS","gene",257176,267345,".","+",".","Pver_g169",10169
"169","Pver_Sc0000001_size2081954",".","gene",267453,274608,".","-",".","Pver_g170",7155
"170","Pver_Sc0000001_size2081954","AUGUSTUS","gene",274876,280773,".","+",".","Pver_g171",5897
"171","Pver_Sc0000001_size2081954",".","gene",288108,289505,".","-",".","Pver_g172",1397
"172","Pver_Sc0000001_size2081954",".","gene",291886,307738,".","+",".","Pver_g173",15852
"173","Pver_Sc0000001_size2081954","AUGUSTUS","gene",307779,309368,".","-",".","Pver_g174",1589
"174","Pver_Sc0000001_size2081954",".","gene",310409,318796,".","+",".","Pver_g175",8387
"175","Pver_Sc0000001_size2081954","AUGUSTUS","gene",319306,324641,".","+",".","Pver_g176",5335
"176","Pver_Sc0000001_size2081954",".","gene",327629,330534,".","-",".","Pver_g177",2905
"177","Pver_Sc0000001_size2081954","AUGUSTUS","gene",330556,333037,".","+",".","Pver_g178",2481
"178","Pver_Sc0000001_size2081954","AUGUSTUS","gene",338014,346348,".","-",".","Pver_g179",8334
"179","Pver_Sc0000001_size2081954",".","gene",347387,360778,".","+",".","Pver_g180",13391
"180","Pver_Sc0000001_size2081954","AUGUSTUS","gene",389652,404558,".","-",".","Pver_g181",14906
"181","Pver_Sc0000001_size2081954",".","gene",412993,416928,".","-",".","Pver_g182",3935
"182","Pver_Sc0000001_size2081954",".","gene",417021,419987,".","-",".","Pver_g183",2966
"183","Pver_Sc0000001_size2081954",".","gene",419994,421257,".","+",".","Pver_g184",1263
"184","Pver_Sc0000001_size2081954",".","gene",421821,424175,".","-",".","Pver_g185",2354
"185","Pver_Sc0000001_size2081954",".","gene",424226,427875,".","+",".","Pver_g186",3649
"186","Pver_Sc0000001_size2081954",".","gene",427879,430138,".","-",".","Pver_g187",2259
"187","Pver_Sc0000001_size2081954",".","gene",431188,432958,".","-",".","Pver_g188",1770
"188","Pver_Sc0000001_size2081954","AUGUSTUS","gene",433086,435913,".","+",".","Pver_g189",2827
"189","Pver_Sc0000001_size2081954","AUGUSTUS","gene",437286,440739,".","+",".","Pver_g190",3453
"190","Pver_Sc0000001_size2081954",".","gene",444896,451797,".","+",".","Pver_g191",6901
"191","Pver_Sc0000001_size2081954",".","gene",451847,455078,".","-",".","Pver_g192",3231
"192","Pver_Sc0000001_size2081954",".","gene",463911,469597,".","-",".","Pver_g193",5686
"193","Pver_Sc0000001_size2081954",".","gene",469610,477670,".","+",".","Pver_g194",8060
"194","Pver_Sc0000001_size2081954","AUGUSTUS","gene",478628,489677,".","-",".","Pver_g195",11049
"195","Pver_Sc0000001_size2081954","AUGUSTUS","gene",489785,494966,".","+",".","Pver_g196",5181
"196","Pver_Sc0000001_size2081954","AUGUSTUS","gene",501025,504147,".","+",".","Pver_g197",3122
"197","Pver_Sc0000001_size2081954",".","gene",505345,511882,".","+",".","Pver_g198",6537
"198","Pver_Sc0000001_size2081954",".","gene",520775,532293,".","+",".","Pver_g199",11518
"199","Pver_Sc0000001_size2081954","AUGUSTUS","gene",532800,539877,".","-",".","Pver_g200",7077
"200","Pver_Sc0000001_size2081954","AUGUSTUS","gene",541895,546578,".","+",".","Pver_g201",4683
"201","Pver_Sc0000001_size2081954",".","gene",546590,566726,".","-",".","Pver_g202_g204",20136
"202","Pver_Sc0000001_size2081954","AUGUSTUS","gene",557095,562469,".","+",".","Pver_g203",5374
"203","Pver_Sc0000001_size2081954","AUGUSTUS","gene",569714,573147,".","-",".","Pver_g205",3433
"204","Pver_Sc0000001_size2081954",".","gene",574615,584015,".","+",".","Pver_g206",9400
"205","Pver_Sc0000001_size2081954",".","gene",590915,592988,".","+",".","Pver_g207",2073
"206","Pver_Sc0000001_size2081954",".","gene",593919,609116,".","-",".","Pver_g208",15197
"207","Pver_Sc0000001_size2081954","AUGUSTUS","gene",614105,618885,".","+",".","Pver_g209",4780
"208","Pver_Sc0000001_size2081954",".","gene",619702,626177,".","-",".","Pver_g210",6475
"209","Pver_Sc0000001_size2081954",".","gene",627361,636421,".","+",".","Pver_g211",9060
"210","Pver_Sc0000001_size2081954",".","gene",638541,641867,".","-",".","Pver_g212",3326
"211","Pver_Sc0000001_size2081954",".","gene",644578,654407,".","-",".","Pver_g213",9829
"212","Pver_Sc0000001_size2081954",".","gene",655040,657817,".","-",".","Pver_g214",2777
"213","Pver_Sc0000001_size2081954",".","gene",657976,664201,".","+",".","Pver_g215",6225
"214","Pver_Sc0000001_size2081954","AUGUSTUS","gene",664289,667117,".","-",".","Pver_g216",2828
"215","Pver_Sc0000001_size2081954","AUGUSTUS","gene",667710,670717,".","-",".","Pver_g217",3007
"216","Pver_Sc0000001_size2081954",".","gene",673925,676328,".","+",".","Pver_g218",2403
"217","Pver_Sc0000001_size2081954","AUGUSTUS","gene",683605,686047,".","+",".","Pver_g219",2442
"218","Pver_Sc0000001_size2081954",".","gene",687445,737784,".","+",".","Pver_g220",50339
"219","Pver_Sc0000001_size2081954",".","gene",742775,748940,".","+",".","Pver_g221",6165
"220","Pver_Sc0000001_size2081954",".","gene",748873,762377,".","-",".","Pver_g222",13504
"221","Pver_Sc0000001_size2081954","AUGUSTUS","gene",767784,770087,".","-",".","Pver_g223",2303
"222","Pver_Sc0000001_size2081954",".","gene",778017,795863,".","-",".","Pver_g224",17846
"223","Pver_Sc0000001_size2081954","AUGUSTUS","gene",795835,802533,".","+",".","Pver_g225",6698
"224","Pver_Sc0000001_size2081954","AUGUSTUS","gene",803615,811908,".","+",".","Pver_g226",8293
"225","Pver_Sc0000001_size2081954",".","gene",813165,819092,".","+",".","Pver_g227",5927
"226","Pver_Sc0000001_size2081954",".","gene",819845,832416,".","+",".","Pver_g228",12571
"227","Pver_Sc0000001_size2081954",".","gene",842394,865829,".","-",".","Pver_g229",23435
"228","Pver_Sc0000001_size2081954",".","gene",868696,890677,".","-",".","Pver_g230",21981
"229","Pver_Sc0000001_size2081954","AUGUSTUS","gene",891325,905792,".","+",".","Pver_g231",14467
"230","Pver_Sc0000001_size2081954","AUGUSTUS","gene",919396,926686,".","+",".","Pver_g232",7290
"231","Pver_Sc0000001_size2081954",".","gene",940359,946369,".","+",".","Pver_g233",6010
"232","Pver_Sc0000001_size2081954",".","gene",959196,965361,".","+",".","Pver_g234",6165
"233","Pver_Sc0000001_size2081954",".","gene",976386,983241,".","+",".","Pver_g235",6855
"234","Pver_Sc0000001_size2081954",".","gene",990923,1012907,".","+",".","Pver_g237_g236",21984
"235","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1018316,1024122,".","+",".","Pver_g238",5806
"236","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1032136,1040705,".","+",".","Pver_g239",8569
"237","Pver_Sc0000001_size2081954",".","gene",1042260,1043872,".","-",".","Pver_g240",1612
"238","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1046262,1054998,".","-",".","Pver_g241",8736
"239","Pver_Sc0000001_size2081954",".","gene",1055203,1057809,".","+",".","Pver_g242",2606
"240","Pver_Sc0000001_size2081954",".","gene",1063826,1072307,".","+",".","Pver_g243",8481
"241","Pver_Sc0000001_size2081954",".","gene",1074973,1077758,".","-",".","Pver_g244",2785
"242","Pver_Sc0000001_size2081954",".","gene",1077696,1080847,".","+",".","Pver_g245",3151
"243","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1080861,1087338,".","-",".","Pver_g246",6477
"244","Pver_Sc0000001_size2081954",".","gene",1091610,1099858,".","-",".","Pver_g247",8248
"245","Pver_Sc0000001_size2081954",".","gene",1105246,1112167,".","+",".","Pver_g248",6921
"246","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1112355,1123918,".","-",".","Pver_g249",11563
"247","Pver_Sc0000001_size2081954",".","gene",1124546,1134707,".","+",".","Pver_g250",10161
"248","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1134174,1137908,".","-",".","Pver_g251",3734
"249","Pver_Sc0000001_size2081954",".","gene",1152626,1173465,".","+",".","Pver_g252",20839
"250","Pver_Sc0000001_size2081954",".","gene",1177376,1187729,".","+",".","Pver_g253",10353
"251","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1188566,1194130,".","+",".","Pver_g254",5564
"252","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1234252,1242238,".","-",".","Pver_g255",7986
"253","Pver_Sc0000001_size2081954",".","gene",1250891,1262338,".","+",".","Pver_g256",11447
"254","Pver_Sc0000001_size2081954",".","gene",1262688,1273398,".","-",".","Pver_g257",10710
"255","Pver_Sc0000001_size2081954",".","gene",1273503,1282511,".","+",".","Pver_g258",9008
"256","Pver_Sc0000001_size2081954",".","gene",1287102,1337998,".","+",".","Pver_g259",50896
"257","Pver_Sc0000001_size2081954",".","gene",1320470,1342543,".","-",".","Pver_g260_g262",22073
"258","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1324526,1332525,".","+",".","Pver_g261",7999
"259","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1342636,1361596,".","+",".","Pver_g263",18960
"260","Pver_Sc0000001_size2081954",".","gene",1375047,1407054,".","-",".","Pver_g264",32007
"261","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1416082,1418380,".","+",".","Pver_g265",2298
"262","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1420973,1427354,".","-",".","Pver_g266",6381
"263","Pver_Sc0000001_size2081954",".","gene",1428135,1442264,".","-",".","Pver_g267",14129
"264","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1442532,1447193,".","+",".","Pver_g268",4661
"265","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1449562,1455090,".","+",".","Pver_g269",5528
"266","Pver_Sc0000001_size2081954",".","gene",1456969,1498330,".","+",".","Pver_g270_g273",41361
"267","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1471146,1476944,".","-",".","Pver_g271",5798
"268","Pver_Sc0000001_size2081954",".","gene",1486402,1492934,".","-",".","Pver_g272",6532
"269","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1496702,1502584,".","-",".","Pver_g274",5882
"270","Pver_Sc0000001_size2081954",".","gene",1506937,1519163,".","-",".","Pver_g275",12226
"271","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1531700,1540684,".","-",".","Pver_g276",8984
"272","Pver_Sc0000001_size2081954",".","gene",1550996,1568904,".","-",".","Pver_g277",17908
"273","Pver_Sc0000001_size2081954",".","gene",1569742,1577714,".","+",".","Pver_g278",7972
"274","Pver_Sc0000001_size2081954",".","gene",1589311,1607454,".","-",".","Pver_g279",18143
"275","Pver_Sc0000001_size2081954",".","gene",1616090,1620921,".","-",".","Pver_g280",4831
"276","Pver_Sc0000001_size2081954",".","gene",1625559,1655804,".","-",".","Pver_g281",30245
"277","Pver_Sc0000001_size2081954",".","gene",1657580,1670730,".","-",".","Pver_g282",13150
"278","Pver_Sc0000001_size2081954","AUGUSTUS","gene",1676100,1680034,".","-",".","Pver_g283",3934
"279","Pver_Sc0000001_size2081954",".","gene",1680692,1691748,".","+",".","Pver_g284",11056
"280","Pver_Sc0000001_size2081954",".","gene",1692685,1698902,".","-",".","Pver_g285",6217
"281","Pver_Sc0000001_size2081954",".","gene",1707216,1716563,".","-",".","Pver_g286",9347
"282","Pver_Sc0000001_size2081954",".","gene",1731371,1738074,".","-",".","Pver_g287",6703
