"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes","type"
"27","anatomical structure development","GO:0048856","GO:0048633",0.038524361677234,0.999436953539793,1,4,"positive regulation of skeletal muscle tissue growth","BP",1,"Pver_g316, Pver_g11463, Pver_g15186, Pver_g15740","DEG.GO.terms"
"28","anatomical structure development","GO:0048856","GO:0048646",0.026192514236789,0.994587718286442,4,123,"anatomical structure formation involved in morphogenesis","BP",1,"Pver_g18, Pver_g425, Pver_g718, Pver_g1156, Pver_g1157, Pver_g1260, Pver_g1487, Pver_g2130, Pver_g2132, Pver_g2145, Pver_g2462, Pver_g2535, Pver_g2537, Pver_g2591, Pver_g2647, Pver_g2746, Pver_g3038, Pver_g3039, Pver_g3040, Pver_g3044, Pver_g3526, Pver_g3783, Pver_g3838, Pver_g3860, Pver_g3918, Pver_g3953, Pver_g4019, Pver_g4448, Pver_g4449, Pver_g5098, Pver_g5099, Pver_g5102, Pver_g5118, Pver_g5376, Pver_g5410, Pver_g5445, Pver_g5495, Pver_g5497, Pver_g5767, Pver_g5768, Pver_g5926, Pver_g5976, Pver_g6352, Pver_g6404, Pver_g6442, Pver_g6955, Pver_g6957, Pver_g7357, Pver_g7819, Pver_g8082, Pver_g8478, Pver_g8548, Pver_g8550, Pver_g8667, Pver_g8796, Pver_g8889, Pver_g8915, Pver_g9159, Pver_g9162, Pver_g9163, Pver_g9173, Pver_g9200, Pver_g9383, Pver_g9722, Pver_g9748, Pver_g10536, Pver_g10653, Pver_g10921, Pver_g10988, Pver_g11034, Pver_g11362, Pver_g11453, Pver_g11570, Pver_g12178, Pver_g12267, Pver_g12635, Pver_g12989, Pver_g13153, Pver_g14057, Pver_g14296, Pver_g14425, Pver_g14502, Pver_g14534, Pver_g14598, Pver_g14710, Pver_g14787, Pver_g14903, Pver_g15010, Pver_g15156, Pver_g15206, Pver_g15209, Pver_g15210, Pver_g15271, Pver_g15302, Pver_g15903, Pver_g16405, Pver_g16559, Pver_g16827, Pver_g17086, Pver_g17472, Pver_g17978, Pver_g18143, Pver_g18647, Pver_g18761, Pver_g18890, Pver_g19021, Pver_g19080, Pver_g20106, Pver_g20211, Pver_g20256, Pver_g20484, Pver_g20842, Pver_g21198, Pver_g22882, Pver_g23244, Pver_g23269, Pver_g23729, Pver_g24551, Pver_g24820, Pver_g25613, Pver_g25768, Pver_g25912, Pver_g26443, Pver_novel_model_133_5de57afd, Pver_novel_model_269_5de57afd","DEG.GO.terms"
"29","anatomical structure development","GO:0048856","GO:0048814",0.0146778708294691,0.999193214410875,2,20,"regulation of dendrite morphogenesis","BP",1,"Pver_g816, Pver_g1252, Pver_g1498, Pver_g1864, Pver_g1866, Pver_g2884, Pver_g3868, Pver_g4020, Pver_g4724, Pver_g5236, Pver_g6559, Pver_g10876, Pver_g10911, Pver_g12511, Pver_g12881, Pver_g14525, Pver_g18094, Pver_g23024, Pver_g25796, Pver_g25909","DEG.GO.terms"
"30","anatomical structure development","GO:0048856","GO:0048857",0.00982376513612284,1,1,1,"neural nucleus development","BP",1,"Pver_g16873","DEG.GO.terms"
"31","anatomical structure development","GO:0048856","GO:0060034",0.0286519910943028,0.99972410515052,1,3,"notochord cell differentiation","BP",1,"Pver_g14844, Pver_g15186, Pver_g22890","DEG.GO.terms"
"32","anatomical structure development","GO:0048856","GO:0060217",0.0206465248707083,0.999857259507485,1,3,"hemangioblast cell differentiation","BP",1,"Pver_g2540, Pver_g14589, Pver_g22809, Pver_novel_model_111_5de57afd, Pver_novel_model_751_5de57afd","DEG.GO.terms"
"33","anatomical structure development","GO:0048856","GO:0060440",0.0293671939600009,0.999710065058706,1,3,"trachea formation","BP",1,"Pver_g11619, Pver_g15713, Pver_g15923","DEG.GO.terms"
"34","anatomical structure development","GO:0048856","GO:0060502",0.00989191228063803,1,1,1,"epithelial cell proliferation involved in lung morphogenesis","BP",1,"Pver_g11619","DEG.GO.terms"
"35","anatomical structure development","GO:0048856","GO:0060509",0.0286110081509217,0.999724898990535,1,3,"type I pneumocyte differentiation","BP",1,"Pver_g14243, Pver_g16312, Pver_g25935","DEG.GO.terms"
"36","anatomical structure development","GO:0048856","GO:0060853",0.0293845038545443,0.999709720872979,1,3,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP",1,"Pver_g10963, Pver_g15186, Pver_g15740","DEG.GO.terms"
"37","anatomical structure development","GO:0048856","GO:0061371",0.0186071730867459,0.997596828038035,3,66,"determination of heart left/right asymmetry","BP",1,"Pver_g82, Pver_g953, Pver_g1184, Pver_g1347, Pver_g2720, Pver_g4074, Pver_g4868, Pver_g4920, Pver_g5948, Pver_g6296, Pver_g6349, Pver_g6437, Pver_g6620, Pver_g7176, Pver_g7598, Pver_g8605, Pver_g8743, Pver_g8744, Pver_g9107, Pver_g9266, Pver_g10374, Pver_g10378, Pver_g11090, Pver_g11095, Pver_g11983, Pver_g12503, Pver_g12616, Pver_g12870, Pver_g13022, Pver_g13607, Pver_g14445, Pver_g14449, Pver_g15027, Pver_g15330, Pver_g15334, Pver_g16518, Pver_g16810, Pver_g16814, Pver_g16966, Pver_g17350, Pver_g17472, Pver_g17533, Pver_g17672, Pver_g17780, Pver_g18253, Pver_g18438, Pver_g18759, Pver_g18791, Pver_g19128, Pver_g19586, Pver_g20854, Pver_g20877, Pver_g21281, Pver_g21308, Pver_g21569, Pver_g21734, Pver_g21741, Pver_g23173, Pver_g23560, Pver_g23729, Pver_g24031, Pver_g24199, Pver_g25076, Pver_g25678, Pver_g25744, Pver_g26304","DEG.GO.terms"
"38","anatomical structure development","GO:0048856","GO:0072013",0.033559559682697,0.999573637059947,1,4,"glomus development","BP",1,"Pver_g1504, Pver_g4013, Pver_g10298, Pver_g17174","DEG.GO.terms"
"39","anatomical structure development","GO:0048856","GO:0072082",0.00555591376900245,1,1,1,"specification of proximal tubule identity","BP",1,"Pver_g4013","DEG.GO.terms"
"40","anatomical structure development","GO:0048856","GO:0072196",0.0153479755161932,0.999940932246015,1,2,"proximal/distal pattern formation involved in pronephric nephron development","BP",1,"Pver_g1279, Pver_g4013","DEG.GO.terms"
"41","anatomical structure development","GO:0048856","GO:0090129",0.0389224593672691,0.9994251582471,1,4,"positive regulation of synapse maturation","BP",1,"Pver_g10, Pver_g630, Pver_g939, Pver_g4304, Pver_novel_model_662_5de57afd","DEG.GO.terms"
"42","anatomical structure development","GO:0048856","GO:0097102",0.019686428736153,0.99990260396341,1,2,"endothelial tip cell fate specification","BP",1,"Pver_g15186, Pver_g15740","DEG.GO.terms"
"43","anatomical structure development","GO:0048856","GO:0098773",0.0291822319734111,0.999713729881303,1,3,"skin epidermis development","BP",1,"Pver_g4223, Pver_g15186, Pver_g15740","DEG.GO.terms"
"44","anatomical structure development","GO:0048856","GO:1902871",0.0052322327546083,1,1,1,"positive regulation of amacrine cell differentiation","BP",1,"Pver_g3838","DEG.GO.terms"
"45","anatomical structure development","GO:0048856","GO:1904146",0.00982534160407854,1,1,1,"positive regulation of meiotic cell cycle process involved in oocyte maturation","BP",1,"Pver_g630, Pver_novel_model_662_5de57afd","DEG.GO.terms"
"46","anatomical structure development","GO:0048856","GO:1905199",0.01956721181861,0.999903785860538,1,2,"manchette disassembly","BP",1,"Pver_g18093, Pver_g19316","DEG.GO.terms"
"47","anatomical structure development","GO:0048856","GO:1990402",0.0279402109267783,0.999737727705757,1,3,"embryonic liver development","BP",1,"Pver_g13135, Pver_g19246, Pver_g23091","DEG.GO.terms"
"48","anatomical structure development","GO:0048856","GO:2000194",0.00989191228071346,1,1,1,"regulation of female gonad development","BP",1,"Pver_g19246","DEG.GO.terms"
"49","anatomical structure development","GO:0048856","GO:2000726",0.0384392795386659,0.999439458329007,1,4,"negative regulation of cardiac muscle cell differentiation","BP",1,"Pver_g11430, Pver_g14557, Pver_g15186, Pver_g15740","DEG.GO.terms"
"50","anatomical structure development","GO:0048856","GO:2000820",0.00555591376900245,1,1,1,"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation","BP",1,"Pver_g4013","DEG.GO.terms"
"51","carbohydrate derivative metabolic process","GO:1901135","GO:0010560",0.019686428736067,0.999902603963411,1,2,"positive regulation of glycoprotein biosynthetic process","BP",1,"Pver_g13135, Pver_g19246","DEG.GO.terms"
"52","carbohydrate derivative metabolic process","GO:1901135","GO:0051156",0.0393366859797255,0.999374023259877,1,5,"glucose 6-phosphate metabolic process","BP",1,"Pver_g542, Pver_g849, Pver_g15167, Pver_g18012, Pver_g20305","DEG.GO.terms"
"53","carbohydrate metabolic process","GO:0005975","GO:0045719",0.0484675742941491,0.999046084971555,1,5,"negative regulation of glycogen biosynthetic process","BP",1,"Pver_g13135, Pver_g13168, Pver_g16993, Pver_g17604, Pver_g19246","DEG.GO.terms"
"54","carbohydrate metabolic process","GO:0005975","GO:0045725",0.0374238998746193,0.999468912857715,1,4,"positive regulation of glycogen biosynthetic process","BP",1,"Pver_g849, Pver_g12449, Pver_g16142, Pver_g19246","DEG.GO.terms"
"55","catalytic activity","GO:0003824","GO:0000254",0.00927985046659682,1,1,1,"C-4 methylsterol oxidase activity","MF",1,"Pver_g15639","DEG.GO.terms"
"56","catalytic activity","GO:0003824","GO:0003839",0.0382561441227437,0.999408205171681,1,5,"gamma-glutamylcyclotransferase activity","MF",1,"Pver_g2049, Pver_g11755, Pver_g14756, Pver_novel_model_470_5de57afd, Pver_g12098, Pver_g10665","DEG.GO.terms"
"57","catalytic activity","GO:0003824","GO:0003841",0.0041050606472462,0.999891502490204,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF",1,"Pver_g7166, Pver_g11748, Pver_g11749, Pver_g14589, Pver_g14810, Pver_g14862, Pver_g15169, Pver_g15783, Pver_g15784, Pver_g16737, Pver_g22809, Pver_novel_model_751_5de57afd","DEG.GO.terms"
"58","catalytic activity","GO:0003824","GO:0003865",0.0128189021408885,0.999958847875675,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1,"Pver_g2055, Pver_g13043","DEG.GO.terms"
"59","catalytic activity","GO:0003824","GO:0003963",0.0196744468317401,0.999902723079464,1,2,"RNA-3'-phosphate cyclase activity","MF",1,"Pver_g16339, Pver_g15241","DEG.GO.terms"
"60","catalytic activity","GO:0003824","GO:0004085",0.024808659457558,0.999793518796011,1,3,"butyryl-CoA dehydrogenase activity","MF",1,"Pver_g778, Pver_g24733, Pver_g26142","DEG.GO.terms"
"61","catalytic activity","GO:0003824","GO:0004089",0.0126983456795568,0.999355860322706,2,19,"carbonate dehydratase activity","MF",1,"Pver_g1323, Pver_g1324, Pver_g2951, Pver_g6748, Pver_g8579, Pver_g14124, Pver_g17210, Pver_g26051, Pver_g1325, Pver_g5371, Pver_g6302, Pver_g7331, Pver_g8578, Pver_g14123, Pver_g14125, Pver_g14126, Pver_g14127, Pver_g18337, Pver_g25586, Pver_novel_model_553_5de57afd","DEG.GO.terms"
"62","catalytic activity","GO:0003824","GO:0004145",0.0178568879903934,0.999919940275043,1,2,"diamine N-acetyltransferase activity","MF",1,"Pver_g14315, Pver_g15981, Pver_novel_model_486_5de57afd","DEG.GO.terms"
"63","catalytic activity","GO:0003824","GO:0004301",0.0415907345803829,0.999299576391182,1,5,"epoxide hydrolase activity","MF",1,"Pver_g1376, Pver_g7149, Pver_g16312, Pver_g25848, Pver_g18237","DEG.GO.terms"
"64","catalytic activity","GO:0003824","GO:0004307",0.00930573807123737,1,1,1,"ethanolaminephosphotransferase activity","MF",1,"Pver_g5863","DEG.GO.terms"
"65","catalytic activity","GO:0003824","GO:0004340",0.0200448915756612,0.999865493810938,1,3,"glucokinase activity","MF",1,"Pver_g542, Pver_g849, Pver_g20305","DEG.GO.terms"
"66","catalytic activity","GO:0003824","GO:0004349",0.0196864284913715,0.999902603965844,1,2,"glutamate 5-kinase activity","MF",1,"Pver_g23763, Pver_g26149","DEG.GO.terms"
"67","catalytic activity","GO:0003824","GO:0004350",0.00989191228071346,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF",1,"Pver_g26149","DEG.GO.terms"
"68","catalytic activity","GO:0003824","GO:0004396",0.024816869947206,0.999793381331039,1,3,"hexokinase activity","MF",1,"Pver_g541, Pver_g542, Pver_g849","DEG.GO.terms"
"69","catalytic activity","GO:0003824","GO:0004420",0.0287622397719321,0.999721963881314,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF",1,"Pver_g4188, Pver_g4796, Pver_g10560","DEG.GO.terms"
"70","catalytic activity","GO:0003824","GO:0004463",0.00989191228070898,1,1,1,"leukotriene-A4 hydrolase activity","MF",1,"Pver_g16312","DEG.GO.terms"
"71","catalytic activity","GO:0003824","GO:0004478",0.02743849544959,0.999747120075341,1,3,"methionine adenosyltransferase activity","MF",1,"Pver_g846, Pver_g14739, Pver_g18546","DEG.GO.terms"
"72","catalytic activity","GO:0003824","GO:0004657",0.0268704835388727,0.999757544318627,1,3,"proline dehydrogenase activity","MF",1,"Pver_g8101, Pver_g23871, Pver_g15293","DEG.GO.terms"
"73","catalytic activity","GO:0003824","GO:0004708",0.0132643105841775,0.999305964822767,2,21,"MAP kinase kinase activity","MF",1,"Pver_g138, Pver_g2258, Pver_g3034, Pver_g7570, Pver_g8292, Pver_g8729, Pver_g9210, Pver_g11619, Pver_g11702, Pver_g14363, Pver_g15713, Pver_g16979, Pver_g17111, Pver_g18142, Pver_g20617, Pver_g21912, Pver_g23020, Pver_g23093, Pver_g25533, Pver_g25964, Pver_g26281","DEG.GO.terms"
"74","catalytic activity","GO:0003824","GO:0004825",0.031719704009117,0.999619405292981,1,4,"methionine-tRNA ligase activity","MF",1,"Pver_g12577, Pver_g14740, Pver_g25471, Pver_g23926","DEG.GO.terms"
"75","catalytic activity","GO:0003824","GO:0005009",0.0293845038545243,0.99970972087298,1,3,"insulin receptor activity","MF",1,"Pver_g13135, Pver_g14771, Pver_g19246","DEG.GO.terms"
"76","catalytic activity","GO:0003824","GO:0008253",0.0426362494135709,0.999263600249607,1,5,"5'-nucleotidase activity","MF",1,"Pver_g2426, Pver_g9611, Pver_g15035, Pver_g24232, Pver_g15034","DEG.GO.terms"
"77","catalytic activity","GO:0003824","GO:0008470",0.0160713676077876,0.999935209155726,1,2,"isovaleryl-CoA dehydrogenase activity","MF",1,"Pver_g24733, Pver_g26142","DEG.GO.terms"
"78","catalytic activity","GO:0003824","GO:0008865",0.0219100540320316,0.999839161864573,1,3,"fructokinase activity","MF",1,"Pver_g542, Pver_g849, Pver_g8963","DEG.GO.terms"
