"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
265 0.892007388406188 5 7 "GO:0003854" "3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity" 0.977596594136516
-1491 0.445466510757442 2 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.780481735970916
2613 0.15290262196164 4 8 "GO:0003885" "D-arabinono-1,4-lactone oxidase activity" 0.515995919495878
-1651 0.0756559322794928 2 31 "GO:0003887" "DNA-directed DNA polymerase activity" 0.354446657089638
-1968 0.0314103111363109 2 32 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.229564502533381
-3467 0.0201992124782326 3 12 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.17455941053824
-190 0.934524619903311 2 5 "GO:0003916" "DNA topoisomerase activity" 0.985151725812078
-213 0.487355057128808 2 289 "GO:0003924" "GTPase activity" 0.800539796573418
-1750 0.121116444763241 7 21 "GO:0003925" "G protein activity" 0.450569858863527
-3458 0.0265496913148091 4 11 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.209611451800252
-511 0.480710257136725 3 51 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.800539796573418
334 0.808920794809739 2 14 "GO:0003951" "NAD+ kinase activity" 0.950190910797903
684 0.327301146317578 4 55 "GO:0003953" "NAD+ nucleosidase activity" 0.686259288754397
-598 0.278845263072204 2 88 "GO:0003964" "RNA-directed DNA polymerase activity" 0.64609255700969
4110 0.00074840123254332 2 18 "GO:0003968" "RNA-dependent RNA polymerase activity" 0.0154387931681114
-459 0.814151139721428 3 7 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.950190910797903
-149 0.895307232254613 4 21 "GO:0003993" "acid phosphatase activity" 0.977596594136516
2996 0.0302108025748433 3 14 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.226194966461234
1088 0.577884421868687 5 7 "GO:0003997" "acyl-CoA oxidase activity" 0.84522963099481
-2309 0.206520805989242 3 8 "GO:0004000" "adenosine deaminase activity" 0.566824272232276
-2114 0.316542536066173 3 6 "GO:0004016" "adenylate cyclase activity" 0.673640438649975
-486 0.803667788030556 2 7 "GO:0004017" "adenylate kinase activity" 0.950190910797903
-2607 0.0101946844849291 2 26 "GO:0004022;GO:0018455;GO:0004745" "alcohol dehydrogenase [NAD(P)+] activity" 0.112405184967451
-2200 0.125068099843702 3 13 "GO:0004029;GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 0.455659220002238
-477 0.807007390293284 6 7 "GO:0004032;GO:0047939;GO:0047941" "aldose reductase (NADPH) activity" 0.950190910797903
727 0.753100178926352 2 5 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 0.939734214480078
6858 0.00115783094185331 3 6 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.0208572644314139
222 0.868142237923493 2 15 "GO:0004062" "aryl sulfotransferase activity" 0.973141036199954
-1341 0.223946820872387 2 22 "GO:0004065" "arylsulfatase activity" 0.588147810874298
-2730 0.237776629386197 3 5 "GO:0004067" "asparaginase activity" 0.598654151545169
2406 0.0426255366804856 5 19 "GO:0004089" "carbonate dehydratase activity" 0.267245399089907
1672 0.428200942270449 4 6 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.765970636592873
-2616 0.257915889926155 3 5 "GO:0004100" "chitin synthase activity" 0.62833223469629
-812 0.619482824868008 3 10 "GO:0004104" "cholinesterase activity" 0.868770321278708
-504 0.796660702032248 3 7 "GO:0004111;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 0.948723498975089
842 0.542639687333153 4 14 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.828694430768266
1914 0.364552028758413 2 6 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.714442228565886
180 0.937896531699117 2 5 "GO:0004128" "cytochrome-b5 reductase activity, acting on NAD(P)H" 0.985151725812078
506 0.756780969242598 2 10 "GO:0004143" "ATP-dependent diacylglycerol kinase activity" 0.939734214480078
-821 0.615560817311328 2 10 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.864907784529952
1548 7.18354673885008e-11 3 487 "GO:0004175" "endopeptidase activity" 1.53129271316488e-08
-546 0.780113455716075 3 7 "GO:0004176" "ATP-dependent peptidase activity" 0.94217668542102
187 0.823638547974972 2 38 "GO:0004177" "aminopeptidase activity" 0.956179850345674
356 0.623158684355342 4 51 "GO:0004180" "carboxypeptidase activity" 0.870627501751092
1127 0.257642308458928 5 27 "GO:0004181" "metallocarboxypeptidase activity" 0.62833223469629
909 0.597985168790688 2 9 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.860318369947458
-1684 0.0577320578488991 2 34 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.31827285339975
446 0.33853834166476 2 124 "GO:0004197" "cysteine-type endopeptidase activity" 0.698266558394937
844 0.62421064824531 3 9 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.870627501751092
2653 1.16851011556185e-10 4 159 "GO:0004222" "metalloendopeptidase activity" 2.13503491114801e-08
1784 7.04656397021592e-06 3 171 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.000360502212716246
-1984 0.225110169052589 2 10 "GO:0004298" "threonine-type endopeptidase activity" 0.588994602052812
-154 0.894383030915542 5 20 "GO:0004300" "enoyl-CoA hydratase activity" 0.977596594136516
-1098 0.426933224267524 4 14 "GO:0004303" "estradiol 17-beta-dehydrogenase [NAD(P)+] activity" 0.765970636592873
6650 4.76365335274008e-05 5 10 "GO:0004315" "3-oxoacyl-[acyl-carrier-protein] synthase activity" 0.00169242017726516
368 0.873611803407955 4 5 "GO:0004322;GO:0016724" "ferroxidase activity" 0.973452849424486
-702 0.739456920620932 4 6 "GO:0004348;GO:0008422" "beta-glucosidase activity" 0.939734214480078
99 0.962610078809556 4 6 "GO:0004352;GO:0004353" "glutamate dehydrogenase [NAD(P)+] activity" 0.985151725812078
2833 0.22052938402522 2 5 "GO:0004359" "glutaminase activity" 0.581025830058325
175 0.934059592847874 2 6 "GO:0004362" "glutathione-disulfide reductase (NADPH) activity" 0.985151725812078
-1035 0.506928074347179 2 11 "GO:0004364" "glutathione transferase activity" 0.809019465200667
-4832 0.0220570575810063 2 6 "GO:0004376" "glycolipid mannosyltransferase activity" 0.187136570942736
805 0.486346874764912 3 20 "GO:0004383" "guanylate cyclase activity" 0.800539796573418
-96 0.96393214028382 3 6 "GO:0004385" "guanylate kinase activity" 0.985151725812078
300 0.359021519817609 2 254 "GO:0004386" "helicase activity" 0.707690276094315
-1754 0.0515014391454576 2 33 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.294215470843738
-1107 0.350676365358951 2 19 "GO:0004407;GO:0033558" "protein lysine deacetylase activity" 0.70682855547906
843 0.60629544850109 3 10 "GO:0004435;GO:0004629" "phospholipase C activity" 0.863532158833958
842 0.51497567137942 2 16 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 0.812891402270511
513 0.824333641023364 2 5 "GO:0004448" "isocitrate dehydrogenase [NAD(P)+] activity" 0.956179850345674
-258 0.880824041719865 2 9 "GO:0004467" "long-chain fatty acid-CoA ligase activity" 0.975022337833005
159 0.714513330761467 2 143 "GO:0004497" "monooxygenase activity" 0.928722103703167
-101 0.948154993622736 3 11 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.985151725812078
-1812 0.174874558224237 2 15 "GO:0004500" "dopamine beta-monooxygenase activity" 0.535932799668203
5195 0.000170834411839517 2 14 "GO:0004503;GO:0016716" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen" 0.00485549361650538
1660 0.472804056304329 2 5 "GO:0004508" "steroid 17-alpha-monooxygenase activity" 0.798832745063721
4895 0.0342671748699439 2 5 "GO:0004514" "nicotinate-nucleotide diphosphorylase (carboxylating) activity" 0.242229057252348
-1604 3.11508460491209e-07 2 276 "GO:0004518" "nuclease activity" 2.65612880645504e-05
-1672 0.000201904120390708 3 133 "GO:0004519" "endonuclease activity" 0.00537990354124407
-1413 0.0804751612504113 2 41 "GO:0004520" "DNA endonuclease activity" 0.366290858502762
-2162 0.000922498576509757 4 63 "GO:0004521" "RNA endonuclease activity" 0.0180724314132451
-5018 0.00360122358912138 3 9 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.0517524153987219
1261 0.464434691315316 4 9 "GO:0004525;GO:0032296" "double-stranded RNA-specific ribonuclease activity" 0.788892349568023
-6859 0.00115590339515928 6 6 "GO:0004526;GO:0004549;GO:0033204" "tRNA-specific ribonuclease activity" 0.0208572644314139
-1883 0.000227576069661721 2 103 "GO:0004527" "exonuclease activity" 0.00565745142648493
-3606 0.0875404089957823 5 6 "GO:0004534" "5'-3' RNA exonuclease activity" 0.381579870022008
-2008 0.304149006654162 2 7 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.662497505684497
-1755 0.0119514356991205 4 55 "GO:0004536" "DNA nuclease activity" 0.120361309127363
-2103 2.29621470831548e-05 3 109 "GO:0004540" "RNA nuclease activity" 0.000947373745785645
-134 0.920176945818841 2 15 "GO:0004550" "nucleoside diphosphate kinase activity" 0.985151725812078
-1102 0.54679279267182 4 8 "GO:0004551" "dinucleotide phosphatase activity" 0.828694430768266
853 0.0716361755386927 2 120 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.342768713782964
-260 0.894089043424046 3 7 "GO:0004560;GO:0015928" "fucosidase activity" 0.977596594136516
146 0.925185478020411 2 11 "GO:0004563" "beta-N-acetylhexosaminidase activity" 0.985151725812078
-2102 0.250182416944101 3 8 "GO:0004565" "beta-galactosidase activity" 0.615352521675972
5433 0.00162032147424143 2 9 "GO:0004568" "chitinase activity" 0.0276318822073972
210 0.927784379161378 4 5 "GO:0004591" "oxoglutarate dehydrogenase (succinyl-transferring) activity" 0.985151725812078
-2604 0.260069898313462 5 5 "GO:0004596" "peptide alpha-N-acetyltransferase activity" 0.628453208945136
1435 0.0523612528934879 2 49 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.294215470843738
1567 0.293771376402977 4 12 "GO:0004602" "glutathione peroxidase activity" 0.662497505684497
3021 0.122089220013995 3 7 "GO:0004609" "phosphatidylserine decarboxylase activity" 0.451306683230924
1100 0.0867933163709775 3 65 "GO:0004620" "phospholipase activity" 0.381579870022008
619 0.6020581222062 4 19 "GO:0004622" "lysophospholipase activity" 0.861333711746901
2022 0.050677222887985 2 25 "GO:0004623" "phospholipase A2 activity" 0.291964721052851
-1234 0.527899472016262 2 7 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.820392982635236
4411 0.0104903515957696 2 9 "GO:0004656;GO:0019798" "procollagen-proline dioxygenase activity" 0.112749241100751
-1523 0.238817122632537 2 16 "GO:0004659" "prenyltransferase activity" 0.60002311737218
-3832 0.0694282343910104 4 6 "GO:0004661;GO:0008318" "protein prenyltransferase activity" 0.336870533366476
224 0.164167322375762 3 1094 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.529221763079826
59 0.828418462915529 2 365 "GO:0004674" "protein serine/threonine kinase activity" 0.957999289393274
-1228 0.391833015037477 2 13 "GO:0004675" "transmembrane receptor protein serine/threonine kinase activity" 0.739165820402556
4524 0.050385905368091 5 5 "GO:0004677" "DNA-dependent protein kinase activity" 0.291964721052851
2041 0.0853992132627998 3 19 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.379255533899725
-2252 0.330169508613538 5 5 "GO:0004687" "myosin light chain kinase activity" 0.690011113589404
-865 0.615882361056455 5 9 "GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0.864907784529952
-401 0.849369459366409 2 6 "GO:0004691" "cAMP-dependent protein kinase activity" 0.96808796798745
-1937 0.112144012483288 5 18 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.434643005957956
4373 0.0252345045374828 3 7 "GO:0004694" "eukaryotic translation initiation factor 2alpha kinase activity" 0.201718320646503
2448 0.155472945815858 3 9 "GO:0004697" "diacylglycerol-dependent serine/threonine kinase activity" 0.518725261826913
992 0.543952489942597 3 10 "GO:0004707" "MAP kinase activity" 0.828694430768266
-733 0.52606474677006 3 20 "GO:0004708" "MAP kinase kinase activity" 0.820392982635236
-396 0.782503472652237 3 13 "GO:0004709" "MAP kinase kinase kinase activity" 0.943281754497843
478 0.579280057105096 2 36 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.84522963099481
733 0.0123914338086412 4 317 "GO:0004713" "protein tyrosine kinase activity" 0.122857704195753
1090 0.00376154473832595 2 191 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.0534557302257654
119 0.914013789028301 2 22 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.984855632828304
237 0.57259070408594 4 153 "GO:0004721" "phosphoprotein phosphatase activity" 0.842742819937764
-949 0.190638431396454 5 51 "GO:0004722" "protein serine/threonine phosphatase activity" 0.545292676922678
-1473 0.485397253659121 2 6 "GO:0004723" "calcium-dependent protein serine/threonine phosphatase activity" 0.800539796573418
951 0.109673956727465 5 76 "GO:0004725" "protein tyrosine phosphatase activity" 0.427661556873255
-1544 0.464453431762878 2 6 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.788892349568023
-1638 0.402057475967367 5 7 "GO:0004748;GO:0061731;GO:0016728" "oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor" 0.749608617729246
-1792 0.438475741259761 3 5 "GO:0004754;GO:0004753" "saccharopine dehydrogenase activity" 0.774292591287491
716 0.734334443294503 2 6 "GO:0004771" "sterol esterase activity" 0.939734214480078
-1369 0.483725643433882 2 7 "GO:0004800" "thyroxine 5'-deiodinase activity" 0.800539796573418
305 0.825393648467172 4 14 "GO:0004803" "transposase activity" 0.956230503976008
1857 0.164427253054362 2 15 "GO:0004806" "triglyceride lipase activity" 0.529221763079826
-564 0.495761787890275 3 39 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.802149737219425
-2949 0.058538520015695 2 11 "GO:0004819" "glutamine-tRNA ligase activity" 0.319960543162709
-360 0.876271040178288 2 5 "GO:0004839" "ubiquitin activating enzyme activity" 0.974565791641766
-346 0.175678979074151 2 418 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.535932799668203
-924 0.117385297344605 4 77 "GO:0004843;GO:0101005;GO:0019783" "ubiquitin-like protein peptidase activity" 0.444812364027103
2159 0.269309123336468 5 7 "GO:0004844;GO:0097506" "deaminated base DNA N-glycosylase activity" 0.636061364569715
579 0.0833554413821148 3 242 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.374075822904298
-1956 0.354077653648908 2 6 "GO:0004861" "cyclin-dependent protein serine/threonine kinase inhibitor activity" 0.707690276094315
1723 0.00422486800924069 2 74 "GO:0004866;GO:0061135" "endopeptidase regulator activity" 0.0587348498241179
1770 0.0567722127682097 6 31 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.3143361910413
1153 0.421601206131547 2 13 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.762765368648857
-883 0.494580136191612 3 16 "GO:0004879;GO:0098531" "ligand-activated transcription factor activity" 0.801733832939254
1234 1.24192736332405e-17 3 1391 "GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 1.58842509769146e-14
3963 0.0153742479148258 5 10 "GO:0004890" "GABA-A receptor activity" 0.143754212185448
94 0.961825314931576 2 7 "GO:0004896" "cytokine receptor activity" 0.985151725812078
910 1.6766388818954e-06 2 773 "GO:0004930" "G protein-coupled receptor activity" 0.000109333480110844
1079 0.245412730842669 2 31 "GO:0004935" "adrenergic receptor activity" 0.60712356430904
248 0.906532453448184 3 6 "GO:0004952" "dopamine neurotransmitter receptor activity" 0.980926402673627
1410 0.200957957587819 2 22 "GO:0004965" "G protein-coupled GABA receptor activity" 0.559097143956443
1512 0.170240325602629 2 22 "GO:0004970" "glutamate-gated receptor activity" 0.530875565355865
2705 0.16628854088566 2 7 "GO:0004977" "melanocortin receptor activity" 0.530875565355865
2190 0.0523231079064008 2 21 "GO:0004983" "neuropeptide Y receptor activity" 0.294215470843738
-2555 0.269222524715695 4 5 "GO:0004993" "G protein-coupled serotonin receptor activity" 0.636061364569715
994 0.564225699263513 2 9 "GO:0004995" "tachykinin receptor activity" 0.838660809205818
4680 0.0104671214495726 5 8 "GO:0005001;GO:0019198" "transmembrane receptor protein phosphatase activity" 0.112749241100751
721 0.629211714513346 6 12 "GO:0005003" "ephrin receptor activity" 0.870826692221311
-129 0.95140852540519 2 6 "GO:0005004" "GPI-linked ephrin receptor activity" 0.985151725812078
412 0.845224552774599 2 6 "GO:0005035" "death receptor activity" 0.966942936492587
153 0.911971410463047 2 14 "GO:0005041;GO:0019534" "toxin transmembrane transporter activity" 0.983483502514534
2005 0.0999763773992709 4 18 "GO:0005042" "netrin receptor activity" 0.409970631777627
1124 0.034482424742502 2 95 "GO:0005044" "scavenger receptor activity" 0.242229057252348
-1254 0.587623862259717 4 5 "GO:0005047" "signal recognition particle binding" 0.854819627808765
781 0.408492686604145 3 30 "GO:0005048" "signal sequence binding" 0.757191516183625
39 0.985411196837623 3 6 "GO:0005049" "nuclear export signal receptor activity" 0.991613627659575
-457 0.815116177569409 4 7 "GO:0005078" "MAP-kinase scaffold activity" 0.950190910797903
-1022 0.27940708090275 5 30 "GO:0005080" "protein kinase C binding" 0.646223610261514
36 0.939197831430813 2 122 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.985151725812078
-2214 3.36002200867449e-07 2 143 "GO:0005092" "GDP-dissociation inhibitor activity" 2.68591759318417e-05
-753 0.662062029565734 2 9 "GO:0005095" "GTPase inhibitor activity" 0.892781875444189
498 0.302730744659453 2 115 "GO:0005096" "GTPase activator activity" 0.662497505684497
695 0.000234437002035732 3 784 "GO:0005102" "signaling receptor binding" 0.00565745142648493
2197 0.297874420616055 2 6 "GO:0005104" "fibroblast growth factor receptor binding" 0.662497505684497
852 0.191718237205073 2 63 "GO:0005109" "frizzled binding" 0.545292676922678
