"","GO.ID","Term","numInCat","numDEI","num.expected.percent","classicFisher","ontology","methylation_status"
"40","GO:0003724","RNA helicase activity",16,3,0.71,0.03092,"MF","hypermethylated"
"41","GO:0008716","D-alanine-D-alanine ligase activity",7,2,0.31,0.03512,"MF","hypermethylated"
"42","GO:0008408","3'-5' exonuclease activity",7,2,0.31,0.03512,"MF","hypermethylated"
"43","GO:0016888","endodeoxyribonuclease activity, producin...",7,2,0.31,0.03512,"MF","hypermethylated"
"44","GO:0003677","DNA binding",232,16,10.24,0.03602,"MF","hypermethylated"
"45","GO:0003676","nucleic acid binding",702,84,37.66,3.1e-18,"MF","hypomethylated"
"46","GO:0008270","zinc ion binding",303,43,16.26,6.4e-10,"MF","hypomethylated"
"47","GO:0004518","nuclease activity",106,15,5.69,0.00049,"MF","hypomethylated"
"48","GO:0003964","RNA-directed DNA polymerase activity",101,13,5.42,0.0025,"MF","hypomethylated"
"49","GO:0003677","DNA binding",232,19,12.45,0.00421,"MF","hypomethylated"
"50","GO:0000049","tRNA binding",7,3,0.38,0.00453,"MF","hypomethylated"
"51","GO:0003824","catalytic activity",1363,89,73.12,0.00545,"MF","hypomethylated"
"52","GO:0016787","hydrolase activity",556,41,29.83,0.00681,"MF","hypomethylated"
"53","GO:1901363","heterocyclic compound binding",508,32,27.25,0.01354,"MF","hypomethylated"
"54","GO:0140640","catalytic activity, acting on a nucleic ...",251,26,13.47,0.01591,"MF","hypomethylated"
"55","GO:0016740","transferase activity",702,46,37.66,0.03348,"MF","hypomethylated"
"56","GO:0005634","nucleus",546,25,16.01,0.0087,"CC","hypermethylated"
"57","GO:0031901","early endosome membrane",9,2,0.26,0.0267,"CC","hypermethylated"
"58","GO:0030136","clathrin-coated vesicle",9,2,0.26,0.0267,"CC","hypermethylated"
"59","GO:0032993","protein-DNA complex",56,3,1.64,0.027,"CC","hypermethylated"
"60","GO:0005634","nucleus",546,31,16.84,1.4e-07,"CC","hypomethylated"
"61","GO:0033643","host cell part",12,4,0.37,0.0026,"CC","hypomethylated"
"62","GO:0042025","host cell nucleus",7,2,0.22,0.0178,"CC","hypomethylated"
