"","GO.ID","Term","numInCat","numDEI","num.expected.percent","classicFisher","ontology","direction","ParentTerm"
"47","GO:0008643","carbohydrate transport",101,4,0.9,0.01264,"BP","Up","organic hydroxy compound transport"
"48","GO:0034205","amyloid-beta formation",55,3,0.49,0.01293,"BP","Up","glutathione biosynthetic process"
"49","GO:0050432","catecholamine secretion",55,3,0.49,0.01293,"BP","Up","organic hydroxy compound transport"
"50","GO:0050893","sensory processing",20,2,0.18,0.01347,"BP","Up","sensory processing"
"51","GO:0006518","peptide metabolic process",731,13,6.51,0.01349,"BP","Up","glutathione biosynthetic process"
"52","GO:0015695","organic cation transport",56,3,0.5,0.01358,"BP","Up","organic hydroxy compound transport"
"53","GO:0009628","response to abiotic stimulus",1153,18,10.27,0.01386,"BP","Up","response to abiotic stimulus"
"54","GO:0042790","nucleolar large rRNA transcription by RN...",21,2,0.19,0.0148,"BP","Up","positive regulation of transcription by RNA polymerase I"
"55","GO:0015837","amine transport",106,4,0.94,0.01486,"BP","Up","organic hydroxy compound transport"
"56","GO:0009266","response to temperature stimulus",224,6,1.99,0.01513,"BP","Up","response to abiotic stimulus"
"57","GO:2000300","regulation of synaptic vesicle exocytosi...",59,3,0.53,0.01562,"BP","Up","synaptic transmission, cholinergic"
"58","GO:0032225","regulation of synaptic transmission, dop...",22,2,0.2,0.01618,"BP","Up","synaptic transmission, cholinergic"
"59","GO:0050435","amyloid-beta metabolic process",60,3,0.53,0.01634,"BP","Up","glutathione biosynthetic process"
"60","GO:0032869","cellular response to insulin stimulus",166,5,1.48,0.01645,"BP","Up","behavioral response to nicotine"
"61","GO:0009409","response to cold",61,3,0.54,0.01707,"BP","Up","response to abiotic stimulus"
"62","GO:0007274","neuromuscular synaptic transmission",23,2,0.2,0.01762,"BP","Up","synaptic transmission, cholinergic"
"63","GO:0048149","behavioral response to ethanol",23,2,0.2,0.01762,"BP","Up","behavioral response to nicotine"
"64","GO:0019752","carboxylic acid metabolic process",758,13,6.75,0.01771,"BP","Up","oxoacid metabolic process"
"65","GO:0019915","lipid storage",62,3,0.55,0.01783,"BP","Up","lipoprotein transport"
"66","GO:1990748","cellular detoxification",62,3,0.55,0.01783,"BP","Up","behavioral response to nicotine"
"67","GO:0006356","regulation of transcription by RNA polym...",24,2,0.21,0.01911,"BP","Up","positive regulation of transcription by RNA polymerase I"
"68","GO:0031644","regulation of nervous system process",115,4,1.02,0.01946,"BP","Up","sensory processing"
"69","GO:1901652","response to peptide",380,8,3.38,0.02046,"BP","Up","behavioral response to nicotine"
"70","GO:0095500","acetylcholine receptor signaling pathway",25,2,0.22,0.02066,"BP","Up","behavioral response to nicotine"
"71","GO:0042987","amyloid precursor protein catabolic proc...",69,3,0.61,0.02362,"BP","Up","amyloid precursor protein catabolic process"
"72","GO:0051937","catecholamine transport",69,3,0.61,0.02362,"BP","Up","organic hydroxy compound transport"
"73","GO:0097237","cellular response to toxic substance",69,3,0.61,0.02362,"BP","Up","behavioral response to nicotine"
"74","GO:0016358","dendrite development",248,6,2.21,0.02364,"BP","Up","dendritic spine organization"
"75","GO:0031640","killing of cells of another organism",27,2,0.24,0.02389,"BP","Up","defense response to bacterium"
"76","GO:0046456","icosanoid biosynthetic process",27,2,0.24,0.02389,"BP","Up","oxoacid metabolic process"
"77","GO:1905145","cellular response to acetylcholine",27,2,0.24,0.02389,"BP","Up","behavioral response to nicotine"
"78","GO:0044272","sulfur compound biosynthetic process",183,5,1.63,0.02394,"BP","Up","hydrogen sulfide metabolic process"
"79","GO:0042398","cellular modified amino acid biosyntheti...",71,3,0.63,0.02544,"BP","Up","cellular modified amino acid metabolic process"
"80","GO:1904659","glucose transmembrane transport",71,3,0.63,0.02544,"BP","Up","organic hydroxy compound transport"
"81","GO:0006690","icosanoid metabolic process",72,3,0.64,0.02638,"BP","Up","oxoacid metabolic process"
"82","GO:0008645","hexose transmembrane transport",72,3,0.64,0.02638,"BP","Up","organic hydroxy compound transport"
"83","GO:0006810","transport",3777,44,33.63,0.027,"BP","Up","transmembrane transport"
"84","GO:0006911","phagocytosis, engulfment",29,2,0.26,0.02732,"BP","Up","dendritic spine organization"
"85","GO:0009303","rRNA transcription",29,2,0.26,0.02732,"BP","Up","positive regulation of transcription by RNA polymerase I"
"86","GO:0065003","protein-containing complex assembly",1078,16,9.6,0.03023,"BP","Up","protein complex oligomerization"
"87","GO:0015844","monoamine transport",76,3,0.68,0.03031,"BP","Up","organic hydroxy compound transport"
"88","GO:0043603","amide metabolic process",905,14,8.06,0.03084,"BP","Up","glutathione biosynthetic process"
"89","GO:0001963","synaptic transmission, dopaminergic",31,2,0.28,0.03093,"BP","Up","synaptic transmission, cholinergic"
"90","GO:0051446","positive regulation of meiotic cell cycl...",31,2,0.28,0.03093,"BP","Up","male meiosis I"
"91","GO:0098926","postsynaptic signal transduction",31,2,0.28,0.03093,"BP","Up","synaptic transmission, cholinergic"
"92","GO:0050806","positive regulation of synaptic transmis...",133,4,1.18,0.03108,"BP","Up","synaptic transmission, cholinergic"
"93","GO:0015749","monosaccharide transmembrane transport",77,3,0.69,0.03134,"BP","Up","organic hydroxy compound transport"
"94","GO:0042982","amyloid precursor protein metabolic proc...",77,3,0.69,0.03134,"BP","Up","amyloid precursor protein catabolic process"
"95","GO:0043933","protein-containing complex organization",1362,19,12.13,0.03303,"BP","Up","protein complex oligomerization"
"96","GO:0006520","amino acid metabolic process",344,7,3.06,0.03434,"BP","Up","proline metabolic process"
"97","GO:0034219","carbohydrate transmembrane transport",80,3,0.71,0.03453,"BP","Up","organic hydroxy compound transport"
"98","GO:0097305","response to alcohol",272,6,2.42,0.03491,"BP","Up","behavioral response to nicotine"
"99","GO:0046928","regulation of neurotransmitter secretion",81,3,0.72,0.03563,"BP","Up","synaptic transmission, cholinergic"
"100","GO:0032868","response to insulin",205,5,1.83,0.03648,"BP","Up","behavioral response to nicotine"
"101","GO:0042219","cellular modified amino acid catabolic p...",34,2,0.3,0.03668,"BP","Up","cellular modified amino acid metabolic process"
"102","GO:1990000","amyloid fibril formation",34,2,0.3,0.03668,"BP","Up","amyloid fibril formation"
"103","GO:0001666","response to hypoxia",206,5,1.83,0.03713,"BP","Up","response to abiotic stimulus"
"104","GO:0050808","synapse organization",428,8,3.81,0.03768,"BP","Up","dendritic spine organization"
"105","GO:0071375","cellular response to peptide hormone sti...",208,5,1.85,0.03845,"BP","Up","behavioral response to nicotine"
"106","GO:0035023","regulation of Rho protein signal transdu...",35,2,0.31,0.03868,"BP","Up","synaptic transmission, cholinergic"
"107","GO:0051262","protein tetramerization",85,3,0.76,0.04022,"BP","Up","protein complex oligomerization"
"108","GO:0098754","detoxification",85,3,0.76,0.04022,"BP","Up","behavioral response to nicotine"
"109","GO:0032608","interferon-beta production",87,3,0.77,0.04262,"BP","Up","regulation of interferon-beta production"
"110","GO:0032648","regulation of interferon-beta production",87,3,0.77,0.04262,"BP","Up","regulation of interferon-beta production"
"111","GO:0051180","vitamin transport",37,2,0.33,0.0428,"BP","Up","transmembrane transport"
"112","GO:0045471","response to ethanol",148,4,1.32,0.04331,"BP","Up","behavioral response to nicotine"
"113","GO:0006556","S-adenosylmethionine biosynthetic proces...",5,1,0.04,0.04374,"BP","Up","hydrogen sulfide metabolic process"
"114","GO:0006561","proline biosynthetic process",5,1,0.04,0.04374,"BP","Up","proline metabolic process"
"115","GO:0015870","acetylcholine transport",5,1,0.04,0.04374,"BP","Up","organic hydroxy compound transport"
"116","GO:0016559","peroxisome fission",5,1,0.04,0.04374,"BP","Up","dendritic spine organization"
"117","GO:0019240","citrulline biosynthetic process",5,1,0.04,0.04374,"BP","Up","proline metabolic process"
"118","GO:0070305","response to cGMP",5,1,0.04,0.04374,"BP","Up","behavioral response to nicotine"
"119","GO:0071321","cellular response to cGMP",5,1,0.04,0.04374,"BP","Up","behavioral response to nicotine"
"120","GO:0098883","synapse pruning",5,1,0.04,0.04374,"BP","Up","dendritic spine organization"
"121","GO:1901374","acetate ester transport",5,1,0.04,0.04374,"BP","Up","organic hydroxy compound transport"
"122","GO:2000252","negative regulation of feeding behavior",5,1,0.04,0.04374,"BP","Up","adult behavior"
"123","GO:0099024","plasma membrane invagination",38,2,0.34,0.04492,"BP","Up","dendritic spine organization"
"124","GO:0007268","chemical synaptic transmission",610,10,5.43,0.04601,"BP","Up","synaptic transmission, cholinergic"
"125","GO:0098916","anterograde trans-synaptic signaling",610,10,5.43,0.04601,"BP","Up","synaptic transmission, cholinergic"
"126","GO:0072359","circulatory system development",1231,17,10.96,0.04637,"BP","Up","circulatory system development"
"127","GO:0036293","response to decreased oxygen levels",220,5,1.96,0.04698,"BP","Up","response to abiotic stimulus"
"128","GO:0051899","membrane depolarization",39,2,0.35,0.04708,"BP","Up","regulation of postsynaptic membrane potential"
"129","GO:0055081","monoatomic anion homeostasis",39,2,0.35,0.04708,"BP","Up","monoatomic anion homeostasis"
"130","GO:0043434","response to peptide hormone",293,6,2.61,0.04723,"BP","Up","behavioral response to nicotine"
"131","GO:0034330","cell junction organization",613,10,5.46,0.04728,"BP","Up","dendritic spine organization"
"132","GO:0099537","trans-synaptic signaling",613,10,5.46,0.04728,"BP","Up","synaptic transmission, cholinergic"
"133","GO:0042221","response to chemical",3405,39,30.32,0.04839,"BP","Up","behavioral response to nicotine"
"134","GO:0097006","regulation of plasma lipoprotein particl...",40,2,0.36,0.04927,"BP","Up","regulation of plasma lipoprotein particle levels"
"135","GO:1903749","positive regulation of establishment of ...",8,2,0.03,0.00039,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"136","GO:1903955","positive regulation of protein targeting...",8,2,0.03,0.00039,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"137","GO:0097154","GABAergic neuron differentiation",13,2,0.05,0.00106,"BP","Down","GABAergic neuron differentiation"
"138","GO:0009790","embryo development",1570,14,5.92,0.0017,"BP","Down","GABAergic neuron differentiation"
"139","GO:2000678","negative regulation of transcription reg...",18,2,0.07,0.00206,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"140","GO:1903214","regulation of protein targeting to mitoc...",19,2,0.07,0.00229,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"141","GO:1903747","regulation of establishment of protein l...",20,2,0.08,0.00254,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"142","GO:0048598","embryonic morphogenesis",984,10,3.71,0.00344,"BP","Down","GABAergic neuron differentiation"
"143","GO:0007623","circadian rhythm",167,4,0.63,0.0036,"BP","Down","circadian rhythm"
"144","GO:0009954","proximal/distal pattern formation",26,2,0.1,0.00428,"BP","Down","GABAergic neuron differentiation"
"145","GO:0007219","Notch signaling pathway",177,4,0.67,0.00443,"BP","Down","Notch signaling pathway"
"146","GO:0048646","anatomical structure formation involved ...",1212,11,4.57,0.00506,"BP","Down","GABAergic neuron differentiation"
"147","GO:0042752","regulation of circadian rhythm",96,3,0.36,0.00567,"BP","Down","circadian rhythm"
"148","GO:0031398","positive regulation of protein ubiquitin...",100,3,0.38,0.00635,"BP","Down","positive regulation of protein ubiquitination"
"149","GO:0045746","negative regulation of Notch signaling p...",33,2,0.12,0.00684,"BP","Down","Notch signaling pathway"
"150","GO:0009888","tissue development",2038,15,7.68,0.00726,"BP","Down","GABAergic neuron differentiation"
"151","GO:1901875","positive regulation of post-translationa...",113,3,0.43,0.00888,"BP","Down","positive regulation of protein ubiquitination"
"152","GO:1903322","positive regulation of protein modificat...",113,3,0.43,0.00888,"BP","Down","positive regulation of protein ubiquitination"
"153","GO:1903533","regulation of protein targeting",38,2,0.14,0.009,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"154","GO:2000677","regulation of transcription regulatory r...",39,2,0.15,0.00946,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"155","GO:0043392","negative regulation of DNA binding",40,2,0.15,0.00994,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"156","GO:0009792","embryo development ending in birth or eg...",833,8,3.14,0.0124,"BP","Down","GABAergic neuron differentiation"
"157","GO:0071560","cellular response to transforming growth...",139,3,0.52,0.01551,"BP","Down","cellular response to transforming growth factor beta stimulus"
"158","GO:0071559","response to transforming growth factor b...",141,3,0.53,0.01611,"BP","Down","cellular response to transforming growth factor beta stimulus"
"159","GO:0048511","rhythmic process",258,4,0.97,0.01616,"BP","Down","circadian rhythm"
"160","GO:0030178","negative regulation of Wnt signaling pat...",144,3,0.54,0.01703,"BP","Down","Notch signaling pathway"
"161","GO:0006572","tyrosine catabolic process",5,1,0.02,0.01871,"BP","Down","tyrosine catabolic process"
"162","GO:0070305","response to cGMP",5,1,0.02,0.01871,"BP","Down","cellular response to cGMP"
"163","GO:0071321","cellular response to cGMP",5,1,0.02,0.01871,"BP","Down","cellular response to cGMP"
"164","GO:0006626","protein targeting to mitochondrion",57,2,0.21,0.01952,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"165","GO:0043161","proteasome-mediated ubiquitin-dependent ...",281,4,1.06,0.02138,"BP","Down","proteasome-mediated ubiquitin-dependent protein catabolic process"
"166","GO:0006559","L-phenylalanine catabolic process",6,1,0.02,0.02241,"BP","Down","tyrosine catabolic process"
"167","GO:0015701","bicarbonate transport",6,1,0.02,0.02241,"BP","Down","bicarbonate transport"
"168","GO:0035246","peptidyl-arginine N-methylation",6,1,0.02,0.02241,"BP","Down","positive regulation of protein ubiquitination"
"169","GO:0042816","vitamin B6 metabolic process",6,1,0.02,0.02241,"BP","Down","tyrosine catabolic process"
"170","GO:0106070","regulation of adenylate cyclase-activati...",6,1,0.02,0.02241,"BP","Down","Notch signaling pathway"
"171","GO:1902222","erythrose 4-phosphate/phosphoenolpyruvat...",6,1,0.02,0.02241,"BP","Down","tyrosine catabolic process"
"172","GO:0007189","adenylate cyclase-activating G protein-c...",62,2,0.23,0.02286,"BP","Down","Notch signaling pathway"
"173","GO:0010469","regulation of signaling receptor activit...",63,2,0.24,0.02355,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"174","GO:0072655","establishment of protein localization to...",63,2,0.24,0.02355,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"175","GO:0006558","L-phenylalanine metabolic process",7,1,0.03,0.0261,"BP","Down","tyrosine catabolic process"
"176","GO:0006646","phosphatidylethanolamine biosynthetic pr...",7,1,0.03,0.0261,"BP","Down","phosphatidylethanolamine biosynthetic process"
"177","GO:0018158","protein oxidation",7,1,0.03,0.0261,"BP","Down","positive regulation of protein ubiquitination"
"178","GO:0050927","positive regulation of positive chemotax...",7,1,0.03,0.0261,"BP","Down","cellular response to cGMP"
"179","GO:1902221","erythrose 4-phosphate/phosphoenolpyruvat...",7,1,0.03,0.0261,"BP","Down","tyrosine catabolic process"
"180","GO:0070585","protein localization to mitochondrion",70,2,0.26,0.02864,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"181","GO:0016055","Wnt signaling pathway",459,5,1.73,0.02905,"BP","Down","Notch signaling pathway"
"182","GO:0018996","molting cycle, collagen and cuticulin-ba...",8,1,0.03,0.02977,"BP","Down","molting cycle, collagen and cuticulin-based cuticle"
"183","GO:0032369","negative regulation of lipid transport",8,1,0.03,0.02977,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"184","GO:0198738","cell-cell signaling by wnt",464,5,1.75,0.03025,"BP","Down","Notch signaling pathway"
"185","GO:0018216","peptidyl-arginine methylation",9,1,0.03,0.03343,"BP","Down","positive regulation of protein ubiquitination"
"186","GO:0042308","negative regulation of protein import in...",9,1,0.03,0.03343,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"187","GO:0050926","regulation of positive chemotaxis",9,1,0.03,0.03343,"BP","Down","cellular response to cGMP"
"188","GO:1903026","negative regulation of RNA polymerase II...",9,1,0.03,0.03343,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"189","GO:0035282","segmentation",189,3,0.71,0.03439,"BP","Down","GABAergic neuron differentiation"
"190","GO:0006511","ubiquitin-dependent protein catabolic pr...",484,5,1.82,0.03534,"BP","Down","proteasome-mediated ubiquitin-dependent protein catabolic process"
"191","GO:1903531","negative regulation of secretion by cell",79,2,0.3,0.03576,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"192","GO:0019941","modification-dependent protein catabolic...",489,5,1.84,0.03669,"BP","Down","proteasome-mediated ubiquitin-dependent protein catabolic process"
"193","GO:0030111","regulation of Wnt signaling pathway",334,4,1.26,0.03702,"BP","Down","Notch signaling pathway"
"194","GO:0032875","regulation of DNA endoreduplication",10,1,0.04,0.03708,"BP","Down","regulation of DNA endoreduplication"
"195","GO:0045842","positive regulation of mitotic metaphase...",10,1,0.04,0.03708,"BP","Down","regulation of DNA endoreduplication"
"196","GO:1901970","positive regulation of mitotic sister ch...",10,1,0.04,0.03708,"BP","Down","regulation of DNA endoreduplication"
"197","GO:0051101","regulation of DNA binding",81,2,0.31,0.03743,"BP","Down","negative regulation of transcription regulatory region DNA binding"
"198","GO:0008593","regulation of Notch signaling pathway",82,2,0.31,0.03827,"BP","Down","Notch signaling pathway"
"199","GO:0043632","modification-dependent macromolecule cat...",499,5,1.88,0.03949,"BP","Down","proteasome-mediated ubiquitin-dependent protein catabolic process"
"200","GO:0032006","regulation of TOR signaling",84,2,0.32,0.03998,"BP","Down","Notch signaling pathway"
"201","GO:0010753","positive regulation of cGMP-mediated sig...",11,1,0.04,0.04071,"BP","Down","Notch signaling pathway"
"202","GO:0042256","cytosolic ribosome assembly",11,1,0.04,0.04071,"BP","Down","cytosolic ribosome assembly"
"203","GO:1903844","regulation of cellular response to trans...",86,2,0.32,0.04172,"BP","Down","cellular response to transforming growth factor beta stimulus"
"204","GO:0031396","regulation of protein ubiquitination",205,3,0.77,0.04214,"BP","Down","positive regulation of protein ubiquitination"
"205","GO:0010498","proteasomal protein catabolic process",350,4,1.32,0.04276,"BP","Down","proteasome-mediated ubiquitin-dependent protein catabolic process"
"206","GO:0006488","dolichol-linked oligosaccharide biosynth...",12,1,0.05,0.04433,"BP","Down","tyrosine catabolic process"
"207","GO:0018195","peptidyl-arginine modification",12,1,0.05,0.04433,"BP","Down","positive regulation of protein ubiquitination"
"208","GO:0031929","TOR signaling",92,2,0.35,0.04711,"BP","Down","Notch signaling pathway"
"209","GO:0010721","negative regulation of cell development",215,3,0.81,0.04739,"BP","Down","GABAergic neuron differentiation"
"210","GO:0019637","organophosphate metabolic process",701,6,2.64,0.04772,"BP","Down","phosphatidylethanolamine biosynthetic process"
"211","GO:0032048","cardiolipin metabolic process",13,1,0.05,0.04793,"BP","Down","phosphatidylethanolamine biosynthetic process"
"212","GO:0090151","establishment of protein localization to...",13,1,0.05,0.04793,"BP","Down","positive regulation of establishment of protein localization to mitochondrion"
"213","GO:1902101","positive regulation of metaphase/anaphas...",13,1,0.05,0.04793,"BP","Down","regulation of DNA endoreduplication"
