"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term","dir","gene_id"
"K13513",0.00614370866685855,0.999990647293757,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_g22809"
"K13513",0.00614370866685855,0.999990647293757,1,2,"KEGG","lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]","up","Pver_novel_model_751_5de57afd"
"K20123",0.00628241110133046,0.999990219537514,1,2,"KEGG","protein kinase C and casein kinase substrate in neurons protein","up","Pver_g10012"
"K20123",0.00628241110133046,0.999990219537514,1,2,"KEGG","protein kinase C and casein kinase substrate in neurons protein","up","Pver_g11124"
"K01800",0.00650193915481128,0.999989522903096,1,2,"KEGG","maleylacetoacetate isomerase [EC:5.2.1.2]","up","Pver_g9166"
"K01800",0.00650193915481128,0.999989522903096,1,2,"KEGG","maleylacetoacetate isomerase [EC:5.2.1.2]","up","Pver_g24887"
"K20368",0.0065736429601589,0.999989290154231,1,2,"KEGG","protein cornichon","up","Pver_g6870"
"K20368",0.0065736429601589,0.999989290154231,1,2,"KEGG","protein cornichon","up","Pver_g8962"
"K22522",0.0065745786841648,0.999989287099935,1,2,"KEGG","cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]","up","Pver_g16367"
"K22522",0.0065745786841648,0.999989287099935,1,2,"KEGG","cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]","up","Pver_g25262"
"K13748",0.00970027408529226,0.999968873445588,1,3,"KEGG","alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]","up","Pver_g916"
"K13748",0.00970027408529226,0.999968873445588,1,3,"KEGG","alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]","up","Pver_g920"
"K13748",0.00970027408529226,0.999968873445588,1,3,"KEGG","alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]","up","Pver_g921"
"K24104",0.00982984673373071,0.999968034461979,1,3,"KEGG","GPN-loop GTPase","up","Pver_g3620"
"K24104",0.00982984673373071,0.999968034461979,1,3,"KEGG","GPN-loop GTPase","up","Pver_g6226"
"K24104",0.00982984673373071,0.999968034461979,1,3,"KEGG","GPN-loop GTPase","up","Pver_g6843"
"K02295",0.0115234395620551,0.999950557861249,1,4,"KEGG","cryptochrome","up","Pver_g2643"
"K02295",0.0115234395620551,0.999950557861249,1,4,"KEGG","cryptochrome","up","Pver_g7747"
"K02295",0.0115234395620551,0.999950557861249,1,4,"KEGG","cryptochrome","up","Pver_g13943"
"K02295",0.0115234395620551,0.999950557861249,1,4,"KEGG","cryptochrome","up","Pver_g13944"
"K08997",0.011797803432446,0.999948169432569,1,4,"KEGG","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]","up","Pver_g774"
"K08997",0.011797803432446,0.999948169432569,1,4,"KEGG","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]","up","Pver_g4700"
"K08997",0.011797803432446,0.999948169432569,1,4,"KEGG","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]","up","Pver_g23430"
"K08997",0.011797803432446,0.999948169432569,1,4,"KEGG","serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]","up","Pver_g25690"
"K00326",0.0119643903688692,0.999946691610219,1,4,"KEGG","cytochrome-b5 reductase [EC:1.6.2.2]","up","Pver_g4709"
"K00326",0.0119643903688692,0.999946691610219,1,4,"KEGG","cytochrome-b5 reductase [EC:1.6.2.2]","up","Pver_g6636"
"K00326",0.0119643903688692,0.999946691610219,1,4,"KEGG","cytochrome-b5 reductase [EC:1.6.2.2]","up","Pver_g7160"
"K00326",0.0119643903688692,0.999946691610219,1,4,"KEGG","cytochrome-b5 reductase [EC:1.6.2.2]","up","Pver_g8190"
"K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20","up","Pver_g4406"
"K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20","up","Pver_g5144"
"K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20","up","Pver_g22963"
"K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20","up","Pver_g22964"
"K05048",0.0136879963440013,0.999925536998844,1,5,"KEGG","solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20","up","Pver_g22965"
"K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]","up","Pver_g5374"
"K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]","up","Pver_g9166"
"K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]","up","Pver_g10925"
"K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]","up","Pver_g17600"
"K00546",0.0161638643831841,0.999896058013729,1,5,"KEGG","histamine N-methyltransferase [EC:2.1.1.8]","up","Pver_g20996"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g3662"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g7433"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g9571"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g9575"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g9576"
"K05759",0.0182775576322441,0.999861467446756,1,6,"KEGG","profilin","up","Pver_g9977"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g248"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g1508"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g1510"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g1511"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g1512"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g2235"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g2236"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g2237"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g3187"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g3325"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4165"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4166"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4169"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4711"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4712"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4713"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g4714"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g6303"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g6371"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g6815"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g6816"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g6817"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g7437"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g7615"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g8193"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g8446"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g13505"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g14920"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g23129"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g23131"
"K08187",0.00187607976809058,0.999897973639993,3,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","down","Pver_g26080"
"K13352",0.00378881131035577,1,1,1,"KEGG","peroxin-11B","down","Pver_g2753"
"K20369",0.00465991919723489,1,1,1,"KEGG","ER-derived vesicles protein","down","Pver_g23053"
"K22282",0.00749842316418357,1,1,1,"KEGG","fatty acid hydroxylase domain-containing protein 2","down","Pver_g15639"
"K18575",0.00768813299224628,0.999985252527352,1,2,"KEGG","alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]","down","Pver_g11765"
"K18575",0.00768813299224628,0.999985252527352,1,2,"KEGG","alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]","down","Pver_g11766"
"K09546",0.00822048510162926,1,1,1,"KEGG","heat shock protein beta-7","down","Pver_g11517"
"K19375",0.00834535826197427,1,1,1,"KEGG","HSPB1-associated protein 1","down","Pver_g14546"
"K03363",0.00918164867820271,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex","down","Pver_g630"
"K03363",0.00918164867820271,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex","down","Pver_novel_model_662_5de57afd"
"K07562",0.00936052927217585,1,1,1,"KEGG","nonsense-mediated mRNA decay protein 3","down","Pver_g9524"
"K02608",0.00936843380757961,1,1,1,"KEGG","origin recognition complex subunit 6","down","Pver_g16605"
"K01091",0.00938612283469879,1,1,1,"KEGG","phosphoglycolate phosphatase [EC:3.1.3.18]","down","Pver_g10505"
"K09849",0.00939116728417149,1,1,1,"KEGG","TNF receptor-associated factor 5","down","Pver_g7590"
"K07975",0.00939126205172865,1,1,1,"KEGG","Rho family, other","down","Pver_g15656"
"K23730",0.00939126205227071,1,1,1,"KEGG","coiled-coil domain-containing protein 40","down","Pver_g6350"
"K01254",0.00939126205231773,1,1,1,"KEGG","leukotriene-A4 hydrolase [EC:3.3.2.6]","down","Pver_g16312"
"K03252",0.00939126205232461,1,1,1,"KEGG","translation initiation factor 3 subunit C","down","Pver_g5890"
"K12657",0.00939126205232848,1,1,1,"KEGG","delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]","down","Pver_g26149"
"K10392",0.00939126205232849,1,1,1,"KEGG","kinesin family member 1","down","Pver_g5236"
"K07232",0.0101319465417623,0.999974355221028,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]","down","Pver_g2049"
"K07232",0.0101319465417623,0.999974355221028,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]","down","Pver_g11755"
"K07305",0.0110151476507686,0.999969675875332,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]","down","Pver_g6370"
"K07305",0.0110151476507686,0.999969675875332,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]","down","Pver_g24018"
"K09542",0.0118882921183411,0.999964662247556,1,2,"KEGG","crystallin, alpha B","down","Pver_g2515"
"K09542",0.0118882921183411,0.999964662247556,1,2,"KEGG","crystallin, alpha B","down","Pver_g11517"
"K00253",0.0128703476653399,0.999958562165466,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","down","Pver_g24733"
"K00253",0.0128703476653399,0.999958562165466,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","down","Pver_g26142"
"K19465",0.0142707957944674,0.999949017408886,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]","down","Pver_g82"
"K19465",0.0142707957944674,0.999949017408886,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]","down","Pver_g12152"
"K13698",0.0144881755559499,0.999947446588057,1,2,"KEGG","abhydrolase domain-containing protein 4","down","Pver_g15783"
"K13698",0.0144881755559499,0.999947446588057,1,2,"KEGG","abhydrolase domain-containing protein 4","down","Pver_g15784"
"K13699",0.0144881755559499,0.999947446588057,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]","down","Pver_g15783"
"K13699",0.0144881755559499,0.999947446588057,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]","down","Pver_g15784"
"K03103",0.0151200211396657,0.999923724166526,1,3,"KEGG","multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]","down","Pver_g2438"
"K03103",0.0151200211396657,0.999923724166526,1,3,"KEGG","multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]","down","Pver_g10505"
"K03103",0.0151200211396657,0.999923724166526,1,3,"KEGG","multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]","down","Pver_g13446"
"K01667",0.0152379241357804,0.999941844507843,1,2,"KEGG","tryptophanase [EC:4.1.99.1]","down","Pver_g11125"
"K01667",0.0152379241357804,0.999941844507843,1,2,"KEGG","tryptophanase [EC:4.1.99.1]","down","Pver_g11126"
"K20371",0.0153743303769487,0.99994079455095,1,2,"KEGG","nucleobindin","down","Pver_g7478"
"K20371",0.0153743303769487,0.99994079455095,1,2,"KEGG","nucleobindin","down","Pver_g15943"
"K23677",0.0157101027598955,0.999938169676937,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter","down","Pver_g318"
"K23677",0.0157101027598955,0.999938169676937,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter","down","Pver_g12634"
"K11459",0.0176797734355976,0.999921615079785,1,2,"KEGG","polycomb group RING finger protein 4","down","Pver_g6262"
"K11459",0.0176797734355976,0.999921615079785,1,2,"KEGG","polycomb group RING finger protein 4","down","Pver_g6266"
"K23224",0.0180008401656516,0.999918728970852,1,2,"KEGG","spermatogenesis-associated protein 6","down","Pver_g15765"
"K23224",0.0180008401656516,0.999918728970852,1,2,"KEGG","spermatogenesis-associated protein 6","down","Pver_g17502"
"K00844",0.0183090997725613,0.999887993590853,1,3,"KEGG","hexokinase [EC:2.7.1.1]","down","Pver_g541"
"K00844",0.0183090997725613,0.999887993590853,1,3,"KEGG","hexokinase [EC:2.7.1.1]","down","Pver_g542"
"K00844",0.0183090997725613,0.999887993590853,1,3,"KEGG","hexokinase [EC:2.7.1.1]","down","Pver_g849"
"K03175",0.0186635716651493,0.999912605018236,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]","down","Pver_g7590"
"K03175",0.0186635716651493,0.999912605018236,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]","down","Pver_g10605"
"K05681",0.0186899588820286,0.999912356539696,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2","down","Pver_g13279"
"K05681",0.0186899588820286,0.999912356539696,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2","down","Pver_g18735"
"K00318",0.0186910986294202,0.999912345799099,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]","down","Pver_g8101"
"K00318",0.0186910986294202,0.999912345799099,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]","down","Pver_g15293"
"K19766",0.0214563425407755,0.99981532812833,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","down","Pver_g2515"
"K19766",0.0214563425407755,0.99981532812833,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","down","Pver_g11516"
"K19766",0.0214563425407755,0.99981532812833,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","down","Pver_g11517"
"K19766",0.0214563425407755,0.99981532812833,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","down","Pver_g11518"
"K19766",0.0214563425407755,0.99981532812833,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","down","Pver_g11519"
"K04513",0.0228073444376871,0.999825841433276,1,3,"KEGG","Ras homolog gene family, member A","down","Pver_g15654"
"K04513",0.0228073444376871,0.999825841433276,1,3,"KEGG","Ras homolog gene family, member A","down","Pver_g15655"
"K04513",0.0228073444376871,0.999825841433276,1,3,"KEGG","Ras homolog gene family, member A","down","Pver_g15656"
"K00789",0.0235855895735591,0.999813687262632,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","down","Pver_g846"
"K00789",0.0235855895735591,0.999813687262632,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","down","Pver_g14739"
"K00789",0.0235855895735591,0.999813687262632,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","down","Pver_g18546"
"K17924",0.0239766667458405,0.999807423210079,1,3,"KEGG","sorting nexin-10/11","down","Pver_g7975"
"K17924",0.0239766667458405,0.999807423210079,1,3,"KEGG","sorting nexin-10/11","down","Pver_g15540"
"K17924",0.0239766667458405,0.999807423210079,1,3,"KEGG","sorting nexin-10/11","down","Pver_g15541"
"K24205",0.0262153283530859,0.999769548465976,1,3,"KEGG","protein lifeguard","down","Pver_g1676"
"K24205",0.0262153283530859,0.999769548465976,1,3,"KEGG","protein lifeguard","down","Pver_g7879"
"K24205",0.0262153283530859,0.999769548465976,1,3,"KEGG","protein lifeguard","down","Pver_g25700"
"K01874",0.0266502339148543,0.999732217482625,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]","down","Pver_g12577"
"K01874",0.0266502339148543,0.999732217482625,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]","down","Pver_g14740"
"K01874",0.0266502339148543,0.999732217482625,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]","down","Pver_g23926"
"K01874",0.0266502339148543,0.999732217482625,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]","down","Pver_g25471"
"K00461",0.0368218043444159,0.999486566284177,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]","down","Pver_g4016"
"K00461",0.0368218043444159,0.999486566284177,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]","down","Pver_g7240"
"K00461",0.0368218043444159,0.999486566284177,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]","down","Pver_g12746"
"K00461",0.0368218043444159,0.999486566284177,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]","down","Pver_g13324"
"K18422",0.0370421630885923,0.999480353363108,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]","down","Pver_g10740"
"K18422",0.0370421630885923,0.999480353363108,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]","down","Pver_g15306"
"K18422",0.0370421630885923,0.999480353363108,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]","down","Pver_g15307"
"K18422",0.0370421630885923,0.999480353363108,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]","down","Pver_g23455"
"K11592",0.0370421635554884,0.999480353349904,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]","down","Pver_g1156"
"K11592",0.0370421635554884,0.999480353349904,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]","down","Pver_g1157"
"K11592",0.0370421635554884,0.999480353349904,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]","down","Pver_g5384"
"K11592",0.0370421635554884,0.999480353349904,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]","down","Pver_g10921"
"K08145",0.041243334437293,0.999312089006539,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8","down","Pver_g10340"
"K08145",0.041243334437293,0.999312089006539,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8","down","Pver_g10342"
"K08145",0.041243334437293,0.999312089006539,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8","down","Pver_g10343"
"K08145",0.041243334437293,0.999312089006539,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8","down","Pver_g10344"
"K08145",0.041243334437293,0.999312089006539,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8","down","Pver_g10345"
"K09627",0.0438300933411527,0.999190257015468,1,6,"KEGG","serine protease 23 [EC:3.4.21.-]","down","Pver_g4825"
"K09627",0.0438300933411527,0.999190257015468,1,6,"KEGG","serine protease 23 [EC:3.4.21.-]","down","Pver_g8068"
"K09627",0.0438300933411527,0.999190257015468,1,6,"KEGG","serine protease 23 [EC:3.4.21.-]","down","Pver_g8671"
"K09627",0.0438300933411527,0.999190257015468,1,6,"KEGG","serine protease 23 [EC:3.4.21.-]","down","Pver_g11681"
