"ontology","category","term","over_represented_pvalue","numDEInCat","numInCat","dir","genes"
"KEGG","K09627","serine protease 23 [EC:3.4.21.-]",0.0303714519006175,1,5,"down","Pver_g8671"
"KEGG","K09849","TNF receptor-associated factor 5",0.00756171099774952,1,1,"down","Pver_g7590"
"KEGG","K10392","kinesin family member 1",0.00756176931415309,1,1,"down","Pver_g5236"
"KEGG","K11459","polycomb group RING finger protein 4",0.0144410858946987,1,2,"down","Pver_g6262"
"KEGG","K11592","endoribonuclease Dicer [EC:3.1.26.-]",0.0299079994518266,1,4,"down","Pver_g1156"
"KEGG","K12657","delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]",0.00756176931415308,1,1,"down","Pver_g26149"
"KEGG","K13352","peroxin-11B",0.00374940187335626,1,1,"down","Pver_g2753"
"KEGG","K13698","abhydrolase domain-containing protein 4",0.0123953888490698,1,2,"down","Pver_g15783"
"KEGG","K13699","abhydrolase domain-containing protein 5 [EC:2.3.1.51]",0.0123953888490698,1,2,"down","Pver_g15783"
"KEGG","K17924","sorting nexin-10/11",0.0200777450279445,1,3,"down","Pver_g15541"
"KEGG","K18422","helicase MOV-10 [EC:3.6.4.13]",0.0299079991632412,1,4,"down","Pver_g15307"
"KEGG","K19375","HSPB1-associated protein 1",0.00691829034819924,1,1,"down","Pver_g14546"
"KEGG","K19465","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]",0.0121889884311646,1,2,"down","Pver_g82"
"KEGG","K19756","radial spoke head protein 4/6",0.0148352064590082,1,2,"down","Pver_g18093"
"KEGG","K19766","heat shock protein Hsp-16.1/Hsp-16.11",0.0200873200791713,1,5,"down","Pver_g11517"
"KEGG","K19921","polycystic kidney disease and receptor for egg jelly-related protein",0.0372451187208277,1,5,"down","Pver_g82"
"KEGG","K20369","ER-derived vesicles protein",0.00446160113450164,1,1,"down","Pver_g23053"
"KEGG","K20371","nucleobindin",0.0130108389368163,1,2,"down","Pver_g15943"
"KEGG","K22282","fatty acid hydroxylase domain-containing protein 2",0.00639460569275249,1,1,"down","Pver_g15639"
"KEGG","K23224","spermatogenesis-associated protein 6",0.0146389562594683,1,2,"down","Pver_g17502"
"KEGG","K23677","MFS transporter, Spinster family, sphingosine-1-phosphate transporter",0.0132205510929493,1,2,"down","Pver_g12634"
"KEGG","K24205","protein lifeguard",0.0214670631252261,1,3,"down","Pver_g25700"
