"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes"
"11","RNA binding","GO:0003723","GO:0008187",0.00265737594499365,1,2,2,"poly-pyrimidine tract binding","MF",0.00324690225857908,"Pver_gene_g5623, Pver_gene_g16677"
"12","RNA binding","GO:0003723","GO:0017070",0.0400820536984775,0.99667964710729,2,8,"U6 snRNA binding","MF",0.0409887693053226,"Pver_gene_g1665, Pver_gene_g4204, Pver_gene_g7745, Pver_gene_g10023, Pver_gene_g11204, Pver_gene_g11360, Pver_gene_g15386, Pver_gene_g18545, Pver_gene_g11204"
"13","RNA binding","GO:0003723","GO:0097157",0.0113437949844568,0.998946097709441,3,12,"pre-mRNA intronic binding","MF",0.0130490170065718,"Pver_gene_g1462, Pver_gene_g3073, Pver_gene_g5483, Pver_gene_g6015, Pver_gene_g7339, Pver_gene_g8585, Pver_gene_g9525, Pver_gene_g11204, Pver_gene_g14785, Pver_gene_g22992, Pver_gene_g25754, Pver_gene_g25884"
"14","anatomical structure development","GO:0048856","GO:0007281",0.00491706863204099,0.999046599112973,6,37,"germ cell development","BP",0.00588868889866124,"Pver_gene_g309, Pver_gene_g316, Pver_gene_g545, Pver_gene_g612, Pver_gene_g936, Pver_gene_g1383, Pver_gene_g1551, Pver_gene_g1994, Pver_gene_g3386, Pver_gene_g4515, Pver_gene_g4694, Pver_gene_g5215, Pver_gene_g5784, Pver_gene_g6621, Pver_gene_g7416, Pver_gene_g7489, Pver_gene_g8304, Pver_gene_g8543, Pver_gene_g8837, Pver_gene_g8909, Pver_gene_g9826, Pver_gene_g10162, Pver_gene_g10337, Pver_gene_g11723, Pver_gene_g12566, Pver_gene_g13138, Pver_gene_g14293, Pver_gene_g14988, Pver_gene_g15016, Pver_gene_g15552, Pver_gene_g15642, Pver_gene_g16677, Pver_gene_g18031, Pver_gene_g20669, Pver_gene_g22726, Pver_gene_g25781, Pver_gene_g26661, Pver_gene_novel_gene_model_gene_491_gene_5de57afd, Pver_gene_novel_gene_model_gene_595_gene_5de57afd, Pver_gene_g612"
"15","anatomical structure development","GO:0048856","GO:0010172",0.022715327618606,0.99717424382839,3,14,"embryonic body morphogenesis","BP",0.0249865191899451,"Pver_gene_g44, Pver_gene_g5413, Pver_gene_g5865, Pver_gene_g5982, Pver_gene_g11498, Pver_gene_g13138, Pver_gene_g13188, Pver_gene_g14278, Pver_gene_g14988, Pver_gene_g16677, Pver_gene_g17026, Pver_gene_g17113, Pver_gene_g20061, Pver_gene_g26661"
"16","anatomical structure development","GO:0048856","GO:0014005",0.00191120794348226,1,2,2,"microglia development","BP",0.00235128449536932,"Pver_gene_g3290, Pver_gene_g19771"
"17","anatomical structure development","GO:0048856","GO:0021593",0.0325364060122416,1,1,1,"rhombomere morphogenesis","BP",0.0347897425458192,"Pver_gene_g9667"
"18","anatomical structure development","GO:0048856","GO:0021778",0.0325364060122416,1,1,1,"oligodendrocyte cell fate specification","BP",0.0347897425458192,"Pver_gene_g9667"
"19","anatomical structure development","GO:0048856","GO:0021905",0.0325364060122416,1,1,1,"forebrain-midbrain boundary formation","BP",0.0347897425458192,"Pver_gene_g9667"
"20","anatomical structure development","GO:0048856","GO:0022010",0.0455192490147244,0.995761060073691,2,10,"central nervous system myelination","BP",0.0458615931786433,"Pver_gene_g5154, Pver_gene_g7552, Pver_gene_g10253, Pver_gene_g13121, Pver_gene_g18011, Pver_gene_g20337, Pver_gene_g23413, Pver_gene_g24183, Pver_gene_g24245, Pver_gene_g26193"
"21","anatomical structure development","GO:0048856","GO:0030913",0.0107959880080765,0.999015272704691,3,12,"paranodal junction assembly","BP",0.0124468858384467,"Pver_gene_g158, Pver_gene_g5824, Pver_gene_g7552, Pver_gene_g10253, Pver_gene_g11987, Pver_gene_g13121, Pver_gene_g18011, Pver_gene_g19040, Pver_gene_g20337, Pver_gene_g23413, Pver_gene_g24183, Pver_gene_g24245"
"22","anatomical structure development","GO:0048856","GO:0039017",0.0297663695385406,1,1,1,"pattern specification involved in pronephros development","BP",0.0321621616473577,"Pver_gene_g18915"
"23","anatomical structure development","GO:0048856","GO:0042462",0.0378265011522614,0.994051943802177,3,18,"eye photoreceptor cell development","BP",0.0388867264196895,"Pver_gene_g19, Pver_gene_g143, Pver_gene_g1864, Pver_gene_g2308, Pver_gene_g2828, Pver_gene_g4380, Pver_gene_g4857, Pver_gene_g5480, Pver_gene_g7931, Pver_gene_g8637, Pver_gene_g9667, Pver_gene_g12280, Pver_gene_g12335, Pver_gene_g12635, Pver_gene_g16231, Pver_gene_g16520, Pver_gene_g17661, Pver_gene_g19517"
"24","anatomical structure development","GO:0048856","GO:0048291",0.0300447721533167,1,1,1,"isotype switching to IgG isotypes","BP",0.0323618004710677,"Pver_gene_g25929"
"25","anatomical structure development","GO:0048856","GO:0048371",0.0299036211625357,1,1,1,"lateral mesodermal cell differentiation","BP",0.0322176616781537,"Pver_gene_g6715"
"26","anatomical structure development","GO:0048856","GO:0048617",0.0279296951829387,0.998260832562779,2,6,"embryonic foregut morphogenesis","BP",0.0302318275197893,"Pver_gene_g1539, Pver_gene_g5982, Pver_gene_g6715, Pver_gene_g9880, Pver_gene_g10029, Pver_gene_g15923"
"27","anatomical structure development","GO:0048856","GO:0051149",0.0103665271840903,0.999697225054271,2,4,"positive regulation of muscle cell differentiation","BP",0.011964938388992,"Pver_gene_g3261, Pver_gene_g11064, Pver_gene_g11360, Pver_gene_g11439"
"28","anatomical structure development","GO:0048856","GO:0051964",0.000831703905831799,0.999980871049755,3,5,"negative regulation of synapse assembly","BP",0.0011511708442717,"Pver_gene_g74, Pver_gene_g1116, Pver_gene_g3290, Pver_gene_g19771, Pver_gene_g26369, Pver_gene_split_gene_gene_gene_g2081-g2081"
"29","anatomical structure development","GO:0048856","GO:0060322",0.0360165340783948,0.99718636288898,2,8,"head development","BP",0.0379288419427595,"Pver_gene_g7352, Pver_gene_g9822, Pver_gene_g13901, Pver_gene_g20256, Pver_gene_g20610, Pver_gene_g23244, Pver_gene_g25875, Pver_gene_g25912"
"30","anatomical structure development","GO:0048856","GO:0060461",0.0299036211625357,1,1,1,"right lung morphogenesis","BP",0.0322176616781537,"Pver_gene_g6715"
"31","anatomical structure development","GO:0048856","GO:0061144",0.049978736109426,1,1,1,"alveolar secondary septum development","BP",0.049978736109426,"Pver_gene_g18239"
"32","anatomical structure development","GO:0048856","GO:0071599",0.0328228607528448,0.997649324996459,2,7,"otic vesicle development","BP",0.0350840834260972,"Pver_gene_g1772, Pver_gene_g2504, Pver_gene_g5677, Pver_gene_g7826, Pver_gene_g18915, Pver_gene_g19349, Pver_gene_g25727"
"33","anatomical structure development","GO:0048856","GO:0072175",0.0297663695385406,1,1,1,"epithelial tube formation","BP",0.0321621616473577,"Pver_gene_g18915"
"34","anatomical structure development","GO:0048856","GO:0072303",0.0297663695385831,1,1,1,"positive regulation of glomerular metanephric mesangial cell proliferation","BP",0.0321621616473577,"Pver_gene_g4453"
"35","anatomical structure development","GO:0048856","GO:0090131",0.0299036211625357,1,1,1,"mesenchyme migration","BP",0.0322176616781537,"Pver_gene_g6715"
"36","anatomical structure development","GO:0048856","GO:0090698",0.00625798464120997,0.999859745838064,2,4,"post-embryonic plant morphogenesis","BP",0.00740256945928945,"Pver_gene_g7130, Pver_gene_g11353, Pver_gene_g17721, Pver_gene_g23610"
"37","anatomical structure development","GO:0048856","GO:0120008",0.0325364060122416,1,1,1,"positive regulation of glutamatergic neuron differentiation","BP",0.0347897425458192,"Pver_gene_g9667"
"38","anatomical structure development","GO:0048856","GO:1900176",0.045194731366547,1,1,1,"negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry","BP",0.0455555261572324,"Pver_gene_g94"
"39","anatomical structure development","GO:0048856","GO:1903670",0.0318279657864944,0.997612425836422,2,9,"regulation of sprouting angiogenesis","BP",0.0340454943438961,"Pver_gene_g28, Pver_gene_g7165, Pver_gene_g12175, Pver_gene_g12339, Pver_gene_g17055, Pver_gene_g20014, Pver_gene_g22784, Pver_gene_g23434, Pver_gene_g26577"
"40","anatomical structure development","GO:0048856","GO:1904747",0.0423291370247713,1,1,1,"positive regulation of apoptotic process involved in development","BP",0.0428378362796252,"Pver_gene_g4044"
"41","anatomical structure development","GO:0048856","GO:1905332",0.0297663695385406,1,1,1,"positive regulation of morphogenesis of an epithelium","BP",0.0321621616473577,"Pver_gene_g18915"
"42","carbohydrate derivative metabolic process","GO:1901135","GO:0019682",0.0358980784758495,1,1,1,"glyceraldehyde-3-phosphate metabolic process","BP",0.0378246023746781,"Pver_gene_g4309"
"43","carbohydrate derivative metabolic process","GO:1901135","GO:0030393",0.04880971112552,1,1,1,"fructoselysine metabolic process","BP",0.0488185993548063,"Pver_gene_g4298"
"44","carbohydrate derivative metabolic process","GO:1901135","GO:0035863",0.0306559881111584,1,1,1,"dITP catabolic process","BP",0.0329942712390217,"Pver_gene_g8291"
"45","carbohydrate derivative metabolic process","GO:1901135","GO:0045008",0.0351948420124185,0.997211430232853,2,9,"depyrimidination","BP",0.037099826880495,"Pver_gene_g1897, Pver_gene_g3689, Pver_gene_g3986, Pver_gene_g4546, Pver_gene_g4669, Pver_gene_g6520, Pver_gene_g6802, Pver_gene_g6804, Pver_gene_g7262"
"46","carbohydrate derivative metabolic process","GO:1901135","GO:0046080",0.0297663695385723,1,1,1,"dUTP metabolic process","BP",0.0321621616473577,"Pver_gene_g7561"
"47","carbohydrate metabolic process","GO:0005975","GO:0006061",0.0427169703600878,1,1,1,"sorbitol biosynthetic process","BP",0.0432185972282353,"Pver_gene_g3378"
"48","carbohydrate metabolic process","GO:0005975","GO:0006062",0.0427169703600878,1,1,1,"sorbitol catabolic process","BP",0.0432185972282353,"Pver_gene_g3378"
"49","carbohydrate metabolic process","GO:0005975","GO:0051160",0.0427169703600878,1,1,1,"L-xylitol catabolic process","BP",0.0432185972282353,"Pver_gene_g3378"
"50","catalytic activity","GO:0003824","GO:0001888",0.0362834593219336,1,1,1,"glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity","MF",0.038035942215951,"Pver_gene_g1375"
"51","catalytic activity","GO:0003824","GO:0003678",0.0055530875784779,0.998123742720345,11,119,"DNA helicase activity","MF",0.00659859019412405,"Pver_gene_g574, Pver_gene_g795, Pver_gene_g1446, Pver_gene_g2495, Pver_gene_g2827, Pver_gene_g3205, Pver_gene_g3675, Pver_gene_g3721, Pver_gene_g4004, Pver_gene_g4090, Pver_gene_g5432, Pver_gene_g6841, Pver_gene_g9550, Pver_gene_g9915, Pver_gene_g10079, Pver_gene_g10922, Pver_gene_g11282, Pver_gene_g13189, Pver_gene_g13389, Pver_gene_g13408, Pver_gene_g18301, Pver_gene_g18341, Pver_gene_g18655, Pver_gene_g18878, Pver_gene_g18940, Pver_gene_g19885, Pver_gene_g19960, Pver_gene_g20026, Pver_gene_g20823, Pver_gene_g21461, Pver_gene_g23384, Pver_gene_g23417, Pver_gene_g24106, Pver_gene_g24620, Pver_gene_g25175, Pver_gene_g25303, Pver_gene_g25333, Pver_gene_g25454, Pver_gene_g25687, Pver_gene_g25835, Pver_gene_g270, Pver_gene_g795, Pver_gene_g2105, Pver_gene_g2991, Pver_gene_g3937, Pver_gene_g5432, Pver_gene_g5826, Pver_gene_g6719, Pver_gene_g7468, Pver_gene_g7801, Pver_gene_g9007, Pver_gene_g9678, Pver_gene_g10079, Pver_gene_g10083, Pver_gene_g11282, Pver_gene_g11432, Pver_gene_g14671, Pver_gene_g14911, Pver_gene_g15129, Pver_gene_g15583, Pver_gene_g16507, Pver_gene_g16803, Pver_gene_g17651, Pver_gene_g17665, Pver_gene_g18122, Pver_gene_g18354, Pver_gene_g18558, Pver_gene_g18655, Pver_gene_g18909, Pver_gene_g18940, Pver_gene_g19220, Pver_gene_g19775, Pver_gene_g19839, Pver_gene_g19885, Pver_gene_g20026, Pver_gene_g20317, Pver_gene_g20422, Pver_gene_g20823, Pver_gene_g20988, Pver_gene_g21120, Pver_gene_g22792, Pver_gene_g23417, Pver_gene_g23499, Pver_gene_g23733, Pver_gene_g24106, Pver_gene_g24607, Pver_gene_g24620, Pver_gene_g25038, Pver_gene_g25077, Pver_gene_g25175, Pver_gene_g25295, Pver_gene_g25446, Pver_gene_g25454, Pver_gene_g25515, Pver_gene_g26651, Pver_gene_g4884, Pver_gene_g5050, Pver_gene_g7468, Pver_gene_g14576, Pver_gene_g18122, Pver_gene_g19736, Pver_gene_g20249, Pver_gene_g21833, Pver_gene_g25295, Pver_gene_g25515, Pver_gene_g870, Pver_gene_g2060, Pver_gene_g3441, Pver_gene_g3936, Pver_gene_g4488, Pver_gene_g5050, Pver_gene_g7067, Pver_gene_g7561, Pver_gene_g11247, Pver_gene_g11835, Pver_gene_g11954, Pver_gene_g12362, Pver_gene_g12842, Pver_gene_g13429, Pver_gene_g14567, Pver_gene_g14631, Pver_gene_g14633, Pver_gene_g16113, Pver_gene_g17432, Pver_gene_g18124, Pver_gene_g18250, Pver_gene_g18654, Pver_gene_g18729, Pver_gene_g19878, Pver_gene_g19968, Pver_gene_g20247, Pver_gene_g20249, Pver_gene_g20943, Pver_gene_g21036, Pver_gene_g21428, Pver_gene_g21833, Pver_gene_g21968, Pver_gene_g22145, Pver_gene_g22190, Pver_gene_g23493, Pver_gene_g24030"
"52","catalytic activity","GO:0003824","GO:0003876",0.0439125572260395,1,1,1,"AMP deaminase activity","MF",0.044397555557114,"Pver_gene_g5056, Pver_gene_g5056"
"53","catalytic activity","GO:0003824","GO:0003887",0.0075095249331428,0.997890083607146,8,77,"DNA-directed DNA polymerase activity","MF",0.00870078381927789,"Pver_gene_g1102, Pver_gene_g1297, Pver_gene_g2262, Pver_gene_g3388, Pver_gene_g3728, Pver_gene_g4888, Pver_gene_g6113, Pver_gene_g6320, Pver_gene_g6323, Pver_gene_g6874, Pver_gene_g7045, Pver_gene_g7140, Pver_gene_g7549, Pver_gene_g8778, Pver_gene_g9313, Pver_gene_g9897, Pver_gene_g9930, Pver_gene_g10046, Pver_gene_g10528, Pver_gene_g11750, Pver_gene_g12138, Pver_gene_g14630, Pver_gene_g15388, Pver_gene_g16143, Pver_gene_g17098, Pver_gene_g18057, Pver_gene_g18178, Pver_gene_g18207, Pver_gene_g20182, Pver_gene_g21623, Pver_gene_g22875, Pver_gene_g23438, Pver_gene_g24589, Pver_gene_g24673, Pver_gene_g25182, Pver_gene_g25245, Pver_gene_g25291, Pver_gene_g26428, Pver_gene_g1102, Pver_gene_g2190, Pver_gene_g2262, Pver_gene_g3388, Pver_gene_g3405, Pver_gene_g6113, Pver_gene_g6320, Pver_gene_g6323, Pver_gene_g7045, Pver_gene_g7549, Pver_gene_g8436, Pver_gene_g8778, Pver_gene_g10015, Pver_gene_g11750, Pver_gene_g12107, Pver_gene_g13015, Pver_gene_g13259, Pver_gene_g15494, Pver_gene_g16043, Pver_gene_g16143, Pver_gene_g18057, Pver_gene_g18207, Pver_gene_g19059, Pver_gene_g19578, Pver_gene_g20431, Pver_gene_g22278, Pver_gene_g23699, Pver_gene_g23780, Pver_gene_g24090, Pver_gene_g24589, Pver_gene_g24596, Pver_gene_g24673, Pver_gene_g24884, Pver_gene_g25612, Pver_gene_g2190, Pver_gene_g8094, Pver_gene_g12107, Pver_gene_g13458, Pver_gene_g15494, Pver_gene_g16002, Pver_gene_g20290, Pver_gene_g21722, Pver_gene_g22278, Pver_gene_g22584, Pver_gene_g22875, Pver_gene_g26713, Pver_gene_g1281, Pver_gene_g3577, Pver_gene_g7561, Pver_gene_g8094, Pver_gene_g10015, Pver_gene_g11247, Pver_gene_g11835, Pver_gene_g12107, Pver_gene_g16002, Pver_gene_g18237, Pver_gene_g20290, Pver_gene_g20943, Pver_gene_g22062, Pver_gene_g22145, Pver_gene_g22190, Pver_gene_g22278, Pver_gene_g22584, Pver_gene_g24030, Pver_gene_g24259, Pver_gene_g25149"
"54","catalytic activity","GO:0003824","GO:0003939",0.0427169703600878,1,1,1,"L-iditol 2-dehydrogenase activity","MF",0.0432185972282353,"Pver_gene_g3378"
