"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"54","GO:0002192",0.0326185210591804,0.999641084557596,1,3,"IRES-dependent translational initiation of linear mRNA","BP"
"55","GO:0050775",0.0340724856696319,0.997013320708041,2,25,"positive regulation of dendrite morphogenesis","BP"
"56","GO:0006268",0.0340961175028741,0.997026188011994,2,23,"DNA unwinding involved in DNA replication","BP"
"57","GO:0030003",0.0348331493190793,0.999590278762275,1,3,"intracellular monoatomic cation homeostasis","BP"
"58","GO:0009263",0.0356160641222957,0.996839989106686,2,21,"deoxyribonucleotide biosynthetic process","BP"
"59","GO:0018108",0.0368054091445367,0.989705775743323,5,148,"peptidyl-tyrosine phosphorylation","BP"
"60","GO:0060180",0.0392947293876015,0.999477532861288,1,3,"female mating behavior","BP"
"61","GO:2000739",0.0409908090466417,0.99936063559622,1,4,"regulation of mesenchymal stem cell differentiation","BP"
"62","GO:0060736",0.0409908090563322,0.999360635595915,1,4,"prostate gland growth","BP"
"63","GO:0090257",0.040990926607991,0.999360631896481,1,4,"regulation of muscle system process","BP"
"64","GO:0061408",0.0412863076867381,0.999422702687077,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP"
"65","GO:1900054",0.0415006245362321,0.999344488912018,1,4,"positive regulation of retinoic acid biosynthetic process","BP"
"66","GO:0030212",0.0435736686040961,0.999276719210286,1,4,"hyaluronan metabolic process","BP"
"67","GO:0051149",0.0439061738003065,0.999265533257854,1,4,"positive regulation of muscle cell differentiation","BP"
"68","GO:0043536",0.0467514639428112,0.995068080620282,2,32,"positive regulation of blood vessel endothelial cell migration","BP"
"69","GO:0045903",0.0470415005745442,0.99915574969171,1,4,"positive regulation of translational fidelity","BP"
"70","GO:0032876",0.0481513149086446,0.999115019628347,1,4,"negative regulation of DNA endoreduplication","BP"
"71","GO:0097749",0.0486454757294245,0.999195835761432,1,3,"membrane tubulation","BP"
"72","GO:0046952",0.0494487260381977,0.999066162213707,1,4,"ketone body catabolic process","BP"
"73","GO:0033643",0.00562269212898114,0.99955671335896,3,23,"host cell part","CC"
"74","GO:0005634",0.00594287896232606,0.996475604441824,40,2120,"nucleus","CC"
"75","GO:0099522",0.0207092653696951,0.999891953689079,1,2,"cytosolic region","CC"
"76","GO:0042025",0.0415383993525322,0.996024650150386,2,19,"host cell nucleus","CC"
"77","GO:0033698",0.047028664139124,0.999248963671716,1,3,"Rpd3L complex","CC"
"78","GO:0003676",1.23494552238465e-48,1,119,1712,"nucleic acid binding","MF"
"79","GO:0008270",4.76679949069298e-18,1,66,1486,"zinc ion binding","MF"
"80","GO:0016787",1.10745350136841e-13,1,47,986,"hydrolase activity","MF"
"81","GO:0004518",4.03538314958237e-13,1,23,223,"nuclease activity","MF"
"82","GO:0140640",3.92254637479842e-12,1,15,87,"catalytic activity, acting on a nucleic acid","MF"
"83","GO:1901363",5.10382287587708e-12,1,24,312,"heterocyclic compound binding","MF"
"84","GO:0097159",9.55102117002514e-12,1,24,323,"organic cyclic compound binding","MF"
"85","GO:0016740",1.47498617586627e-11,1,41,876,"transferase activity","MF"
"86","GO:0003964",1.80435580231663e-10,1,25,337,"RNA-directed DNA polymerase activity","MF"
"87","GO:0003824",4.00531842519233e-08,0.999999989662311,41,1193,"catalytic activity","MF"
"88","GO:0004190",0.000437649401555942,0.999932656816742,7,94,"aspartic-type endopeptidase activity","MF"
"89","GO:0016779",0.00237448755914675,0.99937728075345,9,195,"nucleotidyltransferase activity","MF"
"90","GO:0003677",0.00242927635622935,0.998770405222458,29,1193,"DNA binding","MF"
"91","GO:0005488",0.00348147354451951,0.998061470374461,36,1767,"binding","MF"
"92","GO:0005044",0.0103562568173454,0.997910529194659,5,114,"scavenger receptor activity","MF"
"93","GO:0034594",0.010408655724291,1,1,1,"phosphatidylinositol trisphosphate phosphatase activity","MF"
"94","GO:0046030",0.010408655724291,1,1,1,"inositol trisphosphate phosphatase activity","MF"
"95","GO:0005217",0.010408655729941,1,1,1,"intracellular ligand-gated monoatomic ion channel activity","MF"
"96","GO:0008260",0.010408655734933,1,1,1,"succinyl-CoA:3-oxo-acid CoA-transferase activity","MF"
"97","GO:0008410",0.010408655734933,1,1,1,"CoA-transferase activity","MF"
"98","GO:0004386",0.0105268152142124,0.997097313060148,7,184,"helicase activity","MF"
"99","GO:0005272",0.0129162525991777,0.998561171623626,3,43,"sodium channel activity","MF"
"100","GO:0090722",0.0175342237241748,0.99894313268412,2,19,"receptor-receptor interaction","MF"
"101","GO:0008716",0.0181554434754667,0.998941944107521,2,12,"D-alanine-D-alanine ligase activity","MF"
"102","GO:0046872",0.0194862539887227,0.988051646414874,33,1700,"metal ion binding","MF"
"103","GO:0005372",0.0207092653992198,0.999891953688769,1,2,"water transmembrane transporter activity","MF"
"104","GO:0015106",0.0207092653992198,0.999891953688769,1,2,"bicarbonate transmembrane transporter activity","MF"
"105","GO:0015252",0.0207092653992198,0.999891953688769,1,2,"proton channel activity","MF"
"106","GO:0046715",0.0207092653992198,0.999891953688769,1,2,"active borate transmembrane transporter activity","MF"
"107","GO:0003860",0.02118744598549,0.999886878915614,1,2,"3-hydroxyisobutyryl-CoA hydrolase activity","MF"
"108","GO:0003887",0.0233528641846853,0.995369793464334,4,77,"DNA-directed DNA polymerase activity","MF"
"109","GO:0034595",0.0309029475024307,0.999678098093097,1,3,"phosphatidylinositol phosphate 5-phosphatase activity","MF"
"110","GO:0072345",0.0309029475151448,0.99967809809283,1,3,"NAADP-sensitive calcium-release channel activity","MF"
"111","GO:0035312",0.0318280031301504,0.9996583938084,1,3,"5'-3' DNA exonuclease activity","MF"
"112","GO:0009036",0.0322535908799062,0.997335809615408,2,17,"type II site-specific deoxyribonuclease activity","MF"
"113","GO:0003746",0.0325665596667917,0.997229085943179,2,23,"translation elongation factor activity","MF"
"114","GO:0004099",0.0356532783519557,0.999677296298723,1,2,"chitin deacetylase activity","MF"
"115","GO:1990518",0.0409908090471915,0.999360635596202,1,4,"single-stranded 3'-5' DNA helicase activity","MF"
"116","GO:0016706",0.0433143987572834,0.992263352402012,3,60,"2-oxoglutarate-dependent dioxygenase activity","MF"
"117","GO:0032199",0.011672148205677,0.999468281719674,2,11,NA,NA
"118","GO:0100002",0.01209642527808,1,1,1,NA,NA
