"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"90","oxidoreductase activity","GO:0016491","GO:0052852",0.0320960341635201,0.999652568511798,1,3,"very-long-chain-(S)-2-hydroxy-acid oxidase activity","MF"
"91","oxidoreductase activity","GO:0016491","GO:0052853",0.0320960341635201,0.999652568511798,1,3,"long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity","MF"
"92","oxidoreductase activity","GO:0016491","GO:0052854",0.0320960341635201,0.999652568511798,1,3,"medium-chain-(S)-2-hydroxy-acid oxidase activity","MF"
"93","transmembrane transporter activity","GO:0022857","GO:0072345",0.00158341173767345,0.999977999153458,2,6,"NAADP-sensitive calcium-release channel activity","MF"
"94","ion binding","GO:0043167","GO:0080025",0.023210905400183,0.998363468078127,2,21,"phosphatidylinositol-3,5-bisphosphate binding","MF"
"95",NA,NA,"GO:0003676",4.13356337332106e-42,1,101,1273,"nucleic acid binding","MF"
"96",NA,NA,"GO:0008233",0.000733526380437917,0.999837831326824,9,183,"peptidase activity","MF"
"97",NA,NA,"GO:0003677",0.000763863174484437,0.999632951428978,31,1199,"DNA binding","MF"
"98",NA,NA,"GO:0003723",0.00401198440852315,0.998065557782778,23,994,"RNA binding","MF"
"99",NA,NA,"GO:0008260",0.0104317929394203,1,1,1,"3-oxoacid CoA-transferase activity","MF"
"100",NA,NA,"GO:0001646",0.0104317929401503,1,1,1,"cAMP receptor activity","MF"
"101",NA,NA,"GO:0003860",0.0212413562377459,0.999886297725251,1,2,"3-hydroxyisobutyryl-CoA hydrolase activity","MF"
"102",NA,NA,"GO:0052793",0.0442860097304123,0.999252637069634,1,4,"pectin acetylesterase activity","MF"
"103","organelle","GO:0043226","GO:0000943",0.00336439072406848,0.999782538710157,3,20,"retrotransposon nucleocapsid","CC"
"104","organelle","GO:0043226","GO:0001652",0.0417363148289566,0.999336945235177,1,4,"granular component","CC"
"105","protein-containing complex","GO:0032991","GO:0016342",0.0207550573441789,0.999891471210542,1,2,"catenin complex","CC"
"106","organelle","GO:0043226","GO:0033698",0.0211582767917062,1,1,1,"Rpd3L complex","CC"
"107","organelle","GO:0043226","GO:0035869",0.0226464910458926,0.998430041761325,2,20,"ciliary transition zone","CC"
"108","organelle","GO:0043226","GO:0043186",0.0460696265271918,0.995193777750068,2,30,"P granule","CC"
"109","organelle","GO:0043226","GO:0055028",0.0410804930341279,0.999357800617072,1,4,"cortical microtubule","CC"
"110","organelle","GO:0043226","GO:0070210",0.0211582767917062,1,1,1,"Rpd3L-Expanded complex","CC"
"111",NA,NA,"GO:0019013",0.000206489422883846,0.99999033960942,4,17,"viral nucleocapsid","CC"
"112",NA,NA,"GO:0020002",0.00237408331232631,0.999867193467456,3,17,"host cell plasma membrane","CC"
"113",NA,NA,"GO:0098683",0.0104317929392951,1,1,1,"cochlear hair cell ribbon synapse","CC"
"114",NA,NA,"GO:0044185",0.0119310078760129,0.999459367837959,2,10,"host cell late endosome membrane","CC"
"115",NA,NA,"GO:0072494",0.0174069965388082,0.999007906630525,2,12,"host multivesicular body","CC"
"116",NA,NA,"GO:0019034",0.0410804930366017,0.999357800616994,1,4,"viral replication complex","CC"
