gene_id	GO.ID
Pver_g10653	GO:0002009;GO:0003206;GO:0006357;GO:0007219;GO:0007417;GO:0008284;GO:0009790;GO:0009892;GO:0009966;GO:0010033;GO:0014013;GO:0030856;GO:0032879;GO:0045165;GO:0045596;GO:0045597;GO:0045664;GO:0045893;GO:0048514;GO:0048585;GO:0048646;GO:0048732;GO:0048762;GO:0051240;GO:0051241;GO:0005515;GO:0005737;GO:0012505;GO:0016020;GO:0043231;GO:0071944;GO:0005509
Pver_g1066	GO:0048518;GO:0016020
Pver_g10663	GO:0007098;GO:0051011;GO:0034451
Pver_g10675	GO:0002040;GO:0006511;GO:0051260;GO:0051865;GO:2000051;GO:0004842;GO:0005515;GO:0005730;GO:0005829;GO:0016887
Pver_g10676	GO:0001657;GO:0001755;GO:0001838;GO:0006919;GO:0007030;GO:0007158;GO:0007411;GO:0007497;GO:0008543;GO:0010628;GO:0010976;GO:0014042;GO:0014068;GO:0030335;GO:0033141;GO:0033619;GO:0033630;GO:0033674;GO:0035799;GO:0035860;GO:0043410;GO:0045792;GO:0045793;GO:0045893;GO:0048265;GO:0048484;GO:0050770;GO:0051897;GO:0060041;GO:0060348;GO:0060384;GO:0061146;GO:0071300;GO:0072300;GO:0090303;GO:0098742;GO:2001241;GO:0004714;GO:0005509;GO:0005515;GO:0005769;GO:0005887;GO:0010008;GO:0030424;GO:0030425;GO:0043025;GO:0043235;GO:0045121;GO:0045177;GO:0098797;GO:0006468;GO:0004672;GO:0004713;GO:0005524
Pver_g10678	GO:0009987;GO:0071702;GO:0071704;GO:0071705;GO:0005515;GO:0005886;GO:0012505;GO:0031410
Pver_g10681	GO:0030239;GO:0032501;GO:0065007;GO:0004672;GO:0005515;GO:0005737;GO:0043232;GO:0071944
Pver_g10716	GO:0000132;GO:0007346;GO:0008277;GO:0031291;GO:0050790;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0005092;GO:0008022;GO:0019900;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0030496;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g10717	GO:0000132;GO:0008277;GO:0031291;GO:0050790;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0005092;GO:0008022;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g10718	GO:0000132;GO:0008277;GO:0031291;GO:0050790;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0005092;GO:0008022;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g10719	GO:0000132;GO:0008277;GO:0031291;GO:0050790;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0005092;GO:0008022;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g10766	GO:0110165;GO:0016020
Pver_g10861	GO:0050789;GO:0005737;GO:0005819;GO:0012505;GO:0016020;GO:0043231;GO:0005515
Pver_g1089	GO:0005515;GO:0005524;GO:0016887
Pver_g10917	GO:0016020;GO:0016021
Pver_g10918	GO:0003824;GO:0003676
Pver_g10920	GO:0015074;GO:0003676
Pver_g10939	unknown
Pver_g10943	GO:0002376;GO:0003014;GO:0006807;GO:0006810;GO:0006873;GO:0006952;GO:0010033;GO:0043170;GO:0044237;GO:0044238;GO:0050794;GO:0051716;GO:0055065;GO:0055081;GO:0072080;GO:0098609;GO:0005488;GO:0005615;GO:0005794;GO:0005929;GO:0031982;GO:0045177;GO:0098590;GO:0005509
Pver_g10975	GO:0010243;GO:0015722;GO:0032355;GO:0032496;GO:0042908;GO:0071705;GO:0071715;GO:0098656;GO:0015432;GO:0005783;GO:0005887;GO:0016323;GO:0016324;GO:0055085;GO:0005524;GO:0008559;GO:0140359;GO:0016021
Pver_g11013	GO:0004672
Pver_g11015	GO:0090304;GO:0016740;GO:0003824
Pver_g11028	GO:0035562;GO:0045892;GO:0003712;GO:0005515;GO:0008094;GO:0016787;GO:0097159;GO:1901363;GO:0005654;GO:0003677;GO:0005524;GO:0016887;GO:0017025;GO:0140658
Pver_g11029	GO:0001818;GO:0009968;GO:0010556;GO:0010604;GO:0031323;GO:0048522;GO:0048584;GO:0051246;GO:0065009;GO:1902531;GO:0005488;GO:0005737;GO:0005515
Pver_g11030	GO:0007030;GO:0009792;GO:0030433;GO:0030970;GO:0032480;GO:0039536;GO:0045879;GO:0071712;GO:0031625;GO:0036435;GO:0043130;GO:0044877;GO:0051117;GO:0070530;GO:0005654;GO:0005829;GO:0034098;GO:0036501;GO:0006511;GO:0005515
Pver_g11050	GO:0090304;GO:0005488;GO:0016787;GO:0015074;GO:0003676;GO:0005515
Pver_g1106	GO:0005737
Pver_g11061	GO:0001822;GO:0006812;GO:0009628;GO:0035295;GO:0050794;GO:0050915;GO:0051606;GO:0051716;GO:0060429;GO:0004888;GO:0005261;GO:0005515;GO:0005886;GO:0034703;GO:0043227;GO:0005509;GO:0016021
Pver_g11067	GO:0009987;GO:0032501;GO:0110165;GO:0005515
Pver_g1107	unknown
Pver_g11072	GO:0007165;GO:0048522;GO:0051640;GO:0090224;GO:1902850;GO:0005515;GO:0030695;GO:0000922;GO:0005815;GO:0012505;GO:0016020;GO:0043231;GO:0099738
Pver_g11079	GO:0007346;GO:0008277;GO:0016239;GO:0034260;GO:1905098;GO:0001965;GO:0005092;GO:0019900;GO:0000139;GO:0005789;GO:0005886;GO:0005938;GO:0030496;GO:0032991;GO:0072686;GO:0005515
Pver_g11103	GO:0007173;GO:0005154;GO:0048018;GO:0016020;GO:0016021
Pver_g11111	GO:0005576;GO:0046983;GO:0005509
Pver_g11157	GO:0015074;GO:0003676
Pver_g11172	GO:0005515;GO:0008237;GO:0005886;GO:0016021;GO:0006508;GO:0004222;GO:0008270;GO:0016020;GO:0046872
Pver_g11182	GO:0005975;GO:0008152;GO:0004553;GO:0016787;GO:0016798;GO:0005509
Pver_g11184	GO:0000132;GO:0007186;GO:0031291;GO:0043087;GO:0044092;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0005092;GO:0008022;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005783;GO:0005794;GO:0005813;GO:0005829;GO:0005886;GO:0031090;GO:0032991;GO:0097431;GO:0097575;GO:0005515
Pver_g11200	GO:0000132;GO:0007346;GO:0008277;GO:0031291;GO:0050790;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0001965;GO:0008022;GO:0019900;GO:0019904;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0030496;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g11217	GO:0000165;GO:0002764;GO:0006468;GO:0007166;GO:0010468;GO:0010604;GO:0018193;GO:0031325;GO:0043085;GO:0048523;GO:0048731;GO:0050778;GO:0051128;GO:0051171;GO:0071310;GO:0080090;GO:1902533;GO:0004674;GO:0005515;GO:0098772;GO:0005737;GO:0016020;GO:0043229;GO:0004672;GO:0004713
Pver_g11248	GO:0000132;GO:0007346;GO:0031291;GO:0051661;GO:0060236;GO:1904778;GO:1905832;GO:0008022;GO:0019900;GO:0019904;GO:0030695;GO:0042802;GO:0043621;GO:0070840;GO:0005813;GO:0005829;GO:0012505;GO:0016020;GO:0030496;GO:0032991;GO:0043231;GO:0097431;GO:0097575;GO:0005515
Pver_g11277	GO:0008757;GO:0110165;GO:0007218;GO:0008171
Pver_g11306	GO:0003676;GO:0008270;GO:0005488
Pver_g11328	GO:0006914;GO:0007417;GO:0007584;GO:0009268;GO:0010976;GO:0043627;GO:0051597;GO:0097065;GO:0004065;GO:0005739;GO:0005764;GO:0005791;GO:0005794;GO:0009986;GO:0015629;GO:0003824;GO:0008484
Pver_g11330	GO:0007288;GO:0120229;GO:0120317;GO:0005515;GO:0005930;GO:0097225
Pver_g11331	GO:0007165;GO:0007186;GO:0007606;GO:0001594;GO:0004930;GO:0008227;GO:0005886;GO:0016020;GO:0016021
Pver_g11345	GO:0001561;GO:0002758;GO:0009853;GO:0010109;GO:0019048;GO:0042742;GO:0046296;GO:0050665;GO:0003973;GO:0005515;GO:0010181;GO:0005782;GO:0005829;GO:0003824;GO:0016491
Pver_g11353	GO:0009299;GO:0009416;GO:0090698;GO:0003677;GO:0005634;GO:0006310;GO:0015074
Pver_g11359	GO:0002253;GO:0009987;GO:0045087;GO:0005102;GO:0030246;GO:0033691;GO:0005576;GO:0016020;GO:0071944;GO:0005509
Pver_g11360	GO:0007204;GO:0007568;GO:0010666;GO:0015031;GO:0033209;GO:0043066;GO:0045901;GO:0045905;GO:0045944;GO:0051028;GO:0051149;GO:0097067;GO:0098586;GO:1902255;GO:2000379;GO:0003746;GO:0017070;GO:0043022;GO:0047485;GO:0005642;GO:0005643;GO:0005789;GO:0005829;GO:0030425;GO:0043025;GO:0045202;GO:0003723;GO:0005509
Pver_g11363	GO:0019835;GO:0035821;GO:0044179;GO:0090729;GO:0005576;GO:0042151
Pver_g1138	GO:0015074;GO:0003676;GO:0035556;GO:0046872
Pver_g11394	GO:0016070;GO:0016567;GO:0017148;GO:0035195;GO:0048518;GO:0048598;GO:0003723;GO:0004842;GO:0005515;GO:0005737
Pver_g11406	GO:0016740;GO:0046872
Pver_g11418	unknown
Pver_g11419	unknown
Pver_g11428	GO:0110165
Pver_g11435	GO:0006091;GO:0006693;GO:0007283;GO:0016559;GO:0042632;GO:0050665;GO:0140493;GO:0005504;GO:0016401;GO:0030165;GO:0042803;GO:0047485;GO:0071949;GO:0005778;GO:0005782;GO:0005829;GO:0006631;GO:0003997;GO:0016627;GO:0050660;GO:0005777;GO:0006635
Pver_g11446	GO:0001778;GO:0002280;GO:0002281;GO:0006071;GO:0006936;GO:0008015;GO:0030947;GO:0033292;GO:0034605;GO:0061025;GO:0005509;GO:0005515;GO:0005543;GO:0005635;GO:0005769;GO:0005770;GO:0005901;GO:0030315;GO:0030659;GO:0034451
Pver_g11481	GO:0003824;GO:0007165;GO:0008083;GO:0005576
Pver_g11485	GO:0000183;GO:0001818;GO:0006334;GO:0006352;GO:0016584;GO:0035041;GO:0035063;GO:0035076;GO:0035092;GO:0042752;GO:0042766;GO:0045892;GO:0045944;GO:1902532;GO:1990830;GO:0003677;GO:0004386;GO:0005524;GO:0008094;GO:0008134;GO:0016887;GO:0031491;GO:0042393;GO:0000793;GO:0001650;GO:0005654;GO:0005667;GO:0005677;GO:0005700;GO:0005829;GO:0008623;GO:0016589;GO:0016590;GO:0031213;GO:0043596;GO:0005515;GO:0140658;GO:0016020
Pver_g11490	GO:0009987;GO:0050789;GO:0005488;GO:0110165;GO:0005509
Pver_g11505	unknown
Pver_g11518	GO:0009408;GO:0050829;GO:0005737
Pver_g11539	GO:0001819;GO:0002702;GO:0006355;GO:0009891;GO:0010243;GO:0014067;GO:0031396;GO:0031401;GO:0032496;GO:0032687;GO:0032688;GO:0032691;GO:0032695;GO:0032715;GO:0032720;GO:0043124;GO:0043410;GO:0044093;GO:0045824;GO:0048147;GO:0050680;GO:0050728;GO:0050778;GO:0071310;GO:1900016;GO:0036312;GO:0005737;GO:0016020;GO:0043231;GO:0005515
Pver_g11540	GO:0006281;GO:0006325;GO:0006606;GO:0008285;GO:0032968;GO:0040008;GO:0043966;GO:0043968;GO:0070647;GO:2000873;GO:2001235;GO:0003682;GO:0004402;GO:0035064;GO:0000812;GO:0032777;GO:0033698;GO:1990467;GO:0003676
Pver_g11556	unknown
Pver_g11557	GO:0003824;GO:0071944;GO:0005044;GO:0016020;GO:0006468;GO:0006897;GO:0016310;GO:0018108;GO:0000166;GO:0004672;GO:0004713;GO:0004714;GO:0005524;GO:0016301
Pver_g11570	GO:0000904;GO:0001568;GO:0001709;GO:0001751;GO:0001889;GO:0002682;GO:0003002;GO:0006357;GO:0006952;GO:0006955;GO:0007476;GO:0007480;GO:0007507;GO:0008284;GO:0009967;GO:0010604;GO:0010605;GO:0016477;GO:0019827;GO:0030097;GO:0030707;GO:0032989;GO:0042063;GO:0045596;GO:0045597;GO:0048542;GO:0048598;GO:0048608;GO:0048646;GO:0050673;GO:0050767;GO:0051707;GO:0051726;GO:0060249;GO:0061326;GO:0072006;GO:0120036;GO:0005515;GO:0005634;GO:0005768;GO:0016020;GO:0032991;GO:0070013;GO:0071944;GO:0005509
Pver_g11580	GO:0046872
Pver_g11607	GO:0002376;GO:0006950;GO:0006996;GO:0010033;GO:0031952;GO:0048522;GO:0048583;GO:0051707;GO:0070887;GO:0004686;GO:0005516;GO:0036094;GO:0097159;GO:1901363;GO:0005737;GO:0005929;GO:0015630;GO:0043005;GO:0006468;GO:0004674;GO:0005524
Pver_g11609	GO:0000902;GO:0005984;GO:0007040;GO:0007613;GO:0007628;GO:0008542;GO:0030198;GO:0030207;GO:0030209;GO:0030211;GO:0035108;GO:0045780;GO:0048705;GO:0048878;GO:0060348;GO:0061037;GO:0090341;GO:0120158;GO:1990079;GO:0003940;GO:0005615;GO:0031982;GO:0043202;GO:0005975;GO:0004553
Pver_g1162	GO:0035821;GO:0090729
Pver_g1164	GO:0006811;GO:0009987;GO:0065008;GO:0005267;GO:0005887;GO:0006813;GO:0015269;GO:0016020
Pver_g1165	GO:0016021
Pver_g11681	GO:0043227;GO:0006508;GO:0004252;GO:0005515
Pver_g11693	GO:0005576;GO:0005509
Pver_g11694	GO:0001944;GO:0003007;GO:0003205;GO:0007155;GO:0016043;GO:0035239;GO:0048468;GO:0048523;GO:0048729;GO:0060255;GO:0060429;GO:0065008;GO:0005488;GO:0016020;GO:0030054;GO:0005509
Pver_g11715	GO:0001736;GO:0007166;GO:0007186;GO:0007283;GO:0007417;GO:0022407;GO:0048813;GO:0051179;GO:0060441;GO:0065003;GO:0097264;GO:0098742;GO:0004175;GO:0004888;GO:0005509;GO:0005515;GO:0005654;GO:0005887;GO:0030054;GO:0031410;GO:0003824;GO:0004930;GO:0016021
Pver_g11732	GO:0001822;GO:0007165;GO:0007626;GO:0042472;GO:0042491;GO:0042592;GO:0050953;GO:0060122;GO:0098742;GO:0005515;GO:0016020;GO:0032420;GO:0043227;GO:0097470;GO:0007155;GO:0007156;GO:0005509;GO:0008146;GO:0005886
Pver_g1174	GO:0003824;GO:0005509;GO:0007224;GO:0005886;GO:0016021
Pver_g11740	GO:0010243;GO:0014070;GO:0015732;GO:0015747;GO:0032501;GO:0032940;GO:0038183;GO:0042908;GO:0048661;GO:0060271;GO:0070730;GO:0071716;GO:0140115;GO:0001409;GO:0015132;GO:0015143;GO:0015431;GO:0015432;GO:0015562;GO:0022853;GO:0034634;GO:0016323;GO:0031088;GO:0098591;GO:0055085;GO:0005524;GO:0008559;GO:0140359;GO:0016021
Pver_g11741	unknown
Pver_g11742	GO:0010243;GO:0014070;GO:0015732;GO:0015747;GO:0032501;GO:0032940;GO:0038183;GO:0042908;GO:0048661;GO:0060271;GO:0070730;GO:0071716;GO:0140115;GO:0001409;GO:0015132;GO:0015143;GO:0015431;GO:0015432;GO:0015562;GO:0022853;GO:0034634;GO:0016323;GO:0031088;GO:0098591;GO:0055085;GO:0005524;GO:0008559;GO:0140359;GO:0016021
Pver_g11743	GO:0010243;GO:0014070;GO:0015732;GO:0015747;GO:0032501;GO:0032940;GO:0038183;GO:0042908;GO:0048661;GO:0060271;GO:0070730;GO:0071716;GO:0140115;GO:0001409;GO:0015132;GO:0015143;GO:0015431;GO:0015432;GO:0015562;GO:0022853;GO:0034634;GO:0016323;GO:0031088;GO:0098591;GO:0055085;GO:0005524;GO:0008559;GO:0140359;GO:0016021
Pver_g11760	GO:0090304;GO:0016787;GO:0097159;GO:1901363;GO:0005622;GO:0015074;GO:0003676;GO:0003824
Pver_g11763	GO:0046872
Pver_g11782	GO:0008270
Pver_g11783	GO:0006278;GO:0003964;GO:0006508;GO:0035821;GO:0004252;GO:0090729;GO:0005576;GO:0016021;GO:0042151
Pver_g11784	GO:0005515
Pver_g11801	GO:0001655;GO:0001756;GO:0007398;GO:0007412;GO:0007595;GO:0008542;GO:0021510;GO:0021794;GO:0021855;GO:0022029;GO:0033504;GO:0042664;GO:0043524;GO:0045944;GO:0048335;GO:0061030;GO:0061374;GO:0061379;GO:0061381;GO:0000978;GO:0001228;GO:0005515;GO:0008301;GO:0000785;GO:0005730;GO:0006355;GO:0003700;GO:0043565
Pver_g11821	GO:0019538;GO:0048513;GO:0048523;GO:0048585;GO:0071310;GO:0008233;GO:0006508;GO:0004222;GO:0008237
Pver_g11823	GO:0090304;GO:0016787;GO:0097159;GO:1901363;GO:0006508;GO:0015074;GO:0003676;GO:0004190;GO:0008168;GO:0008270;GO:0016706
Pver_g11849	GO:0065007;GO:0016020;GO:0007160;GO:0005044;GO:0005509;GO:0005515
Pver_g1185	GO:0006468;GO:0004672;GO:0005524;GO:0016021
Pver_g11869	GO:0016020;GO:0016021
Pver_g11896	GO:0001666;GO:0001933;GO:0001988;GO:0006816;GO:0006874;GO:0006897;GO:0007613;GO:0008284;GO:0008306;GO:0009409;GO:0014061;GO:0019228;GO:0030317;GO:0032094;GO:0032222;GO:0032225;GO:0032691;GO:0032715;GO:0032720;GO:0033138;GO:0034220;GO:0035095;GO:0042110;GO:0042113;GO:0042416;GO:0045766;GO:0048149;GO:0050728;GO:0050893;GO:0051823;GO:0060112;GO:0070373;GO:0070374;GO:0095500;GO:0097061;GO:0140059;GO:1900273;GO:1901214;GO:1902004;GO:1902430;GO:1904645;GO:1905906;GO:1905920;GO:1905923;GO:2000300;GO:2000463;GO:0001540;GO:0005262;GO:0008179;GO:0015464;GO:0015643;GO:0017081;GO:0019901;GO:0022848;GO:0042166;GO:0042803;GO:0051117;GO:0097110;GO:0005737;GO:0005892;GO:0009897;GO:0014069;GO:0016324;GO:0030426;GO:0030673;GO:0043025;GO:0043198;GO:0044853;GO:0098690;GO:0098981;GO:0099056;GO:0099060;GO:0099065;GO:0006811;GO:0004888;GO:0005216;GO:0005230;GO:0016021;GO:0045211;GO:0060079
Pver_g11901	GO:0000209;GO:0006508;GO:0043171;GO:0071456;GO:0008270;GO:0042277;GO:0070006;GO:0005829;GO:0043231;GO:0005515;GO:0008237
Pver_g11925	GO:0009987;GO:0043005;GO:0045202;GO:0005515
Pver_g11930	unknown
Pver_g11944	GO:0090304;GO:0003824;GO:0005488;GO:0007186;GO:0015074;GO:0003676;GO:0004930;GO:0016021;GO:0009987
Pver_g11957	GO:0006310;GO:0015074;GO:0003677;GO:0016020;GO:0016021
Pver_g11981	GO:0009887;GO:0048518;GO:0050793;GO:0050794;GO:0005488;GO:0031012;GO:0005509;GO:0005515;GO:0016021
Pver_g11987	GO:0002175;GO:0008360;GO:0030865;GO:0030913;GO:0031032;GO:0043217;GO:0048812;GO:0071205;GO:0072659;GO:1904778;GO:0005102;GO:0005200;GO:0008092;GO:0106006;GO:0005654;GO:0005829;GO:0005911;GO:0008091;GO:0008180;GO:0014069;GO:0030673;GO:0033270;GO:0044224;GO:0097060;GO:0099738;GO:0005856
Pver_g12007	GO:0001867;GO:0008228;GO:0043654;GO:0050829;GO:0050830;GO:0003823;GO:0033691;GO:0043394;GO:0048306;GO:2001065;GO:0005615;GO:0016020;GO:0006468;GO:0004672;GO:0005509;GO:0005524
Pver_g12008	GO:0006928;GO:0010468;GO:0016043;GO:0031401;GO:0040011;GO:0042221;GO:0042327;GO:0048699;GO:0051179;GO:0051716;GO:0065008;GO:0004672;GO:0004888;GO:0005515;GO:0005886;GO:0045202;GO:0006468;GO:0005524
Pver_g12031	GO:0001657;GO:0001701;GO:0001755;GO:0001838;GO:0001936;GO:0003180;GO:0006919;GO:0007030;GO:0007158;GO:0007411;GO:0007497;GO:0010628;GO:0010976;GO:0014042;GO:0014068;GO:0016525;GO:0030335;GO:0030336;GO:0033141;GO:0033619;GO:0033630;GO:0035799;GO:0035860;GO:0043410;GO:0045026;GO:0045792;GO:0045793;GO:0045893;GO:0048265;GO:0048484;GO:0048771;GO:0050770;GO:0051897;GO:0060041;GO:0060384;GO:0060836;GO:0060854;GO:0061146;GO:0071300;GO:0072300;GO:0090303;GO:0098742;GO:1901201;GO:2001241;GO:0004714;GO:0005509;GO:0005515;GO:0005769;GO:0005887;GO:0010008;GO:0030424;GO:0030425;GO:0043025;GO:0043235;GO:0045121;GO:0045177;GO:0098797;GO:0006468;GO:0004672;GO:0004713;GO:0005524
Pver_g12036	GO:0007030;GO:0010430;GO:0010595;GO:0031023;GO:0034260;GO:0035148;GO:0042594;GO:0045944;GO:0051491;GO:0051895;GO:0071391;GO:0090316;GO:0090630;GO:2000114;GO:2000251;GO:0003682;GO:0004497;GO:0010698;GO:0016922;GO:0035035;GO:0035091;GO:0042393;GO:0048487;GO:0000407;GO:0005634;GO:0005789;GO:0005881;GO:0031252;GO:0035327;GO:0045111;GO:0071944;GO:0005506;GO:0016705;GO:0020037
Pver_g12075	GO:0006508;GO:0009056;GO:0032101;GO:0044093;GO:0048522;GO:0048584;GO:0005515;GO:0008234;GO:0005773;GO:0031410;GO:0016021
Pver_g1208	GO:0005515;GO:0005622
Pver_g12159	GO:0006820;GO:0007193;GO:0007216;GO:0007275;GO:0009719;GO:0009888;GO:0010243;GO:0014070;GO:0033554;GO:0043410;GO:0046903;GO:0050804;GO:0051050;GO:0051592;GO:0051924;GO:0055082;GO:0070848;GO:0071310;GO:0097746;GO:1901701;GO:0001640;GO:0005515;GO:0005737;GO:0005887;GO:0030424;GO:0036477;GO:0043231;GO:0097060;GO:0098793;GO:0098794;GO:0007186;GO:0004930;GO:0016021;GO:0005886
Pver_g12162	GO:0006468;GO:0009743;GO:0050794;GO:0004672;GO:0005488;GO:0110165;GO:0005524
Pver_g12163	GO:0007186;GO:0005488;GO:0008188;GO:0016020;GO:0004930;GO:0016021
Pver_g12174	GO:0042438;GO:0004497;GO:0004503;GO:0016491;GO:0046872
Pver_g12179	GO:0007169;GO:0007417;GO:0007423;GO:0009653;GO:0009967;GO:0022008;GO:0042127;GO:0042327;GO:0045595;GO:0048468;GO:0048523;GO:0051171;GO:0051239;GO:0060255;GO:0060348;GO:0060429;GO:0080090;GO:0004672;GO:0005488;GO:0005737;GO:0016020;GO:0043231;GO:0006468;GO:0004713;GO:0005085;GO:0005524;GO:0018108;GO:0004714
Pver_g12188	GO:0006898;GO:0030154;GO:0043152;GO:0048856;GO:0050829;GO:0050830;GO:0061844;GO:0003677;GO:0005044;GO:0005515;GO:0038187;GO:0070891;GO:1904399;GO:0005615;GO:0030670;GO:0006468;GO:0004672;GO:0005524;GO:0016020;GO:0006897;GO:0018108;GO:0000166;GO:0004713;GO:0004714;GO:0016021
Pver_g12192	GO:0006898;GO:0030154;GO:0043152;GO:0048856;GO:0050829;GO:0050830;GO:0061844;GO:0003677;GO:0005044;GO:0005515;GO:0038187;GO:0070891;GO:1904399;GO:0005615;GO:0030670;GO:0071944;GO:0015074;GO:0003676;GO:0008270;GO:0016020
Pver_g12193	GO:0001775;GO:0001818;GO:0002376;GO:0010556;GO:0031323;GO:0031348;GO:0032102;GO:0043122;GO:0044092;GO:0048518;GO:0050727;GO:0051171;GO:0080090;GO:1901222;GO:1902532;GO:0005515;GO:0005634;GO:0005737;GO:0043232;GO:0016757;GO:0006508;GO:0004197
Pver_g12225	unknown
Pver_g12239	GO:0006511;GO:0006914;GO:0016567;GO:0035096;GO:0002020;GO:0003735;GO:0031386;GO:0031625;GO:0005654;GO:0022627;GO:0005515
Pver_g12261	GO:0001501;GO:0030166;GO:0030204;GO:0043009;GO:0048513;GO:0048598;GO:0050794;GO:0008146;GO:0016020;GO:0006468;GO:0007155;GO:0007411;GO:0004672;GO:0005515;GO:0005524;GO:0005886;GO:0016021
Pver_g12285	GO:0007029;GO:0007030;GO:0008361;GO:0032876;GO:0048232;GO:0080119;GO:0090110;GO:0000149;GO:0008270;GO:0005789;GO:0005829;GO:0030127;GO:0006886;GO:0006888;GO:0015074;GO:0003676
Pver_g12300	GO:0002121;GO:0007217;GO:0007218;GO:0008340;GO:0048047;GO:0004995;GO:0005887;GO:0006468;GO:0007186;GO:0004672;GO:0004930;GO:0016021
Pver_g12345	GO:0003677;GO:0016021
