"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
268 0.190388908814489 3 6 "GO:0004180" "carboxypeptidase activity" 0.749119827377921
172 0.184211543421849 2 15 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.749119827377921
449 0.0176088438157235 2 7 "GO:0004222" "metalloendopeptidase activity" 0.564105592468571
-20 0.883912434020077 3 13 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 1
-42 0.639259280574161 2 31 "GO:0004386" "helicase activity" 0.975744410164275
-144 0.300977292346001 2 13 "GO:0004497" "monooxygenase activity" 0.847366838451049
28 0.80547108470636 2 20 "GO:0004519" "endonuclease activity" 0.982674723341759
19 0.919081317469118 2 7 "GO:0004521" "RNA endonuclease activity" 1
-14 0.935481871034216 2 9 "GO:0004527" "exonuclease activity" 1
-22 0.913622062364303 2 6 "GO:0004536" "DNA nuclease activity" 1
15 0.913462203381468 2 13 "GO:0004540" "RNA nuclease activity" 1
121 0.588162092406376 2 5 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.975744410164275
-40 0.397773162726373 2 117 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.915986314351731
-111 0.244485133700028 2 28 "GO:0004674" "protein serine/threonine kinase activity" 0.785086728664914
-65 0.400431175672888 2 43 "GO:0004713" "protein tyrosine kinase activity" 0.915986314351731
-65 0.492022054781462 5 28 "GO:0004714;GO:0019199" "transmembrane receptor protein tyrosine kinase activity" 0.974767682868734
-273 0.123802916020824 2 8 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.7008380934051
-51 0.58867109864824 4 29 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.975744410164275
189 0.157640788803179 2 14 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.731075176246974
108 0.597763493341599 4 6 "GO:0004866;GO:0061135" "endopeptidase regulator activity" 0.975744410164275
-134 0.0505759643881873 2 55 "GO:0004930" "G protein-coupled receptor activity" 0.644531442279573
-315 0.159797852731579 2 5 "GO:0005007" "fibroblast growth factor receptor activity" 0.731075176246974
-131 0.363980785027806 2 12 "GO:0005044" "scavenger receptor activity" 0.912444981645048
-287 0.105259071961235 3 8 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.7008380934051
-276 0.118859697792179 2 8 "GO:0005096" "GTPase activator activity" 0.7008380934051
13 0.861552322130309 3 44 "GO:0005102" "signaling receptor binding" 1
114 0.187299827637986 1 34 "GO:0005198" "structural molecule activity" 0.749119827377921
53 0.639939634368375 2 20 "GO:0005201" "extracellular matrix structural constituent" 0.975744410164275
164 0.0516654844725219 3 36 "GO:0005216;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.644531442279573
174 0.0633965353061875 5 29 "GO:0005261;GO:0008324;GO:0046873;GO:0022890" "monoatomic cation transmembrane transporter activity" 0.644531442279573
332 0.0608555321940808 4 8 "GO:0005262;GO:0015085" "calcium ion transmembrane transporter activity" 0.644531442279573
133 0.426352417090438 2 9 "GO:0005272;GO:0015081" "sodium ion transmembrane transporter activity" 0.951493808872563
0 0.998733638227075 7 10 "GO:0005506;GO:0020037;GO:0046906" "heme binding" 1
-20 0.670274352671561 6 123 "GO:0005509" "calcium ion binding" 0.975744410164275
10 0.692403225146019 2 798 "GO:0005515" "protein binding" 0.975744410164275
-235 0.249892087232979 3 6 "GO:0005516" "calmodulin binding" 0.785086728664914
-62 0.711411787661853 2 9 "GO:0005525;GO:0032561;GO:0019001" "GTP binding" 0.975744410164275
-13 0.911935422948376 3 19 "GO:0005539;GO:1901681" "sulfur compound binding" 1
-76 0.531643234913216 3 17 "GO:0005543" "phospholipid binding" 0.974767682868734
20 0.927850909211597 5 5 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 1
-290 0.082906506456692 3 9 "GO:0008017" "microtubule binding" 0.682716034468803
-131 0.521255238100936 2 6 "GO:0008061" "chitin binding" 0.974767682868734
-21 0.801790015039052 3 38 "GO:0008092" "cytoskeletal protein binding" 0.982674723341759
-113 0.3842793872443 2 15 "GO:0008094;GO:0003678" "ATP-dependent activity, acting on DNA" 0.915986314351731
22 0.906454346140698 2 7 "GO:0008134" "transcription factor binding" 1
137 0.324477755459273 2 13 "GO:0008146;GO:0016782" "transferase activity, transferring sulphur-containing groups" 0.886260138045477
6 0.962510668893525 2 14 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 1
-77 0.663927666100882 5 8 "GO:0008188" "neuropeptide receptor activity" 0.975744410164275
98 0.581260121843057 3 8 "GO:0008194" "UDP-glycosyltransferase activity" 0.975744410164275
7 0.964514665813488 2 9 "GO:0008201" "heparin binding" 1
-503 0.0245452431009912 2 5 "GO:0008227" "G protein-coupled amine receptor activity" 0.641682783925913
110 0.0683932756195482 3 71 "GO:0008233" "peptidase activity" 0.658735233598806
-5 0.973325536539533 2 13 "GO:0008234" "cysteine-type peptidase activity" 1
-78 0.726605218910515 5 5 "GO:0008235" "metalloexopeptidase activity" 0.975744410164275
156 0.261695576221638 2 13 "GO:0008237" "metallopeptidase activity" 0.785086728664914
13 0.934981104646275 2 10 "GO:0008238" "exopeptidase activity" 1
-13 0.746471133459008 7 181 "GO:0008270;GO:0046914" "transition metal ion binding" 0.975744410164275
-33 0.737263011734883 2 27 "GO:0008289" "lipid binding" 0.975744410164275
-87 0.697871379177582 2 5 "GO:0008378" "galactosyltransferase activity" 0.975744410164275
141 0.528526239715147 4 5 "GO:0008509" "monoatomic anion transmembrane transporter activity" 0.974767682868734
-62 0.646219859593091 3 14 "GO:0008528;GO:0001653" "peptide receptor activity" 0.975744410164275
153 0.0184952653268384 3 61 "GO:0015075" "monoatomic ion transmembrane transporter activity" 0.564105592468571
-52 0.799348316728562 4 6 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.982674723341759
279 0.172222365042142 3 6 "GO:0015171" "amino acid transmembrane transporter activity" 0.749119827377921
139 0.137869788866577 3 29 "GO:0015318" "inorganic molecular entity transmembrane transporter activity" 0.7008380934051
5 0.958100174820586 4 30 "GO:0015432;GO:0015125;GO:0033285;GO:0034040;GO:0008028;GO:0170055;GO:1901618;GO:0005319;GO:0033284;GO:0033283;GO:0001409;GO:0015132;GO:0071714;GO:0015143;GO:1901702;GO:0015431;GO:0015562;GO:0034634;GO:0042937;GO:0072349;GO:0035673;GO:0042887" "lipid transporter activity" 1
-184 0.130774510517156 2 17 "GO:0015631" "tubulin binding" 0.7008380934051
112 0.616891207542984 5 5 "GO:0015662;GO:0140358" "P-type transmembrane transporter activity" 0.975744410164275
6 0.931584269863333 2 47 "GO:0016491" "oxidoreductase activity" 1
-526 0.0100697777864739 2 6 "GO:0016500" "protein-hormone receptor activity" 0.564105592468571
-57 0.781693513982012 2 6 "GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.982674723341759
-32 0.769408849538926 2 21 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.982674723341759
149 0.399171804903715 3 8 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" 0.915986314351731
31 0.2913832434155 2 367 "GO:0016740" "transferase activity" 0.833173961641195
-7 0.933008615102841 2 38 "GO:0016746" "acyltransferase activity" 1
105 0.552914435913078 4 8 "GO:0016747" "acyltransferase activity, transferring groups other than amino-acyl groups" 0.975744410164275
118 0.251723596205198 2 24 "GO:0016757" "glycosyltransferase activity" 0.785086728664914
112 0.479223900181227 3 10 "GO:0016758" "hexosyltransferase activity" 0.974421930368495
278 0.214682933691299 4 5 "GO:0016763" "pentosyltransferase activity" 0.755518785875148
-9 0.800289947148444 3 208 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.982674723341759
17 0.603236688896961 2 296 "GO:0016787" "hydrolase activity" 0.975744410164275
33 0.538743814098789 2 89 "GO:0016788;GO:0004518" "hydrolase activity, acting on ester bonds" 0.975744410164275
-157 0.260513184562351 2 13 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.785086728664914
95 0.510617441602556 3 12 "GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.974767682868734
51 0.801879055999177 3 6 "GO:0016799;GO:0003953" "NAD+ nucleosidase activity" 0.982674723341759
-72 0.634997172971053 3 11 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.975744410164275
72 0.682569679174227 4 8 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 0.975744410164275
163 0.129301535486237 2 22 "GO:0016829" "lyase activity" 0.7008380934051
7 0.976397759832544 2 5 "GO:0016830" "carbon-carbon lyase activity" 1
278 0.054530293256518 2 12 "GO:0016835" "carbon-oxygen lyase activity" 0.644531442279573
182 0.335627750418232 3 7 "GO:0016836" "hydro-lyase activity" 0.890143164152702
73 0.643270968493374 2 10 "GO:0016874" "ligase activity" 0.975744410164275
389 0.0569402955178947 4 6 "GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.644531442279573
44 0.716054941009898 7 17 "GO:0016887" "ATP hydrolysis activity" 0.975744410164275
-51 0.821260228379768 4 5 "GO:0016891" "RNA endonuclease activity, producing 5'-phosphomonoesters" 0.986052495011292
86 0.649737445106567 3 7 "GO:0016893" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.975744410164275
-38 0.705672380532552 3 25 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 0.975744410164275
-248 0.267816326187412 2 5 "GO:0017147" "Wnt-protein binding" 0.790490124069297
0 1 3 6 "GO:0019207" "kinase regulator activity" 1
-325 0.0858058403977184 2 7 "GO:0019838" "growth factor binding" 0.682716034468803
345 0.0515466436021518 2 8 "GO:0019842" "vitamin binding" 0.644531442279573
58 0.208183631536162 2 128 "GO:0019899" "enzyme binding" 0.755518785875148
41 0.442204165101641 2 91 "GO:0019900" "kinase binding" 0.963373359685718
-20 0.862743633031062 3 18 "GO:0019901" "protein kinase binding" 1
-16 0.943536634368345 4 5 "GO:0019902" "phosphatase binding" 1
22 0.620186898836516 2 135 "GO:0019904" "protein domain specific binding" 0.975744410164275
204 0.0767231517100427 6 19 "GO:0022834;GO:0015276;GO:0022836" "gated channel activity" 0.668587464901801
90 0.410151033257106 4 21 "GO:0022853" "active monoatomic ion transmembrane transporter activity" 0.926637519580869
100 0.0748148643876848 2 84 "GO:0022857;GO:0005215" "transporter activity" 0.668587464901801
485 0.0303793596180337 4 5 "GO:0030170;GO:0070279" "pyridoxal phosphate binding" 0.644531442279573
22 0.531185801336715 2 227 "GO:0030234;GO:0098772;GO:0030695;GO:0060589" "molecular function regulator activity" 0.974767682868734
205 0.0618392544336206 2 21 "GO:0030246" "carbohydrate binding" 0.644531442279573
160 0.313836150713793 4 10 "GO:0030414;GO:0061134" "peptidase regulator activity" 0.870182054251881
38 0.817984312724149 2 9 "GO:0030594;GO:0005230;GO:0022824;GO:0022835" "neurotransmitter receptor activity" 0.986052495011292
93 0.471836098011222 2 15 "GO:0030674;GO:0060090" "molecular adaptor activity" 0.970179841978131
284 0.204269954589165 3 5 "GO:0031072" "heat shock protein binding" 0.755518785875148
-105 0.579440821633742 5 7 "GO:0031267;GO:0051020" "small GTPase binding" 0.975744410164275
21 0.87215170941756 2 15 "GO:0031406;GO:0043177" "carboxylic acid binding" 1
290 0.101651270028844 5 8 "GO:0031625;GO:0044389" "ubiquitin protein ligase binding" 0.7008380934051
-217 0.333368668121564 2 5 "GO:0033218" "amide binding" 0.890143164152702
92 0.682675019100331 3 5 "GO:0033293" "monocarboxylic acid binding" 0.975744410164275
15 0.937757567218987 2 7 "GO:0033691" "sialic acid binding" 1
-48 0.742092756782262 4 12 "GO:0035091" "phosphatidylinositol binding" 0.975744410164275
-72 0.128092714471742 2 119 "GO:0038023;GO:0060089;GO:0004888" "signaling receptor activity" 0.7008380934051
-178 0.133497602325283 1 18 "GO:0038024" "cargo receptor activity" 0.7008380934051
68 0.718192504922903 2 7 "GO:0038187" "pattern recognition receptor activity" 0.975744410164275
-530 0.0178113598428836 2 5 "GO:0042562" "hormone binding" 0.564105592468571
49 0.185977887765284 3 208 "GO:0042802;GO:0044877" "identical protein binding" 0.749119827377921
1 0.990728492220946 2 18 "GO:0042803" "protein homodimerization activity" 1
137 0.469981483146738 2 7 "GO:0043021" "ribonucleoprotein complex binding" 0.970179841978131
-19 0.460465717597204 3 614 "GO:0043167;GO:0036094" "small molecule binding" 0.970179841978131
191 0.350474414260549 2 6 "GO:0043394" "proteoglycan binding" 0.903335462108176
-335 0.134575282692371 3 5 "GO:0043531" "ADP binding" 0.7008380934051
-253 0.258635559612387 3 5 "GO:0043548" "phosphatidylinositol 3-kinase binding" 0.785086728664914
-46 0.739777551729649 2 13 "GO:0043565" "sequence-specific DNA binding" 0.975744410164275
-279 0.212044500211208 1 5 "GO:0045182" "translation regulator activity" 0.755518785875148
-13 0.658407327109321 3 394 "GO:0046872;GO:0043169" "cation binding" 0.975744410164275
-22 0.79686557070899 3 35 "GO:0046943;GO:0005342;GO:0008514" "organic anion transmembrane transporter activity" 0.982674723341759
-329 0.141966141041111 2 5 "GO:0046982" "protein heterodimerization activity" 0.702156859743873
-105 0.192396895556078 2 39 "GO:0046983" "protein dimerization activity" 0.749119827377921
242 0.279205384696762 -1 5 "GO:0047485" "obsolete protein N-terminus binding" 0.811025165071547
203 0.363783032099241 3 5 "GO:0048306" "calcium-dependent protein binding" 0.912444981645048
-118 0.532659935993844 2 7 "GO:0050660" "flavin adenine dinucleotide binding" 0.974767682868734
53 0.714651745486718 3 12 "GO:0051015;GO:0003779" "actin binding" 0.975744410164275
318 0.154798277425445 4 5 "GO:0051117" "ATPase binding" 0.731075176246974
135 0.349458445324339 2 12 "GO:0051213" "dioxygenase activity" 0.903335462108176
-173 0.231693654626751 2 12 "GO:0061630;GO:0061659" "ubiquitin-like protein ligase activity" 0.785086728664914
-148 0.470012957633778 1 6 "GO:0090729" "toxin activity" 0.970179841978131
-72 0.00465883314279777 2 580 "GO:0097159" "organic cyclic compound binding" 0.564105592468571
315 0.0593946420169892 2 9 "GO:0099094" "ligand-gated monoatomic cation channel activity" 0.644531442279573
-179 0.380832166619318 2 6 "GO:0106310" "protein serine kinase activity" 0.915986314351731
2 0.965627444034176 2 230 "GO:0140096" "catalytic activity, acting on a protein" 1
14 0.769902091933484 3 112 "GO:0140097;GO:0016779" "catalytic activity, acting on DNA" 0.982674723341759
64 0.521772805921583 2 25 "GO:0140098" "catalytic activity, acting on RNA" 0.974767682868734
137 0.223706362499124 1 20 "GO:0140110" "transcription regulator activity" 0.772420081836598
39 0.624955890721818 4 40 "GO:0140359;GO:0042626;GO:0015399;GO:0022804;GO:0008559;GO:0042910;GO:0015216;GO:0015215;GO:0015605;GO:0015932;GO:1901682" "active transmembrane transporter activity" 0.975744410164275
33 0.436413254752027 2 150 "GO:0140640" "catalytic activity, acting on a nucleic acid" 0.962212356862903
-20 0.733318453272758 1 74 "GO:0140657" "ATP-dependent activity" 0.975744410164275
-184 0.169993357917796 2 14 "GO:0140677;GO:0008047" "molecular function activator activity" 0.749119827377921
19 0.931413606397589 2 5 "GO:0140993" "histone modifying activity" 1
-12 0.722512558244054 3 262 "GO:1901363" "heterocyclic compound binding" 0.975744410164275
-4 0.984435836988993 6 8 "GO:1902936;GO:1901981" "phosphatidylinositol phosphate binding" 1
-6 0.882899568832783 5 182 "unknown" "unknown" 1
