"ontology","slim_term","slim_cat","category","term","over_represented_pvalue","numDEInCat","numInCat","genes"
"BP","anatomical structure development","GO:0048856","GO:0002168","instar larval development",0.013680140320079,2,3,"Pver_gene_g8420, Pver_gene_g9943"
"BP","anatomical structure development","GO:0048856","GO:0002331","pre-B cell allelic exclusion",0.000323090050586691,4,6,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0003175","tricuspid valve development",0.00469163541435698,2,2,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0003193","pulmonary valve formation",0.00469163541435698,2,2,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0003203","endocardial cushion morphogenesis",0.0451847163024167,3,12,"Pver_gene_g8550, Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0003207","cardiac chamber formation",0.0141924899500398,3,8,"Pver_gene_g8550, Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0003283","atrial septum development",0.0129702600796824,9,53,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g10599, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0003323","type B pancreatic cell development",0.0174487045873459,4,15,"Pver_gene_g563, Pver_gene_g1226, Pver_gene_g1228, Pver_gene_g3783"
"BP","anatomical structure development","GO:0048856","GO:0003407","neural retina development",0.0457368152675247,3,12,"Pver_gene_g3862, Pver_gene_g9244, Pver_gene_g13089"
"BP","anatomical structure development","GO:0048856","GO:0003429","growth plate cartilage chondrocyte morphogenesis",0.0030095078466541,10,43,"Pver_gene_g2593, Pver_gene_g3660, Pver_gene_g3732, Pver_gene_g4678, Pver_gene_g7873, Pver_gene_g12890, Pver_gene_g14404, Pver_gene_g14510, Pver_gene_g16385, Pver_gene_g23548"
"BP","anatomical structure development","GO:0048856","GO:0007368","determination of left/right symmetry",0.00733872033209708,16,110,"Pver_gene_g1172, Pver_gene_g1520, Pver_gene_g2723, Pver_gene_g5307, Pver_gene_g7381, Pver_gene_g8405, Pver_gene_g8550, Pver_gene_g9107, Pver_gene_g10428, Pver_gene_g14683, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0007411","axon guidance",0.0409385265055586,21,187,"Pver_gene_g3057, Pver_gene_g3370, Pver_gene_g3953, Pver_gene_g5236, Pver_gene_g5678, Pver_gene_g5976, Pver_gene_g6823, Pver_gene_g7057, Pver_gene_g8565, Pver_gene_g9943, Pver_gene_g10667, Pver_gene_g11453, Pver_gene_g11991, Pver_gene_g13654, Pver_gene_g14655, Pver_gene_g14904, Pver_gene_g17589, Pver_gene_g18523, Pver_gene_g20618, Pver_gene_g23268, Pver_gene_g25577"
"BP","anatomical structure development","GO:0048856","GO:0007420","brain development",0.0287773898946786,21,190,"Pver_gene_g711, Pver_gene_g1148, Pver_gene_g2183, Pver_gene_g3862, Pver_gene_g5181, Pver_gene_g6909, Pver_gene_g8186, Pver_gene_g9244, Pver_gene_g9483, Pver_gene_g9943, Pver_gene_g10786, Pver_gene_g13089, Pver_gene_g14616, Pver_gene_g14904, Pver_gene_g18091, Pver_gene_g18384, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23507, Pver_gene_g23687, Pver_gene_g26493"
"BP","anatomical structure development","GO:0048856","GO:0007498","mesoderm development",0.0322486833763889,5,26,"Pver_gene_g6713, Pver_gene_g10667, Pver_gene_g10679, Pver_gene_g18523, Pver_gene_g21374"
"BP","anatomical structure development","GO:0048856","GO:0007595","lactation",0.00413807752542023,6,23,"Pver_gene_g542, Pver_gene_g654, Pver_gene_g4749, Pver_gene_g4963, Pver_gene_g18962, Pver_gene_g18963"
"BP","anatomical structure development","GO:0048856","GO:0010623","programmed cell death involved in cell development",0.00477071835232034,2,2,"Pver_gene_g8565, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0014012","peripheral nervous system axon regeneration",0.0290960211527972,3,8,"Pver_gene_g10536, Pver_gene_g10786, Pver_gene_g25965"
"BP","anatomical structure development","GO:0048856","GO:0014904","myotube cell development",0.0139992973302242,2,3,"Pver_gene_g4680, Pver_gene_g11937"
"BP","anatomical structure development","GO:0048856","GO:0021510","spinal cord development",0.018256886808443,6,30,"Pver_gene_g3660, Pver_gene_g3685, Pver_gene_g12961, Pver_gene_g16385, Pver_gene_g23548, Pver_gene_g25751"
"BP","anatomical structure development","GO:0048856","GO:0021524","visceral motor neuron differentiation",0.0133979022358526,2,3,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0021553","olfactory nerve development",0.0185848665175347,2,3,"Pver_gene_g8565, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0021681","cerebellar granular layer development",0.013695840638651,2,3,"Pver_gene_g7879, Pver_gene_g25700"
"BP","anatomical structure development","GO:0048856","GO:0021702","cerebellar Purkinje cell differentiation",0.0428159998568658,2,5,"Pver_gene_g7879, Pver_gene_g25700"
"BP","anatomical structure development","GO:0048856","GO:0021707","cerebellar granule cell differentiation",0.0100630748344985,2,2,"Pver_gene_g6634, Pver_gene_g7972"
"BP","anatomical structure development","GO:0048856","GO:0021860","pyramidal neuron development",0.0285705480595297,2,4,"Pver_gene_g14423, Pver_gene_g25686"
"BP","anatomical structure development","GO:0048856","GO:0030324","lung development",0.00232110995387083,16,101,"Pver_gene_g3862, Pver_gene_g5307, Pver_gene_g7349, Pver_gene_g8405, Pver_gene_g8550, Pver_gene_g13306, Pver_gene_g14423, Pver_gene_g15458, Pver_gene_g19689, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100, Pver_gene_g26445"
"BP","anatomical structure development","GO:0048856","GO:0030913","paranodal junction assembly",0.0205669093518356,7,40,"Pver_gene_g3086, Pver_gene_g4443, Pver_gene_g9163, Pver_gene_g10599, Pver_gene_g11987, Pver_gene_g20483, Pver_gene_g25614"
"BP","anatomical structure development","GO:0048856","GO:0032825","positive regulation of natural killer cell differentiation",0.0141420561700192,2,3,"Pver_gene_g4963, Pver_gene_g11984"
"BP","anatomical structure development","GO:0048856","GO:0033151","V(D)J recombination",0.0470817353116215,4,20,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0035469","determination of pancreatic left/right asymmetry",0.0110228778684341,8,43,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0035907","dorsal aorta development",0.0406119805031847,2,5,"Pver_gene_g3246, Pver_gene_g14683"
"BP","anatomical structure development","GO:0048856","GO:0035922","foramen ovale closure",0.00469163541435698,2,2,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0035987","endodermal cell differentiation",0.00863883842163125,7,31,"Pver_gene_g2593, Pver_gene_g4678, Pver_gene_g6369, Pver_gene_g6585, Pver_gene_g10536, Pver_gene_g12890, Pver_gene_g14510"
"BP","anatomical structure development","GO:0048856","GO:0036306","embryonic heart tube elongation",0.0256213690593215,2,4,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0042476","odontogenesis",0.00930523854530993,5,19,"Pver_gene_g1503, Pver_gene_g6400, Pver_gene_g6579, Pver_gene_g13654, Pver_gene_g14423"
"BP","anatomical structure development","GO:0048856","GO:0042490","mechanoreceptor differentiation",0.0136787671042895,2,3,"Pver_gene_g8565, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0043217","myelin maintenance",0.0141703149298497,2,3,"Pver_gene_g8947, Pver_gene_g11987"
"BP","anatomical structure development","GO:0048856","GO:0045138","nematode male tail tip morphogenesis",0.0256252322222316,2,4,"Pver_gene_g4937, Pver_gene_g21496"
"BP","anatomical structure development","GO:0048856","GO:0045579","positive regulation of B cell differentiation",0.00553380602695371,3,6,"Pver_gene_g4963, Pver_gene_g5188, Pver_gene_g21374"
"BP","anatomical structure development","GO:0048856","GO:0045604","regulation of epidermal cell differentiation",0.00204694166296997,4,9,"Pver_gene_g4155, Pver_gene_g4937, Pver_gene_g21496, Pver_gene_g26174"
"BP","anatomical structure development","GO:0048856","GO:0045646","regulation of erythrocyte differentiation",0.00625122067451199,5,18,"Pver_gene_g21, Pver_gene_g24, Pver_gene_g508, Pver_gene_g7373, Pver_gene_g7374"
"BP","anatomical structure development","GO:0048856","GO:0045672","positive regulation of osteoclast differentiation",0.0475126447269935,6,36,"Pver_gene_g1602, Pver_gene_g2723, Pver_gene_g10604, Pver_gene_g14127, Pver_gene_g17196, Pver_gene_g18181"
"BP","anatomical structure development","GO:0048856","GO:0045766","positive regulation of angiogenesis",6.88173167755174e-06,21,102,"Pver_gene_g542, Pver_gene_g3862, Pver_gene_g4261, Pver_gene_g4263, Pver_gene_g5759, Pver_gene_g6369, Pver_gene_g6823, Pver_gene_g7332, Pver_gene_g7349, Pver_gene_g7701, Pver_gene_g8565, Pver_gene_g8935, Pver_gene_g9913, Pver_gene_g10621, Pver_gene_g10622, Pver_gene_g10624, Pver_gene_g10679, Pver_gene_g12256, Pver_gene_g13306, Pver_gene_g13365, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0045886","negative regulation of synaptic growth at neuromuscular junction",0.0401758608461395,3,11,"Pver_gene_g5236, Pver_gene_g14655, Pver_gene_g18523"
"BP","anatomical structure development","GO:0048856","GO:0048370","lateral mesoderm formation",0.00469163541435698,2,2,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0048496","maintenance of animal organ identity",0.0175564925423438,8,45,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0048538","thymus development",0.0474846218431494,4,20,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0048599","oocyte development",0.00526673172322177,4,11,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","anatomical structure development","GO:0048856","GO:0048709","oligodendrocyte differentiation",0.00324912657460657,6,22,"Pver_gene_g383, Pver_gene_g6514, Pver_gene_g6663, Pver_gene_g6909, Pver_gene_g8550, Pver_gene_g25993"
"BP","anatomical structure development","GO:0048856","GO:0051965","positive regulation of synapse assembly",0.0132260276924096,9,51,"Pver_gene_g2760, Pver_gene_g3953, Pver_gene_g6334, Pver_gene_g6663, Pver_gene_g8186, Pver_gene_g8565, Pver_gene_g9483, Pver_gene_g14616, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0055008","cardiac muscle tissue morphogenesis",0.0323762758958816,6,31,"Pver_gene_g3264, Pver_gene_g8550, Pver_gene_g14034, Pver_gene_g17904, Pver_gene_g26105, Pver_gene_g26666"
"BP","anatomical structure development","GO:0048856","GO:0055016","hypochord development",0.0258956388642904,2,4,"Pver_gene_g14534, Pver_gene_g14683"
"BP","anatomical structure development","GO:0048856","GO:0060027","convergent extension involved in gastrulation",0.00478281579703004,11,61,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g19616, Pver_gene_g19996, Pver_gene_g20122, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0060056","mammary gland involution",0.00450403276807579,2,2,"Pver_gene_g18962, Pver_gene_g18963"
"BP","anatomical structure development","GO:0048856","GO:0060282","positive regulation of oocyte development",0.0256252322222316,2,4,"Pver_gene_g4937, Pver_gene_g21496"
"BP","anatomical structure development","GO:0048856","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry",0.0385924807314312,5,26,"Pver_gene_g8405, Pver_gene_g20340, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0060385","axonogenesis involved in innervation",0.0277839644585212,3,10,"Pver_gene_g4363, Pver_gene_g8565, Pver_gene_g20618"
"BP","anatomical structure development","GO:0048856","GO:0060501","positive regulation of epithelial cell proliferation involved in lung morphogenesis",0.0414119826742671,2,5,"Pver_gene_g14423, Pver_gene_g26085"
"BP","anatomical structure development","GO:0048856","GO:0060577","pulmonary vein morphogenesis",0.00469163541435698,2,2,"Pver_gene_g14034, Pver_gene_g26105"
"BP","anatomical structure development","GO:0048856","GO:0060681","branch elongation involved in ureteric bud branching",0.0249595573747863,2,4,"Pver_gene_g7349, Pver_gene_g9913"
"BP","anatomical structure development","GO:0048856","GO:0060993","kidney morphogenesis",0.0110162849142969,8,43,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0060999","positive regulation of dendritic spine development",0.0417967929226746,3,11,"Pver_gene_g6120, Pver_gene_g6663, Pver_gene_g14836"
"BP","anatomical structure development","GO:0048856","GO:0070307","lens fiber cell development",0.0143212728925661,2,3,"Pver_gene_g14423, Pver_gene_g15458"
"BP","anatomical structure development","GO:0048856","GO:0071908","determination of intestine left/right asymmetry",0.00959396959308408,8,42,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0071909","determination of stomach left/right asymmetry",0.0083630326453522,8,41,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0071910","determination of liver left/right asymmetry",0.0125951932513333,8,44,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0072163","mesonephric epithelium development",0.0249595573747863,2,4,"Pver_gene_g7349, Pver_gene_g9913"
"BP","anatomical structure development","GO:0048856","GO:0072189","ureter development",0.00962014782155124,8,42,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:0110037","regulation of nematode male tail tip morphogenesis",0.0256252322222316,2,4,"Pver_gene_g4937, Pver_gene_g21496"
"BP","anatomical structure development","GO:0048856","GO:0140059","dendrite arborization",0.00339819720933913,4,10,"Pver_gene_g5759, Pver_gene_g7332, Pver_gene_g10624, Pver_gene_g13365"
"BP","anatomical structure development","GO:0048856","GO:1903142","positive regulation of establishment of endothelial barrier",0.0259189900552421,2,4,"Pver_gene_g7701, Pver_gene_g16092"
"BP","anatomical structure development","GO:0048856","GO:2000095","regulation of Wnt signaling pathway, planar cell polarity pathway",0.00863665331600839,11,65,"Pver_gene_g5307, Pver_gene_g8405, Pver_gene_g19616, Pver_gene_g19996, Pver_gene_g20122, Pver_gene_g20274, Pver_gene_g20340, Pver_gene_g21734, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","anatomical structure development","GO:0048856","GO:2000167","regulation of planar cell polarity pathway involved in neural tube closure",0.0202982564514791,5,22,"Pver_gene_g8405, Pver_gene_g20340, Pver_gene_g22252, Pver_gene_g22536, Pver_gene_g23100"
"BP","biosynthetic process","GO:0009058","GO:0019343","cysteine biosynthetic process via cystathionine",0.0255341565926774,2,4,"Pver_gene_g8332, Pver_gene_g18127"
"BP","biosynthetic process","GO:0009058","GO:0019344","cysteine biosynthetic process",0.00616439336397695,5,18,"Pver_gene_g12570, Pver_gene_g17291, Pver_gene_g18127, Pver_gene_g18342, Pver_gene_g20227"
"BP","biosynthetic process","GO:0009058","GO:0019370","leukotriene biosynthetic process",0.014353517205207,3,8,"Pver_gene_g4016, Pver_gene_g16312, Pver_gene_g17388"
"BP","biosynthetic process","GO:0009058","GO:0031408","oxylipin biosynthetic process",0.0200110278799471,4,15,"Pver_gene_g4177, Pver_gene_g7240, Pver_gene_g13323, Pver_gene_g13794"
"BP","biosynthetic process","GO:0009058","GO:0042438","melanin biosynthetic process",5.0453403821889e-05,8,21,"Pver_gene_g2377, Pver_gene_g8083, Pver_gene_g12064, Pver_gene_g12174, Pver_gene_g18164, Pver_gene_g21037, Pver_gene_g23293, Pver_gene_g23295"
"BP","biosynthetic process","GO:0009058","GO:0042759","long-chain fatty acid biosynthetic process",0.00999237537184492,3,7,"Pver_gene_g4016, Pver_gene_g7889, Pver_gene_g16312"
"BP","biosynthetic process","GO:0009058","GO:0042904","9-cis-retinoic acid biosynthetic process",0.041148575569628,2,5,"Pver_gene_g9818, Pver_gene_g17952"
"BP","biosynthetic process","GO:0009058","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process",0.00916073153997764,4,12,"Pver_gene_g3292, Pver_gene_g7742, Pver_gene_g7743, Pver_gene_g13306"
"BP","biosynthetic process","GO:0009058","GO:0052324","plant-type cell wall cellulose biosynthetic process",0.0255522738613984,2,4,"Pver_gene_g7682, Pver_gene_g7683"
"BP","biosynthetic process","GO:0009058","GO:0070814","hydrogen sulfide biosynthetic process",0.0403161571977196,2,5,"Pver_gene_g8332, Pver_gene_g18127"
"BP","biosynthetic process","GO:0009058","GO:2001009","regulation of plant-type cell wall cellulose biosynthetic process",0.0255522738613984,2,4,"Pver_gene_g7682, Pver_gene_g7683"
"BP","catabolic process","GO:0009056","GO:0016240","autophagosome membrane docking",0.0403262400727867,2,5,"Pver_gene_g4636, Pver_gene_g15703"
"BP","catabolic process","GO:0009056","GO:0042159","lipoprotein catabolic process",0.000152416834549463,4,5,"Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","catabolic process","GO:0009056","GO:0042744","hydrogen peroxide catabolic process",0.0100718797220219,9,52,"Pver_gene_g3301, Pver_gene_g5097, Pver_gene_g5098, Pver_gene_g6515, Pver_gene_g8397, Pver_gene_g11498, Pver_gene_g11499, Pver_gene_g24052, Pver_gene_g24820"
"BP","cell adhesion","GO:0007155","GO:0010811","positive regulation of cell-substrate adhesion",0.00880905663668214,10,53,"Pver_gene_g819, Pver_gene_g3660, Pver_gene_g9766, Pver_gene_g10280, Pver_gene_g14123, Pver_gene_g16385, Pver_gene_g18738, Pver_gene_g19425, Pver_gene_g23548, Pver_gene_g25911"
"BP","cell adhesion","GO:0007155","GO:0033632","regulation of cell-cell adhesion mediated by integrin",0.000344907084140811,3,3,"Pver_gene_g8420, Pver_gene_g9342, Pver_gene_g13696"
"BP","cell cycle","GO:0007049","GO:0007050","cell cycle arrest",0.0359786862321434,9,62,"Pver_gene_g2723, Pver_gene_g8550, Pver_gene_g13654, Pver_gene_g14891, Pver_gene_g15228, Pver_gene_g18091, Pver_gene_g18933, Pver_gene_g20240, Pver_gene_g23687"
"BP","cell cycle","GO:0007049","GO:0046604","positive regulation of mitotic centrosome separation",0.00457645889868966,2,2,"Pver_gene_g265, Pver_gene_g5162"
"BP","cell death","GO:0008219","GO:0012501","programmed cell death",0.0260780203722074,2,4,"Pver_gene_g12634, Pver_gene_g13654"
"BP","cell death","GO:0008219","GO:0043067","regulation of programmed cell death",0.00469607754688203,2,2,"Pver_gene_g12634, Pver_gene_g13182"
"BP","cell death","GO:0008219","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.0367371669952411,8,54,"Pver_gene_g14, Pver_gene_g979, Pver_gene_g981, Pver_gene_g1446, Pver_gene_g3246, Pver_gene_g12194, Pver_gene_g13261, Pver_gene_g23145"
"BP","cell death","GO:0008219","GO:2000811","negative regulation of anoikis",0.0216083246923245,4,16,"Pver_gene_g8550, Pver_gene_g15863, Pver_gene_g18962, Pver_gene_g18963"
"BP","cell differentiation","GO:0030154","GO:0045165","cell fate commitment",0.0203737206733497,7,41,"Pver_gene_g1503, Pver_gene_g4021, Pver_gene_g13306, Pver_gene_g13654, Pver_gene_g14423, Pver_gene_g15458, Pver_gene_g20922"
"BP","cell division","GO:0051301","GO:0051781","positive regulation of cell division",0.0425578252741366,5,28,"Pver_gene_g3246, Pver_gene_g3862, Pver_gene_g7349, Pver_gene_g9913, Pver_gene_g14423"
"BP","cell junction organization","GO:0034330","GO:0050808","synapse organization",0.0247030841724475,12,84,"Pver_gene_g2016, Pver_gene_g4104, Pver_gene_g5678, Pver_gene_g5759, Pver_gene_g6663, Pver_gene_g7332, Pver_gene_g10624, Pver_gene_g12961, Pver_gene_g13365, Pver_gene_g15458, Pver_gene_g22728, Pver_gene_g23268"
"BP","cell junction organization","GO:0034330","GO:0097061","dendritic spine organization",0.00710086762452692,4,12,"Pver_gene_g5759, Pver_gene_g7332, Pver_gene_g10624, Pver_gene_g13365"
"BP","cell junction organization","GO:0034330","GO:2000331","regulation of terminal button organization",0.0264272139664989,2,4,"Pver_gene_g1153, Pver_gene_g6663"
"BP","cell population proliferation","GO:0008283","GO:0008284","positive regulation of cell population proliferation",0.000152978408269355,39,292,"Pver_gene_g1618, Pver_gene_g2723, Pver_gene_g3057, Pver_gene_g3162, Pver_gene_g3246, Pver_gene_g3783, Pver_gene_g4261, Pver_gene_g4263, Pver_gene_g4680, Pver_gene_g4963, Pver_gene_g5759, Pver_gene_g7332, Pver_gene_g7349, Pver_gene_g7590, Pver_gene_g8550, Pver_gene_g8935, Pver_gene_g9342, Pver_gene_g9826, Pver_gene_g9913, Pver_gene_g10621, Pver_gene_g10622, Pver_gene_g10624, Pver_gene_g10667, Pver_gene_g11268, Pver_gene_g12256, Pver_gene_g12655, Pver_gene_g12798, Pver_gene_g13182, Pver_gene_g13306, Pver_gene_g13365, Pver_gene_g13625, Pver_gene_g13654, Pver_gene_g13696, Pver_gene_g14423, Pver_gene_g15255, Pver_gene_g16405, Pver_gene_g18347, Pver_gene_g18352, Pver_gene_g19689"
"BP","cell population proliferation","GO:0008283","GO:0048147","negative regulation of fibroblast proliferation",0.0498536557163733,13,108,"Pver_gene_g2531, Pver_gene_g3217, Pver_gene_g10868, Pver_gene_g11539, Pver_gene_g15083, Pver_gene_g17243, Pver_gene_g19710, Pver_gene_g20129, Pver_gene_g20935, Pver_gene_g21404, Pver_gene_g21500, Pver_gene_g21711, Pver_gene_g23256"
"BP","cell population proliferation","GO:0008283","GO:0050679","positive regulation of epithelial cell proliferation",0.0134293584039347,7,37,"Pver_gene_g3783, Pver_gene_g7349, Pver_gene_g8550, Pver_gene_g13306, Pver_gene_g13654, Pver_gene_g14423, Pver_gene_g22784"
"BP","cell population proliferation","GO:0008283","GO:0050680","negative regulation of epithelial cell proliferation",0.00238888784690137,19,128,"Pver_gene_g383, Pver_gene_g2531, Pver_gene_g3217, Pver_gene_g3246, Pver_gene_g7381, Pver_gene_g10868, Pver_gene_g11539, Pver_gene_g13654, Pver_gene_g14423, Pver_gene_g15083, Pver_gene_g16873, Pver_gene_g17243, Pver_gene_g19710, Pver_gene_g20129, Pver_gene_g20935, Pver_gene_g21404, Pver_gene_g21500, Pver_gene_g21711, Pver_gene_g23256"
"BP","cell-cell signaling","GO:0007267","GO:0007268","chemical synaptic transmission",6.61877276677121e-05,30,197,"Pver_gene_g1821, Pver_gene_g3466, Pver_gene_g3846, Pver_gene_g4261, Pver_gene_g4263, Pver_gene_g4946, Pver_gene_g5759, Pver_gene_g5879, Pver_gene_g7332, Pver_gene_g7379, Pver_gene_g7702, Pver_gene_g8933, Pver_gene_g8935, Pver_gene_g9088, Pver_gene_g9849, Pver_gene_g10271, Pver_gene_g10621, Pver_gene_g10622, Pver_gene_g10624, Pver_gene_g11856, Pver_gene_g11858, Pver_gene_g12511, Pver_gene_g12512, Pver_gene_g12655, Pver_gene_g13365, Pver_gene_g13850, Pver_gene_g14070, Pver_gene_g16728, Pver_gene_g17395, Pver_gene_g18384"
"BP","cell-cell signaling","GO:0007267","GO:0007271","synaptic transmission, cholinergic",8.38896924623808e-07,13,38,"Pver_gene_g4261, Pver_gene_g4263, Pver_gene_g5759, Pver_gene_g7332, Pver_gene_g8933, Pver_gene_g8935, Pver_gene_g10621, Pver_gene_g10622, Pver_gene_g10624, Pver_gene_g11856, Pver_gene_g12511, Pver_gene_g12512, Pver_gene_g13365"
