"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"102","cellular component assembly","GO:0022607","GO:0051260",0.0244277325238352,0.993859645492551,5,201,"protein homooligomerization","BP"
"103","cell division","GO:0051301","GO:0051302",0.0475764373308522,0.999043217602841,1,6,"regulation of cell division","BP"
"104","small molecule metabolic process","GO:0044281","GO:0051596",0.00810590682765358,1,1,1,"methylglyoxal catabolic process","BP"
"105","small molecule metabolic process","GO:0044281","GO:0055129",0.0479594947819401,0.99902759816615,1,6,"L-proline biosynthetic process","BP"
"106","cell-cell signaling","GO:0007267","GO:0060084",0.00064414846595853,0.999994802056974,2,5,"synaptic transmission involved in micturition","BP"
"107","anatomical structure development","GO:0048856","GO:0060136",0.0321083878576372,0.999609874434687,1,4,"embryonic process involved in female pregnancy","BP"
"108","anatomical structure development","GO:0048856","GO:0060215",0.0399152823982689,0.999355184722226,1,5,"primitive hemopoiesis","BP"
"109","anatomical structure development","GO:0048856","GO:0060853",0.0160523703924409,0.999935349300335,1,2,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP"
"110","locomotion","GO:0040011","GO:0061122",0.00817031412706748,1,1,1,"positive regulation of positive chemotaxis to cAMP","BP"
"111","biosynthetic process","GO:0009058","GO:0061408",0.039964309936684,0.99935358660749,1,5,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP"
"112","sulfur compound metabolic process","GO:0006790","GO:0070221",0.000644336147402556,0.999994799775716,2,5,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP"
"113","response to stress","GO:0006950","GO:0070301",0.0381671258448264,0.99637716652183,2,38,"cellular response to hydrogen peroxide","BP"
"114","transport","GO:0006810","GO:0070327",0.00825747198981903,0.999668601198623,2,17,"thyroid hormone transport","BP"
"115","transport","GO:0006810","GO:0070460",0.000633568331356672,0.99997713178474,3,21,"thyroid-stimulating hormone secretion","BP"
"116","sulfur compound metabolic process","GO:0006790","GO:0070813",0.000196155170985755,0.99999947056585,2,3,"hydrogen sulfide metabolic process","BP"
"117","cellular component assembly","GO:0022607","GO:0070836",0.0400305409856162,0.999351424529664,1,5,"caveola assembly","BP"
"118","transport","GO:0006810","GO:0070837",0.000967171110312933,0.999989567184373,2,6,"dehydroascorbic acid transport","BP"
"119","anatomical structure development","GO:0048856","GO:0072013",0.00810341553137405,1,1,1,"glomus development","BP"
"120","anatomical structure development","GO:0048856","GO:0072070",0.0321654241497301,0.99960847762615,1,4,"loop of Henle development","BP"
"121","anatomical structure development","GO:0048856","GO:0072082",0.00810341553137405,1,1,1,"specification of proximal tubule identity","BP"
"122","anatomical structure development","GO:0048856","GO:0072196",0.00810341553137405,1,1,1,"proximal/distal pattern formation involved in pronephric nephron development","BP"
"123","cellular component assembly","GO:0022607","GO:0090261",0.0162704719186549,0.999933573198348,1,2,"positive regulation of inclusion body assembly","BP"
"124","anatomical structure development","GO:0048856","GO:0097102",0.00807063297234212,1,1,1,"endothelial tip cell fate specification","BP"
"125","anatomical structure development","GO:0048856","GO:0097186",0.0243049822749466,0.99980182176662,1,3,"amelogenesis","BP"
"126","membrane organization","GO:0061024","GO:0097320",0.0478778715518268,0.999030937219022,1,6,"plasma membrane tubulation","BP"
"127","anatomical structure development","GO:0048856","GO:0098773",0.0161408623591075,0.999934631594466,1,2,"skin epidermis development","BP"
"128","signal transduction","GO:0007165","GO:0106070",0.00817031412706748,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"129","cell population proliferation","GO:0008283","GO:0110024",0.00817032658211559,1,1,1,"positive regulation of cardiac muscle myoblast proliferation","BP"
"130","cell-cell signaling","GO:0007267","GO:0110094",0.0321966910223163,0.999607710832203,1,4,"polyphosphate-mediated signaling","BP"
"131","cellular nitrogen compound metaboli...","GO:0034641","GO:1900365",0.0162704941476417,0.999933573016091,1,2,"positive regulation of mRNA polyadenylation","BP"
"132","signal transduction","GO:0007165","GO:1900746",0.0475465515485306,0.99904443079601,1,6,"regulation of vascular endothelial growth factor signaling pathway","BP"
"133","biosynthetic process","GO:0009058","GO:1901838",1.04509367738376e-05,0.999999936718036,3,6,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP"
"134","transport","GO:0006810","GO:1902110",0.0161705742482871,0.999934389723237,1,2,"positive regulation of mitochondrial membrane permeability involved in apoptotic process","BP"
"135","cellular nitrogen compound metaboli...","GO:0034641","GO:1902512",0.0320496080894955,0.999611311293018,1,4,"positive regulation of apoptotic DNA fragmentation","BP"
"136","cellular component assembly","GO:0022607","GO:1902857",0.0400564799857292,0.999350576764588,1,5,"positive regulation of non-motile cilium assembly","BP"
"137","cellular protein modification proce...","GO:0006464","GO:1902916",0.0400290121523178,0.999351474479001,1,5,"positive regulation of protein polyubiquitination","BP"
"138","anatomical structure development","GO:0048856","GO:1903225",0.0479055542437398,0.999029805428192,1,6,"negative regulation of endodermal cell differentiation","BP"
"139","transport","GO:0006810","GO:1903638",0.0081597206529693,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP"
"140","protein folding","GO:0006457","GO:1903645",0.016226656200548,0.999933931957866,1,2,"negative regulation of chaperone-mediated protein folding","BP"
"141","signal transduction","GO:0007165","GO:1904515",0.00817031412706748,1,1,1,"positive regulation of TORC2 signaling","BP"
"142","transport","GO:0006810","GO:1904659",0.00134836066243711,0.999981820229107,2,7,"glucose transmembrane transport","BP"
"143","response to stress","GO:0006950","GO:1904925",0.0398577228514792,0.999357058382706,1,5,"positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization","BP"
"144","response to stress","GO:0006950","GO:1990910",0.0399118174395701,0.999355297590874,1,5,"response to hypobaric hypoxia","BP"
"145","response to stress","GO:0006950","GO:1990911",0.00816659454587759,1,1,1,"response to psychosocial stress","BP"
"146","anatomical structure development","GO:0048856","GO:2000726",0.0161753131526545,0.999934351104291,1,2,"negative regulation of cardiac muscle cell differentiation","BP"
"147","response to stress","GO:0006950","GO:2000987",0.0241738108162634,0.999803966774284,1,3,"positive regulation of behavioral fear response","BP"
"148","cellular nitrogen compound metaboli...","GO:0034641","GO:2001033",0.0162704941476417,0.999933573016091,1,2,"negative regulation of double-strand break repair via nonhomologous end joining","BP"
"149","transport","GO:0006810","GO:2001150",0.0321985337979145,0.999607665615938,1,4,"positive regulation of dipeptide transmembrane transport","BP"
"150","transport","GO:0006810","GO:2001225",0.040058212759517,0.999350520112237,1,5,"regulation of chloride transport","BP"
"151","small molecule metabolic process","GO:0044281","GO:2001301",0.00817032658211559,1,1,1,"lipoxin biosynthetic process","BP"
"152",NA,NA,"GO:0035095",0.0003314670525737,0.999990683372134,3,17,"behavioral response to nicotine","BP"
"153",NA,NA,"GO:0006590",0.00083361521110008,0.999966593784623,3,23,"thyroid hormone generation","BP"
"154",NA,NA,"GO:0009630",0.00802831481177877,1,1,1,"gravitropism","BP"
"155",NA,NA,"GO:0080167",0.00802831481177877,1,1,1,"response to karrikin","BP"
"156",NA,NA,"GO:0032099",0.00816413539637784,1,1,1,"negative regulation of appetite","BP"
"157",NA,NA,"GO:0072738",0.00816659454587759,1,1,1,"cellular response to diamide","BP"
"158",NA,NA,"GO:1904843",0.00816659454587759,1,1,1,"cellular response to nitroglycerin","BP"
"159",NA,NA,"GO:0032915",0.00817032658211559,1,1,1,"positive regulation of transforming growth factor beta2 production","BP"
"160",NA,NA,"GO:0035094",0.00874589007193136,0.999151485948405,3,52,"response to nicotine","BP"
"161",NA,NA,"GO:0072655",0.0159961708423435,0.999935803027868,1,2,"establishment of protein localization to mitochondrion","BP"
"162",NA,NA,"GO:0032693",0.0161753131526545,0.999934351104291,1,2,"negative regulation of interleukin-10 production","BP"
"163",NA,NA,"GO:0016557",0.0161857077955948,0.999934266354683,1,2,"peroxisome membrane biogenesis","BP"
"164",NA,NA,"GO:1903936",0.0162523844875201,0.999933721415464,1,2,"cellular response to sodium arsenite","BP"
"165",NA,NA,"GO:0044375",0.0162612261730812,0.999933648983291,1,2,"regulation of peroxisome size","BP"
"166",NA,NA,"GO:0018996",0.0162675935151499,0.999933596796539,1,2,"molting cycle, collagen and cuticulin-based cuticle","BP"
"167",NA,NA,"GO:0055114",0.0167328591053715,0.996977876732617,4,120,"oxidation-reduction process","BP"
"168",NA,NA,"GO:0071364",0.0187878255051422,0.998801636040454,2,26,"cellular response to epidermal growth factor stimulus","BP"
"169",NA,NA,"GO:0007165",0.0197534039403891,0.992292790924395,10,575,"signal transduction","BP"
"170",NA,NA,"GO:1990830",0.0202228530139381,0.997298811302491,3,71,"cellular response to leukemia inhibitory factor","BP"
"171",NA,NA,"GO:0044179",0.021583488897722,0.998512010409475,2,28,"hemolysis in other organism","BP"
"172",NA,NA,"GO:0072656",0.0240363825126333,0.999806201441429,1,3,"maintenance of protein location in mitochondrion","BP"
"173",NA,NA,"GO:0051006",0.0240960684235316,0.99980523250336,1,3,"positive regulation of lipoprotein lipase activity","BP"
"174",NA,NA,"GO:1904528",0.0242090135452228,0.999803392273044,1,3,"positive regulation of microtubule binding","BP"
"175",NA,NA,"GO:0009266",0.024229185839029,0.999803062682362,1,3,"response to temperature stimulus","BP"
"176",NA,NA,"GO:0007585",0.0310266384684202,0.997378515640982,2,34,"respiratory gaseous exchange by respiratory system","BP"
"177",NA,NA,"GO:0050877",0.0311733730905054,0.99507213308304,3,84,"nervous system process","BP"
"178",NA,NA,"GO:1904845",0.0321432610970807,0.999609020695931,1,4,"cellular response to L-glutamine","BP"
"179",NA,NA,"GO:1904385",0.0322153512851571,0.999607252842458,1,4,"cellular response to angiotensin","BP"
"180",NA,NA,"GO:0051156",0.0398979186376624,0.99935575023386,1,5,"glucose 6-phosphate metabolic process","BP"
"181",NA,NA,"GO:0051775",0.0399066158658664,0.999355467009709,1,5,"response to redox state","BP"
"182",NA,NA,"GO:0035915",0.0399506132462862,0.999354033270864,1,5,"pore formation in membrane of other organism","BP"
"183",NA,NA,"GO:0008345",0.040007206965407,0.999352186675182,1,5,"larval locomotory behavior","BP"
"184",NA,NA,"GO:0030091",0.0400607602033551,0.999350436820009,1,5,"protein repair","BP"
"185",NA,NA,"GO:0031529",0.0475897226025337,0.999042678044325,1,6,"ruffle organization","BP"
"186",NA,NA,"GO:0035640",0.0476477794951079,0.999040318344187,1,6,"exploration behavior","BP"
"187",NA,NA,"GO:0016559",0.0477144654661633,0.999037604264873,1,6,"peroxisome fission","BP"
"188",NA,NA,"GO:0090333",0.0478984783651272,0.999030094785453,1,6,"regulation of stomatal closure","BP"
"189","DNA binding","GO:0003677","GO:0000977",0.0277138390241361,0.994159053447938,4,140,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"190","DNA binding","GO:0003677","GO:0000978",0.0254311790709964,0.993540116179929,5,203,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"191","DNA-binding transcription factor ac...","GO:0003700","GO:0000981",0.0468347403821097,0.985999722487406,5,240,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"192","lyase activity","GO:0016829","GO:0003839",0.0398326632786713,0.999357873248279,1,5,"gamma-glutamylcyclotransferase activity","MF"
"193","transferase activity, transferring ...","GO:0016746","GO:0003841",0.00344780297425549,0.999916651188138,2,11,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF"
"194","oxidoreductase activity","GO:0016491","GO:0003865",0.0320919078409743,0.999610277556129,1,4,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF"
"195","ligase activity","GO:0016874","GO:0003963",0.0162042878547387,0.99993411473042,1,2,"RNA-3'-phosphate cyclase activity","MF"
"196","oxidoreductase activity","GO:0016491","GO:0004051",0.0480025267176662,0.999025835453737,1,6,"arachidonate 5-lipoxygenase activity","MF"
"197","lyase activity","GO:0016829","GO:0004089",0.00734444560483479,0.999724332232829,2,16,"carbonate dehydratase activity","MF"
"198","transferase activity, transferring ...","GO:0016746","GO:0004145",0.0161482496439212,0.99993457149994,1,2,"diamine N-acetyltransferase activity","MF"
"199","kinase activity","GO:0016301","GO:0004340",0.0319798980298564,0.999613011856608,1,4,"glucokinase activity","MF"
"200","kinase activity","GO:0016301","GO:0004349",0.0162014418233642,0.99993413796714,1,2,"glutamate 5-kinase activity","MF"
"201","oxidoreductase activity","GO:0016491","GO:0004350",0.00815900434410117,1,1,1,"glutamate-5-semialdehyde dehydrogenase activity","MF"
"202","kinase activity","GO:0016301","GO:0004396",0.0240363825126333,0.999806201441429,1,3,"hexokinase activity","MF"
"203","oxidoreductase activity","GO:0016491","GO:0004420",0.0242708544237258,0.999802380984877,1,3,"hydroxymethylglutaryl-CoA reductase (NADPH) activity","MF"
"204","transferase activity, transferring ...","GO:0016746","GO:0004478",0.0242388842028222,0.999802904123585,1,3,"methionine adenosyltransferase activity","MF"
"205","oxidoreductase activity","GO:0016491","GO:0004601",0.000973597143125805,0.999922807701526,4,54,"peroxidase activity","MF"
"206","oxidoreductase activity","GO:0016491","GO:0004657",0.0242607521578504,0.999802546367165,1,3,"proline dehydrogenase activity","MF"
"207","ligase activity","GO:0016874","GO:0004825",0.0399420401160384,0.999354312769739,1,5,"methionine-tRNA ligase activity","MF"
"208","kinase activity","GO:0016301","GO:0005009",0.0162059132611103,0.999934101457766,1,2,"insulin-activated receptor activity","MF"
"209","transmembrane transporter activity","GO:0022857","GO:0005351",0.000967171110312933,0.999989567184373,2,6,"carbohydrate:proton symporter activity","MF"
"210","transmembrane transporter activity","GO:0022857","GO:0005353",0.000967171110312933,0.999989567184373,2,6,"fructose transmembrane transporter activity","MF"
"211","transmembrane transporter activity","GO:0022857","GO:0005355",0.00562137024753954,0.999819041080594,2,14,"glucose transmembrane transporter activity","MF"
"212","transmembrane transporter activity","GO:0022857","GO:0008028",0.00920943571377255,0.999088889938695,3,53,"monocarboxylic acid transmembrane transporter activity","MF"
"213","transcription factor binding","GO:0008134","GO:0008140",0.0321563249979271,0.999608700632391,1,4,"cAMP response element binding protein binding","MF"
"214","transferase activity, transferring ...","GO:0016746","GO:0008466",0.0241018251202797,0.999805138920277,1,3,"glycogenin glucosyltransferase activity","MF"
"215","oxidoreductase activity","GO:0016491","GO:0008470",0.0241746006471065,0.999803953893728,1,3,"isovaleryl-CoA dehydrogenase activity","MF"
"216","kinase activity","GO:0016301","GO:0008865",0.0319195876827793,0.99961448006676,1,4,"fructokinase activity","MF"
"217","lyase activity","GO:0016829","GO:0009034",0.0241963754774527,0.999803598621474,1,3,"tryptophanase activity","MF"
"218","enzyme regulator activity","GO:0030234","GO:0010698",0.0162623626688176,0.999933639670085,1,2,"acetyltransferase activator activity","MF"
"219","enzyme regulator activity","GO:0030234","GO:0010856",0.00817031412706748,1,1,1,"adenylate cyclase activator activity","MF"
"220","transmembrane transporter activity","GO:0022857","GO:0015171",0.0328335580119528,0.997136459235201,2,35,"amino acid transmembrane transporter activity","MF"
"221","transmembrane transporter activity","GO:0022857","GO:0015173",0.00417932524479465,0.999692826944837,3,40,"aromatic amino acid transmembrane transporter activity","MF"
