experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,4.545454545,66,anatomical structure development,gene_g82; gene_g953; gene_g1184; gene_g1347; gene_g2720; gene_g4074; gene_g4868; gene_g4920; gene_g5948; gene_g6296; gene_g6349; gene_g6437; gene_g6620; gene_g7176; gene_g7598; gene_g8605; gene_g8743; gene_g8744; gene_g9107; gene_g9266; gene_g10374; gene_g10378; gene_g11090; gene_g11095; gene_g11983; gene_g12503; gene_g12616; gene_g12870; gene_g13022; gene_g13607; gene_g14445; gene_g14449; gene_g15027; gene_g15330; gene_g15334; gene_g16518; gene_g16810; gene_g16814; gene_g16966; gene_g17350; gene_g17472; gene_g17533; gene_g17672; gene_g17780; gene_g18253; gene_g18438; gene_g18759; gene_g18791; gene_g19128; gene_g19586; gene_g20854; gene_g20877; gene_g21281; gene_g21308; gene_g21569; gene_g21734; gene_g21741; gene_g23173; gene_g23560; gene_g23729; gene_g24031; gene_g24199; gene_g25076; gene_g25678; gene_g25744; gene_g26304
enriched_vs_control,5,60,anatomical structure development,gene_g82; gene_g465; gene_g953; gene_g1184; gene_g1551; gene_g2720; gene_g4074; gene_g5929; gene_g5948; gene_g6296; gene_g6349; gene_g6437; gene_g6620; gene_g7176; gene_g7598; gene_g8605; gene_g8743; gene_g8744; gene_g9266; gene_g9999; gene_g10374; gene_g10378; gene_g11090; gene_g11095; gene_g12503; gene_g12616; gene_g12870; gene_g13607; gene_g14445; gene_g14449; gene_g15330; gene_g15334; gene_g16518; gene_g16810; gene_g16814; gene_g16966; gene_g17533; gene_g17602; gene_g17672; gene_g17780; gene_g18253; gene_g18438; gene_g18759; gene_g18791; gene_g19586; gene_g20854; gene_g20877; gene_g21281; gene_g21308; gene_g21569; gene_g21734; gene_g21741; gene_g23173; gene_g23560; gene_g24031; gene_g24199; gene_g25076; gene_g25678; gene_g25744; gene_g26304
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g13135; gene_g19246; gene_g23091
enriched_vs_control,50,2,anatomical structure development,gene_g15186; gene_g15740
enriched_vs_control,100,1,anatomical structure development,gene_g11619
enriched_vs_control,13.33333333,15,anatomical structure development,gene_g1546; gene_g4013; gene_g4140; gene_g5921; gene_g5925; gene_g5928; gene_g7711; gene_g11801; gene_g13405; gene_g14844; gene_g15186; gene_g16278; gene_g16722; gene_g17601; gene_g17602; gene_639_5de57afd
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g3037; gene_g3409; gene_g3838
enriched_vs_control,100,1,anatomical structure development,gene_g8642
enriched_vs_control,25,4,anatomical structure development,gene_g1504; gene_g4013; gene_g10298; gene_g17174
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g2540; gene_g14589; gene_g22809; gene_111_5de57afd; gene_751_5de57afd
enriched_vs_control,20,5,anatomical structure development,gene_g2121; gene_g7824; gene_g8066; gene_g8997; gene_g19246
enriched_vs_control,50,2,anatomical structure development,gene_g18093; gene_g19316
enriched_vs_control,25,4,anatomical structure development,gene_g11430; gene_g14557; gene_g15186; gene_g15740
enriched_vs_control,50,2,anatomical structure development,gene_g13279; gene_g18735
enriched_vs_control,11.11111111,18,anatomical structure development,gene_g1210; gene_g2043; gene_g5236; gene_g5857; gene_g5869; gene_g6559; gene_g11065; gene_g11647; gene_g12301; gene_g12814; gene_g13168; gene_g14017; gene_g14188; gene_g15216; gene_g15885; gene_g18905; gene_g19813; gene_g21228
enriched_vs_control,100,1,anatomical structure development,gene_g4013
enriched_vs_control,9.090909091,22,anatomical structure development,gene_g764; gene_g1156; gene_g1610; gene_g4120; gene_g5865; gene_g6015; gene_g6121; gene_g7253; gene_g7471; gene_g9326; gene_g9522; gene_g10921; gene_g12127; gene_g12262; gene_g13368; gene_g14140; gene_g14844; gene_g15186; gene_g15240; gene_g16544; gene_g25625; gene_g25716
enriched_vs_control,100,1,anatomical structure development,gene_g16873
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g10963; gene_g15186; gene_g15740
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g14844; gene_g15186; gene_g22890
enriched_vs_control,50,2,anatomical structure development,gene_g6870; gene_g18480
enriched_vs_control,16.66666667,6,anatomical structure development,gene_g759; gene_g5996; gene_g9424; gene_g11908; gene_g14176; gene_g24969
enriched_vs_control,100,1,anatomical structure development,gene_g3838
enriched_vs_control,25,4,anatomical structure development,gene_g6262; gene_g6263; gene_g6264; gene_g6266
enriched_vs_control,50,2,anatomical structure development,gene_g15639; gene_g26231
enriched_vs_control,100,1,anatomical structure development,gene_g630; gene_662_5de57afd
enriched_vs_control,25,4,anatomical structure development,gene_g316; gene_g11463; gene_g15186; gene_g15740
enriched_vs_control,25,4,anatomical structure development,gene_g10; gene_g630; gene_g939; gene_g4304; gene_662_5de57afd
enriched_vs_control,10,20,anatomical structure development,gene_g1739; gene_g2058; gene_g3560; gene_g3838; gene_g4375; gene_g5178; gene_g5208; gene_g5234; gene_g9182; gene_g9469; gene_g11054; gene_g11055; gene_g15186; gene_g15740; gene_g15923; gene_g16086; gene_g19080; gene_g23321; gene_g25664; gene_g26166
enriched_vs_control,50,2,anatomical structure development,gene_g1279; gene_g4013
enriched_vs_control,10,20,anatomical structure development,gene_g816; gene_g1252; gene_g1498; gene_g1864; gene_g1866; gene_g2884; gene_g3868; gene_g4020; gene_g4724; gene_g5236; gene_g6559; gene_g10876; gene_g10911; gene_g12511; gene_g12881; gene_g14525; gene_g18094; gene_g23024; gene_g25796; gene_g25909
enriched_vs_control,100,1,anatomical structure development,gene_g19246
enriched_vs_control,25,4,anatomical structure development,gene_g6262; gene_g6263; gene_g6264; gene_g6266
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g4223; gene_g15186; gene_g15740
enriched_vs_control,100,1,anatomical structure development,gene_g4013
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g5052; gene_g13279; gene_g18735
enriched_vs_control,50,2,anatomical structure development,gene_g3838; gene_g8295
enriched_vs_control,5.263157895,38,anatomical structure development,gene_g488; gene_g629; gene_g1156; gene_g1157; gene_g1198; gene_g3163; gene_g3544; gene_g4180; gene_g4448; gene_g4449; gene_g4723; gene_g4726; gene_g4727; gene_g4729; gene_g5118; gene_g5929; gene_g6609; gene_g6862; gene_g7018; gene_g9902; gene_g10763; gene_g10921; gene_g12961; gene_g13864; gene_g14115; gene_g14243; gene_g14315; gene_g14903; gene_g15960; gene_g17233; gene_g17602; gene_g20439; gene_g23646; gene_g25621; gene_g25622; gene_g26260; gene_g26751; gene_g26789; gene_252_5de57afd
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g11619; gene_g15713; gene_g15923
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g14243; gene_g16312; gene_g25935
enriched_vs_control,33.33333333,3,biological process involved in interspecies interaction between organisms,gene_g14886; gene_g14887; gene_g21987
enriched_vs_control,20,5,biological regulation,gene_g7950; gene_g8120; gene_g9017; gene_g12512; gene_g23101
enriched_vs_control,20,5,carbohydrate derivative metabolic process,gene_g542; gene_g849; gene_g15167; gene_g18012; gene_g20305
enriched_vs_control,50,2,carbohydrate derivative metabolic process,gene_g13135; gene_g19246
enriched_vs_control,20,5,carbohydrate metabolic process,gene_g13135; gene_g13168; gene_g16993; gene_g17604; gene_g19246
enriched_vs_control,25,4,carbohydrate metabolic process,gene_g849; gene_g12449; gene_g16142; gene_g19246
enriched_vs_control,33.33333333,6,carboxylic acid metabolic process,gene_g2260; gene_g4016; gene_g6901; gene_g13207; gene_g16312; gene_g25876
enriched_vs_control,33.33333333,3,catalytic activity,gene_g15654; gene_g15655; gene_g15656; gene_601_5de57afd
enriched_vs_control,50,2,cell cycle process,gene_g606; gene_g14400
enriched_vs_control,40,5,cell differentiation,gene_g1039; gene_g1126; gene_g7083; gene_g16615; gene_g16616
enriched_vs_control,25,4,cell motility,gene_g5053; gene_g6262; gene_g6264; gene_g6266
enriched_vs_control,20,5,cell motility,gene_g3719; gene_g4609; gene_g9768; gene_g13790; gene_g17445
enriched_vs_control,33.33333333,3,cell motility,gene_g15654; gene_g15655; gene_g15656; gene_601_5de57afd
enriched_vs_control,33.33333333,3,cellular amino acid metabolic process,gene_g7979; gene_g8101; gene_g9991
enriched_vs_control,33.33333333,3,cellular amino acid metabolic process,gene_g5891; gene_g17660; gene_g26149
enriched_vs_control,50,2,cellular amino acid metabolic process,gene_g14739; gene_g18546
enriched_vs_control,25,4,cellular amino acid metabolic process,gene_g12577; gene_g14740; gene_g25471; gene_g23926
enriched_vs_control,100,1,cellular amino acid metabolic process,gene_g26149
enriched_vs_control,33.33333333,3,cellular amino acid metabolic process,gene_g8101; gene_g9991; gene_g15293
enriched_vs_control,20,5,cellular component organization or biogenesis,gene_g5995; gene_g7987; gene_g13135; gene_g14417; gene_g19246
enriched_vs_control,8.333333333,24,cellular process,gene_g4346; gene_g7358; gene_g10081; gene_g10708; gene_g11363; gene_g11819; gene_g12443; gene_g16112; gene_g16288; gene_g18038; gene_g18039; gene_g18040; gene_g18041; gene_g18042; gene_g18477; gene_g18749; gene_g21603; gene_g23506; gene_g24253; gene_g24918; gene_g26376; gene_g26377; gene_g26726; gene_g26727
enriched_vs_control,5.555555556,36,cytolysis,gene_g4346; gene_g7358; gene_g10081; gene_g10708; gene_g11363; gene_g11819; gene_g12443; gene_g14705; gene_g15104; gene_g16112; gene_g16288; gene_g16465; gene_g16466; gene_g18038; gene_g18039; gene_g18040; gene_g18041; gene_g18042; gene_g18749; gene_g23506; gene_g24253; gene_g24918; gene_g25028; gene_g26376; gene_g26377; gene_g26726; gene_g26727; gene_g3770; gene_g7561; gene_g11247; gene_g11835; gene_g18237; gene_g20943; gene_g22145; gene_g22190; gene_g24030
enriched_vs_control,6.060606061,33,cytoskeleton organization,gene_g253; gene_g630; gene_g1302; gene_g1405; gene_g1664; gene_g2704; gene_g2817; gene_g3098; gene_g3135; gene_g4124; gene_g4128; gene_g4207; gene_g5981; gene_g7049; gene_g9785; gene_g10007; gene_g10199; gene_g10929; gene_g11175; gene_g11626; gene_g11899; gene_g12487; gene_g12579; gene_g13486; gene_g15066; gene_g15599; gene_g15655; gene_g17119; gene_g22735; gene_g23611; gene_g26073; gene_g26594; gene_662_5de57afd; gene_g2013
enriched_vs_control,40,5,detoxification,gene_g1842; gene_g5894; gene_g5895; gene_g9881; gene_g26406
enriched_vs_control,25,4,DNA repair,gene_g187; gene_g9509; gene_g16865; gene_g17932
enriched_vs_control,50,2,DNA repair,gene_g15300; gene_g16604
enriched_vs_control,33.33333333,3,DNA replication,gene_g5996; gene_g9424; gene_g10194
enriched_vs_control,33.33333333,3,DNA-templated transcription,gene_g16604; gene_g17018; gene_g21448
enriched_vs_control,33.33333333,9,DNA-templated transcription,gene_g201; gene_g1259; gene_g8459; gene_g10284; gene_g10913; gene_g12577; gene_g13134; gene_g14740; gene_g17318
enriched_vs_control,5.714285714,35,glutamine transport,gene_g502; gene_g814; gene_g3872; gene_g4408; gene_g4736; gene_g5040; gene_g5720; gene_g5770; gene_g5774; gene_g6002; gene_g8306; gene_g8818; gene_g9029; gene_g9203; gene_g9351; gene_g9436; gene_g9440; gene_g9816; gene_g9818; gene_g10125; gene_g10126; gene_g10127; gene_g11178; gene_g11179; gene_g12061; gene_g13150; gene_g13507; gene_g16023; gene_g18381; gene_g18799; gene_g18877; gene_g22737; gene_g22805; gene_g23081; gene_g25912; gene_g2055; gene_g13462
enriched_vs_control,25,4,immune system process,gene_g2705; gene_g16616; gene_g18155; gene_g19525
enriched_vs_control,33.33333333,3,immune system process,gene_g4016; gene_g16275; gene_g18165
enriched_vs_control,20,5,immune system process,gene_g1925; gene_g1965; gene_g20488; gene_g25577; gene_g26545
enriched_vs_control,100,1,intracellular protein transport,gene_g14
enriched_vs_control,25,4,lipid metabolic process,gene_g129; gene_g10149; gene_g14589; gene_g22809
enriched_vs_control,50,2,lipid metabolic process,gene_g4016; gene_g8561
enriched_vs_control,100,1,lipid metabolic process,gene_g10672
enriched_vs_control,16.66666667,6,lipid metabolic process,gene_g7166; gene_g13096; gene_g15659; gene_g15660; gene_g15783; gene_g15784
enriched_vs_control,10,20,lipid metabolic process,gene_g4570; gene_g4623; gene_g7166; gene_g7306; gene_g11748; gene_g11749; gene_g12585; gene_g14589; gene_g14810; gene_g15783; gene_g15784; gene_g16204; gene_g16737; gene_g21203; gene_g22809; gene_g23283; gene_g26216; gene_g26217; gene_751_5de57afd; gene_g11598; gene_g18237
enriched_vs_control,50,2,lipid metabolic process,gene_g1878; gene_g15943
enriched_vs_control,5.405405405,37,lipid metabolic process,gene_g502; gene_g814; gene_g3872; gene_g4408; gene_g4736; gene_g5040; gene_g5720; gene_g5770; gene_g5774; gene_g6002; gene_g8306; gene_g8818; gene_g9029; gene_g9203; gene_g9351; gene_g9436; gene_g9440; gene_g9816; gene_g9818; gene_g10125; gene_g10126; gene_g10127; gene_g11178; gene_g11179; gene_g12061; gene_g13150; gene_g13507; gene_g16023; gene_g18381; gene_g18799; gene_g18877; gene_g22737; gene_g22805; gene_g23081; gene_g25912; gene_g2055; gene_g13462
enriched_vs_control,50,2,microtubule-based movement,gene_g816; gene_g5236
enriched_vs_control,50,2,microtubule-based movement,gene_g18093; gene_g19316
enriched_vs_control,25,4,microtubule-based movement,gene_g5139; gene_g5236; gene_g16663; gene_g26229
enriched_vs_control,50,2,microtubule-based movement,gene_g5236; gene_g15408
enriched_vs_control,50,2,modulation by symbiont of host process,gene_g10867; gene_g19246
enriched_vs_control,25,4,mRNA metabolic process,gene_g4201; gene_g5623; gene_g16304; gene_g16604
enriched_vs_control,18.75,16,multicellular organismal process,gene_g1039; gene_g1126; gene_g1260; gene_g2542; gene_g7083; gene_g10268; gene_g12061; gene_g13135; gene_g14500; gene_g16615; gene_g16616; gene_g18519; gene_g19196; gene_g19246; gene_g20008; gene_g23885
enriched_vs_control,33.33333333,6,multicellular organismal process,gene_g1039; gene_g1126; gene_g7083; gene_g16615; gene_g16616; gene_g23026
enriched_vs_control,33.33333333,3,muscle system process,gene_g6661; gene_g8105; gene_g26488
enriched_vs_control,100,1,muscle system process,gene_g8105
enriched_vs_control,100,1,muscle system process,gene_g8105
enriched_vs_control,20,5,muscle system process,gene_g465; gene_g3705; gene_g8105; gene_g9999; gene_g13902
enriched_vs_control,8.695652174,23,nervous system process,gene_g82; gene_g899; gene_g3913; gene_g5947; gene_g5949; gene_g7598; gene_g9784; gene_g11090; gene_g15069; gene_g15330; gene_g16081; gene_g18253; gene_g21487; gene_g23173; gene_g24031; gene_g25107; gene_g26304; gene_g5488; gene_g5489; gene_g9202; gene_g9204; gene_g12489; gene_g13561
enriched_vs_control,100,1,nitrogen compound metabolic process,gene_g15981; gene_486_5de57afd
enriched_vs_control,100,1,nitrogen compound metabolic process,gene_g9524
enriched_vs_control,20,5,nitrogen compound metabolic process,gene_g6370; gene_g14258; gene_g23947; gene_g24396; gene_g5518
enriched_vs_control,100,1,nitrogen compound metabolic process,gene_g15981; gene_486_5de57afd
enriched_vs_control,3.260869565,92,nitrogen compound metabolic process,gene_g767; gene_g872; gene_g1503; gene_g1632; gene_g1633; gene_g2322; gene_g2656; gene_g2666; gene_g2959; gene_g4472; gene_g5098; gene_g5413; gene_g5540; gene_g5639; gene_g5724; gene_g5768; gene_g6416; gene_g7542; gene_g7589; gene_g7590; gene_g7780; gene_g7880; gene_g8059; gene_g8599; gene_g8822; gene_g8823; gene_g9312; gene_g9739; gene_g10277; gene_g10644; gene_g11029; gene_g11032; gene_g11408; gene_g11564; gene_g11649; gene_g12052; gene_g12359; gene_g12361; gene_g13994; gene_g14027; gene_g14117; gene_g15117; gene_g15446; gene_g15538; gene_g15716; gene_g15910; gene_g16409; gene_g16730; gene_g16961; gene_g17190; gene_g17204; gene_g17205; gene_g17230; gene_g17243; gene_g17310; gene_g17415; gene_g17736; gene_g17978; gene_g18096; gene_g18185; gene_g18338; gene_g18501; gene_g18927; gene_g19548; gene_g19750; gene_g19826; gene_g19860; gene_g19935; gene_g19976; gene_g20205; gene_g20299; gene_g20381; gene_g20416; gene_g20506; gene_g20651; gene_g20739; gene_g20891; gene_g20932; gene_g21654; gene_g21690; gene_g23885; gene_g23928; gene_g24167; gene_g24228; gene_g25640; gene_g25641; gene_g26432; gene_g26477; gene_g26542; gene_g26631; gene_g26707; gene_g26791; gene_340_5de57afd
enriched_vs_control,100,1,nitrogen compound metabolic process,gene_g15981; gene_486_5de57afd
enriched_vs_control,100,1,nitrogen compound metabolic process,gene_g15981; gene_486_5de57afd
enriched_vs_control,20,5,peroxisome organization,gene_g3251; gene_g11434; gene_g11435; gene_g2753; gene_g5536
enriched_vs_control,50,2,positive regulation of phospholipase activity,gene_g4609; gene_g11752
enriched_vs_control,100,1,programmed cell death,gene_g542
enriched_vs_control,15.38461538,13,protein catabolic process,gene_g335; gene_g630; gene_g759; gene_g3564; gene_g5996; gene_g6353; gene_g8031; gene_g8833; gene_g9424; gene_g13164; gene_g16788; gene_g16789; gene_g17431
enriched_vs_control,50,2,protein folding,gene_g14; gene_g9914
enriched_vs_control,33.33333333,3,protein localization,gene_g1708; gene_g9524; gene_g14070
enriched_vs_control,100,1,protein localization,gene_g11175
enriched_vs_control,7.407407407,27,protein maturation,gene_g5; gene_g361; gene_g2392; gene_g4159; gene_g4639; gene_g4865; gene_g8826; gene_g9916; gene_g10050; gene_g10051; gene_g10384; gene_g11196; gene_g11197; gene_g12568; gene_g12570; gene_g13508; gene_g13550; gene_g16615; gene_g16616; gene_g17091; gene_g18342; gene_g18766; gene_g19433; gene_g19714; gene_g20806; gene_g24115; gene_g26630
enriched_vs_control,6.25,32,protein modification process,gene_g1710; gene_g1712; gene_g2427; gene_g3190; gene_g3194; gene_g3720; gene_g5970; gene_g6262; gene_g6263; gene_g6264; gene_g6266; gene_g9393; gene_g9572; gene_g13263; gene_g13352; gene_g13962; gene_g14787; gene_g14895; gene_g16270; gene_g19213; gene_g22799; gene_g247; gene_g445; gene_g1153; gene_g1867; gene_g2362; gene_g4079; gene_g4138; gene_g7339; gene_g7885; gene_g9854; gene_g14315
enriched_vs_control,20,5,protein modification process,gene_g774; gene_g4700; gene_g14851; gene_g24637; gene_g25690
enriched_vs_control,50,2,protein modification process,gene_g8049; gene_g8096
enriched_vs_control,33.33333333,6,protein-containing complex assembly,gene_g846; gene_g2640; gene_g7570; gene_g14739; gene_g18056; gene_g18546
enriched_vs_control,11.11111111,18,protein-containing complex assembly,gene_g929; gene_g1200; gene_g2731; gene_g2818; gene_g3029; gene_g4726; gene_g5644; gene_g10004; gene_g16615; gene_g16616; gene_g19731; gene_g20356; gene_g21112; gene_g23646; gene_g23881; gene_g23947; gene_g24724; gene_g26260
enriched_vs_control,5.882352941,34,protein-containing complex assembly,gene_g82; gene_g1178; gene_g1179; gene_g1382; gene_g2001; gene_g2002; gene_g2003; gene_g2004; gene_g2010; gene_g3913; gene_g5446; gene_g5947; gene_g5949; gene_g6630; gene_g7598; gene_g11090; gene_g11627; gene_g11678; gene_g11809; gene_g12129; gene_g13118; gene_g15069; gene_g15330; gene_g16081; gene_g16553; gene_g16835; gene_g18253; gene_g19216; gene_g21487; gene_g23173; gene_g24031; gene_g26304; gene_g9469; gene_g23893
enriched_vs_control,25,4,protein-containing complex assembly,gene_g2837; gene_g15120; gene_g18093; gene_g19316
enriched_vs_control,50,2,regulation of biological process,gene_g13135; gene_g19246
enriched_vs_control,50,2,regulation of biological process,gene_g3261; gene_g19246
enriched_vs_control,5.263157895,38,regulation of biological process,gene_g130; gene_g190; gene_g527; gene_g1069; gene_g2043; gene_g2351; gene_g2982; gene_g3034; gene_g3046; gene_g4615; gene_g4918; gene_g5483; gene_g7481; gene_g9329; gene_g9828; gene_g9870; gene_g11322; gene_g11485; gene_g11529; gene_g11939; gene_g13044; gene_g13168; gene_g13629; gene_g13689; gene_g14022; gene_g14219; gene_g14557; gene_g14807; gene_g17110; gene_g18967; gene_g19743; gene_g23054; gene_g23329; gene_g23778; gene_g25762; gene_g25935; gene_g26194; gene_g26349
enriched_vs_control,16.66666667,6,regulation of cellular process,gene_g9387; gene_g11054; gene_g11055; gene_g16605; gene_g24707; gene_g25238
enriched_vs_control,100,1,regulation of cellular process,gene_g16604
enriched_vs_control,50,2,regulation of cellular process,gene_g13135; gene_g19246
enriched_vs_control,50,2,regulation of cellular process,gene_g11619; gene_g15713
enriched_vs_control,33.33333333,6,regulation of lipid storage,gene_g1039; gene_g1126; gene_g7083; gene_g13690; gene_g16615; gene_g16616
