experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,4.545454545,66,anatomical structure development,gene_g82; gene_g953; gene_g1184; gene_g1347; gene_g2720; gene_g4074; gene_g4868; gene_g4920; gene_g5948; gene_g6296; gene_g6349; gene_g6437; gene_g6620; gene_g7176; gene_g7598; gene_g8605; gene_g8743; gene_g8744; gene_g9107; gene_g9266; gene_g10374; gene_g10378; gene_g11090; gene_g11095; gene_g11983; gene_g12503; gene_g12616; gene_g12870; gene_g13022; gene_g13607; gene_g14445; gene_g14449; gene_g15027; gene_g15330; gene_g15334; gene_g16518; gene_g16810; gene_g16814; gene_g16966; gene_g17350; gene_g17472; gene_g17533; gene_g17672; gene_g17780; gene_g18253; gene_g18438; gene_g18759; gene_g18791; gene_g19128; gene_g19586; gene_g20854; gene_g20877; gene_g21281; gene_g21308; gene_g21569; gene_g21734; gene_g21741; gene_g23173; gene_g23560; gene_g23729; gene_g24031; gene_g24199; gene_g25076; gene_g25678; gene_g25744; gene_g26304
enriched_vs_control,5,60,anatomical structure development,gene_g82; gene_g465; gene_g953; gene_g1184; gene_g1551; gene_g2720; gene_g4074; gene_g5929; gene_g5948; gene_g6296; gene_g6349; gene_g6437; gene_g6620; gene_g7176; gene_g7598; gene_g8605; gene_g8743; gene_g8744; gene_g9266; gene_g9999; gene_g10374; gene_g10378; gene_g11090; gene_g11095; gene_g12503; gene_g12616; gene_g12870; gene_g13607; gene_g14445; gene_g14449; gene_g15330; gene_g15334; gene_g16518; gene_g16810; gene_g16814; gene_g16966; gene_g17533; gene_g17602; gene_g17672; gene_g17780; gene_g18253; gene_g18438; gene_g18759; gene_g18791; gene_g19586; gene_g20854; gene_g20877; gene_g21281; gene_g21308; gene_g21569; gene_g21734; gene_g21741; gene_g23173; gene_g23560; gene_g24031; gene_g24199; gene_g25076; gene_g25678; gene_g25744; gene_g26304
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g13135; gene_g19246; gene_g23091
enriched_vs_control,50,2,anatomical structure development,gene_g15186; gene_g15740
enriched_vs_control,100,1,anatomical structure development,gene_g11619
enriched_vs_control,13.33333333,15,anatomical structure development,gene_g1546; gene_g4013; gene_g4140; gene_g5921; gene_g5925; gene_g5928; gene_g7711; gene_g11801; gene_g13405; gene_g14844; gene_g15186; gene_g16278; gene_g16722; gene_g17601; gene_g17602; gene_639_5de57afd
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g3037; gene_g3409; gene_g3838
enriched_vs_control,100,1,anatomical structure development,gene_g8642
enriched_vs_control,25,4,anatomical structure development,gene_g1504; gene_g4013; gene_g10298; gene_g17174
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g2540; gene_g14589; gene_g22809; gene_111_5de57afd; gene_751_5de57afd
enriched_vs_control,20,5,anatomical structure development,gene_g2121; gene_g7824; gene_g8066; gene_g8997; gene_g19246
enriched_vs_control,50,2,anatomical structure development,gene_g18093; gene_g19316
enriched_vs_control,25,4,anatomical structure development,gene_g11430; gene_g14557; gene_g15186; gene_g15740
enriched_vs_control,50,2,anatomical structure development,gene_g13279; gene_g18735
enriched_vs_control,11.11111111,18,anatomical structure development,gene_g1210; gene_g2043; gene_g5236; gene_g5857; gene_g5869; gene_g6559; gene_g11065; gene_g11647; gene_g12301; gene_g12814; gene_g13168; gene_g14017; gene_g14188; gene_g15216; gene_g15885; gene_g18905; gene_g19813; gene_g21228
enriched_vs_control,100,1,anatomical structure development,gene_g4013
enriched_vs_control,9.090909091,22,anatomical structure development,gene_g764; gene_g1156; gene_g1610; gene_g4120; gene_g5865; gene_g6015; gene_g6121; gene_g7253; gene_g7471; gene_g9326; gene_g9522; gene_g10921; gene_g12127; gene_g12262; gene_g13368; gene_g14140; gene_g14844; gene_g15186; gene_g15240; gene_g16544; gene_g25625; gene_g25716
enriched_vs_control,100,1,anatomical structure development,gene_g16873
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g10963; gene_g15186; gene_g15740
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g14844; gene_g15186; gene_g22890
enriched_vs_control,50,2,anatomical structure development,gene_g6870; gene_g18480
enriched_vs_control,16.66666667,6,anatomical structure development,gene_g759; gene_g5996; gene_g9424; gene_g11908; gene_g14176; gene_g24969
enriched_vs_control,100,1,anatomical structure development,gene_g3838
enriched_vs_control,25,4,anatomical structure development,gene_g6262; gene_g6263; gene_g6264; gene_g6266
enriched_vs_control,50,2,anatomical structure development,gene_g15639; gene_g26231
enriched_vs_control,100,1,anatomical structure development,gene_g630; gene_662_5de57afd
enriched_vs_control,25,4,anatomical structure development,gene_g316; gene_g11463; gene_g15186; gene_g15740
enriched_vs_control,25,4,anatomical structure development,gene_g10; gene_g630; gene_g939; gene_g4304; gene_662_5de57afd
enriched_vs_control,10,20,anatomical structure development,gene_g1739; gene_g2058; gene_g3560; gene_g3838; gene_g4375; gene_g5178; gene_g5208; gene_g5234; gene_g9182; gene_g9469; gene_g11054; gene_g11055; gene_g15186; gene_g15740; gene_g15923; gene_g16086; gene_g19080; gene_g23321; gene_g25664; gene_g26166
enriched_vs_control,50,2,anatomical structure development,gene_g1279; gene_g4013
enriched_vs_control,10,20,anatomical structure development,gene_g816; gene_g1252; gene_g1498; gene_g1864; gene_g1866; gene_g2884; gene_g3868; gene_g4020; gene_g4724; gene_g5236; gene_g6559; gene_g10876; gene_g10911; gene_g12511; gene_g12881; gene_g14525; gene_g18094; gene_g23024; gene_g25796; gene_g25909
enriched_vs_control,100,1,anatomical structure development,gene_g19246
enriched_vs_control,25,4,anatomical structure development,gene_g6262; gene_g6263; gene_g6264; gene_g6266
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g4223; gene_g15186; gene_g15740
enriched_vs_control,100,1,anatomical structure development,gene_g4013
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g5052; gene_g13279; gene_g18735
enriched_vs_control,50,2,anatomical structure development,gene_g3838; gene_g8295
enriched_vs_control,5.263157895,38,anatomical structure development,gene_g488; gene_g629; gene_g1156; gene_g1157; gene_g1198; gene_g3163; gene_g3544; gene_g4180; gene_g4448; gene_g4449; gene_g4723; gene_g4726; gene_g4727; gene_g4729; gene_g5118; gene_g5929; gene_g6609; gene_g6862; gene_g7018; gene_g9902; gene_g10763; gene_g10921; gene_g12961; gene_g13864; gene_g14115; gene_g14243; gene_g14315; gene_g14903; gene_g15960; gene_g17233; gene_g17602; gene_g20439; gene_g23646; gene_g25621; gene_g25622; gene_g26260; gene_g26751; gene_g26789; gene_252_5de57afd
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g11619; gene_g15713; gene_g15923
enriched_vs_control,33.33333333,3,anatomical structure development,gene_g14243; gene_g16312; gene_g25935
enriched_vs_control,50,2,binding,gene_g13135; gene_g19246
enriched_vs_control,6.52173913,46,binding,gene_g1039; gene_g1126; gene_g1932; gene_g2435; gene_g3290; gene_g3695; gene_g3978; gene_g4511; gene_g4724; gene_g5082; gene_g5424; gene_g7034; gene_g7049; gene_g7083; gene_g7282; gene_g7464; gene_g8144; gene_g8180; gene_g8375; gene_g8893; gene_g8935; gene_g9614; gene_g9850; gene_g10620; gene_g10623; gene_g10911; gene_g11099; gene_g11896; gene_g11927; gene_g12509; gene_g12517; gene_g13365; gene_g14942; gene_g15603; gene_g15960; gene_g16615; gene_g16616; gene_g17826; gene_g18262; gene_g19246; gene_g19771; gene_g20550; gene_g22418; gene_g24721; gene_g26110; gene_g26212; gene_3_5de57afd; gene_525_5de57afd
enriched_vs_control,20,5,binding,gene_g1391; gene_g4828; gene_g4852; gene_g8031; gene_662_5de57afd; gene_g630
enriched_vs_control,5.633802817,71,binding,gene_g217; gene_g218; gene_g219; gene_g996; gene_g1842; gene_g2042; gene_g2509; gene_g2643; gene_g4282; gene_g6540; gene_g6636; gene_g7060; gene_g7102; gene_g7625; gene_g7747; gene_g8101; gene_g10696; gene_g10722; gene_g11434; gene_g11435; gene_g11487; gene_g11531; gene_g12417; gene_g12819; gene_g13886; gene_g13888; gene_g13943; gene_g15042; gene_g16709; gene_g16890; gene_g20284; gene_g23613; gene_g23740; gene_g23778; gene_g24328; gene_g24986; gene_g25328; gene_g25406; gene_g26406; gene_70_5de57afd; gene_g84; gene_g284; gene_g2912; gene_g7142; gene_g8974; gene_g9041; gene_g11472; gene_g14928; gene_g15909; gene_g18144; gene_g20093; gene_g20861; gene_g23502; gene_g24663; gene_g24919; gene_g25060; gene_g25650; gene_g25980; gene_606_5de57afd; gene_g1644; gene_g1645; gene_g1650; gene_g5525; gene_g5526; gene_g18898; gene_g19794; gene_g9004; gene_g9040; gene_g9042; gene_g20735; gene_g22595; gene_g22604; gene_g25527
enriched_vs_control,20,15,binding,gene_g542; gene_g849; gene_g2345; gene_g7271; gene_g10340; gene_g10341; gene_g10342; gene_g10343; gene_g10344; gene_g10345; gene_g12449; gene_g14883; gene_g23287; gene_g541; gene_g20305
enriched_vs_control,20,5,binding,gene_g9422; gene_g9614; gene_g13135; gene_g14771; gene_g19246
enriched_vs_control,20,5,binding,gene_g4336; gene_g9422; gene_g9934; gene_g12139; gene_g19246; gene_272_5de57afd; gene_582_5de57afd
enriched_vs_control,13.33333333,15,binding,gene_g1039; gene_g1126; gene_g2705; gene_g7083; gene_g7872; gene_g10642; gene_g11134; gene_g14844; gene_g15780; gene_g16615; gene_g16616; gene_g18155; gene_g19525; gene_g20298; gene_g25578
enriched_vs_control,50,2,binding,gene_g14771; gene_g19246
enriched_vs_control,33.33333333,3,binding,gene_g6018; gene_g7570; gene_g12535
enriched_vs_control,100,1,binding,gene_g16604
enriched_vs_control,33.33333333,3,biological process involved in interspecies interaction between organisms,gene_g14886; gene_g14887; gene_g21987
enriched_vs_control,20,5,biological regulation,gene_g7950; gene_g8120; gene_g9017; gene_g12512; gene_g23101
enriched_vs_control,20,5,carbohydrate derivative metabolic process,gene_g542; gene_g849; gene_g15167; gene_g18012; gene_g20305
enriched_vs_control,50,2,carbohydrate derivative metabolic process,gene_g13135; gene_g19246
enriched_vs_control,20,5,carbohydrate metabolic process,gene_g13135; gene_g13168; gene_g16993; gene_g17604; gene_g19246
enriched_vs_control,25,4,carbohydrate metabolic process,gene_g849; gene_g12449; gene_g16142; gene_g19246
enriched_vs_control,33.33333333,6,carboxylic acid metabolic process,gene_g2260; gene_g4016; gene_g6901; gene_g13207; gene_g16312; gene_g25876
enriched_vs_control,18.18181818,11,catalytic activity,gene_g7166; gene_g11748; gene_g11749; gene_g14589; gene_g14810; gene_g14862; gene_g15169; gene_g15783; gene_g15784; gene_g16737; gene_g22809; gene_751_5de57afd
enriched_vs_control,50,2,catalytic activity,gene_g2055; gene_g13043
enriched_vs_control,100,1,catalytic activity,gene_g18067
enriched_vs_control,20,5,catalytic activity,gene_g2426; gene_g9611; gene_g15035; gene_g24232; gene_g15034
enriched_vs_control,100,1,catalytic activity,gene_g18067
enriched_vs_control,33.33333333,3,catalytic activity,gene_g778; gene_g24733; gene_g26142
enriched_vs_control,100,1,catalytic activity,gene_g15639
enriched_vs_control,10.52631579,19,catalytic activity,gene_g1323; gene_g1324; gene_g2951; gene_g6748; gene_g8579; gene_g14124; gene_g17210; gene_g26051; gene_g1325; gene_g5371; gene_g6302; gene_g7331; gene_g8578; gene_g14123; gene_g14125; gene_g14126; gene_g14127; gene_g18337; gene_g25586; gene_553_5de57afd
enriched_vs_control,50,2,catalytic activity,gene_g14315; gene_g15981; gene_486_5de57afd
enriched_vs_control,20,5,catalytic activity,gene_g1376; gene_g7149; gene_g16312; gene_g25848; gene_g18237
enriched_vs_control,100,1,catalytic activity,gene_g5863
enriched_vs_control,33.33333333,3,catalytic activity,gene_g542; gene_g849; gene_g8963
enriched_vs_control,20,5,catalytic activity,gene_g2049; gene_g11755; gene_g14756; gene_470_5de57afd; gene_g12098; gene_g10665
enriched_vs_control,33.33333333,3,catalytic activity,gene_g542; gene_g849; gene_g20305
enriched_vs_control,50,2,catalytic activity,gene_g23763; gene_g26149
enriched_vs_control,100,1,catalytic activity,gene_g26149
enriched_vs_control,33.33333333,3,catalytic activity,gene_g541; gene_g542; gene_g849
enriched_vs_control,16.66666667,12,catalytic activity,gene_g3290; gene_g10556; gene_g11135; gene_g13222; gene_g13770; gene_g16367; gene_g18888; gene_g19771; gene_g23166; gene_g23722; gene_g25262; gene_g4546
enriched_vs_control,33.33333333,3,catalytic activity,gene_g4188; gene_g4796; gene_g10560
enriched_vs_control,33.33333333,3,catalytic activity,gene_g13135; gene_g14771; gene_g19246
enriched_vs_control,50,2,catalytic activity,gene_g24733; gene_g26142
enriched_vs_control,100,1,catalytic activity,gene_g16312
enriched_vs_control,9.523809524,21,catalytic activity,gene_g138; gene_g2258; gene_g3034; gene_g7570; gene_g8292; gene_g8729; gene_g9210; gene_g11619; gene_g11702; gene_g14363; gene_g15713; gene_g16979; gene_g17111; gene_g18142; gene_g20617; gene_g21912; gene_g23020; gene_g23093; gene_g25533; gene_g25964; gene_g26281
enriched_vs_control,33.33333333,3,catalytic activity,gene_g846; gene_g14739; gene_g18546
enriched_vs_control,25,4,catalytic activity,gene_g846; gene_g14739; gene_g18546; gene_g26588
enriched_vs_control,25,4,catalytic activity,gene_g12577; gene_g14740; gene_g25471; gene_g23926
enriched_vs_control,2.059925094,534,catalytic activity,gene_g216; gene_g217; gene_g218; gene_g219; gene_g233; gene_g501; gene_g741; gene_g1041; gene_g1058; gene_g1091; gene_g1258; gene_g1470; gene_g1668; gene_g1669; gene_g1919; gene_g2050; gene_g2078; gene_g2284; gene_g2377; gene_g2708; gene_g2863; gene_g2953; gene_g3286; gene_g3335; gene_g3679; gene_g4017; gene_g4018; gene_g4082; gene_g4130; gene_g4131; gene_g4188; gene_g4282; gene_g4396; gene_g4460; gene_g4586; gene_g4588; gene_g5110; gene_g5434; gene_g5518; gene_g5679; gene_g5696; gene_g5772; gene_g5885; gene_g5973; gene_g6017; gene_g6312; gene_g6377; gene_g6716; gene_g6735; gene_g7043; gene_g7060; gene_g7297; gene_g7421; gene_g7518; gene_g7523; gene_g7555; gene_g7634; gene_g7635; gene_g7856; gene_g8357; gene_g8397; gene_g8461; gene_g8659; gene_g8749; gene_g8800; gene_g8801; gene_g8811; gene_g9000; gene_g9232; gene_g9264; gene_g9265; gene_g9621; gene_g9660; gene_g9661; gene_g9664; gene_g9790; gene_g10257; gene_g10258; gene_g10581; gene_g10582; gene_g10906; gene_g10907; gene_g10914; gene_g10970; gene_g11022; gene_g11547; gene_g12064; gene_g12089; gene_g12174; gene_g12180; gene_g12275; gene_g12276; gene_g12277; gene_g12278; gene_g12288; gene_g12312; gene_g12556; gene_g13043; gene_g13087; gene_g13088; gene_g13092; gene_g13114; gene_g13299; gene_g13375; gene_g13399; gene_g13462; gene_g13584; gene_g13886; gene_g14562; gene_g14798; gene_g15078; gene_g15079; gene_g15455; gene_g15545; gene_g15709; gene_g15821; gene_g16023; gene_g16308; gene_g16509; gene_g16673; gene_g17321; gene_g17475; gene_g17640; gene_g17641; gene_g17806; gene_g18100; gene_g18192; gene_g18193; gene_g18228; gene_g18379; gene_g18811; gene_g18859; gene_g19092; gene_g19469; gene_g20296; gene_g21021; gene_g21580; gene_g22734; gene_g23440; gene_g23532; gene_g23711; gene_g23840; gene_g23889; gene_g24065; gene_g24418; gene_g24428; gene_g24436; gene_g24484; gene_g24570; gene_g24631; gene_g24763; gene_g24782; gene_g25013; gene_g25193; gene_g25252; gene_g25273; gene_g25390; gene_g25392; gene_g25469; gene_g25980; gene_g25983; gene_g26037; gene_g26231; gene_70_5de57afd; gene_440_5de57afd; gene_g160; gene_g225; gene_g264; gene_g283; gene_g291; gene_g502; gene_g564; gene_g652; gene_g702; gene_g738; gene_g751; gene_g773; gene_g875; gene_g996; gene_g1020; gene_g1048; gene_g1062; gene_g1145; gene_g1243; gene_g1341; gene_g1343; gene_g1349; gene_g1398; gene_g1400; gene_g1528; gene_g1586; gene_g1682; gene_g1713; gene_g1862; gene_g1871; gene_g1953; gene_g2042; gene_g2100; gene_g2101; gene_g2220; gene_g2509; gene_g2558; gene_g2559; gene_g2560; gene_g2584; gene_g2828; gene_g2829; gene_g2858; gene_g2860; gene_g2869; gene_g2870; gene_g3036; gene_g3047; gene_g3158; gene_g3341; gene_g3343; gene_g3360; gene_g3361; gene_g3378; gene_g3411; gene_g3417; gene_g3431; gene_g3491; gene_g3716; gene_g3836; gene_g4241; gene_g4246; gene_g4248; gene_g4380; gene_g4442; gene_g4563; gene_g4701; gene_g4709; gene_g5020; gene_g5028; gene_g5149; gene_g5253; gene_g5410; gene_g5438; gene_g5482; gene_g5542; gene_g5775; gene_g5907; gene_g5971; gene_g5972; gene_g5996; gene_g6225; gene_g6636; gene_g6692; gene_g6742; gene_g6753; gene_g6756; gene_g6776; gene_g6890; gene_g6937; gene_g7077; gene_g7102; gene_g7160; gene_g7230; gene_g7247; gene_g7282; gene_g7403; gene_g7404; gene_g7580; gene_g7625; gene_g7714; gene_g7940; gene_g7944; gene_g8077; gene_g8083; gene_g8085; gene_g8109; gene_g8158; gene_g8190; gene_g8196; gene_g8271; gene_g8306; gene_g8650; gene_g8684; gene_g8799; gene_g8875; gene_g9029; gene_g9041; gene_g9087; gene_g9521; gene_g9522; gene_g9538; gene_g9617; gene_g9618; gene_g9658; gene_g9684; gene_g9746; gene_g9805; gene_g9815; gene_g9816; gene_g9817; gene_g9818; gene_g9860; gene_g9866; gene_g9867; gene_g9893; gene_g9950; gene_g9951; gene_g9991; gene_g10026; gene_g10107; gene_g10149; gene_g10615; gene_g10616; gene_g10723; gene_g10829; gene_g10869; gene_g10927; gene_g10948; gene_g11088; gene_g11099; gene_g11274; gene_g11345; gene_g11459; gene_g11472; gene_g11487; gene_g11531; gene_g11660; gene_g11661; gene_g11722; gene_g11723; gene_g12029; gene_g12108; gene_g12133; gene_g12155; gene_g12168; gene_g12169; gene_g12243; gene_g12289; gene_g12307; gene_g12311; gene_g12322; gene_g12378; gene_g12417; gene_g12778; gene_g12781; gene_g12819; gene_g12903; gene_g13037; gene_g13139; gene_g13195; gene_g13197; gene_g13544; gene_g13587; gene_g13588; gene_g13746; gene_g13791; gene_g13888; gene_g14074; gene_g14097; gene_g14145; gene_g14375; gene_g14378; gene_g14399; gene_g14479; gene_g14480; gene_g14928; gene_g14933; gene_g14982; gene_g15015; gene_g15021; gene_g15141; gene_g15213; gene_g15225; gene_g15397; gene_g15399; gene_g15554; gene_g15556; gene_g15557; gene_g15563; gene_g15565; gene_g15598; gene_g15639; gene_g15724; gene_g15909; gene_g16301; gene_g16322; gene_g16323; gene_g16365; gene_g16453; gene_g16626; gene_g16628; gene_g17135; gene_g17539; gene_g17565; gene_g17642; gene_g17863; gene_g18144; gene_g18163; gene_g18164; gene_g18249; gene_g18313; gene_g18319; gene_g18532; gene_g18540; gene_g18640; gene_g18793; gene_g18934; gene_g19142; gene_g19191; gene_g19310; gene_g19317; gene_g19329; gene_g20093; gene_g20284; gene_g20355; gene_g20538; gene_g20630; gene_g20669; gene_g20760; gene_g20798; gene_g20812; gene_g21037; gene_g21495; gene_g22805; gene_g22815; gene_g22867; gene_g22988; gene_g23262; gene_g23265; gene_g23293; gene_g23294; gene_g23295; gene_g23296; gene_g23501; gene_g23515; gene_g23517; gene_g23541; gene_g23542; gene_g23559; gene_g23583; gene_g23609; gene_g23613; gene_g23642; gene_g23645; gene_g23647; gene_g23778; gene_g23821; gene_g23841; gene_g23869; gene_g23871; gene_g23908; gene_g24032; gene_g24136; gene_g24150; gene_g24153; gene_g24177; gene_g24226; gene_g24252; gene_g24359; gene_g24360; gene_g24385; gene_g24412; gene_g24513; gene_g24561; gene_g24575; gene_g24583; gene_g24606; gene_g24659; gene_g24663; gene_g24710; gene_g24778; gene_g24832; gene_g24854; gene_g24916; gene_g24946; gene_g24959; gene_g24986; gene_g24989; gene_g24990; gene_g24992; gene_g25030; gene_g25060; gene_g25179; gene_g25184; gene_g25307; gene_g25313; gene_g25328; gene_g25406; gene_g25650; gene_g25701; gene_g25791; gene_g25851; gene_g25943; gene_g25971; gene_g26012; gene_g26068; gene_g26075; gene_g26149; gene_g26224; gene_g26360; gene_g26406; gene_g26447; gene_g26557; gene_g26660; gene_270_5de57afd; gene_373_5de57afd; gene_669_5de57afd; gene_g25; gene_g7241; gene_g9898; gene_g11139; gene_g16761; gene_g18898; gene_g20487; gene_g23584; gene_g23639; gene_g23816; gene_g24280; gene_g25411; gene_g984; gene_g985; gene_g1287; gene_g1715; gene_g5430; gene_g7405; gene_g8235; gene_g8284; gene_g8980; gene_g9523; gene_g9745; gene_g10560; gene_g11247; gene_g11835; gene_g12791; gene_g19964; gene_g20292; gene_g20783; gene_g20943; gene_g21036; gene_g22145; gene_g22190; gene_g24030; gene_g25527
enriched_vs_control,20,5,catalytic activity,gene_g22; gene_g9637; gene_g24018; gene_g5518; gene_g6370
