Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240118W
A0A2B4R1B6	A0A2B4R1B6_STYPI	unreviewed	AWC38_SpisGene23921	Stylophora pistillata (Smooth cauliflower coral)	PHD-type domain-containing protein	585	metal ion binding [GO:0046872]	GO:0046872	PFX12164.1
A0A3M6U604	A0A3M6U604_POCDA	unreviewed	pdam_00013012	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	155			RMX48888.1
A0A3M6U5Q5	A0A3M6U5Q5_POCDA	unreviewed	pdam_00013011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	872	integral component of membrane [GO:0016021]	GO:0016021	RMX48889.1
A0A3M6U5J6	A0A3M6U5J6_POCDA	unreviewed	pdam_00013008	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2230	plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156	RMX48867.1
A0A3M6TFW7	A0A3M6TFW7_POCDA	unreviewed	pdam_00002320	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	421			RMX40114.1
A0A2B4SUX3	A0A2B4SUX3_STYPI	unreviewed	AWC38_SpisGene2960	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	613			PFX32215.1
A0A3M6TFE4	A0A3M6TFE4_POCDA	unreviewed	pdam_00002325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1127	integral component of membrane [GO:0016021]	GO:0016021	RMX40117.1
A0A3M6TF80	A0A3M6TF80_POCDA	unreviewed	pdam_00002330	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peptidase S1 domain-containing protein	303	serine-type endopeptidase activity [GO:0004252]	GO:0004252	RMX40066.1
A0A2B4SP03	A0A2B4SP03_STYPI	unreviewed	POL AWC38_SpisGene4911	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	523	nucleic acid binding [GO:0003676]	GO:0003676	PFX30308.1
A0A3M6TCE3	A0A3M6TCE3_POCDA	unreviewed	pdam_00022410	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	929	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005509	RMX39066.1
A0A3M6URH3	A0A3M6URH3_POCDA	unreviewed	pdam_00015871	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	104			RMX56199.1
A0A2B4RVU9	A0A2B4RVU9_STYPI	unreviewed	AWC38_SpisGene15091	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	591			PFX20457.1
A0A2B4SYB7	A0A2B4SYB7_STYPI	unreviewed	Pif1 AWC38_SpisGene1713	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	1021	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX33365.1
A0A2B4R8Z7	A0A2B4R8Z7_STYPI	unreviewed	AWC38_SpisGene22639	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	412			PFX13289.1
A0A3M6UFS5	A0A3M6UFS5_POCDA	unreviewed	pdam_00007941	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	727			RMX52248.1
A0A2B4SXB0	A0A2B4SXB0_STYPI	unreviewed	AWC38_SpisGene527	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	104			PFX34531.1
A0A3M6THM9	A0A3M6THM9_POCDA	unreviewed	pdam_00006476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	234			RMX40866.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A2B4RY63	A0A2B4RY63_STYPI	unreviewed	GPR133 AWC38_SpisGene13764	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	1087	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX21739.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A2B4SPR4	A0A2B4SPR4_STYPI	unreviewed	AWC38_SpisGene4839	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	559			PFX30365.1
A0A3M6UU43	A0A3M6UU43_POCDA	unreviewed	pdam_00008195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	496	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	RMX57119.1
A0A2B4RYZ7	A0A2B4RYZ7_STYPI	unreviewed	AWC38_SpisGene13962	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	764			PFX21548.1
A0A3M6U6E3	A0A3M6U6E3_POCDA	unreviewed	pdam_00013590	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	447			RMX49253.1
A0A3M6TNQ1	A0A3M6TNQ1_POCDA	unreviewed	pdam_00020881	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	518			RMX42918.1
A0A3M6U3V2	A0A3M6U3V2_POCDA	unreviewed	pdam_00014744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	375			RMX48281.1
A0A2B4RHT8	A0A2B4RHT8_STYPI	unreviewed	F54H12.3 AWC38_SpisGene19704	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	821	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX16040.1
A0A3M6TB28	A0A3M6TB28_POCDA	unreviewed	pdam_00010245	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	202			RMX38541.1
A0A2B4R9D2	A0A2B4R9D2_STYPI	unreviewed	AWC38_SpisGene22501	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	588			PFX13413.1
A0A3M6U8B8	A0A3M6U8B8_POCDA	unreviewed	pdam_00018384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	193	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0016021; GO:0042151; GO:0090729	RMX49861.1
A0A3M6U8J9	A0A3M6U8J9_POCDA	unreviewed	pdam_00018378	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	628			RMX49869.1
A0A3M6V5G0	A0A3M6V5G0_POCDA	unreviewed	pdam_00007781	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Non-specific protein-tyrosine kinase (EC 2.7.10.2)	1774	cytoskeleton [GO:0005856]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0004715; GO:0005524; GO:0005856	RMX60808.1
A0A2B4SKI9	A0A2B4SKI9_STYPI	unreviewed	jockey\pol AWC38_SpisGene5661	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	2099	nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0008270; GO:0015074	PFX29603.1
A0A2B4R7R0	A0A2B4R7R0_STYPI	unreviewed	scara5 AWC38_SpisGene23750	Stylophora pistillata (Smooth cauliflower coral)	Scavenger receptor class A member 5	688	integral component of membrane [GO:0016021]	GO:0016021	PFX12315.1
A0A3M6V248	A0A3M6V248_POCDA	unreviewed	pdam_00025580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein (Fragment)	547			RMX60005.1
A0A3M6UNL4	A0A3M6UNL4_POCDA	unreviewed	pdam_00024862	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GB1/RHD3-type G domain-containing protein	274	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX55225.1
A0A3M6UFN0	A0A3M6UFN0_POCDA	unreviewed	pdam_00013779	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3412			RMX52481.1
A0A3M6UFS2	A0A3M6UFS2_POCDA	unreviewed	pdam_00013777	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1849			RMX52485.1
A0A3M6UG61	A0A3M6UG61_POCDA	unreviewed	pdam_00013776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	215			RMX52484.1
A0A3M6UFM1	A0A3M6UFM1_POCDA	unreviewed	pdam_00013775	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	532	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX52487.1
A0A3M6TIV4	A0A3M6TIV4_POCDA	unreviewed	pdam_00021646	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	COR domain-containing protein (Fragment)	1119	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525; GO:0016021	RMX41337.1
A0A3M6T961	A0A3M6T961_POCDA	unreviewed	pdam_00024510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	484			RMX37804.1
A0A3M6TI50	A0A3M6TI50_POCDA	unreviewed	pdam_00003308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	176	extracellular region [GO:0005576]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	GO:0005576; GO:0005886; GO:0006812; GO:0015267; GO:0044218; GO:0046930; GO:0046931; GO:0052331	RMX41075.1
A0A3M6V318	A0A3M6V318_POCDA	unreviewed	pdam_00017997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5487	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156; GO:0016021	RMX60295.1
A0A2B4RYI9	A0A2B4RYI9_STYPI	unreviewed	AWC38_SpisGene13887	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1696	integral component of membrane [GO:0016021]	GO:0016021	PFX21620.1
A0A3M6V3A6	A0A3M6V3A6_POCDA	unreviewed	pdam_00017988	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	95			RMX60299.1
A0A2B4RNC6	A0A2B4RNC6_STYPI	unreviewed	TTC28 AWC38_SpisGene15619	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	946			PFX19934.1
A0A3M6U094	A0A3M6U094_POCDA	unreviewed	pdam_00023286	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	360	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX47093.1
A0A3M6TYC1	A0A3M6TYC1_POCDA	unreviewed	pdam_00000699	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDHD domain-containing protein	725	metal ion binding [GO:0046872]	GO:0046872	RMX46413.1
A0A3M6TYE9	A0A3M6TYE9_POCDA	unreviewed	pdam_00000694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	188	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634	RMX46410.1
A0A3M6TS67	A0A3M6TS67_POCDA	unreviewed	pdam_00005262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	325	dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418; GO:0051213	RMX44242.1
A0A3M6T921	A0A3M6T921_POCDA	unreviewed	pdam_00024251	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	262			RMX37833.1
A0A2B4RBU0	A0A2B4RBU0_STYPI	unreviewed	AWC38_SpisGene22041	Stylophora pistillata (Smooth cauliflower coral)	DDE Tnp4 domain-containing protein	461	metal ion binding [GO:0046872]	GO:0046872	PFX13848.1
