Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434516
A0A2B4S5E5	A0A2B4S5E5_STYPI	unreviewed	TTC28 AWC38_SpisGene9444	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	2592			PFX25914.1
A0A4Y2S5P4	A0A4Y2S5P4_ARAVE	unreviewed	pol_1803 AVEN_37892_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	Retrovirus-related Pol polyprotein from transposon 297 (Fragment)	803	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190	GBN83301.1
A0A2B4R8E3	A0A2B4R8E3_STYPI	unreviewed	CFDP2 AWC38_SpisGene23355	Stylophora pistillata (Smooth cauliflower coral)	Craniofacial development protein 2	1134			PFX12648.1
A0A2B4RGN3	A0A2B4RGN3_STYPI	unreviewed	mshA AWC38_SpisGene19404	Stylophora pistillata (Smooth cauliflower coral)	D-inositol 3-phosphate glycosyltransferase	1271	transferase activity [GO:0016740]	GO:0016740	PFX16326.1
A0A3M6UIL7	A0A3M6UIL7_POCDA	unreviewed	pdam_00024388	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F2_4 domain-containing protein	487	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX53208.1
A0A3M6T7P1	A0A3M6T7P1_POCDA	unreviewed	pdam_00025523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	382	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX37436.1
A0A3M6V082	A0A3M6V082_POCDA	unreviewed	pdam_00022233	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1410			RMX59287.1
A0A2B4RZK1	A0A2B4RZK1_STYPI	unreviewed	trim71 AWC38_SpisGene11532	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	901	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX23884.1
A0A3M6U2V6	A0A3M6U2V6_POCDA	unreviewed	pdam_00025921	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	161			RMX47916.1
A0A3M6UY72	A0A3M6UY72_POCDA	unreviewed	pdam_00000008	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	440	signal transduction [GO:0007165]	GO:0007165	RMX58268.1
A0A2B4SFB7	A0A2B4SFB7_STYPI	unreviewed	AWC38_SpisGene8000	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	313			PFX27298.1
A0A3M6T884	A0A3M6T884_POCDA	unreviewed	pdam_00019641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	976	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37543.1
A0A3M6UWQ2	A0A3M6UWQ2_POCDA	unreviewed	pdam_00025318	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1706	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX58102.1
A0A2B4RAE0	A0A2B4RAE0_STYPI	unreviewed	AWC38_SpisGene22594	Stylophora pistillata (Smooth cauliflower coral)	Putative ankyrin repeat protein	565	regulation of apoptotic process [GO:0042981]	GO:0042981	PFX13327.1
A0A3M6UM37	A0A3M6UM37_POCDA	unreviewed	pdam_00023673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	289			RMX54594.1
A0A2B4RLN5	A0A2B4RLN5_STYPI	unreviewed	Znfx1 AWC38_SpisGene17928	Stylophora pistillata (Smooth cauliflower coral)	NFX1-type zinc finger-containing protein 1	1045	helicase activity [GO:0004386]	GO:0004386	PFX17729.1
A0A3M6UG06	A0A3M6UG06_POCDA	unreviewed	pdam_00021331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1523	integral component of membrane [GO:0016021]	GO:0016021	RMX52593.1
A0A2B4RXA3	A0A2B4RXA3_STYPI	unreviewed	AWC38_SpisGene12381	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	377			PFX23084.1
A0A2B4RKY2	A0A2B4RKY2_STYPI	unreviewed	TTC28 AWC38_SpisGene18694	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1382			PFX17018.1
A0A3M6U482	A0A3M6U482_POCDA	unreviewed	pdam_00015216	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	262			RMX48472.1
A0A3M6V754	A0A3M6V754_POCDA	unreviewed	pdam_00013706	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	272	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX61560.1
A0A2B4RHE2	A0A2B4RHE2_STYPI	unreviewed	AWC38_SpisGene20091	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	512			PFX15685.1
A0A3M6TM73	A0A3M6TM73_POCDA	unreviewed	pdam_00022262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	461			RMX42507.1
A0A3M6UD18	A0A3M6UD18_POCDA	unreviewed	pdam_00010301	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Helicase ATP-binding domain-containing protein (Fragment)	596	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524; GO:0016787	RMX51525.1
A0A2B4RPR3	A0A2B4RPR3_STYPI	unreviewed	TTC28 AWC38_SpisGene16823	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1388			PFX18789.1
A0A3M6TYM9	A0A3M6TYM9_POCDA	unreviewed	pdam_00020511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	253			RMX46500.1
A0A3M6UTR4	A0A3M6UTR4_POCDA	unreviewed	pdam_00016953	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	526	integral component of membrane [GO:0016021]	GO:0016021	RMX56967.1
A0A2B4R8B0	A0A2B4R8B0_STYPI	unreviewed	nlrc4 AWC38_SpisGene22887	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1441			PFX13063.1
A0A2B4RX15	A0A2B4RX15_STYPI	unreviewed	TTC28 AWC38_SpisGene14638	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1124			PFX20887.1
A0A7X7X2P5	A0A7X7X2P5_9CLOT	unreviewed	GX384_03830	Clostridiaceae bacterium	AAA family ATPase	373			NLI38460.1
A0A3M6UDU0	A0A3M6UDU0_POCDA	unreviewed	pdam_00008109	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein	659	cytoplasm [GO:0005737]; signal transduction [GO:0007165]	GO:0005737; GO:0007165	RMX51674.1
A0A3M6UQR4	A0A3M6UQR4_POCDA	unreviewed	pdam_00019579	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	174			RMX56006.1
A0A3M6U0U9	A0A3M6U0U9_POCDA	unreviewed	pdam_00021015	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	229			RMX47325.1
A0A2B4RHS6	A0A2B4RHS6_STYPI	unreviewed	QARS AWC38_SpisGene19722	Stylophora pistillata (Smooth cauliflower coral)	Glutaminyl-tRNA synthetase	775	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]	GO:0004819; GO:0005524; GO:0005737; GO:0006425	PFX16030.1
A0A3M6UUB6	A0A3M6UUB6_POCDA	unreviewed	pdam_00025708	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	410			RMX57266.1
A0A3M6TCR4	A0A3M6TCR4_POCDA	unreviewed	pdam_00017537	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	300			RMX39089.1
A0A3M6UYQ2	A0A3M6UYQ2_POCDA	unreviewed	pdam_00021425	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	693	integral component of membrane [GO:0016021]	GO:0016021	RMX58664.1
A0A2B4RYA1	A0A2B4RYA1_STYPI	unreviewed	T AWC38_SpisGene14222	Stylophora pistillata (Smooth cauliflower coral)	Transposable element P transposase	882	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX21307.1
A7SVL5	A7SVL5_NEMVE	unreviewed	v1g218157	Nematostella vectensis (Starlet sea anemone)	Predicted protein	233			EDO32243.1
A0A2B4SWP4	A0A2B4SWP4_STYPI	unreviewed	AWC38_SpisGene2240	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	240			PFX32948.1
A0A2B4RXL8	A0A2B4RXL8_STYPI	unreviewed	AWC38_SpisGene12285	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	286			PFX23194.1
A0A3M6TYP1	A0A3M6TYP1_POCDA	unreviewed	pdam_00025814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	80			RMX46555.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4R8C4	A0A2B4R8C4_STYPI	unreviewed	bmp1 AWC38_SpisGene23378	Stylophora pistillata (Smooth cauliflower coral)	Bone morphogenetic protein 1	287			PFX12628.1
A0A2B4RMS5	A0A2B4RMS5_STYPI	unreviewed	TTC28 AWC38_SpisGene15834	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	566			PFX19734.1
A0A3M6U1Y0	A0A3M6U1Y0_POCDA	unreviewed	pdam_00024566	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	413			RMX47705.1
A0A2B4RF57	A0A2B4RF57_STYPI	unreviewed	LECRKS5 AWC38_SpisGene20911	Stylophora pistillata (Smooth cauliflower coral)	Putative L-type lectin-domain containing receptor kinase S.5	829	ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0030246	PFX14902.1
A0A2B4SGG8	A0A2B4SGG8_STYPI	unreviewed	tkr-1 AWC38_SpisGene7122	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor tkr-1	393	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX28153.1
A0A2B4S9P2	A0A2B4S9P2_STYPI	unreviewed	AWC38_SpisGene10081	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1312			PFX25307.1
A0A3M6TGA7	A0A3M6TGA7_POCDA	unreviewed	pdam_00014352	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	261			RMX40254.1
A0A2G4WPR1	A0A2G4WPR1_PHOLE	unreviewed	CRG86_007515	Photobacterium leiognathi	Uncharacterized protein	601			PHZ59833.1
A0A3M6U391	A0A3M6U391_POCDA	unreviewed	pdam_00002649	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1894	integral component of membrane [GO:0016021]	GO:0016021	RMX48046.1
A0A2B4RA23	A0A2B4RA23_STYPI	unreviewed	AWC38_SpisGene22240	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	626			PFX13659.1
A0A3M6TM64	A0A3M6TM64_POCDA	unreviewed	pdam_00010906	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	228	integral component of membrane [GO:0016021]	GO:0016021	RMX42469.1
A0A2B4R7K1	A0A2B4R7K1_STYPI	unreviewed	AWC38_SpisGene22797	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	360			PFX13146.1
A0A3M6TV65	A0A3M6TV65_POCDA	unreviewed	pdam_00022783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	263			RMX45154.1
A0A2B4RRI5	A0A2B4RRI5_STYPI	unreviewed	AHNAK AWC38_SpisGene16197	Stylophora pistillata (Smooth cauliflower coral)	Neuroblast differentiation-associated protein AHNAK (Fragment)	3881	phosphatidylinositol binding [GO:0035091]	GO:0035091	PFX19393.1
A0A2B4R8M6	A0A2B4R8M6_STYPI	unreviewed	TTC28 AWC38_SpisGene23382	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1474			PFX12625.1
A0A2B4RDD8	A0A2B4RDD8_STYPI	unreviewed	METAP2 AWC38_SpisGene19354	Stylophora pistillata (Smooth cauliflower coral)	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	584	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; protein initiator methionine removal [GO:0070084]	GO:0005737; GO:0046872; GO:0070006; GO:0070084	PFX16374.1
A0A3M6V425	A0A3M6V425_POCDA	unreviewed	pdam_00025944	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein (Fragment)	415			RMX60675.1
A0A3M6UH22	A0A3M6UH22_POCDA	unreviewed	pdam_00024065	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	343			RMX52967.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A2B4S5U7	A0A2B4S5U7_STYPI	unreviewed	AWC38_SpisGene11234	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	219			PFX24170.1
A0A2B4RA74	A0A2B4RA74_STYPI	unreviewed	POL AWC38_SpisGene22638	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	893	nucleic acid binding [GO:0003676]	GO:0003676	PFX13288.1
A0A2B4R7Z7	A0A2B4R7Z7_STYPI	unreviewed	lat-2 AWC38_SpisGene23004	Stylophora pistillata (Smooth cauliflower coral)	Latrophilin-like protein LAT-2 (Fragment)	358	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX12959.1
A0A2B4RIV8	A0A2B4RIV8_STYPI	unreviewed	CELSR1 AWC38_SpisGene18140	Stylophora pistillata (Smooth cauliflower coral)	Cadherin EGF LAG seven-pass G-type receptor 1	410	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX17541.1
A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	771			PFX34920.1
A0A2B4R8D3	A0A2B4R8D3_STYPI	unreviewed	nphp3 AWC38_SpisGene23490	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	604			PFX12535.1
A0A2B4RA67	A0A2B4RA67_STYPI	unreviewed	Nlrc5 AWC38_SpisGene21294	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC5	966	integral component of membrane [GO:0016021]	GO:0016021	PFX14541.1
A0A2B4RIC0	A0A2B4RIC0_STYPI	unreviewed	AWC38_SpisGene19637	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	222			PFX16107.1
A0A3M6UHN1	A0A3M6UHN1_POCDA	unreviewed	pdam_00026005	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	149			RMX53079.1
A0A3M6UJN1	A0A3M6UJN1_POCDA	unreviewed	pdam_00018615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	482			RMX53881.1
A0A2B4S6J3	A0A2B4S6J3_STYPI	unreviewed	AWC38_SpisGene10386	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	335			PFX25006.1
A0A3M6UH59	A0A3M6UH59_POCDA	unreviewed	pdam_00021825	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein (Fragment)	915			RMX52976.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A2B4S289	A0A2B4S289_STYPI	unreviewed	Ret AWC38_SpisGene11405	Stylophora pistillata (Smooth cauliflower coral)	Proto-oncogene tyrosine-protein kinase receptor Ret	471	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX24021.1
A0A2B4RFM0	A0A2B4RFM0_STYPI	unreviewed	AWC38_SpisGene19334	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	156			PFX16401.1
A0A3M6U7F8	A0A3M6U7F8_POCDA	unreviewed	pdam_00021166	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	400			RMX49526.1
