Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442E97
A0A6A5KYT9	A0A6A5KYT9_LUPAL	unreviewed	Lal_00037184	Lupinus albus (White lupine) (Lupinus termis)	Uncharacterized protein	1529	iron-sulfur cluster binding [GO:0051536]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; propionate metabolic process, methylcitrate cycle [GO:0019679]	GO:0016853; GO:0019629; GO:0019679; GO:0046872; GO:0051536	KAF1852453.1
A0A3M6UZ31	A0A3M6UZ31_POCDA	unreviewed	pdam_00026062	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	159			RMX58880.1
A0A3M6U227	A0A3M6U227_POCDA	unreviewed	pdam_00026076	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	144			RMX47690.1
A0A2B4SY96	A0A2B4SY96_STYPI	unreviewed	pol AWC38_SpisGene1597	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	930	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX33542.1
A0A3M6ULG9	A0A3M6ULG9_POCDA	unreviewed	pdam_00019989	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1783	integral component of membrane [GO:0016021]	GO:0016021	RMX54506.1
A0A3M6V5H7	A0A3M6V5H7_POCDA	unreviewed	pdam_00005645	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	281	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975	RMX61196.1
A0A3M6UQG9	A0A3M6UQG9_POCDA	unreviewed	pdam_00006237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	464			RMX55892.1
A0A2B4RC61	A0A2B4RC61_STYPI	unreviewed	pol AWC38_SpisGene21928	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	813	nucleic acid binding [GO:0003676]	GO:0003676	PFX13957.1
A0A2B4RJ88	A0A2B4RJ88_STYPI	unreviewed	MAGI2 AWC38_SpisGene18435	Stylophora pistillata (Smooth cauliflower coral)	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2	1565	kinase activity [GO:0016301]	GO:0016301	PFX17246.1
A0A3M6UVA6	A0A3M6UVA6_POCDA	unreviewed	pdam_00005802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	220			RMX57560.1
A0A0A2W1B3	A0A0A2W1B3_BEABA	unreviewed	BBAD15_g445	Beauveria bassiana D1-5	tRNA (Guanine-N(1)-)-methyltransferase	486	cytoplasm [GO:0005737]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; structural constituent of ribosome [GO:0003735]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]; rRNA processing [GO:0006364]; translation [GO:0006412]	GO:0003735; GO:0005737; GO:0005840; GO:0006364; GO:0006412; GO:0043022; GO:0052906	KGQ13653.1
A0A3T1DJ82	A0A3T1DJ82_9GAMM	unreviewed	HORIV_11500	Halomonas olivaria	Phosphate transporter	634	integral component of membrane [GO:0016021]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]	GO:0005315; GO:0006817; GO:0016021	BBI48729.1
A0A2B4RUU2	A0A2B4RUU2_STYPI	unreviewed	moxd1 AWC38_SpisGene14146	Stylophora pistillata (Smooth cauliflower coral)	DBH-like monooxygenase protein 1-like	2946	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; G protein-coupled receptor activity [GO:0004930]; protein kinase activity [GO:0004672]	GO:0004500; GO:0004672; GO:0004930; GO:0005507; GO:0005524; GO:0005886; GO:0016021	PFX21361.1
A0A259P420	A0A259P420_9ALTE	unreviewed	purE purK B7X50_00685	Alishewanella sp. 34-51-39	Multifunctional fusion protein [Includes: N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase); N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)]	513	5-(carboxyamino)imidazole ribonucleotide mutase activity [GO:0034023]; 5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; 'de novo' IMP biosynthetic process [GO:0006189]	GO:0004638; GO:0005524; GO:0006189; GO:0034023; GO:0034028; GO:0046872	OZB43418.1
A0A317JBF3	A0A317JBF3_9BACT	unreviewed	C5B45_04810	Chlamydiae bacterium	Uncharacterized protein	246			PWU14202.1
R7V047	R7V047_CAPTE	unreviewed	CAPTEDRAFT_91638	Capitella teleta (Polychaete worm)	Uncharacterized protein	287	catalytic activity [GO:0003824]	GO:0003824	ELU11934.1
A0A3M6TEZ3	A0A3M6TEZ3_POCDA	unreviewed	pdam_00025461	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	149			RMX39976.1
J8VGU8	J8VGU8_PSEPU	unreviewed	prfA prmC PPS11_00952	Pseudomonas putida S11	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	792	protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]; translation release factor activity, codon specific [GO:0016149]; ubiquitin-like modifier activating enzyme activity [GO:0008641]; peptidyl-glutamine methylation [GO:0018364]	GO:0008641; GO:0016149; GO:0018364; GO:0036009; GO:0102559	EJT86130.1
A0A2B4SI54	A0A2B4SI54_STYPI	unreviewed	Pcsk6 AWC38_SpisGene7118	Stylophora pistillata (Smooth cauliflower coral)	Proprotein convertase subtilisin/kexin type 6	775	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021	PFX28207.1
A0A1W9UC12	A0A1W9UC12_9DELT	unreviewed	B6I36_06220	Desulfobacteraceae bacterium 4572_35.1	Uncharacterized protein	294			OQY18726.1
A0A2B4RHS6	A0A2B4RHS6_STYPI	unreviewed	QARS AWC38_SpisGene19722	Stylophora pistillata (Smooth cauliflower coral)	Glutaminyl-tRNA synthetase	775	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]	GO:0004819; GO:0005524; GO:0005737; GO:0006425	PFX16030.1
A0A3M6V2X2	A0A3M6V2X2_POCDA	unreviewed	pdam_00025959	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MULE domain-containing protein	311			RMX60237.1
A0A7H9FTC1	A0A7H9FTC1_CITFR	unreviewed	HV183_13330	Citrobacter freundii	SUMF1/EgtB/PvdO family nonheme iron enzyme	539			QLO14338.1
A0A3M6U4E2	A0A3M6U4E2_POCDA	unreviewed	pdam_00026004	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	151			RMX48542.1
A0A3M6U016	A0A3M6U016_POCDA	unreviewed	pdam_00009588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	600			RMX47013.1
A0A0A7EF70	A0A0A7EF70_9GAMM	unreviewed	thiC OM33_05280	Pseudoalteromonas piratica	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	652	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539	AIY64622.1
A0A2B4S831	A0A2B4S831_STYPI	unreviewed	AWC38_SpisGene10207	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	532			PFX25193.1
A0A081K9J6	A0A081K9J6_9GAMM	unreviewed	GV64_08740	Endozoicomonas elysicola	Uncharacterized protein	647			KEI70822.1
A0A2B4QZ47	A0A2B4QZ47_STYPI	unreviewed	AWC38_SpisGene24749	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	165			PFX11494.1
A0A139CYT0	A0A139CYT0_9ALTE	unreviewed	AWU57_5723	Marinobacter sp. T13-3	Chorismate mutase (EC 2.6.1.52) (EC 4.2.1.51) (EC 5.4.99.5) (Prephenate dehydratase) (Fragment)	633	cytoplasm [GO:0005737]; chorismate mutase activity [GO:0004106]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; prephenate dehydratase activity [GO:0004664]; chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; L-serine biosynthetic process [GO:0006564]; pyridoxine biosynthetic process [GO:0008615]	GO:0004106; GO:0004648; GO:0004664; GO:0005737; GO:0006564; GO:0008615; GO:0009094; GO:0046417	KXS46393.1
A0A3M6V5R3	A0A3M6V5R3_POCDA	unreviewed	pdam_00005616	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302	zinc ion binding [GO:0008270]	GO:0008270	RMX61209.1
A0A3M3WEH7	A0A3M3WEH7_PSEAP	unreviewed	fmt ALQ37_04706	Pseudomonas syringae pv. aptata	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	747	cytoplasm [GO:0005737]; methionyl-tRNA formyltransferase activity [GO:0004479]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003723; GO:0004479; GO:0005737; GO:0006355; GO:0008649	RMO56206.1
A0A2B4RYW1	A0A2B4RYW1_STYPI	unreviewed	TRIM3 AWC38_SpisGene12654	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	569			PFX22821.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
G5J9J0	G5J9J0_CROWT	unreviewed	CWATWH0003_4106b1	Crocosphaera watsonii WH 0003	Riboflavin biosynthesis intermediates N-glycosidase (Fragment)	155			EHJ11146.1
W4LA71	W4LA71_9BACT	unreviewed	ETSY2_50120	Candidatus Entotheonella gemina	DDE_Tnp_1 domain-containing protein	396	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	ETW94226.1
A0A3M6V1R2	A0A3M6V1R2_POCDA	unreviewed	pdam_00001053	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anoctamin	369	integral component of membrane [GO:0016021]	GO:0016021	RMX59883.1
A0A3M6TXM0	A0A3M6TXM0_POCDA	unreviewed	pdam_00024190	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	546	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX46120.1
A0A2B4R6V7	A0A2B4R6V7_STYPI	unreviewed	POGK AWC38_SpisGene22556	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	535	nucleic acid binding [GO:0003676]	GO:0003676	PFX13361.1
A0A3M6UJJ6	A0A3M6UJJ6_POCDA	unreviewed	pdam_00004371	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	1745	nucleus [GO:0005634]	GO:0005634	RMX53548.1
A0A3M6TH50	A0A3M6TH50_POCDA	unreviewed	pdam_00023532	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	235			RMX40661.1
A0A1D2X6F7	A0A1D2X6F7_9GAMM	unreviewed	ACH42_14920	Endozoicomonas sp. (ex Bugula neritina AB1)	Acyl_transf_3 domain-containing protein	367	integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0016021; GO:0016747	OED41046.1
A0A3M6UWJ2	A0A3M6UWJ2_POCDA	unreviewed	pdam_00025042	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	671			RMX57969.1
A0A081K6D7	A0A081K6D7_9GAMM	unreviewed	GV64_02215	Endozoicomonas elysicola	Uncharacterized protein	113			KEI69713.1
A0A081KFN6	A0A081KFN6_9GAMM	unreviewed	GV64_21560	Endozoicomonas elysicola	DNA_MISMATCH_REPAIR_2 domain-containing protein	727	ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	GO:0005524; GO:0006298; GO:0030983	KEI72962.1
R7TYU6	R7TYU6_CAPTE	unreviewed	CAPTEDRAFT_142376	Capitella teleta (Polychaete worm)	GTP_cyclohydro2 domain-containing protein	372	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; metal ion binding [GO:0046872]; riboflavin biosynthetic process [GO:0009231]	GO:0008686; GO:0009231; GO:0046872	ELT96596.1
A0A3M6UNW4	A0A3M6UNW4_POCDA	unreviewed	pdam_00026030	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	367			RMX55320.1
A0A081KFF2	A0A081KFF2_9GAMM	unreviewed	GV64_21045	Endozoicomonas elysicola	Uncharacterized protein	334	integral component of membrane [GO:0016021]	GO:0016021	KEI72878.1
A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	245	nucleic acid binding [GO:0003676]	GO:0003676	PFX31792.1
A0A081KCE2	A0A081KCE2_9GAMM	unreviewed	GV64_14685	Endozoicomonas elysicola	HTH araC/xylS-type domain-containing protein	328	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0043565	KEI71818.1
A0A3M6UGY1	A0A3M6UGY1_POCDA	unreviewed	pdam_00016860	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	162			RMX52628.1
A0A3M6TF03	A0A3M6TF03_POCDA	unreviewed	pdam_00022972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2577			RMX39987.1
A0A081KE20	A0A081KE20_9GAMM	unreviewed	GV64_18195	Endozoicomonas elysicola	Uncharacterized protein	291			KEI72396.1
A0A432I433	A0A432I433_9GAMM	unreviewed	DSY43_05490	Gammaproteobacteria bacterium	Uncharacterized protein (Fragment)	992			RUA05016.1
A0A2B4S0C8	A0A2B4S0C8_STYPI	unreviewed	CFDP2 AWC38_SpisGene12990	Stylophora pistillata (Smooth cauliflower coral)	Craniofacial development protein 2	1054			PFX22493.1
A0A2B4RY00	A0A2B4RY00_STYPI	unreviewed	ZMYM1 AWC38_SpisGene13452	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger MYM-type protein 1	1643	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX22036.1
A0A2B4SE42	A0A2B4SE42_STYPI	unreviewed	AWC38_SpisGene8469	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	640			PFX26878.1
A0A2B4RNW3	A0A2B4RNW3_STYPI	unreviewed	Dzip3 AWC38_SpisGene17738	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase DZIP3 (Fragment)	230			PFX17932.1
A0A5Q0EKU8	A0A5Q0EKU8_9GAMM	unreviewed	csx16 D5125_12730	gamma proteobacterium SS-5	CRISPR-associated protein Csx16	100			QFY90278.1
A0A2B4RNB4	A0A2B4RNB4_STYPI	unreviewed	AWC38_SpisGene17943	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	749	integral component of membrane [GO:0016021]	GO:0016021	PFX17732.1
A0A1G0H9R3	A0A1G0H9R3_9GAMM	unreviewed	A3E82_09775	Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_38_11	Transposase	404	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196	OGT46626.1
A0A2B4RHK6	A0A2B4RHK6_STYPI	unreviewed	K02A2.6 AWC38_SpisGene17809	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	756	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX17864.1
A0A081KF87	A0A081KF87_9GAMM	unreviewed	GV64_20670	Endozoicomonas elysicola	APH domain-containing protein	365			KEI72813.1
A0A3M6TTD9	A0A3M6TTD9_POCDA	unreviewed	pdam_00023366	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	237	integral component of membrane [GO:0016021]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]	GO:0005540; GO:0007155; GO:0016021	RMX44680.1
A0A3M6TGM6	A0A3M6TGM6_POCDA	unreviewed	pdam_00007474	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	268	hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]	GO:0005540; GO:0007155	RMX40520.1
A0A3M6TGI7	A0A3M6TGI7_POCDA	unreviewed	pdam_00007471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	929	hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]	GO:0005540; GO:0007155	RMX40527.1
A0A3M6TGN2	A0A3M6TGN2_POCDA	unreviewed	pdam_00007469	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	468	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211	RMX40556.1
A0A3M6TGM8	A0A3M6TGM8_POCDA	unreviewed	pdam_00007466	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	838			RMX40552.1
A0A3M6U8F1	A0A3M6U8F1_POCDA	unreviewed	pdam_00014419	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1647	integral component of membrane [GO:0016021]	GO:0016021	RMX49891.1
A0A3M6U893	A0A3M6U893_POCDA	unreviewed	pdam_00014418	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CUB domain-containing protein	271	integral component of membrane [GO:0016021]	GO:0016021	RMX49890.1
A0A3M6U889	A0A3M6U889_POCDA	unreviewed	pdam_00014415	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1007			RMX49885.1
A0A3M6TQI9	A0A3M6TQI9_POCDA	unreviewed	pdam_00006384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	254			RMX43683.1
A0A3M6UZP5	A0A3M6UZP5_POCDA	unreviewed	pdam_00024413	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	223			RMX59156.1
A0A3M6TQP4	A0A3M6TQP4_POCDA	unreviewed	pdam_00010826	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Methyltransf_11 domain-containing protein (Fragment)	278	methyltransferase activity [GO:0008168]	GO:0008168	RMX43574.1
A0A3M6TQE6	A0A3M6TQE6_POCDA	unreviewed	pdam_00010824	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	958	calcium ion binding [GO:0005509]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0005509; GO:0008168; GO:0032259	RMX43576.1
A0A3M6UVB1	A0A3M6UVB1_POCDA	unreviewed	pdam_00023195	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1427	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX57575.1
A0A2B4RAX5	A0A2B4RAX5_STYPI	unreviewed	trim71 AWC38_SpisGene21003	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1609	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX14811.1
A0A3M6U8U3	A0A3M6U8U3_POCDA	unreviewed	pdam_00002950	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	171	calcium ion binding [GO:0005509]	GO:0005509	RMX50057.1
A0A2B4RNN6	A0A2B4RNN6_STYPI	unreviewed	TRAPPC11 AWC38_SpisGene17513	Stylophora pistillata (Smooth cauliflower coral)	Trafficking protein particle complex subunit 11	1532	Golgi apparatus [GO:0005794]	GO:0005794	PFX18140.1
A0A3M6USX8	A0A3M6USX8_POCDA	unreviewed	pdam_00018067	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	497			RMX56771.1
A0A2B4R7E5	A0A2B4R7E5_STYPI	unreviewed	AWC38_SpisGene23658	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	507			PFX12400.1
A0A2B4RAG9	A0A2B4RAG9_STYPI	unreviewed	nphp3 AWC38_SpisGene22550	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1223	kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005871; GO:0005874	PFX13368.1
A0A3M6U5S8	A0A3M6U5S8_POCDA	unreviewed	pdam_00008341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	246			RMX48909.1
A0A2B4RGX1	A0A2B4RGX1_STYPI	unreviewed	AWC38_SpisGene19321	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	474			PFX16406.1
A0A2B4R4V0	A0A2B4R4V0_STYPI	unreviewed	Pogk AWC38_SpisGene24696	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	337	nucleic acid binding [GO:0003676]	GO:0003676	PFX11530.1
A0A2B4RR10	A0A2B4RR10_STYPI	unreviewed	Mfsd6 AWC38_SpisGene16633	Stylophora pistillata (Smooth cauliflower coral)	Major facilitator superfamily domain-containing protein 6	770	integral component of membrane [GO:0016021]	GO:0016021	PFX18990.1
A0A3M6UAF4	A0A3M6UAF4_POCDA	unreviewed	pdam_00009654	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	758			RMX50645.1
A0A3M6UAB7	A0A3M6UAB7_POCDA	unreviewed	pdam_00009648	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	207			RMX50600.1
A0A2B4RRC0	A0A2B4RRC0_STYPI	unreviewed	AWC38_SpisGene16501	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	334			PFX19100.1
A0A3M6U9U1	A0A3M6U9U1_POCDA	unreviewed	pdam_00006925	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1095			RMX50319.1
